year,hs2,cou,exports,imports,tradebalance
2000,01,Alberta,633061984.0,159384032.0,473677952.0
2000,01,British Columbia,81782439.0,43538372.0,38244067.0
2000,01,Manitoba,413067989.0,7271952.0,405796037.0
2000,01,New Brunswick,2425948.0,5210913.0,-2784965.0
2000,01,Newfoundland and Labrador,,14015.0,-14015.0
2000,01,Nova Scotia,1167508.0,162960.0,1004548.0
2000,01,Ontario,431466428.0,112723846.0,318742582.0
2000,01,Prince Edward Island,1959878.0,14846.0,1945032.0
2000,01,Quebec,41187993.0,30035773.0,11152220.0
2000,01,Saskatchewan,135135461.0,27861550.0,107273911.0
2000,01,Total All Countries,1741361147.0,386218259.0,1355142888.0
2000,01,Yukon Territory,105519.0,,105519.0
2000,02,Alberta,1665110060.0,32568917.0,1632541143.0
2000,02,British Columbia,95262436.0,208881492.0,-113619056.0
2000,02,Manitoba,386892334.0,34809184.0,352083150.0
2000,02,New Brunswick,3993626.0,5744207.0,-1750581.0
2000,02,Newfoundland and Labrador,62957.0,34228.0,28729.0
2000,02,Nova Scotia,2573813.0,37176450.0,-34602637.0
2000,02,Nunavut,99321.0,,99321.0
2000,02,Ontario,614274029.0,684212985.0,-69938956.0
2000,02,Prince Edward Island,4972415.0,,4972415.0
2000,02,Quebec,748405593.0,124272928.0,624132665.0
2000,02,Saskatchewan,130244727.0,11557465.0,118687262.0
2000,02,Total All Countries,3651891311.0,1139257856.0,2512633455.0
2000,03,Alberta,402400.0,6736532.0,-6334132.0
2000,03,British Columbia,858727798.0,348119792.0,510608006.0
2000,03,Manitoba,52268033.0,1408176.0,50859857.0
2000,03,New Brunswick,643825467.0,284451914.0,359373553.0
2000,03,Newfoundland and Labrador,557638518.0,220893501.0,336745017.0
2000,03,Northwest Territories,172801.0,,172801.0
2000,03,Nova Scotia,1042505277.0,125258328.0,917246949.0
2000,03,Nunavut,229818.0,,229818.0
2000,03,Ontario,126211991.0,457270737.0,-331058746.0
2000,03,Prince Edward Island,160124824.0,213104.0,159911720.0
2000,03,Quebec,119334616.0,143130234.0,-23795618.0
2000,03,Saskatchewan,1307587.0,610710.0,696877.0
2000,03,Total All Countries,3562825914.0,1628150398.0,1934675516.0
2000,03,Yukon Territory,76784.0,40057370.0,-39980586.0
2000,04,Alberta,13963267.0,7001786.0,6961481.0
2000,04,British Columbia,13254982.0,21580388.0,-8325406.0
2000,04,Manitoba,25466119.0,13529782.0,11936337.0
2000,04,New Brunswick,4982017.0,899770.0,4082247.0
2000,04,Newfoundland and Labrador,,580.0,-580.0
2000,04,Nova Scotia,488249.0,975565.0,-487316.0
2000,04,Ontario,110161998.0,254389283.0,-144227285.0
2000,04,Prince Edward Island,2459080.0,,2459080.0
2000,04,Quebec,185929702.0,120730979.0,65198723.0
2000,04,Saskatchewan,5063126.0,5234994.0,-171868.0
2000,04,Total All Countries,361768540.0,424343127.0,-62574587.0
2000,05,Alberta,42208687.0,4133789.0,38074898.0
2000,05,British Columbia,8974684.0,11885916.0,-2911232.0
2000,05,Manitoba,6267242.0,8196875.0,-1929633.0
2000,05,New Brunswick,2934806.0,8826512.0,-5891706.0
2000,05,Newfoundland and Labrador,853224.0,2465520.0,-1612296.0
2000,05,Northwest Territories,17909.0,,17909.0
2000,05,Nova Scotia,3434759.0,1816858.0,1617901.0
2000,05,Ontario,81064398.0,56942521.0,24121877.0
2000,05,Prince Edward Island,854573.0,44.0,854529.0
2000,05,Quebec,27485371.0,10647422.0,16837949.0
2000,05,Saskatchewan,1938117.0,404657.0,1533460.0
2000,05,Total All Countries,176195073.0,105320531.0,70874542.0
2000,05,Yukon Territory,161303.0,417.0,160886.0
2000,06,Alberta,680764.0,11721945.0,-11041181.0
2000,06,British Columbia,87297732.0,67461356.0,19836376.0
2000,06,Manitoba,968684.0,15613827.0,-14645143.0
2000,06,New Brunswick,42206296.0,5451763.0,36754533.0
2000,06,Newfoundland and Labrador,,350076.0,-350076.0
2000,06,Nova Scotia,16367445.0,2168754.0,14198691.0
2000,06,Ontario,260558616.0,180661737.0,79896879.0
2000,06,Prince Edward Island,1152847.0,58360.0,1094487.0
2000,06,Quebec,40522002.0,33856198.0,6665804.0
2000,06,Saskatchewan,103735.0,1425824.0,-1322089.0
2000,06,Total All Countries,449858121.0,318769840.0,131088281.0
2000,07,Alberta,160101700.0,167734663.0,-7632963.0
2000,07,British Columbia,228912327.0,298114334.0,-69202007.0
2000,07,Manitoba,125817103.0,49919791.0,75897312.0
2000,07,New Brunswick,37428008.0,32741121.0,4686887.0
2000,07,Newfoundland and Labrador,,261888.0,-261888.0
2000,07,Northwest Territories,24305.0,,24305.0
2000,07,Nova Scotia,11905151.0,2211091.0,9694060.0
2000,07,Ontario,409149317.0,891357446.0,-482208129.0
2000,07,Prince Edward Island,45366734.0,6209.0,45360525.0
2000,07,Quebec,124907909.0,147111737.0,-22203828.0
2000,07,Saskatchewan,544846282.0,20076369.0,524769913.0
2000,07,Total All Countries,1688458836.0,1609534649.0,78924187.0
2000,08,Alberta,5280.0,154013695.0,-154008415.0
2000,08,British Columbia,136057605.0,411085678.0,-275028073.0
2000,08,Manitoba,58034.0,47647210.0,-47589176.0
2000,08,New Brunswick,2758679.0,66976801.0,-64218122.0
2000,08,Newfoundland and Labrador,226659.0,426981.0,-200322.0
2000,08,Nova Scotia,62424651.0,6900842.0,55523809.0
2000,08,Ontario,30208752.0,1138024606.0,-1107815854.0
2000,08,Prince Edward Island,5269087.0,,5269087.0
2000,08,Quebec,43616118.0,294214880.0,-250598762.0
2000,08,Saskatchewan,12485.0,10558254.0,-10545769.0
2000,08,Total All Countries,280637350.0,2129848947.0,-1849211597.0
2000,09,Alberta,494992.0,13812075.0,-13317083.0
2000,09,British Columbia,27530939.0,133360105.0,-105829166.0
2000,09,Manitoba,3293349.0,2274046.0,1019303.0
2000,09,New Brunswick,92075.0,494421.0,-402346.0
2000,09,Newfoundland and Labrador,,2421191.0,-2421191.0
2000,09,Nova Scotia,3445.0,8920838.0,-8917393.0
2000,09,Ontario,145108863.0,512809190.0,-367700327.0
2000,09,Quebec,23327256.0,159278258.0,-135951002.0
2000,09,Saskatchewan,5562892.0,713406.0,4849486.0
2000,09,Total All Countries,205413811.0,834083560.0,-628669749.0
2000,09,Yukon Territory,,30.0,-30.0
2000,10,Alberta,1356614512.0,8584689.0,1348029823.0
2000,10,British Columbia,24844678.0,48419865.0,-23575187.0
2000,10,Manitoba,646777479.0,33292201.0,613485278.0
2000,10,New Brunswick,,4937283.0,-4937283.0
2000,10,Nova Scotia,127624.0,2318248.0,-2190624.0
2000,10,Ontario,63683977.0,274527016.0,-210843039.0
2000,10,Quebec,31124536.0,56756993.0,-25632457.0
2000,10,Saskatchewan,2285131154.0,9664623.0,2275466531.0
2000,10,Total All Countries,4408303960.0,438500918.0,3969803042.0
2000,11,Alberta,135648415.0,3015098.0,132633317.0
2000,11,British Columbia,13379007.0,22511189.0,-9132182.0
2000,11,Manitoba,55125446.0,2273737.0,52851709.0
2000,11,New Brunswick,4007775.0,633940.0,3373835.0
2000,11,Nova Scotia,1531476.0,192732.0,1338744.0
2000,11,Ontario,100557322.0,82895477.0,17661845.0
2000,11,Prince Edward Island,410337.0,,410337.0
2000,11,Quebec,26246292.0,13623626.0,12622666.0
2000,11,Saskatchewan,90359894.0,10819770.0,79540124.0
2000,11,Total All Countries,427265964.0,135965569.0,291300395.0
2000,12,Alberta,548209181.0,22653674.0,525555507.0
2000,12,British Columbia,52578472.0,61985382.0,-9406910.0
2000,12,Manitoba,391775871.0,62511087.0,329264784.0
2000,12,New Brunswick,2434189.0,5156108.0,-2721919.0
2000,12,Newfoundland and Labrador,,17226.0,-17226.0
2000,12,Nova Scotia,6413598.0,701850.0,5711748.0
2000,12,Ontario,183531157.0,324835072.0,-141303915.0
2000,12,Prince Edward Island,1757848.0,568471.0,1189377.0
2000,12,Quebec,113240669.0,37819099.0,75421570.0
2000,12,Saskatchewan,712809061.0,6411197.0,706397864.0
2000,12,Total All Countries,2012750046.0,522659166.0,1490090880.0
2000,13,Alberta,1227672.0,2954356.0,-1726684.0
2000,13,British Columbia,494464.0,12576650.0,-12082186.0
2000,13,Manitoba,12377.0,2019726.0,-2007349.0
2000,13,New Brunswick,5350.0,83966.0,-78616.0
2000,13,Newfoundland and Labrador,,495.0,-495.0
2000,13,Nova Scotia,,17149.0,-17149.0
2000,13,Ontario,17053410.0,56541869.0,-39488459.0
2000,13,Quebec,1328549.0,14527558.0,-13199009.0
2000,13,Saskatchewan,199091.0,1453714.0,-1254623.0
2000,13,Total All Countries,20320913.0,90175483.0,-69854570.0
2000,14,Alberta,360.0,611309.0,-610949.0
2000,14,British Columbia,20202.0,1722580.0,-1702378.0
2000,14,Manitoba,60210.0,597218.0,-537008.0
2000,14,New Brunswick,26113.0,111555.0,-85442.0
2000,14,Newfoundland and Labrador,,353.0,-353.0
2000,14,Nova Scotia,,4382.0,-4382.0
2000,14,Ontario,257005.0,3827494.0,-3570489.0
2000,14,Quebec,3579336.0,486627.0,3092709.0
2000,14,Saskatchewan,17354.0,96701.0,-79347.0
2000,14,Total All Countries,3960580.0,7458219.0,-3497639.0
2000,15,Alberta,169091248.0,22384866.0,146706382.0
2000,15,British Columbia,80272744.0,61757874.0,18514870.0
2000,15,Manitoba,120687093.0,17010593.0,103676500.0
2000,15,New Brunswick,2398352.0,21231561.0,-18833209.0
2000,15,Newfoundland and Labrador,789414.0,221.0,789193.0
2000,15,Nova Scotia,2573226.0,483007.0,2090219.0
2000,15,Ontario,141142407.0,228381622.0,-87239215.0
2000,15,Quebec,36495996.0,59463761.0,-22967765.0
2000,15,Saskatchewan,251259138.0,22177461.0,229081677.0
2000,15,Total All Countries,804709618.0,432890966.0,371818652.0
2000,16,Alberta,7958485.0,6740459.0,1218026.0
2000,16,British Columbia,113633334.0,215376787.0,-101743453.0
2000,16,Manitoba,17409761.0,23060708.0,-5650947.0
2000,16,New Brunswick,215342625.0,6245124.0,209097501.0
2000,16,Newfoundland and Labrador,111299015.0,1754278.0,109544737.0
2000,16,Northwest Territories,173558.0,,173558.0
2000,16,Nova Scotia,55199962.0,10614585.0,44585377.0
2000,16,Ontario,97356882.0,377733613.0,-280376731.0
2000,16,Prince Edward Island,57962267.0,,57962267.0
2000,16,Quebec,183376149.0,49342796.0,134033353.0
2000,16,Saskatchewan,6556048.0,7453571.0,-897523.0
2000,16,Total All Countries,866268086.0,698423536.0,167844550.0
2000,16,Yukon Territory,,101615.0,-101615.0
2000,17,Alberta,7754845.0,18643824.0,-10888979.0
2000,17,British Columbia,4610542.0,63980010.0,-59369468.0
