sec,code
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",01 Live animals
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",02 Meat and edible meat offal
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","03 Fish and crustacean, mollusc and other aquatic invertebrate"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",04 Dairy prod; birds' eggs; natural honey; edible prod nes
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","05 Products of animal origin, not elsewhere specified or included"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","06 Live trees & o plants; bulbs, roots & the like; cut flowers & ornamental foliage"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",07 Edible vegetables and certain roots and tubers
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",08 Edible fruit and nuts; peel of citrus fruit or melons
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","09 Coffee, tea, maté and spices"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",10 Cereals
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",11 Products of the milling industry; malt; starches; inulin; wheat gluten
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","12 Oil seed, oleagi fruits; miscell grain, seed, fruit etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","13 Lac; gums, resins & other vegetable saps & extracts"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","14 Vegetable plaiting materials; vegetable products, nes"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",15 Animal/veg fats & oils & their cleavage products; etc
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","16 Preparations of meat, fish or crustaceans, molluscs,other aquatic invertebrates"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",17 Sugars and sugar confectionery
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",18 Cocoa and cocoa preparations
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","19 Prep of cereal, flour, starch/milk; pastrycooks' prod"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","20 Prep of vegetable, fruit, nuts or other parts of plants"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",21 Miscellaneous edible preparations
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","22 Beverages, spirits and vinegar"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",23 Residues and waste from the food industries; prepared animal fodder
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",24 Tobacco and manufactured tobacco substitutes
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",25 Salt; sulphur; earths and stone; plastering materials; lime and cement
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","26 Ores, slag and ash"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","27 Mineral fuels, oils and products of distillation; bituminous subs;mineral waxes"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","28 Inorgn chem; compds of prec met, radioact elements etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",29 Organic chemicals
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",30 Pharmaceutical products
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",31 Fertilizers
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",32 Tanning/dyeing extract;tannins & derivs;Pigments & o colouring matter;Paints;etc
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","33 Essential oils & resinoids; perf, cosmetic/toilet prep"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","34 Soap,organic surface-active agents,washing/lub prep,arti/prepr/dental waxes,etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",35 Albuminoidal subs; modified starches; glues; enzymes
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",36 Explosives;pyrotechnic prod;matches; pyrophoric alloys; certain combustible prep
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",37 Photographic or cinematographic goods
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",38 Miscellaneous chemical products
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",39 Plastics and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",40 Rubber and articles thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",41 Raw hides and skins (other than furskins) and leather
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES","42 Articles of leather; saddlery/harness; travel goods, etc"
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",43 Furskins and artificial fur; manufactures thereof
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",44 Wood and articles of wood; wood charcoal
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",45 Cork and articles of cork
"XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES",46 Manufactures of straw/esparto/other plaiting materials;basketware and wickerwork
