"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"United States","Total Exports","16397562716"
"","Total Imports","4482873432"
"","Trade Balance","11914689284"
"Japan","Total Exports","1180516819"
"","Total Imports","125542493"
"","Trade Balance","1054974326"
"Korea, South","Total Exports","319254907"
"","Total Imports","43987386"
"","Trade Balance","275267521"
"China","Total Exports","289698210"
"","Total Imports","33829729"
"","Trade Balance","255868481"
"Russia","Total Exports","146345187"
"","Total Imports","659028"
"","Trade Balance","145686159"
"Brazil","Total Exports","113675084"
"","Total Imports","8576968"
"","Trade Balance","105098116"
"Indonesia","Total Exports","106999929"
"","Total Imports","2080944"
"","Trade Balance","104918985"
"Taiwan","Total Exports","148580283"
"","Total Imports","50377017"
"","Trade Balance","98203266"
"Saudi Arabia","Total Exports","57165218"
"","Total Imports","1455"
"","Trade Balance","57163763"
"Iran","Total Exports","57693647"
"","Total Imports","1035278"
"","Trade Balance","56658369"
"Netherlands","Total Exports","77469719"
"","Total Imports","24317310"
"","Trade Balance","53152409"
"Thailand","Total Exports","61296430"
"","Total Imports","14055531"
"","Trade Balance","47240899"
"U.S.S.R.","Total Exports","45690892"
"","Total Imports","11503"
"","Trade Balance","45679389"
"Mexico","Total Exports","85429035"
"","Total Imports","42366028"
"","Trade Balance","43063007"
"Belgium","Total Exports","48310404"
"","Total Imports","9462314"
"","Trade Balance","38848090"
"Morocco","Total Exports","31802266"
"","Total Imports","617003"
"","Trade Balance","31185263"
"Philippines","Total Exports","34332569"
"","Total Imports","4913082"
"","Trade Balance","29419487"
"Hong Kong","Total Exports","58084390"
"","Total Imports","29357391"
"","Trade Balance","28726999"
"Australia","Total Exports","53489170"
"","Total Imports","24946496"
"","Trade Balance","28542674"
"Algeria","Total Exports","28029149"
"","Total Imports","50"
"","Trade Balance","28029099"
"Libya","Total Exports","25132226"
"","Total Imports","63"
"","Trade Balance","25132163"
"Spain","Total Exports","31746634"
"","Total Imports","7359289"
"","Trade Balance","24387345"
"Italy (incl. Vatican City State)","Total Exports","75567381"
"","Total Imports","53732643"
"","Trade Balance","21834738"
"Cuba","Total Exports","20738319"
"","Total Imports","226283"
"","Trade Balance","20512036"
"Oman (formerly Muscat and Oman)","Total Exports","20468918"
"","Total Imports",""
"","Trade Balance","20468918"
"Singapore","Total Exports","32096434"
"","Total Imports","11795584"
"","Trade Balance","20300850"
"Venezuela","Total Exports","19781150"
"","Total Imports","1626586"
"","Trade Balance","18154564"
"South Africa","Total Exports","18818076"
"","Total Imports","694499"
"","Trade Balance","18123577"
"Colombia","Total Exports","19713589"
"","Total Imports","1719564"
"","Trade Balance","17994025"
"Malaysia","Total Exports","37558874"
"","Total Imports","21376279"
"","Trade Balance","16182595"
"United Kingdom","Total Exports","122439516"
"","Total Imports","107222842"
"","Trade Balance","15216674"
"Pakistan","Total Exports","16342109"
"","Total Imports","1448024"
"","Trade Balance","14894085"
"Israel","Total Exports","13953368"
"","Total Imports","2487364"
"","Trade Balance","11466004"
"India","Total Exports","15721727"
"","Total Imports","5114796"
"","Trade Balance","10606931"
"Chile","Total Exports","16925669"
"","Total Imports","7073915"
"","Trade Balance","9851754"
"Egypt","Total Exports","9635822"
"","Total Imports","130842"
"","Trade Balance","9504980"
"Uzbekistan","Total Exports","9248111"
"","Total Imports",""
"","Trade Balance","9248111"
"New Zealand","Total Exports","13759017"
"","Total Imports","5183452"
"","Trade Balance","8575565"
"Bangladesh","Total Exports","6851077"
"","Total Imports","78523"
"","Trade Balance","6772554"
"Tunisia","Total Exports","6134422"
"","Total Imports","863"
"","Trade Balance","6133559"
"Azerbaijan","Total Exports","6121458"
"","Total Imports","4660"
"","Trade Balance","6116798"
"Norway","Total Exports","10803296"
"","Total Imports","5008807"
"","Trade Balance","5794489"
"Jamaica","Total Exports","5981662"
"","Total Imports","450994"
"","Trade Balance","5530668"
"Poland","Total Exports","5793949"
"","Total Imports","315105"
"","Trade Balance","5478844"
"Peru","Total Exports","5693475"
"","Total Imports","452304"
"","Trade Balance","5241171"
"Argentina","Total Exports","4578675"
"","Total Imports","203311"
"","Trade Balance","4375364"
"Dominican Republic","Total Exports","4465321"
"","Total Imports","129221"
"","Trade Balance","4336100"
"Ukraine","Total Exports","4160574"
"","Total Imports","23038"
"","Trade Balance","4137536"
"Senegal","Total Exports","3999937"
"","Total Imports","1033"
"","Trade Balance","3998904"
"Gabon","Total Exports","3961243"
"","Total Imports","1306"
"","Trade Balance","3959937"
"Türkiye","Total Exports","4258844"
"","Total Imports","428834"
"","Trade Balance","3830010"
"Hungary","Total Exports","4809984"
"","Total Imports","1001070"
"","Trade Balance","3808914"
"Korea, North","Total Exports","3759352"
"","Total Imports",""
"","Trade Balance","3759352"
"Uruguay","Total Exports","3430358"
