"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1994"
"Units","Value in  canadian dollars"

"","","1994"
"United States","Total Exports","18674080382"
"","Total Imports","5347592601"
"","Trade Balance","13326487781"
"Japan","Total Exports","1380038298"
"","Total Imports","177520554"
"","Trade Balance","1202517744"
"Korea, South","Total Exports","517657851"
"","Total Imports","50554401"
"","Trade Balance","467103450"
"China","Total Exports","375964366"
"","Total Imports","38160199"
"","Trade Balance","337804167"
"Taiwan","Total Exports","212331351"
"","Total Imports","58225468"
"","Trade Balance","154105883"
"Brazil","Total Exports","144006256"
"","Total Imports","9365263"
"","Trade Balance","134640993"
"Indonesia","Total Exports","125612843"
"","Total Imports","3259410"
"","Trade Balance","122353433"
"Belgium","Total Exports","128089506"
"","Total Imports","7441108"
"","Trade Balance","120648398"
"Iran","Total Exports","96122734"
"","Total Imports","1088391"
"","Trade Balance","95034343"
"Netherlands","Total Exports","120431670"
"","Total Imports","33072969"
"","Trade Balance","87358701"
"Mexico","Total Exports","146432733"
"","Total Imports","60298174"
"","Trade Balance","86134559"
"Australia","Total Exports","94847503"
"","Total Imports","20071288"
"","Trade Balance","74776215"
"Thailand","Total Exports","93141744"
"","Total Imports","21786575"
"","Trade Balance","71355169"
"Russia","Total Exports","69831314"
"","Total Imports","863771"
"","Trade Balance","68967543"
"Algeria","Total Exports","53073272"
"","Total Imports","1327"
"","Trade Balance","53071945"
"Hong Kong","Total Exports","83326101"
"","Total Imports","30925765"
"","Trade Balance","52400336"
"Italy (incl. Vatican City State)","Total Exports","111589399"
"","Total Imports","66099143"
"","Trade Balance","45490256"
"Chile","Total Exports","44176458"
"","Total Imports","8157617"
"","Trade Balance","36018841"
"Germany","Total Exports","127262940"
"","Total Imports","92388328"
"","Trade Balance","34874612"
"Morocco","Total Exports","34130126"
"","Total Imports","799520"
"","Trade Balance","33330606"
"Singapore","Total Exports","51589810"
"","Total Imports","18441267"
"","Trade Balance","33148543"
"Bangladesh","Total Exports","32872227"
"","Total Imports","70895"
"","Trade Balance","32801332"
"India","Total Exports","37105972"
"","Total Imports","6050085"
"","Trade Balance","31055887"
"Saudi Arabia","Total Exports","25824764"
"","Total Imports","30119"
"","Trade Balance","25794645"
"Colombia","Total Exports","23325623"
"","Total Imports","1403026"
"","Trade Balance","21922597"
"Tunisia","Total Exports","17821502"
"","Total Imports","97966"
"","Trade Balance","17723536"
"Libya","Total Exports","17385528"
"","Total Imports","1499"
"","Trade Balance","17384029"
"New Zealand","Total Exports","21693149"
"","Total Imports","5942272"
"","Trade Balance","15750877"
"Venezuela","Total Exports","15588853"
"","Total Imports","1110359"
"","Trade Balance","14478494"
"Argentina","Total Exports","15186897"
"","Total Imports","1696992"
"","Trade Balance","13489905"
"South Africa","Total Exports","18174848"
"","Total Imports","5002550"
"","Trade Balance","13172298"
"United Arab Emirates","Total Exports","11928230"
"","Total Imports","167740"
"","Trade Balance","11760490"
"Israel","Total Exports","16204995"
"","Total Imports","5122923"
"","Trade Balance","11082072"
"Malaysia","Total Exports","52582794"
"","Total Imports","41952549"
"","Trade Balance","10630245"
"Vietnam","Total Exports","9894348"
"","Total Imports","578958"
"","Trade Balance","9315390"
"Egypt","Total Exports","9348907"
"","Total Imports","81032"
"","Trade Balance","9267875"
"Philippines","Total Exports","22521427"
"","Total Imports","13466816"
"","Trade Balance","9054611"
"Cuba","Total Exports","8141367"
"","Total Imports","14021"
"","Trade Balance","8127346"
"Peru","Total Exports","7707385"
"","Total Imports","409440"
"","Trade Balance","7297945"
"Ethiopia","Total Exports","6684156"
"","Total Imports","32016"
"","Trade Balance","6652140"
"Bolivia","Total Exports","6222889"
"","Total Imports","45584"
"","Trade Balance","6177305"
"Switzerland","Total Exports","14879673"
"","Total Imports","9257969"
"","Trade Balance","5621704"
"Syria","Total Exports","5567063"
"","Total Imports","338"
"","Trade Balance","5566725"
"Kazakhstan","Total Exports","4535289"
"","Total Imports","200"
"","Trade Balance","4535089"
"Maldives","Total Exports","4349527"
"","Total Imports","21545"
"","Trade Balance","4327982"
"Jamaica","Total Exports","4621026"
"","Total Imports","567160"
"","Trade Balance","4053866"
"Norway","Total Exports","8346569"
"","Total Imports","4377245"
"","Trade Balance","3969324"
"Uzbekistan","Total Exports","3961301"
"","Total Imports",""
"","Trade Balance","3961301"
"Bermuda","Total Exports","3908317"
"","Total Imports","50"
"","Trade Balance","3908267"
"British Virgin Islands","Total Exports","3870653"
"","Total Imports","508"
"","Trade Balance","3870145"
"Türkiye","Total Exports","4906584"
"","Total Imports","1096788"
"","Trade Balance","3809796"
"Spain","Total Exports","15585478"
"","Total Imports","11890467"
"","Trade Balance","3695011"
"Kenya","Total Exports","3900418"
"","Total Imports","230819"
"","Trade Balance","3669599"
"Costa Rica","Total Exports","4029308"
"","Total Imports","781643"
"","Trade Balance","3247665"
"Austria","Total Exports","9413150"
"","Total Imports","6286878"
"","Trade Balance","3126272"
"Pakistan","Total Exports","4731942"
"","Total Imports","1691665"
"","Trade Balance","3040277"
"Nigeria","Total Exports","2743073"
"","Total Imports","10381"
"","Trade Balance","2732692"
"Mozambique","Total Exports","2697724"
"","Total Imports",""
"","Trade Balance","2697724"
"Ireland","Total Exports","8843315"
"","Total Imports","6302606"
"","Trade Balance","2540709"
"Panama","Total Exports","2607629"
"","Total Imports","120147"
"","Trade Balance","2487482"
"Sudan","Total Exports","2487958"
"","Total Imports","2133"
"","Trade Balance","2485825"
"Dominican Republic","Total Exports","2571397"
"","Total Imports","169494"
"","Trade Balance","2401903"
"Uruguay","Total Exports","2329285"
"","Total Imports","84"
"","Trade Balance","2329201"
"Cambodia (Kampuchea)","Total Exports","2098487"
"","Total Imports","29154"
"","Trade Balance","2069333"
"Senegal","Total Exports","2066330"
"","Total Imports","18156"
"","Trade Balance","2048174"
"Slovakia","Total Exports","1758710"
"","Total Imports","39286"
"","Trade Balance","1719424"
"Ghana","Total Exports","1638644"
"","Total Imports","2547"
"","Trade Balance","1636097"
"Lebanon","Total Exports","1602112"
"","Total Imports","2680"
"","Trade Balance","1599432"
"Somalia","Total Exports","1488240"
"","Total Imports",""
"","Trade Balance","1488240"
"Uganda","Total Exports","1432902"
"","Total Imports",""
"","Trade Balance","1432902"
"Angola","Total Exports","1349922"
"","Total Imports",""
"","Trade Balance","1349922"
"Poland","Total Exports","2408515"
"","Total Imports","1104476"
"","Trade Balance","1304039"
"Mauritania","Total Exports","1297019"
"","Total Imports","3466"
"","Trade Balance","1293553"
"Romania","Total Exports","1973352"
"","Total Imports","726185"
"","Trade Balance","1247167"
"Yemen","Total Exports","1436841"
"","Total Imports","222203"
"","Trade Balance","1214638"
"Oman (formerly Muscat and Oman)","Total Exports","1155489"
"","Total Imports",""
"","Trade Balance","1155489"
"Kuwait","Total Exports","1149123"
"","Total Imports",""
"","Trade Balance","1149123"
"Malta","Total Exports","1247001"
"","Total Imports","135669"
"","Trade Balance","1111332"
"Qatar","Total Exports","1082423"
"","Total Imports",""
"","Trade Balance","1082423"
"Bahamas","Total Exports","993325"
"","Total Imports","8520"
"","Trade Balance","984805"
"Honduras","Total Exports","1130680"
"","Total Imports","237017"
"","Trade Balance","893663"
"Czech Republic","Total Exports","2164350"
"","Total Imports","1307467"
"","Trade Balance","856883"
"Trinidad and Tobago","Total Exports","906220"
"","Total Imports","65955"
"","Trade Balance","840265"
"Guatemala","Total Exports","2399643"
"","Total Imports","1570151"
"","Trade Balance","829492"
"Greece","Total Exports","1402092"
"","Total Imports","677255"
"","Trade Balance","724837"
"Barbados","Total Exports","1848635"
"","Total Imports","1273359"
"","Trade Balance","575276"
"Guinea","Total Exports","537251"
"","Total Imports","12"
"","Trade Balance","537239"
"Fiji","Total Exports","573562"
"","Total Imports","42432"
"","Trade Balance","531130"
"Nepal","Total Exports","578735"
