"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"United States","Total Exports","21528483595"
"","Total Imports","5556965425"
"","Trade Balance","15971518170"
"Japan","Total Exports","1822169425"
"","Total Imports","184867118"
"","Trade Balance","1637302307"
"China","Total Exports","682940249"
"","Total Imports","43790671"
"","Trade Balance","639149578"
"Korea, South","Total Exports","535043372"
"","Total Imports","62166106"
"","Trade Balance","472877266"
"Taiwan","Total Exports","272969297"
"","Total Imports","68120168"
"","Trade Balance","204849129"
"Belgium","Total Exports","172757404"
"","Total Imports","7240006"
"","Trade Balance","165517398"
"Brazil","Total Exports","157431861"
"","Total Imports","11329336"
"","Trade Balance","146102525"
"Indonesia","Total Exports","144074725"
"","Total Imports","2863623"
"","Trade Balance","141211102"
"Iran","Total Exports","110232854"
"","Total Imports","672910"
"","Trade Balance","109559944"
"Germany","Total Exports","212298341"
"","Total Imports","105472287"
"","Trade Balance","106826054"
"Mexico","Total Exports","176925118"
"","Total Imports","70488209"
"","Trade Balance","106436909"
"Australia","Total Exports","128921362"
"","Total Imports","27886093"
"","Trade Balance","101035269"
"Thailand","Total Exports","127129965"
"","Total Imports","29547246"
"","Trade Balance","97582719"
"Netherlands","Total Exports","149465847"
"","Total Imports","51918479"
"","Trade Balance","97547368"
"Italy (incl. Vatican City State)","Total Exports","162948918"
"","Total Imports","74654332"
"","Trade Balance","88294586"
"Algeria","Total Exports","80173933"
"","Total Imports","556"
"","Trade Balance","80173377"
"Morocco","Total Exports","74716820"
"","Total Imports","1242842"
"","Trade Balance","73473978"
"Pakistan","Total Exports","53019505"
"","Total Imports","1502027"
"","Trade Balance","51517478"
"Hong Kong","Total Exports","95989494"
"","Total Imports","53230646"
"","Trade Balance","42758848"
"South Africa","Total Exports","41818899"
"","Total Imports","5482547"
"","Trade Balance","36336352"
"Cuba","Total Exports","35125011"
