"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1997"
"Units","Value in  canadian dollars"

"","","1997"
"United States","Total Exports","27093112670"
"","Total Imports","7203711529"
"","Trade Balance","19889401141"
"Japan","Total Exports","1712842801"
"","Total Imports","199150600"
"","Trade Balance","1513692201"
"Korea, South","Total Exports","537812627"
"","Total Imports","78111292"
"","Trade Balance","459701335"
"China","Total Exports","435836126"
"","Total Imports","81697477"
"","Trade Balance","354138649"
"Indonesia","Total Exports","212282010"
"","Total Imports","2671782"
"","Trade Balance","209610228"
"Iran","Total Exports","208187981"
"","Total Imports","1566031"
"","Trade Balance","206621950"
"Taiwan","Total Exports","278330124"
"","Total Imports","78226560"
"","Trade Balance","200103564"
"Netherlands","Total Exports","187479716"
"","Total Imports","50188084"
"","Trade Balance","137291632"
"Brazil","Total Exports","157686126"
"","Total Imports","27263725"
"","Trade Balance","130422401"
"Algeria","Total Exports","104889152"
"","Total Imports","8813"
"","Trade Balance","104880339"
"Belgium","Total Exports","111747961"
"","Total Imports","10100524"
"","Trade Balance","101647437"
"Morocco","Total Exports","96218840"
"","Total Imports","1498138"
"","Trade Balance","94720702"
"Saudi Arabia","Total Exports","87140775"
"","Total Imports","151498"
"","Trade Balance","86989277"
"Hong Kong","Total Exports","105874501"
"","Total Imports","27463592"
"","Trade Balance","78410909"
"Cuba","Total Exports","76363581"
"","Total Imports","110422"
"","Trade Balance","76253159"
"Australia","Total Exports","124704768"
"","Total Imports","50139782"
"","Trade Balance","74564986"
"Pakistan","Total Exports","70873358"
"","Total Imports","2664294"
"","Trade Balance","68209064"
"Mexico","Total Exports","224324772"
"","Total Imports","156867119"
"","Trade Balance","67457653"
"Singapore","Total Exports","87793663"
"","Total Imports","21458966"
"","Trade Balance","66334697"
"Colombia","Total Exports","61058952"
"","Total Imports","1727395"
"","Trade Balance","59331557"
"United Arab Emirates","Total Exports","50516371"
"","Total Imports","463551"
"","Trade Balance","50052820"
"Venezuela","Total Exports","52047741"
"","Total Imports","2239412"
"","Trade Balance","49808329"
"Peru","Total Exports","49259016"
"","Total Imports","862025"
"","Trade Balance","48396991"
"Russia","Total Exports","47796508"
"","Total Imports","1762549"
"","Trade Balance","46033959"
"Philippines","Total Exports","64817668"
"","Total Imports","21355596"
"","Trade Balance","43462072"
"New Zealand","Total Exports","49281628"
"","Total Imports","7135484"
"","Trade Balance","42146144"
"Chile","Total Exports","55461521"
"","Total Imports","15642210"
"","Trade Balance","39819311"
"Argentina","Total Exports","43459268"
"","Total Imports","6524477"
"","Trade Balance","36934791"
"Türkiye","Total Exports","37831725"
"","Total Imports","1474646"
"","Trade Balance","36357079"
"Thailand","Total Exports","66361425"
"","Total Imports","30599182"
"","Trade Balance","35762243"
"Germany","Total Exports","176243730"
"","Total Imports","143138678"
"","Trade Balance","33105052"
"Tunisia","Total Exports","32666993"
"","Total Imports","695123"
"","Trade Balance","31971870"
"Libya","Total Exports","30089308"
"","Total Imports",""
"","Trade Balance","30089308"
"Italy (incl. Vatican City State)","Total Exports","158397264"
"","Total Imports","129192176"
"","Trade Balance","29205088"
"South Africa","Total Exports","40001579"
"","Total Imports","11774064"
"","Trade Balance","28227515"
"Bangladesh","Total Exports","25262208"
"","Total Imports","128280"
"","Trade Balance","25133928"
"India","Total Exports","33484790"
"","Total Imports","9546478"
"","Trade Balance","23938312"
"Austria","Total Exports","31525634"
"","Total Imports","8636875"
"","Trade Balance","22888759"
"Spain","Total Exports","39427283"
"","Total Imports","18523460"
"","Trade Balance","20903823"
"Nigeria","Total Exports","17504403"
"","Total Imports","3826457"
"","Trade Balance","13677946"
"Sudan","Total Exports","11404454"
"","Total Imports","12483"
"","Trade Balance","11391971"
"Guatemala","Total Exports","12620363"
"","Total Imports","1998387"
"","Trade Balance","10621976"
"Costa Rica","Total Exports","12140115"
"","Total Imports","2346559"
"","Trade Balance","9793556"
"Ghana","Total Exports","9727009"
"","Total Imports","9646"
"","Trade Balance","9717363"
"Israel","Total Exports","17416721"
"","Total Imports","8453686"
"","Trade Balance","8963035"
"Benin","Total Exports","8861691"
"","Total Imports","314"
"","Trade Balance","8861377"
