"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1999"
"Units","Value in  canadian dollars"

"","","1999"
"United States","Total Exports","29365661389"
"","Total Imports","7627988314"
"","Trade Balance","21737673075"
"Japan","Total Exports","1329714596"
"","Total Imports","198947476"
"","Trade Balance","1130767120"
"China","Total Exports","559630212"
"","Total Imports","104633155"
"","Trade Balance","454997057"
"Korea, South","Total Exports","502218888"
"","Total Imports","103084081"
"","Trade Balance","399134807"
"Iran","Total Exports","116580525"
"","Total Imports","595728"
"","Trade Balance","115984797"
"Indonesia","Total Exports","110150622"
"","Total Imports","4626507"
"","Trade Balance","105524115"
"Belgium","Total Exports","113639033"
"","Total Imports","15369754"
"","Trade Balance","98269279"
"Netherlands","Total Exports","138767002"
"","Total Imports","51423255"
"","Trade Balance","87343747"
"Brazil","Total Exports","109241113"
"","Total Imports","22926189"
"","Trade Balance","86314924"
"Hong Kong","Total Exports","105557165"
"","Total Imports","23275821"
"","Trade Balance","82281344"
"Algeria","Total Exports","79198815"
"","Total Imports","163554"
"","Trade Balance","79035261"
"Australia","Total Exports","101559105"
"","Total Imports","26253647"
"","Trade Balance","75305458"
"Taiwan","Total Exports","234516490"
"","Total Imports","159433944"
"","Trade Balance","75082546"
"Chile","Total Exports","77046419"
"","Total Imports","12081398"
"","Trade Balance","64965021"
"Venezuela","Total Exports","60806778"
"","Total Imports","2392018"
"","Trade Balance","58414760"
"Morocco","Total Exports","59989588"
"","Total Imports","2505605"
"","Trade Balance","57483983"
"Cuba","Total Exports","56046359"
"","Total Imports","21304"
"","Trade Balance","56025055"
"Bangladesh","Total Exports","56372985"
"","Total Imports","409023"
"","Trade Balance","55963962"
"United Arab Emirates","Total Exports","36549476"
"","Total Imports","292046"
"","Trade Balance","36257430"
"South Africa","Total Exports","47210548"
"","Total Imports","11047649"
"","Trade Balance","36162899"
"Singapore","Total Exports","68241395"
"","Total Imports","36918487"
"","Trade Balance","31322908"
"Colombia","Total Exports","32483611"
"","Total Imports","1582152"
"","Trade Balance","30901459"
"Guatemala","Total Exports","28902261"
"","Total Imports","1242626"
"","Trade Balance","27659635"
"Argentina","Total Exports","29876515"
"","Total Imports","3735009"
"","Trade Balance","26141506"
"New Zealand","Total Exports","39856625"
"","Total Imports","13761258"
"","Trade Balance","26095367"
"Spain","Total Exports","53029308"
"","Total Imports","27585152"
"","Trade Balance","25444156"
"Russia","Total Exports","26474970"
"","Total Imports","1617784"
"","Trade Balance","24857186"
"Peru","Total Exports","27481738"
"","Total Imports","2950244"
"","Trade Balance","24531494"
"Austria","Total Exports","30719846"
"","Total Imports","10131483"
"","Trade Balance","20588363"
"Egypt","Total Exports","16788661"
"","Total Imports","213064"
"","Trade Balance","16575597"
"Libya","Total Exports","16308138"
"","Total Imports","74"
"","Trade Balance","16308064"
"Sudan","Total Exports","16229977"
"","Total Imports","6191"
