"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2004"
"Units","Value in  canadian dollars"

"","","2004"
"United States","Total Exports","56232746044"
"","Total Imports","9587855860"
"","Trade Balance","46644890184"
"China","Total Exports","1923802906"
"","Total Imports","596103340"
"","Trade Balance","1327699566"
"Japan","Total Exports","1308519845"
"","Total Imports","150937008"
"","Trade Balance","1157582837"
"Korea, South","Total Exports","438156043"
"","Total Imports","116672548"
"","Trade Balance","321483495"
"Mexico","Total Exports","707479191"
"","Total Imports","537826711"
"","Trade Balance","169652480"
"Belgium","Total Exports","207534087"
"","Total Imports","39931996"
"","Trade Balance","167602091"
"Netherlands","Total Exports","216595793"
"","Total Imports","56364257"
"","Trade Balance","160231536"
"Singapore","Total Exports","180699732"
"","Total Imports","28939566"
"","Trade Balance","151760166"
"Indonesia","Total Exports","126959147"
"","Total Imports","15927836"
"","Trade Balance","111031311"
"Hong Kong","Total Exports","128113023"
"","Total Imports","21126858"
"","Trade Balance","106986165"
"United Arab Emirates","Total Exports","98195549"
"","Total Imports","1681970"
"","Trade Balance","96513579"
"Venezuela","Total Exports","91705686"
"","Total Imports","4235536"
"","Trade Balance","87470150"
"Russia","Total Exports","86083168"
"","Total Imports","3730294"
"","Trade Balance","82352874"
"Cuba","Total Exports","80376674"
"","Total Imports","154639"
"","Trade Balance","80222035"
"Algeria","Total Exports","73893352"
"","Total Imports","23773"
"","Trade Balance","73869579"
"Philippines","Total Exports","79847972"
"","Total Imports","14209357"
"","Trade Balance","65638615"
"Colombia","Total Exports","60316531"
"","Total Imports","5099072"
"","Trade Balance","55217459"
"Saudi Arabia","Total Exports","55263595"
"","Total Imports","161897"
"","Trade Balance","55101698"
"Libya","Total Exports","51910068"
"","Total Imports","2540"
"","Trade Balance","51907528"
"Taiwan","Total Exports","193496713"
"","Total Imports","143527787"
"","Trade Balance","49968926"
"Greece","Total Exports","51010904"
"","Total Imports","1635235"
"","Trade Balance","49375669"
"Spain","Total Exports","85010952"
"","Total Imports","39410443"
"","Trade Balance","45600509"
"Kazakhstan","Total Exports","42730219"
"","Total Imports","110985"
"","Trade Balance","42619234"
"Brazil","Total Exports","89771148"
"","Total Imports","49888046"
"","Trade Balance","39883102"
"Australia","Total Exports","144501567"
"","Total Imports","104686392"
"","Trade Balance","39815175"
"Morocco","Total Exports","38024378"
"","Total Imports","375047"
"","Trade Balance","37649331"
"Iran","Total Exports","37564940"
"","Total Imports","863289"
"","Trade Balance","36701651"
"Sudan","Total Exports","31026275"
"","Total Imports","1779"
"","Trade Balance","31024496"
"Pakistan","Total Exports","34934644"
"","Total Imports","4575708"
"","Trade Balance","30358936"
"Ecuador","Total Exports","42818953"
"","Total Imports","14181549"
"","Trade Balance","28637404"
"Yemen","Total Exports","27880483"
"","Total Imports","17900"
"","Trade Balance","27862583"
"New Zealand","Total Exports","36513213"
"","Total Imports","11330877"
"","Trade Balance","25182336"
"Macau (Macao)","Total Exports","24609943"
"","Total Imports","436660"
"","Trade Balance","24173283"
"Nigeria","Total Exports","22616944"
"","Total Imports","23172"
"","Trade Balance","22593772"
"Dominican Republic","Total Exports","24024506"
"","Total Imports","1500172"
"","Trade Balance","22524334"
"Bangladesh","Total Exports","22342632"
"","Total Imports","2098161"
"","Trade Balance","20244471"
"Jamaica","Total Exports","20428497"
"","Total Imports","715081"
"","Trade Balance","19713416"
"Peru","Total Exports","21853663"
"","Total Imports","2646410"
"","Trade Balance","19207253"
"Israel","Total Exports","34463022"
"","Total Imports","15319283"
"","Trade Balance","19143739"
"Norway","Total Exports","24859942"
"","Total Imports","7294810"
"","Trade Balance","17565132"
"Kuwait","Total Exports","16555669"
"","Total Imports","2777"
"","Trade Balance","16552892"
"Turkmenistan","Total Exports","16563949"
"","Total Imports","51968"
"","Trade Balance","16511981"
"Oman (formerly Muscat and Oman)","Total Exports","15986798"
"","Total Imports","76297"
"","Trade Balance","15910501"
"Guatemala","Total Exports","31306855"
"","Total Imports","17593398"
"","Trade Balance","13713457"
"Chile","Total Exports","43339426"
"","Total Imports","29698383"
"","Trade Balance","13641043"
"Egypt","Total Exports","13950588"
"","Total Imports","526877"
"","Trade Balance","13423711"
"Ghana","Total Exports","13381385"
"","Total Imports","30003"
"","Trade Balance","13351382"
"Trinidad and Tobago","Total Exports","9476225"
"","Total Imports","133232"
"","Trade Balance","9342993"
"Türkiye","Total Exports","15004806"
"","Total Imports","6363530"
"","Trade Balance","8641276"
"South Africa","Total Exports","30861503"
"","Total Imports","23247875"
"","Trade Balance","7613628"
"Qatar","Total Exports","7490217"
"","Total Imports","44741"
"","Trade Balance","7445476"
"Panama","Total Exports","6969516"
"","Total Imports","54904"
"","Trade Balance","6914612"
"Azerbaijan","Total Exports","6175085"
"","Total Imports","572"
"","Trade Balance","6174513"
"Gabon","Total Exports","6035246"
"","Total Imports","2115"
"","Trade Balance","6033131"
"Korea, North","Total Exports","6002034"
"","Total Imports","160"
"","Trade Balance","6001874"
"Angola","Total Exports","5644931"
"","Total Imports","4394"
"","Trade Balance","5640537"
"Malta","Total Exports","5745192"
"","Total Imports","242543"
"","Trade Balance","5502649"
"Bahrain","Total Exports","5268229"
"","Total Imports","8865"
"","Trade Balance","5259364"
"Mozambique","Total Exports","4924973"
"","Total Imports","74"
"","Trade Balance","4924899"
"Sri Lanka","Total Exports","7601120"
"","Total Imports","2754924"
"","Trade Balance","4846196"
"Iceland","Total Exports","4790485"
"","Total Imports","25918"
"","Trade Balance","4764567"
"Costa Rica","Total Exports","7731735"
"","Total Imports","3291266"
"","Trade Balance","4440469"
"Slovenia","Total Exports","5701489"
"","Total Imports","1593720"
"","Trade Balance","4107769"
"North Macedonia","Total Exports","3748941"
"","Total Imports","413"
"","Trade Balance","3748528"
"Poland","Total Exports","8944585"
"","Total Imports","5308222"
"","Trade Balance","3636363"
"Tunisia","Total Exports","3344781"
"","Total Imports","39608"
"","Trade Balance","3305173"
"Maldives","Total Exports","3302889"
"","Total Imports","11"
"","Trade Balance","3302878"
"Chad","Total Exports","3311912"
"","Total Imports","27720"
"","Trade Balance","3284192"
"Tanzania","Total Exports","3236905"
"","Total Imports","9648"
"","Trade Balance","3227257"
"Congo (formerly Brazzaville)","Total Exports","2811315"
"","Total Imports","39527"
"","Trade Balance","2771788"
"Cameroon","Total Exports","2582057"
"","Total Imports","11847"
"","Trade Balance","2570210"
"Gibraltar","Total Exports","2326009"
"","Total Imports","9038"
"","Trade Balance","2316971"
"Antarctica","Total Exports","2261822"
"","Total Imports",""
"","Trade Balance","2261822"
"Cyprus","Total Exports","2241335"
"","Total Imports","2753"
"","Trade Balance","2238582"
"Iraq","Total Exports","2042350"
"","Total Imports","2633"
"","Trade Balance","2039717"
"Bolivia","Total Exports","2491765"
"","Total Imports","543745"
"","Trade Balance","1948020"
"Ethiopia","Total Exports","1910648"
"","Total Imports","2102"
"","Trade Balance","1908546"
"Papua New Guinea","Total Exports","1813032"
"","Total Imports","1175"
"","Trade Balance","1811857"
"Nicaragua","Total Exports","1923383"
"","Total Imports","140634"
"","Trade Balance","1782749"
"El Salvador","Total Exports","2047539"
"","Total Imports","370242"
"","Trade Balance","1677297"
"Moldova","Total Exports","1610937"
"","Total Imports","57629"
"","Trade Balance","1553308"
"Myanmar (Burma)","Total Exports","1645835"
"","Total Imports","142659"
"","Trade Balance","1503176"
"Netherlands Antilles","Total Exports","1433692"
"","Total Imports","26057"
"","Trade Balance","1407635"
"Greenland","Total Exports","1304795"
"","Total Imports",""
"","Trade Balance","1304795"
"Latvia","Total Exports","1475967"
"","Total Imports","214895"
"","Trade Balance","1261072"
"Syria","Total Exports","1442093"
"","Total Imports","194231"
"","Trade Balance","1247862"
"Barbados","Total Exports","1400055"
"","Total Imports","256154"
"","Trade Balance","1143901"
"Côte-d'Ivoire","Total Exports","1239619"
"","Total Imports","103130"
"","Trade Balance","1136489"
"Togo","Total Exports","1097782"
"","Total Imports","2379"
"","Trade Balance","1095403"
"Kyrgyzstan","Total Exports","1088941"
"","Total Imports","135"
"","Trade Balance","1088806"
"Dominica","Total Exports","1104371"
"","Total Imports","30021"
"","Trade Balance","1074350"
"Equatorial Guinea","Total Exports","1066660"
"","Total Imports",""
"","Trade Balance","1066660"
"Brunei Darussalam","Total Exports","1003017"
"","Total Imports","21705"
"","Trade Balance","981312"
"Ukraine","Total Exports","1808085"
"","Total Imports","832879"
"","Trade Balance","975206"
"Albania","Total Exports","903862"
"","Total Imports","1667"
"","Trade Balance","902195"
"Georgia","Total Exports","855181"
"","Total Imports","86"
"","Trade Balance","855095"
"Bermuda","Total Exports","905263"
"","Total Imports","54048"
"","Trade Balance","851215"
"Cayman Islands","Total Exports","912804"
"","Total Imports","75299"
"","Trade Balance","837505"
"Jordan","Total Exports","706796"
"","Total Imports","13158"
"","Trade Balance","693638"
"Mongolia","Total Exports","686392"
"","Total Imports","547"
"","Trade Balance","685845"
"Guyana","Total Exports","848615"
"","Total Imports","179741"
"","Trade Balance","668874"
"Kenya","Total Exports","737614"
"","Total Imports","145330"
"","Trade Balance","592284"
"French Polynesia","Total Exports","604317"
"","Total Imports","13211"
"","Trade Balance","591106"
"Afghanistan","Total Exports","592676"
"","Total Imports","23887"
"","Trade Balance","568789"
"Antigua and Barbuda","Total Exports","530598"
"","Total Imports","5678"
"","Trade Balance","524920"
"Aruba","Total Exports","511179"
"","Total Imports","844"
"","Trade Balance","510335"
"Bulgaria","Total Exports","1421530"
"","Total Imports","950014"
"","Trade Balance","471516"
"Turks and Caicos Islands","Total Exports","464184"
"","Total Imports","2620"
"","Trade Balance","461564"
"Uganda","Total Exports","437699"
"","Total Imports","1631"
"","Trade Balance","436068"
"Mauritania","Total Exports","443668"
"","Total Imports","8722"
"","Trade Balance","434946"
"Djibouti","Total Exports","377747"
"","Total Imports",""
"","Trade Balance","377747"
"Senegal","Total Exports","373787"
"","Total Imports","18232"
"","Trade Balance","355555"
"Bahamas","Total Exports","342239"
"","Total Imports","27819"
"","Trade Balance","314420"
"Saint Lucia","Total Exports","307185"
"","Total Imports","6449"
"","Trade Balance","300736"
"Guam","Total Exports","551024"
"","Total Imports","257527"
"","Trade Balance","293497"
"Lebanon","Total Exports","644128"
"","Total Imports","373267"
"","Trade Balance","270861"
"Congo (formerly Zaire)","Total Exports","259386"
"","Total Imports","448"
"","Trade Balance","258938"
"Malawi","Total Exports","213699"
"","Total Imports","5853"
"","Trade Balance","207846"
