"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2005"
"Units","Value in  canadian dollars"

"","","2005"
"United States","Total Exports","68657126402"
"","Total Imports","11546915077"
"","Trade Balance","57110211325"
"Japan","Total Exports","1347026869"
"","Total Imports","223003679"
"","Trade Balance","1124023190"
"China","Total Exports","2049694666"
"","Total Imports","1000082824"
"","Trade Balance","1049611842"
"Korea, South","Total Exports","556366197"
"","Total Imports","157183563"
"","Trade Balance","399182634"
"Belgium","Total Exports","215569973"
"","Total Imports","38650208"
"","Trade Balance","176919765"
"Netherlands","Total Exports","216317006"
"","Total Imports","85687762"
"","Trade Balance","130629244"
"Hong Kong","Total Exports","144030164"
"","Total Imports","18233153"
"","Trade Balance","125797011"
"Singapore","Total Exports","149490499"
"","Total Imports","26127434"
"","Trade Balance","123363065"
"Indonesia","Total Exports","129942902"
"","Total Imports","15541223"
"","Trade Balance","114401679"
"Cuba","Total Exports","111129770"
"","Total Imports","467753"
"","Trade Balance","110662017"
"Australia","Total Exports","183233409"
"","Total Imports","83065139"
"","Trade Balance","100168270"
"Russia","Total Exports","105707190"
"","Total Imports","8756064"
"","Trade Balance","96951126"
"Iran","Total Exports","87508668"
"","Total Imports","587851"
"","Trade Balance","86920817"
"United Arab Emirates","Total Exports","89339595"
"","Total Imports","3085605"
"","Trade Balance","86253990"
"Venezuela","Total Exports","85436087"
"","Total Imports","9935030"
"","Trade Balance","75501057"
"Algeria","Total Exports","64394900"
"","Total Imports","25353"
"","Trade Balance","64369547"
"Spain","Total Exports","104879174"
"","Total Imports","45023534"
"","Trade Balance","59855640"
"Saudi Arabia","Total Exports","60049550"
"","Total Imports","262610"
"","Trade Balance","59786940"
"Sudan","Total Exports","57336931"
"","Total Imports","8167"
"","Trade Balance","57328764"
"Peru","Total Exports","55263383"
"","Total Imports","3289796"
"","Trade Balance","51973587"
"Taiwan","Total Exports","199951285"
"","Total Imports","151697005"
"","Trade Balance","48254280"
"Guatemala","Total Exports","64509774"
"","Total Imports","19059167"
"","Trade Balance","45450607"
"Kazakhstan","Total Exports","45256776"
"","Total Imports","625"
"","Trade Balance","45256151"
"Kuwait","Total Exports","43889579"
"","Total Imports","4764"
"","Trade Balance","43884815"
"New Zealand","Total Exports","55791435"
"","Total Imports","16015074"
"","Trade Balance","39776361"
"Colombia","Total Exports","46462895"
"","Total Imports","9840943"
"","Trade Balance","36621952"
"Yemen","Total Exports","36296314"
"","Total Imports","13682"
"","Trade Balance","36282632"
"Libya","Total Exports","36102507"
"","Total Imports",""
"","Trade Balance","36102507"
"Pakistan","Total Exports","40569296"
"","Total Imports","5947375"
"","Trade Balance","34621921"
"Vietnam","Total Exports","48575700"
"","Total Imports","14588530"
"","Trade Balance","33987170"
"Ecuador","Total Exports","43463079"
"","Total Imports","10254337"
"","Trade Balance","33208742"
"Sri Lanka","Total Exports","36240220"
"","Total Imports","3121547"
"","Trade Balance","33118673"
"Chile","Total Exports","64229453"
"","Total Imports","31258396"
"","Trade Balance","32971057"
"Turkmenistan","Total Exports","33109473"
"","Total Imports","349133"
"","Trade Balance","32760340"
"Philippines","Total Exports","38118260"
"","Total Imports","12899374"
"","Trade Balance","25218886"
"Egypt","Total Exports","26597421"
"","Total Imports","1584681"
"","Trade Balance","25012740"
"Morocco","Total Exports","24477715"
"","Total Imports","249097"
"","Trade Balance","24228618"
"Norway","Total Exports","37230360"
"","Total Imports","13038189"
"","Trade Balance","24192171"
"Nigeria","Total Exports","21678077"
"","Total Imports","5351"
"","Trade Balance","21672726"
"Macau (Macao)","Total Exports","20905903"
"","Total Imports","310812"
"","Trade Balance","20595091"
"Ghana","Total Exports","16137929"
"","Total Imports","22892"
"","Trade Balance","16115037"
"Jamaica","Total Exports","16642879"
"","Total Imports","841670"
"","Trade Balance","15801209"
"Azerbaijan","Total Exports","12744911"
"","Total Imports",""
"","Trade Balance","12744911"
"Oman (formerly Muscat and Oman)","Total Exports","12431170"
"","Total Imports","54731"
"","Trade Balance","12376439"
"Dominican Republic","Total Exports","12057363"
"","Total Imports","1358927"
"","Trade Balance","10698436"
"Bangladesh","Total Exports","17199013"
"","Total Imports","7079764"
"","Trade Balance","10119249"
"Trinidad and Tobago","Total Exports","9494103"
"","Total Imports","466798"
"","Trade Balance","9027305"
"Qatar","Total Exports","8533272"
"","Total Imports","54463"
"","Trade Balance","8478809"
"Greece","Total Exports","11177779"
"","Total Imports","2865065"
"","Trade Balance","8312714"
"South Africa","Total Exports","40040198"
"","Total Imports","32145211"
"","Trade Balance","7894987"
"Syria","Total Exports","7324353"
"","Total Imports","167774"
"","Trade Balance","7156579"
"Bahrain","Total Exports","6723380"
"","Total Imports","391"
"","Trade Balance","6722989"
"Tunisia","Total Exports","5960973"
"","Total Imports","121008"
"","Trade Balance","5839965"
"Brazil","Total Exports","59988650"
"","Total Imports","54964330"
"","Trade Balance","5024320"
"Maldives","Total Exports","4657647"
"","Total Imports","289"
"","Trade Balance","4657358"
"Ethiopia","Total Exports","4533356"
"","Total Imports","43635"
"","Trade Balance","4489721"
"Bolivia","Total Exports","4684320"
"","Total Imports","217002"
"","Trade Balance","4467318"
"Chad","Total Exports","4402293"
"","Total Imports","1213"
"","Trade Balance","4401080"
"Cameroon","Total Exports","4485825"
"","Total Imports","205388"
"","Trade Balance","4280437"
"Korea, North","Total Exports","3631993"
"","Total Imports","483"
"","Trade Balance","3631510"
"Albania","Total Exports","3461092"
"","Total Imports","1403"
"","Trade Balance","3459689"
"Iceland","Total Exports","3623087"
"","Total Imports","230530"
"","Trade Balance","3392557"
"Mozambique","Total Exports","3238166"
"","Total Imports","1879"
"","Trade Balance","3236287"
"Honduras","Total Exports","4749440"
"","Total Imports","1593127"
"","Trade Balance","3156313"
"Angola","Total Exports","3089304"
"","Total Imports","5602"
"","Trade Balance","3083702"
"Aruba","Total Exports","2904433"
"","Total Imports",""
"","Trade Balance","2904433"
"Cayman Islands","Total Exports","2902181"
"","Total Imports","5361"
"","Trade Balance","2896820"
"Barbados","Total Exports","3059176"
"","Total Imports","175569"
"","Trade Balance","2883607"
"Tanzania","Total Exports","2882611"
"","Total Imports","46907"
"","Trade Balance","2835704"
"Congo (formerly Brazzaville)","Total Exports","2739997"
"","Total Imports","617"
"","Trade Balance","2739380"
"Gibraltar","Total Exports","2678198"
"","Total Imports",""
"","Trade Balance","2678198"
"Togo","Total Exports","2669121"
"","Total Imports","3627"
"","Trade Balance","2665494"
"Türkiye","Total Exports","10462903"
"","Total Imports","8055022"
"","Trade Balance","2407881"
"Greenland","Total Exports","2201887"
"","Total Imports","31821"
"","Trade Balance","2170066"
"Iraq","Total Exports","2151712"
"","Total Imports","2415"
"","Trade Balance","2149297"
"Antarctica","Total Exports","2115830"
"","Total Imports",""
"","Trade Balance","2115830"
"Afghanistan","Total Exports","2054579"
"","Total Imports","42197"
"","Trade Balance","2012382"
"Bahamas","Total Exports","2005444"
"","Total Imports","2389"
"","Trade Balance","2003055"
"Kenya","Total Exports","2151362"
"","Total Imports","210373"
"","Trade Balance","1940989"
"Jordan","Total Exports","1772769"
"","Total Imports","75203"
"","Trade Balance","1697566"
"Latvia","Total Exports","1926002"
"","Total Imports","246237"
"","Trade Balance","1679765"
"Guyana","Total Exports","1755132"
"","Total Imports","153010"
"","Trade Balance","1602122"
"Gabon","Total Exports","1603353"
"","Total Imports","5595"
"","Trade Balance","1597758"
"Lithuania","Total Exports","3082208"
"","Total Imports","1494326"
"","Trade Balance","1587882"
"Bermuda","Total Exports","1639745"
"","Total Imports","56591"
"","Trade Balance","1583154"
"Malta","Total Exports","1940168"
"","Total Imports","411273"
"","Trade Balance","1528895"
"Papua New Guinea","Total Exports","1356663"
"","Total Imports","82173"
"","Trade Balance","1274490"
"Luxembourg","Total Exports","1477554"
"","Total Imports","342146"
"","Trade Balance","1135408"
"Costa Rica","Total Exports","9402595"
"","Total Imports","8314181"
"","Trade Balance","1088414"
"Croatia","Total Exports","1419876"
"","Total Imports","332664"
"","Trade Balance","1087212"
"Netherlands Antilles","Total Exports","1099617"
"","Total Imports","26316"
"","Trade Balance","1073301"
"Ukraine","Total Exports","6351633"
"","Total Imports","5323244"
"","Trade Balance","1028389"
"Cyprus","Total Exports","1023248"
