"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2008"
"Units","Value in  canadian dollars"

"","","2008"
"United States","Total Exports","96687727035"
"","Total Imports","15376751966"
"","Trade Balance","81310975069"
"Japan","Total Exports","2039513963"
"","Total Imports","300780671"
"","Trade Balance","1738733292"
"China","Total Exports","3140796887"
"","Total Imports","1633017083"
"","Trade Balance","1507779804"
"Brazil","Total Exports","480332817"
"","Total Imports","79818597"
"","Trade Balance","400514220"
"Australia","Total Exports","451427244"
"","Total Imports","97948547"
"","Trade Balance","353478697"
"Korea, South","Total Exports","526581302"
"","Total Imports","214087262"
"","Trade Balance","312494040"
"Indonesia","Total Exports","329758885"
"","Total Imports","17780935"
"","Trade Balance","311977950"
"Netherlands","Total Exports","359219614"
"","Total Imports","83577013"
"","Trade Balance","275642601"
"Mexico","Total Exports","1112320418"
"","Total Imports","850055878"
"","Trade Balance","262264540"
"United Arab Emirates","Total Exports","249409147"
"","Total Imports","3833901"
"","Trade Balance","245575246"
"Russia","Total Exports","248752765"
"","Total Imports","16246210"
"","Trade Balance","232506555"
"Iran","Total Exports","203411366"
"","Total Imports","354858"
"","Trade Balance","203056508"
"South Africa","Total Exports","233868831"
"","Total Imports","40937481"
"","Trade Balance","192931350"
"Singapore","Total Exports","228601256"
"","Total Imports","42978751"
"","Trade Balance","185622505"
"Saudi Arabia","Total Exports","181953349"
"","Total Imports","351047"
"","Trade Balance","181602302"
"Pakistan","Total Exports","169064947"
"","Total Imports","10828932"
"","Trade Balance","158236015"
"Belgium","Total Exports","181037655"
"","Total Imports","40005905"
"","Trade Balance","141031750"
"Algeria","Total Exports","137462845"
"","Total Imports","10404"
"","Trade Balance","137452441"
"Cuba","Total Exports","130748665"
"","Total Imports","15320"
"","Trade Balance","130733345"
"Venezuela","Total Exports","165319941"
"","Total Imports","37931178"
"","Trade Balance","127388763"
"Sri Lanka","Total Exports","127870024"
"","Total Imports","4407014"
"","Trade Balance","123463010"
"Kazakhstan","Total Exports","118093002"
"","Total Imports","12765"
"","Trade Balance","118080237"
"Colombia","Total Exports","115952440"
"","Total Imports","1308893"
"","Trade Balance","114643547"
"Hong Kong","Total Exports","122666719"
"","Total Imports","16507286"
"","Trade Balance","106159433"
"Chile","Total Exports","150434833"
"","Total Imports","48131226"
"","Trade Balance","102303607"
"Egypt","Total Exports","96239196"
"","Total Imports","1080911"
"","Trade Balance","95158285"
"Sudan","Total Exports","84084292"
"","Total Imports","4666"
"","Trade Balance","84079626"
"Oman (formerly Muscat and Oman)","Total Exports","81933364"
"","Total Imports","46362"
"","Trade Balance","81887002"
"New Zealand","Total Exports","89581807"
"","Total Imports","16699425"
"","Trade Balance","72882382"
"Kuwait","Total Exports","72630963"
"","Total Imports","2225397"
"","Trade Balance","70405566"
"Peru","Total Exports","73024950"
"","Total Imports","2979670"
"","Trade Balance","70045280"
"Bangladesh","Total Exports","68981007"
"","Total Imports","3858197"
"","Trade Balance","65122810"
"Philippines","Total Exports","74229577"
"","Total Imports","11148122"
"","Trade Balance","63081455"
"Iraq","Total Exports","59853245"
"","Total Imports","483"
"","Trade Balance","59852762"
"Israel","Total Exports","84426208"
"","Total Imports","40885598"
"","Trade Balance","43540610"
"Taiwan","Total Exports","238586606"
"","Total Imports","195135117"
"","Trade Balance","43451489"
"Libya","Total Exports","42876099"
"","Total Imports","12644"
"","Trade Balance","42863455"
"Morocco","Total Exports","38707503"
"","Total Imports","738820"
"","Trade Balance","37968683"
"Ghana","Total Exports","35706449"
"","Total Imports","144108"
"","Trade Balance","35562341"
"Vietnam","Total Exports","61515296"
"","Total Imports","26685298"
"","Trade Balance","34829998"
"Jamaica","Total Exports","31253422"
"","Total Imports","1282817"
"","Trade Balance","29970605"
"Slovakia","Total Exports","33258681"
"","Total Imports","4834768"
"","Trade Balance","28423913"
"Türkiye","Total Exports","44591495"
"","Total Imports","16558316"
"","Trade Balance","28033179"
"Macau (Macao)","Total Exports","27810166"
"","Total Imports","291027"
"","Trade Balance","27519139"
"Albania","Total Exports","26132304"
"","Total Imports","157217"
"","Trade Balance","25975087"
"Ecuador","Total Exports","51374860"
"","Total Imports","28235798"
"","Trade Balance","23139062"
"Yemen","Total Exports","21280129"
"","Total Imports","71158"
"","Trade Balance","21208971"
"Gabon","Total Exports","20813237"
"","Total Imports","8604"
"","Trade Balance","20804633"
"Ethiopia","Total Exports","20276920"
"","Total Imports","56586"
"","Trade Balance","20220334"
"Turkmenistan","Total Exports","16526392"
"","Total Imports","25425"
"","Trade Balance","16500967"
"Tunisia","Total Exports","16257936"
"","Total Imports","198942"
"","Trade Balance","16058994"
"Bolivia","Total Exports","15352594"
"","Total Imports","407277"
"","Trade Balance","14945317"
"Norway","Total Exports","44727800"
"","Total Imports","29917930"
"","Trade Balance","14809870"
"Nigeria","Total Exports","13737495"
"","Total Imports","68391"
"","Trade Balance","13669104"
"Qatar","Total Exports","11949470"
"","Total Imports","73783"
"","Trade Balance","11875687"
"Angola","Total Exports","11379342"
"","Total Imports","5219"
"","Trade Balance","11374123"
"Syria","Total Exports","10825678"
"","Total Imports","189038"
"","Trade Balance","10636640"
"New Caledonia","Total Exports","9759841"
"","Total Imports","17414"
"","Trade Balance","9742427"
"Azerbaijan","Total Exports","9508746"
"","Total Imports","9543"
"","Trade Balance","9499203"
"Spain","Total Exports","49769032"
"","Total Imports","40534341"
"","Trade Balance","9234691"
"Congo (formerly Brazzaville)","Total Exports","9529137"
"","Total Imports","811758"
"","Trade Balance","8717379"
"Trinidad and Tobago","Total Exports","13944234"
"","Total Imports","5476117"
"","Trade Balance","8468117"
"El Salvador","Total Exports","8519902"
"","Total Imports","295596"
"","Trade Balance","8224306"
"Dominican Republic","Total Exports","9327408"
"","Total Imports","1178313"
"","Trade Balance","8149095"
"Ukraine","Total Exports","11624678"
"","Total Imports","4174464"
"","Trade Balance","7450214"
"Kenya","Total Exports","6694778"
"","Total Imports","342327"
"","Trade Balance","6352451"
"Cameroon","Total Exports","6203075"
"","Total Imports","165477"
"","Trade Balance","6037598"
"Luxembourg","Total Exports","4553680"
"","Total Imports","382096"
"","Trade Balance","4171584"
"Togo","Total Exports","4131686"
"","Total Imports","4591"
"","Trade Balance","4127095"
"Botswana","Total Exports","4105876"
"","Total Imports",""
"","Trade Balance","4105876"
"Greece","Total Exports","9140735"
"","Total Imports","5127058"
"","Trade Balance","4013677"
"Chad","Total Exports","3955820"
"","Total Imports","22"
"","Trade Balance","3955798"
"Tanzania","Total Exports","3816460"
"","Total Imports","90182"
"","Trade Balance","3726278"
"Papua New Guinea","Total Exports","3753132"
"","Total Imports","52953"
"","Trade Balance","3700179"
"Bahrain","Total Exports","3625635"
"","Total Imports","70936"
"","Trade Balance","3554699"
"Senegal","Total Exports","3509422"
"","Total Imports","875"
"","Trade Balance","3508547"
"Madagascar","Total Exports","3804599"
"","Total Imports","587619"
"","Trade Balance","3216980"
"Honduras","Total Exports","5635921"
"","Total Imports","2516271"
"","Trade Balance","3119650"
"Korea, North","Total Exports","2753456"
"","Total Imports","675"
"","Trade Balance","2752781"
"Guyana","Total Exports","3055770"
"","Total Imports","316942"
"","Trade Balance","2738828"
"British Virgin Islands","Total Exports","3428528"
"","Total Imports","788887"
"","Trade Balance","2639641"
"Côte-d'Ivoire","Total Exports","2580124"
"","Total Imports","29162"
"","Trade Balance","2550962"
"Iceland","Total Exports","2834318"
"","Total Imports","305007"
"","Trade Balance","2529311"
"Latvia","Total Exports","2862501"
"","Total Imports","494689"
"","Trade Balance","2367812"
"Hungary","Total Exports","9036499"
"","Total Imports","6716944"
"","Trade Balance","2319555"
"Haiti","Total Exports","2360342"
"","Total Imports","119999"
"","Trade Balance","2240343"
"Maldives","Total Exports","2095122"
"","Total Imports","51189"
"","Trade Balance","2043933"
"Cayman Islands","Total Exports","1900083"
"","Total Imports","353"
"","Trade Balance","1899730"
"Kyrgyzstan","Total Exports","1833160"
"","Total Imports","6442"
"","Trade Balance","1826718"
"Mozambique","Total Exports","1770605"
"","Total Imports","3496"
"","Trade Balance","1767109"
"Panama","Total Exports","1666078"
"","Total Imports","78183"
"","Trade Balance","1587895"
"Uzbekistan","Total Exports","1541236"
"","Total Imports","3648"
