"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2009"
"Units","Value in  canadian dollars"

"","","2009"
"United States","Total Exports","58913594298"
"","Total Imports","11817952426"
"","Trade Balance","47095641872"
"Japan","Total Exports","1511166811"
"","Total Imports","223508931"
"","Trade Balance","1287657880"
"China","Total Exports","2722576359"
"","Total Imports","1613263567"
"","Trade Balance","1109312792"
"Korea, South","Total Exports","537320369"
"","Total Imports","180519674"
"","Trade Balance","356800695"
"Mexico","Total Exports","1045996979"
"","Total Imports","759456801"
"","Trade Balance","286540178"
"Netherlands","Total Exports","306336783"
"","Total Imports","65492111"
"","Trade Balance","240844672"
"Russia","Total Exports","257500687"
"","Total Imports","39442197"
"","Trade Balance","218058490"
"Saudi Arabia","Total Exports","208883569"
"","Total Imports","474688"
"","Trade Balance","208408881"
"Singapore","Total Exports","242259056"
"","Total Imports","44140375"
"","Trade Balance","198118681"
"United Arab Emirates","Total Exports","197070350"
"","Total Imports","1831522"
"","Trade Balance","195238828"
"Iraq","Total Exports","194733429"
"","Total Imports","4252"
"","Trade Balance","194729177"
"Indonesia","Total Exports","189298538"
"","Total Imports","17574057"
"","Trade Balance","171724481"
"Australia","Total Exports","270535868"
"","Total Imports","117769294"
"","Trade Balance","152766574"
"Brazil","Total Exports","190914034"
"","Total Imports","64171960"
"","Trade Balance","126742074"
"Oman (formerly Muscat and Oman)","Total Exports","126114458"
"","Total Imports","45995"
"","Trade Balance","126068463"
"Venezuela","Total Exports","129726756"
"","Total Imports","8970078"
"","Trade Balance","120756678"
"Colombia","Total Exports","127776212"
"","Total Imports","7615356"
"","Trade Balance","120160856"
"Bangladesh","Total Exports","121026635"
"","Total Imports","4739811"
"","Trade Balance","116286824"
"Iran","Total Exports","115413915"
"","Total Imports","510277"
"","Trade Balance","114903638"
"Peru","Total Exports","114951042"
"","Total Imports","4424379"
"","Trade Balance","110526663"
"Sri Lanka","Total Exports","99054957"
"","Total Imports","4232300"
"","Trade Balance","94822657"
"Algeria","Total Exports","85547554"
"","Total Imports","1870"
"","Trade Balance","85545684"
"Hong Kong","Total Exports","102913459"
"","Total Imports","17659132"
"","Trade Balance","85254327"
"Philippines","Total Exports","91664130"
"","Total Imports","9730155"
"","Trade Balance","81933975"
"Pakistan","Total Exports","86036880"
"","Total Imports","7352751"
"","Trade Balance","78684129"
"Malaysia","Total Exports","139815260"
"","Total Imports","62045051"
"","Trade Balance","77770209"
"Libya","Total Exports","71998954"
"","Total Imports","958"
"","Trade Balance","71997996"
"Chile","Total Exports","115514237"
"","Total Imports","60716488"
"","Trade Balance","54797749"
"Belgium","Total Exports","87631349"
"","Total Imports","34015564"
"","Trade Balance","53615785"
"Morocco","Total Exports","50858548"
"","Total Imports","1524485"
"","Trade Balance","49334063"
"New Zealand","Total Exports","64387105"
"","Total Imports","17215775"
"","Trade Balance","47171330"
"Egypt","Total Exports","47486994"
"","Total Imports","990593"
"","Trade Balance","46496401"
"Cuba","Total Exports","42254830"
"","Total Imports","60742"
"","Trade Balance","42194088"
"Sudan","Total Exports","39474727"
"","Total Imports","5146"
"","Trade Balance","39469581"
"Ecuador","Total Exports","87112322"
"","Total Imports","48451540"
"","Trade Balance","38660782"
"Nigeria","Total Exports","37755976"
"","Total Imports","31965"
"","Trade Balance","37724011"
"Kazakhstan","Total Exports","35476633"
"","Total Imports","3378"
"","Trade Balance","35473255"
"Ghana","Total Exports","35233037"
"","Total Imports","1101529"
"","Trade Balance","34131508"
"Guatemala","Total Exports","39141948"
"","Total Imports","10512227"
"","Trade Balance","28629721"
"Kuwait","Total Exports","27319079"
"","Total Imports","19704"
"","Trade Balance","27299375"
"India","Total Exports","126566089"
"","Total Imports","99519938"
"","Trade Balance","27046151"
"Tunisia","Total Exports","28131229"
"","Total Imports","1542054"
"","Trade Balance","26589175"
"Norway","Total Exports","46116926"
"","Total Imports","21790886"
"","Trade Balance","24326040"
"Gabon","Total Exports","22329851"
"","Total Imports","274"
"","Trade Balance","22329577"
"Angola","Total Exports","16700418"
"","Total Imports","187754"
"","Trade Balance","16512664"
"Yemen","Total Exports","14014602"
"","Total Imports","15125"
"","Trade Balance","13999477"
"Trinidad and Tobago","Total Exports","16175192"
"","Total Imports","2404557"
"","Trade Balance","13770635"
"Syria","Total Exports","13750791"
"","Total Imports","149141"
"","Trade Balance","13601650"
"Albania","Total Exports","13585819"
"","Total Imports","55320"
"","Trade Balance","13530499"
"Congo (formerly Brazzaville)","Total Exports","14087743"
"","Total Imports","818698"
"","Trade Balance","13269045"
"Dominican Republic","Total Exports","15081559"
"","Total Imports","1886110"
"","Trade Balance","13195449"
"Afghanistan","Total Exports","13386340"
"","Total Imports","209387"
"","Trade Balance","13176953"
"Cameroon","Total Exports","9937243"
"","Total Imports","98149"
"","Trade Balance","9839094"
"Qatar","Total Exports","10099772"
"","Total Imports","1290656"
"","Trade Balance","8809116"
"Azerbaijan","Total Exports","8916764"
"","Total Imports","268900"
"","Trade Balance","8647864"
"Jamaica","Total Exports","9872751"
"","Total Imports","1263890"
"","Trade Balance","8608861"
"Spain","Total Exports","44780329"
"","Total Imports","36337053"
"","Trade Balance","8443276"
"Türkiye","Total Exports","25072485"
"","Total Imports","16804834"
"","Trade Balance","8267651"
"Madagascar","Total Exports","7982289"
"","Total Imports","109728"
"","Trade Balance","7872561"
"Macau (Macao)","Total Exports","7544112"
"","Total Imports","141701"
"","Trade Balance","7402411"
"Ukraine","Total Exports","12338619"
"","Total Imports","5074881"
"","Trade Balance","7263738"
"South Africa","Total Exports","46030313"
"","Total Imports","39760690"
"","Trade Balance","6269623"
"Luxembourg","Total Exports","6096069"
"","Total Imports","95175"
"","Trade Balance","6000894"
"Guyana","Total Exports","5958389"
"","Total Imports","326872"
"","Trade Balance","5631517"
"Chad","Total Exports","5590886"
"","Total Imports","2"
"","Trade Balance","5590884"
"Uruguay","Total Exports","4632512"
"","Total Imports","138658"
"","Trade Balance","4493854"
"Turkmenistan","Total Exports","4394025"
"","Total Imports",""
"","Trade Balance","4394025"
"New Caledonia","Total Exports","4255678"
"","Total Imports","3568"
"","Trade Balance","4252110"
"Latvia","Total Exports","4394408"
"","Total Imports","340591"
"","Trade Balance","4053817"
"Portugal","Total Exports","18964078"
"","Total Imports","15117656"
"","Trade Balance","3846422"
"Côte-d'Ivoire","Total Exports","3749133"
"","Total Imports","35705"
"","Trade Balance","3713428"
"Lebanon","Total Exports","4369260"
"","Total Imports","729730"
"","Trade Balance","3639530"
"Brunei Darussalam","Total Exports","3526037"
"","Total Imports","32673"
"","Trade Balance","3493364"
"Senegal","Total Exports","3402398"
"","Total Imports","4287"
"","Trade Balance","3398111"
"Uzbekistan","Total Exports","3014292"
"","Total Imports",""
"","Trade Balance","3014292"
"Nicaragua","Total Exports","4738100"
"","Total Imports","1986188"
"","Trade Balance","2751912"
"Swaziland","Total Exports","2565022"
"","Total Imports","30226"
"","Trade Balance","2534796"
"Togo","Total Exports","2525677"
"","Total Imports","461"
"","Trade Balance","2525216"
"Papua New Guinea","Total Exports","1922443"
"","Total Imports","1384"
"","Trade Balance","1921059"
"Hungary","Total Exports","8103571"
"","Total Imports","6210396"
"","Trade Balance","1893175"
"Cambodia (Kampuchea)","Total Exports","2302254"
"","Total Imports","493113"
"","Trade Balance","1809141"
"Antarctica","Total Exports","1754114"
"","Total Imports","87"
"","Trade Balance","1754027"
"Haiti","Total Exports","2018017"
"","Total Imports","292867"
"","Trade Balance","1725150"
"Maldives","Total Exports","1760755"
"","Total Imports","50761"
"","Trade Balance","1709994"
"Kyrgyzstan","Total Exports","1495483"
"","Total Imports","3636"
"","Trade Balance","1491847"
"Jordan","Total Exports","1521323"
"","Total Imports","52677"
"","Trade Balance","1468646"
"Uganda","Total Exports","1474400"
"","Total Imports","12486"
"","Trade Balance","1461914"
"Bahrain","Total Exports","1475622"
"","Total Imports","52479"
"","Trade Balance","1423143"
"Lithuania","Total Exports","3027112"
"","Total Imports","1748203"
"","Trade Balance","1278909"
"Kenya","Total Exports","1681846"
"","Total Imports","417874"
"","Trade Balance","1263972"
"Tanzania","Total Exports","1096607"
