"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2011"
"Units","Value in  canadian dollars"

"","","2011"
"United States","Total Exports","80761423162"
"","Total Imports","16197204653"
"","Trade Balance","64564218509"
"Japan","Total Exports","1836094535"
"","Total Imports","287860979"
"","Trade Balance","1548233556"
"China","Total Exports","3073134919"
"","Total Imports","2611782634"
"","Trade Balance","461352285"
"Netherlands","Total Exports","519795511"
"","Total Imports","69735097"
"","Trade Balance","450060414"
"United Arab Emirates","Total Exports","310645570"
"","Total Imports","4624964"
"","Trade Balance","306020606"
"Russia","Total Exports","293787243"
"","Total Imports","23330238"
"","Trade Balance","270457005"
"Australia","Total Exports","339964070"
"","Total Imports","99613989"
"","Trade Balance","240350081"
"Korea, South","Total Exports","712045600"
"","Total Imports","481756209"
"","Trade Balance","230289391"
"Indonesia","Total Exports","262669241"
"","Total Imports","36736853"
"","Trade Balance","225932388"
"Colombia","Total Exports","185950065"
"","Total Imports","3236002"
"","Trade Balance","182714063"
"Pakistan","Total Exports","176134328"
"","Total Imports","10437290"
"","Trade Balance","165697038"
"Bangladesh","Total Exports","162052176"
"","Total Imports","5756411"
"","Trade Balance","156295765"
"Hong Kong","Total Exports","158486124"
"","Total Imports","14756970"
"","Trade Balance","143729154"
"Cuba","Total Exports","127217494"
"","Total Imports","38200"
"","Trade Balance","127179294"
"Belgium","Total Exports","159094796"
"","Total Imports","38979147"
"","Trade Balance","120115649"
"Venezuela","Total Exports","123577873"
"","Total Imports","20429225"
"","Trade Balance","103148648"
"Singapore","Total Exports","170958339"
"","Total Imports","70545649"
"","Trade Balance","100412690"
"Sri Lanka","Total Exports","96678033"
"","Total Imports","5503002"
"","Trade Balance","91175031"
"Saudi Arabia","Total Exports","141476994"
"","Total Imports","55119708"
"","Trade Balance","86357286"
"Peru","Total Exports","85140892"
"","Total Imports","3337764"
"","Trade Balance","81803128"
"Brazil","Total Exports","175539473"
"","Total Imports","100058405"
"","Trade Balance","75481068"
"Chile","Total Exports","119473540"
"","Total Imports","45417546"
"","Trade Balance","74055994"
"South Africa","Total Exports","114352126"
"","Total Imports","43875844"
"","Trade Balance","70476282"
"Iraq","Total Exports","67108097"
"","Total Imports","31968"
"","Trade Balance","67076129"
"Albania","Total Exports","56737523"
"","Total Imports","46175"
"","Trade Balance","56691348"
"Ecuador","Total Exports","77864432"
"","Total Imports","28275024"
