"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"United States","Total Exports","87549410784"
"","Total Imports","17757124752"
"","Trade Balance","69792286032"
"Japan","Total Exports","1765703390"
"","Total Imports","242123985"
"","Trade Balance","1523579405"
"China","Total Exports","4097835764"
"","Total Imports","3038100047"
"","Trade Balance","1059735717"
"United Arab Emirates","Total Exports","285184698"
"","Total Imports","8244925"
"","Trade Balance","276939773"
"Indonesia","Total Exports","269164292"
"","Total Imports","44630726"
"","Trade Balance","224533566"
"Korea, South","Total Exports","420005146"
"","Total Imports","197269295"
"","Trade Balance","222735851"
"Hong Kong","Total Exports","221876199"
"","Total Imports","13844571"
"","Trade Balance","208031628"
"Bangladesh","Total Exports","209980985"
"","Total Imports","12714333"
"","Trade Balance","197266652"
"Algeria","Total Exports","165005288"
"","Total Imports","1155"
"","Trade Balance","165004133"
"India","Total Exports","397855601"
"","Total Imports","232979747"
"","Trade Balance","164875854"
"Pakistan","Total Exports","163535825"
"","Total Imports","16029447"
"","Trade Balance","147506378"
"Colombia","Total Exports","149168544"
"","Total Imports","12953036"
"","Trade Balance","136215508"
"Peru","Total Exports","147084786"
"","Total Imports","12129049"
"","Trade Balance","134955737"
"Nigeria","Total Exports","114973195"
"","Total Imports","434879"
"","Trade Balance","114538316"
"Saudi Arabia","Total Exports","112197776"
"","Total Imports","1405416"
"","Trade Balance","110792360"
"Russia","Total Exports","112515374"
"","Total Imports","25979395"
"","Trade Balance","86535979"
"Australia","Total Exports","227951610"
"","Total Imports","146208873"
"","Trade Balance","81742737"
"Venezuela","Total Exports","79475687"
"","Total Imports","950569"
"","Trade Balance","78525118"
"Philippines","Total Exports","107568115"
"","Total Imports","38697986"
"","Trade Balance","68870129"
"Singapore","Total Exports","139766484"
"","Total Imports","72983914"
"","Trade Balance","66782570"
"Cuba","Total Exports","65751168"
"","Total Imports","83355"
"","Trade Balance","65667813"
