"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"United States","Total Exports","103551145888"
"","Total Imports","17949229308"
"","Trade Balance","85601916580"
"Japan","Total Exports","1712585368"
"","Total Imports","216811402"
"","Trade Balance","1495773966"
"China","Total Exports","4262634285"
"","Total Imports","3357200475"
"","Trade Balance","905433810"
"Korea, South","Total Exports","626890880"
"","Total Imports","257478442"
"","Trade Balance","369412438"
"Bangladesh","Total Exports","334292799"
"","Total Imports","16816201"
"","Trade Balance","317476598"
"Indonesia","Total Exports","316363713"
"","Total Imports","50101187"
"","Trade Balance","266262526"
"United Arab Emirates","Total Exports","268105658"
"","Total Imports","10519266"
"","Trade Balance","257586392"
"Australia","Total Exports","369238499"
"","Total Imports","124178793"
"","Trade Balance","245059706"
"Hong Kong","Total Exports","228187004"
"","Total Imports","12239986"
"","Trade Balance","215947018"
"Colombia","Total Exports","186608185"
"","Total Imports","11187963"
"","Trade Balance","175420222"
"Singapore","Total Exports","209397297"
"","Total Imports","71985311"
"","Trade Balance","137411986"
"Pakistan","Total Exports","130375311"
"","Total Imports","15076418"
"","Trade Balance","115298893"
"Peru","Total Exports","131194468"
"","Total Imports","16217724"
"","Trade Balance","114976744"
"Nigeria","Total Exports","114833784"
"","Total Imports","1227822"
"","Trade Balance","113605962"
"Saudi Arabia","Total Exports","100010672"
"","Total Imports","3041180"
"","Trade Balance","96969492"
"Cuba","Total Exports","91396963"
"","Total Imports","101781"
"","Trade Balance","91295182"
"Ecuador","Total Exports","128034477"
"","Total Imports","38560543"
"","Trade Balance","89473934"
"Netherlands","Total Exports","268731723"
"","Total Imports","186948941"
"","Trade Balance","81782782"
"Russia","Total Exports","107259098"
"","Total Imports","31791689"
"","Trade Balance","75467409"
"Algeria","Total Exports","67575688"
"","Total Imports","25049"
"","Trade Balance","67550639"
"Chile","Total Exports","100003736"
"","Total Imports","51648684"
"","Trade Balance","48355052"
"Oman (formerly Muscat and Oman)","Total Exports","48102418"
"","Total Imports","900786"
"","Trade Balance","47201632"
"Ghana","Total Exports","46226511"
"","Total Imports","632422"
"","Trade Balance","45594089"
"Kuwait","Total Exports","45383430"
"","Total Imports","6164"
"","Trade Balance","45377266"
"Türkiye","Total Exports","81588490"
"","Total Imports","38564857"
"","Trade Balance","43023633"
"Sri Lanka","Total Exports","50882600"
"","Total Imports","8370118"
"","Trade Balance","42512482"
"France (incl. Monaco, French Antilles)","Total Exports","261039439"
"","Total Imports","219713967"
"","Trade Balance","41325472"
"Iraq","Total Exports","39496831"
"","Total Imports","50703"
"","Trade Balance","39446128"
"Morocco","Total Exports","44793916"
"","Total Imports","5945519"
"","Trade Balance","38848397"
"Panama","Total Exports","35550436"
"","Total Imports","1418902"
"","Trade Balance","34131534"
"Egypt","Total Exports","34322864"
"","Total Imports","1471334"
"","Trade Balance","32851530"
"Kazakhstan","Total Exports","29311445"
"","Total Imports","22231"
"","Trade Balance","29289214"
"Dominican Republic","Total Exports","31351031"
"","Total Imports","2440800"
"","Trade Balance","28910231"
"Argentina","Total Exports","66934413"
"","Total Imports","43142606"
"","Trade Balance","23791807"
"Nepal","Total Exports","19513394"
"","Total Imports","501914"
"","Trade Balance","19011480"
"Kenya","Total Exports","19189511"
"","Total Imports","858131"
"","Trade Balance","18331380"
"Qatar","Total Exports","17449158"
"","Total Imports","47641"
"","Trade Balance","17401517"
"Cameroon","Total Exports","17096956"
"","Total Imports","93108"
"","Trade Balance","17003848"
"Belgium","Total Exports","121324064"
"","Total Imports","104397583"
"","Trade Balance","16926481"
"New Zealand","Total Exports","62977499"
"","Total Imports","46885047"
"","Trade Balance","16092452"
"Venezuela","Total Exports","16722612"
"","Total Imports","2479738"
"","Trade Balance","14242874"
"Philippines","Total Exports","57145426"
"","Total Imports","43637654"
"","Trade Balance","13507772"
"Mozambique","Total Exports","14278725"
"","Total Imports","1289226"
"","Trade Balance","12989499"
