"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United States","Total Exports","122658783944"
"","Total Imports","19374880186"
"","Trade Balance","103283903758"
"Japan","Total Exports","2552725996"
"","Total Imports","407729916"
"","Trade Balance","2144996080"
"China","Total Exports","4545936997"
"","Total Imports","3611726257"
"","Trade Balance","934210740"
"Korea, South","Total Exports","669420734"
"","Total Imports","209326793"
"","Trade Balance","460093941"
"Peru","Total Exports","391399671"
"","Total Imports","15826151"
"","Trade Balance","375573520"
"United Arab Emirates","Total Exports","292245305"
"","Total Imports","22012421"
"","Trade Balance","270232884"
"Indonesia","Total Exports","307332216"
"","Total Imports","49841649"
"","Trade Balance","257490567"
"Hong Kong","Total Exports","252591338"
"","Total Imports","11681017"
"","Trade Balance","240910321"
"Colombia","Total Exports","221976419"
"","Total Imports","7383224"
"","Trade Balance","214593195"
"Australia","Total Exports","302055681"
"","Total Imports","128025482"
"","Trade Balance","174030199"
"Netherlands","Total Exports","327193601"
"","Total Imports","155675128"
"","Trade Balance","171518473"
"Ecuador","Total Exports","187123348"
"","Total Imports","17508663"
"","Trade Balance","169614685"
"Chile","Total Exports","202981694"
"","Total Imports","40207128"
"","Trade Balance","162774566"
"Bangladesh","Total Exports","157900122"
"","Total Imports","19667925"
"","Trade Balance","138232197"
"Nigeria","Total Exports","137436791"
"","Total Imports","1678702"
"","Trade Balance","135758089"
"Philippines","Total Exports","132252747"
"","Total Imports","39357821"
"","Trade Balance","92894926"
"Algeria","Total Exports","91358961"
"","Total Imports","7620"
"","Trade Balance","91351341"
"Singapore","Total Exports","169946694"
"","Total Imports","80408416"
"","Trade Balance","89538278"
"Pakistan","Total Exports","100064243"
"","Total Imports","17990150"
"","Trade Balance","82074093"
"Saudi Arabia","Total Exports","79192093"
"","Total Imports","1896437"
"","Trade Balance","77295656"
"Ghana","Total Exports","74300934"
"","Total Imports","780190"
"","Trade Balance","73520744"
"Morocco","Total Exports","84034227"
"","Total Imports","27360551"
"","Trade Balance","56673676"
"Panama","Total Exports","56261098"
"","Total Imports","3141147"
"","Trade Balance","53119951"
"Cuba","Total Exports","51894563"
"","Total Imports","90370"
"","Trade Balance","51804193"
"Argentina","Total Exports","81828231"
"","Total Imports","32293804"
"","Trade Balance","49534427"
"Kuwait","Total Exports","34427503"
"","Total Imports","21087"
"","Trade Balance","34406416"
"Venezuela","Total Exports","34057481"
"","Total Imports","838826"
"","Trade Balance","33218655"
"Dominican Republic","Total Exports","34936619"
"","Total Imports","2904768"
"","Trade Balance","32031851"
"Oman (formerly Muscat and Oman)","Total Exports","31072021"
"","Total Imports","274433"
"","Trade Balance","30797588"
"Russia","Total Exports","58460513"
"","Total Imports","32610278"
"","Trade Balance","25850235"
"U.S. Minor Outlying Islands","Total Exports","24346990"
"","Total Imports","36735"
"","Trade Balance","24310255"
"Maldives","Total Exports","24107388"
"","Total Imports","7753"
"","Trade Balance","24099635"
"Cameroon","Total Exports","21180217"
"","Total Imports","145323"
"","Trade Balance","21034894"
"Norway","Total Exports","43776719"
"","Total Imports","23755025"
"","Trade Balance","20021694"
"New Caledonia","Total Exports","20009391"
"","Total Imports","5917"
"","Trade Balance","20003474"
"El Salvador","Total Exports","20622722"
"","Total Imports","2259701"
"","Trade Balance","18363021"
"Bahrain","Total Exports","16161011"
"","Total Imports","106944"
"","Trade Balance","16054067"
"Kenya","Total Exports","16081632"
"","Total Imports","1096423"
"","Trade Balance","14985209"
"Sri Lanka","Total Exports","23664434"
"","Total Imports","9086580"
"","Trade Balance","14577854"
"Mozambique","Total Exports","13632911"
"","Total Imports","21237"
"","Trade Balance","13611674"
"Sudan","Total Exports","12876394"
"","Total Imports","2160"
"","Trade Balance","12874234"
"Qatar","Total Exports","10359975"
"","Total Imports","94365"
"","Trade Balance","10265610"
"Egypt","Total Exports","12240980"
"","Total Imports","2039144"
"","Trade Balance","10201836"
"Libya","Total Exports","9695244"
"","Total Imports","6"
"","Trade Balance","9695238"
"Malta","Total Exports","9444026"
"","Total Imports","512259"
"","Trade Balance","8931767"
"Togo","Total Exports","8814757"
"","Total Imports","13038"
"","Trade Balance","8801719"
"Greece","Total Exports","16767280"
"","Total Imports","8661671"
"","Trade Balance","8105609"
"Lebanon","Total Exports","9127504"
"","Total Imports","1722254"
"","Trade Balance","7405250"
"Iraq","Total Exports","7402643"
"","Total Imports","21224"
"","Trade Balance","7381419"
"Guatemala","Total Exports","50690044"
"","Total Imports","43732966"
"","Trade Balance","6957078"
"New Zealand","Total Exports","51127010"
"","Total Imports","44416366"
"","Trade Balance","6710644"
"Croatia","Total Exports","9157320"
"","Total Imports","2488295"
"","Trade Balance","6669025"
"Senegal","Total Exports","6606648"
"","Total Imports","14951"
"","Trade Balance","6591697"
"Slovenia","Total Exports","12580207"
"","Total Imports","6307484"
"","Trade Balance","6272723"
"Tanzania","Total Exports","6188069"
"","Total Imports","61249"
"","Trade Balance","6126820"
"Trinidad and Tobago","Total Exports","8334873"
"","Total Imports","2351740"
"","Trade Balance","5983133"
"Haiti","Total Exports","6137468"
"","Total Imports","358819"
"","Trade Balance","5778649"
"Côte-d'Ivoire","Total Exports","5336789"
"","Total Imports","152630"
"","Trade Balance","5184159"
"Tunisia","Total Exports","13307360"
"","Total Imports","8750178"
"","Trade Balance","4557182"
"Curacao","Total Exports","4250923"
"","Total Imports","16116"
"","Trade Balance","4234807"
"Equatorial Guinea","Total Exports","9407396"
"","Total Imports","5350889"
"","Trade Balance","4056507"
"Angola","Total Exports","3998757"
"","Total Imports","224"
"","Trade Balance","3998533"
"Antarctica","Total Exports","3956558"
