"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Alberta"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2024"
"Units","Value in  canadian dollars"

"","","2024"
"United States","Total Exports","162099960648"
"","Total Imports","25121446778"
"","Trade Balance","136978513870"
"Japan","Total Exports","2665084459"
"","Total Imports","357761974"
"","Trade Balance","2307322485"
"China","Total Exports","6697353213"
"","Total Imports","4700824617"
"","Trade Balance","1996528596"
"Korea, South","Total Exports","1152284387"
"","Total Imports","322133033"
"","Trade Balance","830151354"
"Peru","Total Exports","771577954"
"","Total Imports","31380520"
"","Trade Balance","740197434"
"Singapore","Total Exports","668468810"
"","Total Imports","96434253"
"","Trade Balance","572034557"
"Hong Kong","Total Exports","553857495"
"","Total Imports","15019468"
"","Trade Balance","538838027"
"Panama","Total Exports","366227178"
"","Total Imports","3274676"
"","Trade Balance","362952502"
"Netherlands","Total Exports","523943683"
"","Total Imports","195445298"
"","Trade Balance","328498385"
"Indonesia","Total Exports","395000312"
"","Total Imports","133714094"
"","Trade Balance","261286218"
"Bangladesh","Total Exports","283841700"
"","Total Imports","34967204"
"","Trade Balance","248874496"
"United Arab Emirates","Total Exports","283063120"
"","Total Imports","55371601"
"","Trade Balance","227691519"
"Colombia","Total Exports","196012435"
"","Total Imports","15035193"
"","Trade Balance","180977242"
"Saudi Arabia","Total Exports","167640755"
"","Total Imports","3882147"
"","Trade Balance","163758608"
"Argentina","Total Exports","185176567"
"","Total Imports","30802794"
"","Trade Balance","154373773"
"Australia","Total Exports","252632398"
"","Total Imports","144234997"
"","Trade Balance","108397401"
"India","Total Exports","620129943"
"","Total Imports","512696146"
"","Trade Balance","107433797"
"Nigeria","Total Exports","108740447"
"","Total Imports","2307499"
"","Trade Balance","106432948"
"Ecuador","Total Exports","121623758"
"","Total Imports","18815273"
"","Trade Balance","102808485"
"Algeria","Total Exports","97419102"
"","Total Imports","710"
"","Trade Balance","97418392"
"Morocco","Total Exports","98501181"
"","Total Imports","14713626"
"","Trade Balance","83787555"
"Guatemala","Total Exports","169208606"
"","Total Imports","86411289"
"","Trade Balance","82797317"
"Philippines","Total Exports","165682439"
"","Total Imports","98757130"
"","Trade Balance","66925309"
"Cuba","Total Exports","63541298"
"","Total Imports","7566"
"","Trade Balance","63533732"
"Venezuela","Total Exports","59967895"
"","Total Imports","11573"
"","Trade Balance","59956322"
"El Salvador","Total Exports","61932152"
"","Total Imports","2199203"
"","Trade Balance","59732949"
"Switzerland","Total Exports","174470202"
"","Total Imports","118383891"
"","Trade Balance","56086311"
"Ghana","Total Exports","52279589"
"","Total Imports","1289022"
"","Trade Balance","50990567"
"Brazil","Total Exports","112354937"
"","Total Imports","62072455"
"","Trade Balance","50282482"
"Kuwait","Total Exports","41407686"
"","Total Imports","12283"
"","Trade Balance","41395403"
"Oman (formerly Muscat and Oman)","Total Exports","45497436"
"","Total Imports","4275494"
"","Trade Balance","41221942"
