"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1994"
"Units","Value in  canadian dollars"

"","","1994"
"United States","Total Exports","13168510255"
"","Total Imports","9336593789"
"","Trade Balance","3831916466"
"Japan","Total Exports","5751986208"
"","Total Imports","3436054515"
"","Trade Balance","2315931693"
"Belgium","Total Exports","309483028"
"","Total Imports","40683580"
"","Trade Balance","268799448"
"Germany","Total Exports","478157938"
"","Total Imports","213150314"
"","Trade Balance","265007624"
"Italy (incl. Vatican City State)","Total Exports","413334021"
"","Total Imports","183012583"
"","Trade Balance","230321438"
"United Kingdom","Total Exports","351834106"
"","Total Imports","187780572"
"","Trade Balance","164053534"
"Hong Kong","Total Exports","347795706"
"","Total Imports","221434910"
"","Trade Balance","126360796"
"Korea, South","Total Exports","745011146"
"","Total Imports","678795174"
"","Trade Balance","66215972"
"Netherlands","Total Exports","102350356"
"","Total Imports","42106953"
"","Trade Balance","60243403"
"Philippines","Total Exports","96063772"
"","Total Imports","51039189"
"","Trade Balance","45024583"
"Spain","Total Exports","77417043"
"","Total Imports","44233650"
"","Trade Balance","33183393"
"Chile","Total Exports","69437767"
"","Total Imports","36724497"
"","Trade Balance","32713270"
"Saudi Arabia","Total Exports","27218255"
"","Total Imports","550220"
"","Trade Balance","26668035"
"Venezuela","Total Exports","28927133"
"","Total Imports","3315499"
"","Trade Balance","25611634"
"Switzerland","Total Exports","50573871"
"","Total Imports","27225601"
"","Trade Balance","23348270"
"Greece","Total Exports","23822814"
"","Total Imports","3522336"
"","Trade Balance","20300478"
"Egypt","Total Exports","16459850"
"","Total Imports","177822"
"","Trade Balance","16282028"
"Morocco","Total Exports","10734166"
"","Total Imports","437474"
"","Trade Balance","10296692"
"Portugal","Total Exports","16991038"
"","Total Imports","7704381"
"","Trade Balance","9286657"
"Somalia","Total Exports","7939797"
"","Total Imports","403"
"","Trade Balance","7939394"
"South Africa","Total Exports","26003228"
"","Total Imports","18779822"
"","Trade Balance","7223406"
"United Arab Emirates","Total Exports","7266238"
"","Total Imports","140193"
"","Trade Balance","7126045"
"Türkiye","Total Exports","12568924"
"","Total Imports","6022358"
"","Trade Balance","6546566"
"Kuwait","Total Exports","6593130"
"","Total Imports","146440"
"","Trade Balance","6446690"
"Russia","Total Exports","8928522"
"","Total Imports","3306971"
"","Trade Balance","5621551"
"Norway","Total Exports","21198019"
"","Total Imports","15840601"
"","Trade Balance","5357418"
"Pakistan","Total Exports","16788053"
"","Total Imports","12292558"
"","Trade Balance","4495495"
"El Salvador","Total Exports","7789882"
"","Total Imports","3370198"
"","Trade Balance","4419684"
"Kenya","Total Exports","7373424"
"","Total Imports","3111404"
"","Trade Balance","4262020"
"Argentina","Total Exports","10205974"
"","Total Imports","6279297"
"","Trade Balance","3926677"
"Mozambique","Total Exports","3670280"
"","Total Imports","24930"
"","Trade Balance","3645350"
"Brazil","Total Exports","103924639"
"","Total Imports","100714387"
"","Trade Balance","3210252"
"Bahrain","Total Exports","3335487"
"","Total Imports","778360"
"","Trade Balance","2557127"
"Algeria","Total Exports","2516493"
"","Total Imports",""
"","Trade Balance","2516493"
"Senegal","Total Exports","1941212"
"","Total Imports",""
"","Trade Balance","1941212"
"Bermuda","Total Exports","1363456"
"","Total Imports","2956"
"","Trade Balance","1360500"
"Iran","Total Exports","7909719"
"","Total Imports","6837609"
"","Trade Balance","1072110"
"Lithuania","Total Exports","1000427"
