"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"Japan","Total Exports","6865801337"
"","Total Imports","3129472200"
"","Trade Balance","3736329137"
"United States","Total Exports","14321501520"
"","Total Imports","10657130572"
"","Trade Balance","3664370948"
"Italy (incl. Vatican City State)","Total Exports","646662298"
"","Total Imports","198874458"
"","Trade Balance","447787840"
"Germany","Total Exports","700674433"
"","Total Imports","262395097"
"","Trade Balance","438279336"
"Korea, South","Total Exports","982460478"
"","Total Imports","546067870"
"","Trade Balance","436392608"
"Belgium","Total Exports","420599805"
"","Total Imports","30095957"
"","Trade Balance","390503848"
"Hong Kong","Total Exports","468795634"
"","Total Imports","223324563"
"","Trade Balance","245471071"
"United Kingdom","Total Exports","402828944"
"","Total Imports","185673333"
"","Trade Balance","217155611"
"France (incl. Monaco, French Antilles)","Total Exports","321275336"
"","Total Imports","153137542"
"","Trade Balance","168137794"
"Netherlands","Total Exports","186935775"
"","Total Imports","50531518"
"","Trade Balance","136404257"
"Brazil","Total Exports","181980636"
"","Total Imports","77680327"
"","Trade Balance","104300309"
"Venezuela","Total Exports","53135342"
"","Total Imports","1054993"
"","Trade Balance","52080349"
"Indonesia","Total Exports","175740068"
"","Total Imports","125555269"
"","Trade Balance","50184799"
"Spain","Total Exports","97131575"
"","Total Imports","50957417"
"","Trade Balance","46174158"
"Chile","Total Exports","86789480"
"","Total Imports","44257392"
"","Trade Balance","42532088"
"Philippines","Total Exports","105839544"
"","Total Imports","63354235"
"","Trade Balance","42485309"
"South Africa","Total Exports","53542191"
"","Total Imports","17961289"
"","Trade Balance","35580902"
"Saudi Arabia","Total Exports","34148338"
"","Total Imports","178204"
"","Trade Balance","33970134"
"Greece","Total Exports","31235624"
"","Total Imports","4271524"
"","Trade Balance","26964100"
"Türkiye","Total Exports","28022141"
"","Total Imports","7436788"
"","Trade Balance","20585353"
