"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"United States","Total Exports","14524521103"
"","Total Imports","10441234692"
"","Trade Balance","4083286411"
"Japan","Total Exports","6477707690"
"","Total Imports","2905246189"
"","Trade Balance","3572461501"
"Korea, South","Total Exports","875617745"
"","Total Imports","549502683"
"","Trade Balance","326115062"
"Belgium","Total Exports","316728880"
"","Total Imports","30264317"
"","Trade Balance","286464563"
"Italy (incl. Vatican City State)","Total Exports","435991061"
"","Total Imports","192573369"
"","Trade Balance","243417692"
"Germany","Total Exports","414670575"
"","Total Imports","236304557"
"","Trade Balance","178366018"
"United Kingdom","Total Exports","366455488"
"","Total Imports","210897773"
"","Trade Balance","155557715"
"Netherlands","Total Exports","168030867"
"","Total Imports","63809652"
"","Trade Balance","104221215"
"Hong Kong","Total Exports","291337347"
"","Total Imports","227203207"
"","Trade Balance","64134140"
"Indonesia","Total Exports","188033946"
"","Total Imports","127079688"
"","Trade Balance","60954258"
"Brazil","Total Exports","134348361"
"","Total Imports","81543714"
"","Trade Balance","52804647"
"Venezuela","Total Exports","29496811"
"","Total Imports","847479"
"","Trade Balance","28649332"
"Philippines","Total Exports","93400769"
"","Total Imports","64905356"
"","Trade Balance","28495413"
"Saudi Arabia","Total Exports","26549536"
"","Total Imports","793105"
"","Trade Balance","25756431"
"Türkiye","Total Exports","30668804"
"","Total Imports","6101827"
"","Trade Balance","24566977"
"Egypt","Total Exports","22249057"
"","Total Imports","252340"
"","Trade Balance","21996717"
"Chile","Total Exports","65574032"
"","Total Imports","44974871"
"","Trade Balance","20599161"
"Romania","Total Exports","19979532"
"","Total Imports","393447"
"","Trade Balance","19586085"
"Greece","Total Exports","22113075"
"","Total Imports","3009165"
"","Trade Balance","19103910"
"South Africa","Total Exports","37107136"
"","Total Imports","20269870"
"","Trade Balance","16837266"
"Senegal","Total Exports","7938139"
"","Total Imports","2181"
"","Trade Balance","7935958"
"Portugal","Total Exports","15931764"
"","Total Imports","8180453"
"","Trade Balance","7751311"
"United Arab Emirates","Total Exports","7777300"
"","Total Imports","647562"
"","Trade Balance","7129738"
"Morocco","Total Exports","7487273"
"","Total Imports","574577"
"","Trade Balance","6912696"
"Kuwait","Total Exports","6445417"
"","Total Imports","39698"
"","Trade Balance","6405719"
"Estonia","Total Exports","3917836"
"","Total Imports","106343"
"","Trade Balance","3811493"
"Côte-d'Ivoire","Total Exports","3495421"
"","Total Imports","24505"
"","Trade Balance","3470916"
"Tunisia","Total Exports","3348675"
"","Total Imports","27721"
"","Trade Balance","3320954"
"Ghana","Total Exports","3305005"
"","Total Imports","244242"
"","Trade Balance","3060763"
"Pakistan","Total Exports","15551944"
"","Total Imports","12963447"
"","Trade Balance","2588497"
"Iran","Total Exports","7215461"
"","Total Imports","5010157"
"","Trade Balance","2205304"
"Oman (formerly Muscat and Oman)","Total Exports","1542431"
"","Total Imports","36518"
"","Trade Balance","1505913"
"Czech Republic","Total Exports","4325275"
"","Total Imports","2830981"
"","Trade Balance","1494294"
"Bahrain","Total Exports","1573344"
"","Total Imports","211749"
"","Trade Balance","1361595"
"Syria","Total Exports","1164434"
"","Total Imports","2165"
"","Trade Balance","1162269"
"Cuba","Total Exports","2105938"
"","Total Imports","1199513"
"","Trade Balance","906425"
"Slovenia","Total Exports","2106045"
"","Total Imports","1287422"
"","Trade Balance","818623"
"Slovakia","Total Exports","995160"
"","Total Imports","178593"
"","Trade Balance","816567"
"El Salvador","Total Exports","4200764"
"","Total Imports","3421944"
"","Trade Balance","778820"
"Nigeria","Total Exports","638593"
"","Total Imports","4844"
"","Trade Balance","633749"
"Yugoslavia  - Serbia and Montenegro","Total Exports","692519"
"","Total Imports","105855"
"","Trade Balance","586664"
"Gibraltar","Total Exports","546016"
"","Total Imports",""
"","Trade Balance","546016"
"Angola","Total Exports","542497"
"","Total Imports",""
"","Trade Balance","542497"
"Brunei Darussalam","Total Exports","650811"
"","Total Imports","109652"
"","Trade Balance","541159"
"Bermuda","Total Exports","519689"
"","Total Imports","3749"
"","Trade Balance","515940"
"Ukraine","Total Exports","644816"
"","Total Imports","146785"
"","Trade Balance","498031"
"Bahamas","Total Exports","522796"
"","Total Imports","29811"
"","Trade Balance","492985"
"Papua New Guinea","Total Exports","1018701"
"","Total Imports","542600"
"","Trade Balance","476101"
"Tanzania","Total Exports","855895"
"","Total Imports","384612"
"","Trade Balance","471283"
"Lithuania","Total Exports","470625"
"","Total Imports","54580"
"","Trade Balance","416045"
"Rwanda","Total Exports","412774"
"","Total Imports","15322"
"","Trade Balance","397452"
"Saint Pierre-Miquelon","Total Exports","392024"
"","Total Imports","23"
"","Trade Balance","392001"
