"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1997"
"Units","Value in  canadian dollars"

"","","1997"
"United States","Total Exports","15380540536"
"","Total Imports","11622685115"
"","Trade Balance","3757855421"
"Japan","Total Exports","6044427461"
"","Total Imports","4463362193"
"","Trade Balance","1581065268"
"Korea, South","Total Exports","969508440"
"","Total Imports","617034266"
"","Trade Balance","352474174"
"Italy (incl. Vatican City State)","Total Exports","475146309"
"","Total Imports","218064276"
"","Trade Balance","257082033"
"Belgium","Total Exports","294489442"
"","Total Imports","37757194"
"","Trade Balance","256732248"
"Germany","Total Exports","480524529"
"","Total Imports","299491947"
"","Trade Balance","181032582"
"Hong Kong","Total Exports","377686709"
"","Total Imports","249303097"
"","Trade Balance","128383612"
"Netherlands","Total Exports","207227878"
"","Total Imports","81707111"
"","Trade Balance","125520767"
"United Kingdom","Total Exports","308168457"
"","Total Imports","242305148"
"","Trade Balance","65863309"
"Türkiye","Total Exports","58490278"
"","Total Imports","6016741"
"","Trade Balance","52473537"
"Philippines","Total Exports","120848137"
"","Total Imports","78127667"
"","Trade Balance","42720470"
"Venezuela","Total Exports","34331414"
"","Total Imports","924960"
"","Trade Balance","33406454"
"Egypt","Total Exports","31650946"
"","Total Imports","831501"
"","Trade Balance","30819445"
"Romania","Total Exports","25031914"
"","Total Imports","444555"
"","Trade Balance","24587359"
"Saudi Arabia","Total Exports","23697438"
"","Total Imports","480015"
"","Trade Balance","23217423"
"United Arab Emirates","Total Exports","22435474"
"","Total Imports","721895"
"","Trade Balance","21713579"
"Greece","Total Exports","26273567"
"","Total Imports","5558797"
"","Trade Balance","20714770"
"Chile","Total Exports","80950154"
"","Total Imports","61036691"
"","Trade Balance","19913463"
"South Africa","Total Exports","45600892"
"","Total Imports","29445368"
"","Trade Balance","16155524"
"Morocco","Total Exports","14601514"
"","Total Imports","1098328"
"","Trade Balance","13503186"
"Australia","Total Exports","242351561"
"","Total Imports","230878864"
"","Trade Balance","11472697"
"Iran","Total Exports","15883465"
"","Total Imports","6958022"
"","Trade Balance","8925443"
"Brazil","Total Exports","102718163"
"","Total Imports","94428078"
"","Trade Balance","8290085"
"Tunisia","Total Exports","6804200"
"","Total Imports","200231"
"","Trade Balance","6603969"
"Slovakia","Total Exports","5837452"
"","Total Imports","261742"
"","Trade Balance","5575710"
"Portugal","Total Exports","16292011"
"","Total Imports","10811815"
"","Trade Balance","5480196"
"Nigeria","Total Exports","4508709"
"","Total Imports","25100"
"","Trade Balance","4483609"
"Kuwait","Total Exports","4567366"
"","Total Imports","451431"
"","Trade Balance","4115935"
"Pakistan","Total Exports","16226170"
"","Total Imports","13254793"
"","Trade Balance","2971377"
"Korea, North","Total Exports","2921905"
"","Total Imports","936"
"","Trade Balance","2920969"
"Lebanon","Total Exports","2359430"
"","Total Imports","44995"
"","Trade Balance","2314435"
"Bahrain","Total Exports","2246317"
"","Total Imports","8919"
"","Trade Balance","2237398"
"Syria","Total Exports","2245262"
"","Total Imports","8570"
"","Trade Balance","2236692"
"Jordan","Total Exports","2253518"
"","Total Imports","28311"
"","Trade Balance","2225207"
"Guinea","Total Exports","2192165"
"","Total Imports","129225"
"","Trade Balance","2062940"
"Ghana","Total Exports","1948625"
"","Total Imports","190679"
"","Trade Balance","1757946"
"Senegal","Total Exports","1615943"
"","Total Imports","13872"
"","Trade Balance","1602071"
"Lithuania","Total Exports","1603713"
"","Total Imports","74545"
"","Trade Balance","1529168"
"Côte-d'Ivoire","Total Exports","1688504"
"","Total Imports","218429"
"","Trade Balance","1470075"
"Bermuda","Total Exports","1472934"
"","Total Imports","16882"
"","Trade Balance","1456052"
"Azerbaijan","Total Exports","1513584"
"","Total Imports","61949"
"","Trade Balance","1451635"
"Zimbabwe","Total Exports","1650311"
"","Total Imports","230821"
"","Trade Balance","1419490"
"Algeria","Total Exports","1345907"
"","Total Imports","2615"
"","Trade Balance","1343292"
"Sudan","Total Exports","991231"
"","Total Imports","2078"
"","Trade Balance","989153"
"Maldives","Total Exports","1150840"
"","Total Imports","190648"
"","Trade Balance","960192"
"Angola","Total Exports","881769"
"","Total Imports","17"
"","Trade Balance","881752"
"Niger","Total Exports","884612"
"","Total Imports","23178"
"","Trade Balance","861434"
"Papua New Guinea","Total Exports","1853933"
"","Total Imports","1081164"
"","Trade Balance","772769"
"Tanzania","Total Exports","872570"
"","Total Imports","312413"
"","Trade Balance","560157"
"Uzbekistan","Total Exports","642037"
"","Total Imports","109833"
"","Trade Balance","532204"
"Fiji","Total Exports","2373150"
"","Total Imports","1888634"
"","Trade Balance","484516"
"Guyana","Total Exports","638538"
"","Total Imports","184592"
"","Trade Balance","453946"
