"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"United States","Total Exports","20683053918"
"","Total Imports","11825951021"
"","Trade Balance","8857102897"
"Italy (incl. Vatican City State)","Total Exports","431324820"
"","Total Imports","239501013"
"","Trade Balance","191823807"
"Netherlands","Total Exports","224695696"
"","Total Imports","74668129"
"","Trade Balance","150027567"
"Belgium","Total Exports","212130267"
"","Total Imports","65978812"
"","Trade Balance","146151455"
"United Kingdom","Total Exports","357395228"
"","Total Imports","234496415"
"","Trade Balance","122898813"
"Hong Kong","Total Exports","267989399"
"","Total Imports","179889558"
"","Trade Balance","88099841"
"Türkiye","Total Exports","92107989"
"","Total Imports","23660385"
"","Trade Balance","68447604"
"Venezuela","Total Exports","36627516"
"","Total Imports","2888406"
"","Trade Balance","33739110"
"Saudi Arabia","Total Exports","22391763"
"","Total Imports","835136"
"","Trade Balance","21556627"
"El Salvador","Total Exports","17355238"
"","Total Imports","3370301"
"","Trade Balance","13984937"
"Egypt","Total Exports","15305217"
"","Total Imports","1356289"
"","Trade Balance","13948928"
"Russia","Total Exports","24523730"
"","Total Imports","12208685"
"","Trade Balance","12315045"
"Germany","Total Exports","328479772"
"","Total Imports","316215424"
"","Trade Balance","12264348"
"United Arab Emirates","Total Exports","14792744"
"","Total Imports","2924521"
"","Trade Balance","11868223"
"Cyprus","Total Exports","9964284"
"","Total Imports","10800"
"","Trade Balance","9953484"
"Kuwait","Total Exports","9270032"
"","Total Imports","102766"
"","Trade Balance","9167266"
"Portugal","Total Exports","23571581"
"","Total Imports","16052395"
"","Trade Balance","7519186"
"Kazakhstan","Total Exports","7120589"
"","Total Imports","141661"
"","Trade Balance","6978928"
"Algeria","Total Exports","6222274"
"","Total Imports","17128"
"","Trade Balance","6205146"
"Korea, North","Total Exports","5677941"
"","Total Imports","23242"
"","Trade Balance","5654699"
"Guinea","Total Exports","3148796"
"","Total Imports","16265"
"","Trade Balance","3132531"
"Cuba","Total Exports","2742050"
"","Total Imports","305188"
"","Trade Balance","2436862"
"French Polynesia","Total Exports","3442733"
"","Total Imports","1029809"
"","Trade Balance","2412924"
"Ghana","Total Exports","2585495"
"","Total Imports","242142"
"","Trade Balance","2343353"
"Equatorial Guinea","Total Exports","1206829"
"","Total Imports","7822"
"","Trade Balance","1199007"
"American Samoa","Total Exports","1112596"
