"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2006"
"Units","Value in  canadian dollars"

"","","2006"
"United States","Total Exports","21351048930"
"","Total Imports","15502709429"
"","Trade Balance","5848339501"
"Netherlands","Total Exports","386103762"
"","Total Imports","100226142"
"","Trade Balance","285877620"
"Hong Kong","Total Exports","284057447"
"","Total Imports","76822250"
"","Trade Balance","207235197"
"Türkiye","Total Exports","148801489"
"","Total Imports","29880487"
"","Trade Balance","118921002"
"Italy (incl. Vatican City State)","Total Exports","473143176"
"","Total Imports","356193146"
"","Trade Balance","116950030"
"India","Total Exports","349741255"
"","Total Imports","233560756"
"","Trade Balance","116180499"
"Belgium","Total Exports","183325606"
"","Total Imports","79293295"
"","Trade Balance","104032311"
"Brazil","Total Exports","256781015"
"","Total Imports","170529090"
"","Trade Balance","86251925"
"Philippines","Total Exports","208581917"
"","Total Imports","130241822"
"","Trade Balance","78340095"
"Venezuela","Total Exports","70861915"
"","Total Imports","787236"
"","Trade Balance","70074679"
"United Kingdom","Total Exports","421712642"
"","Total Imports","379431813"
"","Trade Balance","42280829"
"Egypt","Total Exports","38834734"
"","Total Imports","2861731"
"","Trade Balance","35973003"
"United Arab Emirates","Total Exports","38863630"
"","Total Imports","3015588"
"","Trade Balance","35848042"
"Finland","Total Exports","83831742"
"","Total Imports","48328514"
"","Trade Balance","35503228"
"Guatemala","Total Exports","54733325"
"","Total Imports","29898775"
"","Trade Balance","24834550"
"Russia","Total Exports","52898046"
"","Total Imports","28294788"
"","Trade Balance","24603258"
"Saudi Arabia","Total Exports","22879359"
"","Total Imports","479073"
"","Trade Balance","22400286"
"El Salvador","Total Exports","23358795"
"","Total Imports","3190089"
"","Trade Balance","20168706"
"Ukraine","Total Exports","22127142"
"","Total Imports","2752660"
"","Trade Balance","19374482"
"Angola","Total Exports","14201055"
"","Total Imports","4595"
"","Trade Balance","14196460"
"Bulgaria","Total Exports","12072430"
"","Total Imports","3443470"
"","Trade Balance","8628960"
"Cuba","Total Exports","7598021"
"","Total Imports","312469"
"","Trade Balance","7285552"
"Ireland","Total Exports","34389154"
"","Total Imports","27338432"
"","Trade Balance","7050722"
"Jordan","Total Exports","6373731"
"","Total Imports","395169"
"","Trade Balance","5978562"
"Iran","Total Exports","15345136"
"","Total Imports","9646171"
"","Trade Balance","5698965"
"Qatar","Total Exports","5252891"
"","Total Imports","3505"
"","Trade Balance","5249386"
"Yugoslavia  - Serbia and Montenegro","Total Exports","5642263"
"","Total Imports","451752"
"","Trade Balance","5190511"
"Panama","Total Exports","7078020"
"","Total Imports","2011832"
"","Trade Balance","5066188"
"French Polynesia","Total Exports","5497251"
"","Total Imports","551358"
"","Trade Balance","4945893"
"Bahrain","Total Exports","4450374"
"","Total Imports","31403"
"","Trade Balance","4418971"
"Ghana","Total Exports","3952751"
"","Total Imports","364153"
"","Trade Balance","3588598"
"Jamaica","Total Exports","3947268"
"","Total Imports","691444"
"","Trade Balance","3255824"
"Greenland","Total Exports","2989850"
"","Total Imports","91825"
"","Trade Balance","2898025"
"Nigeria","Total Exports","2656254"
"","Total Imports","44535"
"","Trade Balance","2611719"
"Spain","Total Exports","57914191"
"","Total Imports","55349305"
"","Trade Balance","2564886"
"American Samoa","Total Exports","2302006"
"","Total Imports","45735"
"","Trade Balance","2256271"
"Bahamas","Total Exports","2287400"
"","Total Imports","71678"
"","Trade Balance","2215722"
"Kuwait","Total Exports","2181429"
"","Total Imports","270"
"","Trade Balance","2181159"
"Cyprus","Total Exports","2104172"
"","Total Imports","14787"
"","Trade Balance","2089385"
"Azerbaijan","Total Exports","2088171"
"","Total Imports","42623"
"","Trade Balance","2045548"
"Kenya","Total Exports","2774866"
"","Total Imports","846417"
"","Trade Balance","1928449"
"North Macedonia","Total Exports","2091489"
"","Total Imports","186119"
"","Trade Balance","1905370"
"Tanzania","Total Exports","2164341"
"","Total Imports","381224"
"","Trade Balance","1783117"
"Bermuda","Total Exports","1692526"
"","Total Imports","56530"
"","Trade Balance","1635996"
"Netherlands Antilles","Total Exports","1619375"
"","Total Imports","69215"
"","Trade Balance","1550160"
"Afghanistan","Total Exports","1615784"
"","Total Imports","86463"
"","Trade Balance","1529321"
"Zambia (Zambi)","Total Exports","1448293"
"","Total Imports","18828"
"","Trade Balance","1429465"
"Côte-d'Ivoire","Total Exports","1386824"
"","Total Imports","39771"
"","Trade Balance","1347053"
"Guinea","Total Exports","1376440"
"","Total Imports","58314"
"","Trade Balance","1318126"
"Croatia","Total Exports","2509977"
"","Total Imports","1261714"
"","Trade Balance","1248263"
"Iraq","Total Exports","1220294"
"","Total Imports","16719"
"","Trade Balance","1203575"
"Georgia","Total Exports","1281759"
"","Total Imports","91114"
"","Trade Balance","1190645"
"Mongolia","Total Exports","1698371"
"","Total Imports","530902"
"","Trade Balance","1167469"
"Iceland","Total Exports","4381451"
"","Total Imports","3239145"
"","Trade Balance","1142306"
"Nicaragua","Total Exports","3818558"
"","Total Imports","2703583"
"","Trade Balance","1114975"
"Djibouti","Total Exports","1058762"
"","Total Imports",""
"","Trade Balance","1058762"
"Congo (formerly Zaire)","Total Exports","1019278"
"","Total Imports","530"
"","Trade Balance","1018748"
"Brunei Darussalam","Total Exports","1613333"
"","Total Imports","632750"
"","Trade Balance","980583"
"Sudan","Total Exports","952636"
"","Total Imports","2531"
"","Trade Balance","950105"
"Barbados","Total Exports","1149604"
"","Total Imports","248442"
"","Trade Balance","901162"
"Korea, North","Total Exports","891992"
"","Total Imports","15663"
"","Trade Balance","876329"
"Mali","Total Exports","845498"
"","Total Imports","5440"
"","Trade Balance","840058"
"Syria","Total Exports","801535"
"","Total Imports","87900"
"","Trade Balance","713635"
"Guam","Total Exports","707876"
"","Total Imports","3512"
"","Trade Balance","704364"
"New Caledonia","Total Exports","763537"
"","Total Imports","76151"
"","Trade Balance","687386"
"Guyana","Total Exports","868298"
"","Total Imports","204992"
"","Trade Balance","663306"
"Lebanon","Total Exports","1042145"
"","Total Imports","388628"
"","Trade Balance","653517"
"Turks and Caicos Islands","Total Exports","637227"
"","Total Imports",""
"","Trade Balance","637227"
"Tunisia","Total Exports","2496128"
"","Total Imports","1868004"
"","Trade Balance","628124"
"Trinidad and Tobago","Total Exports","956662"
"","Total Imports","329723"
"","Trade Balance","626939"
"Senegal","Total Exports","631595"
"","Total Imports","24210"
"","Trade Balance","607385"
"Botswana","Total Exports","603516"
"","Total Imports","2928"
"","Trade Balance","600588"
"Yemen","Total Exports","575603"
"","Total Imports","71993"
"","Trade Balance","503610"
"Sierra Leone","Total Exports","784616"
"","Total Imports","331545"
"","Trade Balance","453071"
"Kyrgyzstan","Total Exports","450496"
"","Total Imports","101"
"","Trade Balance","450395"
"Rwanda","Total Exports","450907"
"","Total Imports","6577"
"","Trade Balance","444330"
"Armenia","Total Exports","563645"
"","Total Imports","153278"
"","Trade Balance","410367"
"Tajikistan","Total Exports","415930"
"","Total Imports","10447"
"","Trade Balance","405483"
"Saint Pierre-Miquelon","Total Exports","383093"
"","Total Imports",""
"","Trade Balance","383093"
"Anguilla","Total Exports","391467"
"","Total Imports","17812"
"","Trade Balance","373655"
"Cayman Islands","Total Exports","392081"
"","Total Imports","51458"
"","Trade Balance","340623"
"Chad","Total Exports","323522"
"","Total Imports","368"
"","Trade Balance","323154"
"Faeroe Islands","Total Exports","304504"
"","Total Imports","1253"
"","Trade Balance","303251"
"Saint Vincent and the Grenadines","Total Exports","304054"
"","Total Imports","5980"
"","Trade Balance","298074"
"Maldives","Total Exports","293711"
"","Total Imports","29113"
"","Trade Balance","264598"
"Gabon","Total Exports","388048"
"","Total Imports","124072"
"","Trade Balance","263976"
"Uganda","Total Exports","436543"
"","Total Imports","208191"
"","Trade Balance","228352"
"Antarctica","Total Exports","211608"
"","Total Imports",""
"","Trade Balance","211608"
"Benin","Total Exports","202714"
"","Total Imports",""
"","Trade Balance","202714"
"Algeria","Total Exports","216334"
"","Total Imports","15809"
"","Trade Balance","200525"
"Libya","Total Exports","200147"
"","Total Imports",""
"","Trade Balance","200147"
"Burkina Faso","Total Exports","182853"
"","Total Imports","203"
"","Trade Balance","182650"
"Mauritania","Total Exports","222067"
"","Total Imports","44947"
"","Trade Balance","177120"
"Antigua and Barbuda","Total Exports","191571"
"","Total Imports","48433"
"","Trade Balance","143138"
"Aruba","Total Exports","142666"
"","Total Imports","406"
"","Trade Balance","142260"
"Grenada","Total Exports","134154"
"","Total Imports",""
"","Trade Balance","134154"
"Liberia","Total Exports","123179"
"","Total Imports",""
"","Trade Balance","123179"
"Madagascar","Total Exports","352856"
"","Total Imports","263860"
"","Trade Balance","88996"
"Namibia","Total Exports","161390"
"","Total Imports","75333"
"","Trade Balance","86057"
"Cocos (Keeling) Islands","Total Exports","88573"
"","Total Imports","4204"
"","Trade Balance","84369"
"Christmas Island","Total Exports","81524"
"","Total Imports","23"
"","Trade Balance","81501"
"Norfolk Island","Total Exports","67955"
"","Total Imports","1811"
"","Trade Balance","66144"
"Dominica","Total Exports","75834"
"","Total Imports","14631"
"","Trade Balance","61203"
"Equatorial Guinea","Total Exports","56670"
"","Total Imports",""
"","Trade Balance","56670"
"Eritrea","Total Exports","47275"
"","Total Imports","60"
"","Trade Balance","47215"
"Saint Lucia","Total Exports","47010"
"","Total Imports","3617"
"","Trade Balance","43393"
"Samoa (Western)","Total Exports","65743"
"","Total Imports","22906"
"","Trade Balance","42837"
"Suriname","Total Exports","32748"
"","Total Imports","1129"
"","Trade Balance","31619"
"Moldova","Total Exports","109472"
"","Total Imports","84471"
"","Trade Balance","25001"
"Burundi","Total Exports","25000"
"","Total Imports","333"
"","Trade Balance","24667"
"Nauru","Total Exports","29142"
"","Total Imports","8261"
"","Trade Balance","20881"
"Tonga","Total Exports","26564"
"","Total Imports","5924"
"","Trade Balance","20640"
"British Indian Ocean Territories","Total Exports","2989"
"","Total Imports","34"
"","Trade Balance","2955"
"French Southern Territories","Total Exports","112"
"","Total Imports",""
"","Trade Balance","112"
"Niue","Total Exports",""
"","Total Imports","835"
"","Trade Balance","-835"
"Central African Republic","Total Exports","1507"
"","Total Imports","2944"
"","Trade Balance","-1437"
"Cape Verde","Total Exports",""
"","Total Imports","1496"
"","Trade Balance","-1496"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","2393"
"","Trade Balance","-2393"
"Togo","Total Exports","10624"
"","Total Imports","13412"
"","Trade Balance","-2788"
"Saint Helena","Total Exports",""
"","Total Imports","3603"
"","Trade Balance","-3603"
"Somalia","Total Exports","378"
"","Total Imports","5566"
"","Trade Balance","-5188"
"Bhutan","Total Exports",""
"","Total Imports","6299"
"","Trade Balance","-6299"
"Gambia","Total Exports",""
"","Total Imports","8427"
"","Trade Balance","-8427"
"Lesotho","Total Exports",""
"","Total Imports","8816"
"","Trade Balance","-8816"
"Albania","Total Exports","23743"
"","Total Imports","35137"
"","Trade Balance","-11394"
"Comoros","Total Exports",""
"","Total Imports","11801"
"","Trade Balance","-11801"
"Uzbekistan","Total Exports","38418"
"","Total Imports","50294"
"","Trade Balance","-11876"
"Vanuatu (New Hebrides)","Total Exports","56045"
"","Total Imports","68019"
"","Trade Balance","-11974"
"Malawi","Total Exports","17925"
"","Total Imports","33677"
"","Trade Balance","-15752"
"Congo (formerly Brazzaville)","Total Exports","145873"
"","Total Imports","164135"
"","Trade Balance","-18262"
"Kiribati","Total Exports",""
"","Total Imports","18820"
"","Trade Balance","-18820"
"Gibraltar","Total Exports","2474"
"","Total Imports","22912"
"","Trade Balance","-20438"
"Falkland Islands","Total Exports","4013"
"","Total Imports","28555"
"","Trade Balance","-24542"
"Solomon Islands","Total Exports",""
"","Total Imports","28786"
"","Trade Balance","-28786"
"Niger","Total Exports",""
"","Total Imports","39309"
"","Trade Balance","-39309"
"Seychelles","Total Exports","365284"
"","Total Imports","410624"
"","Trade Balance","-45340"
"Mozambique","Total Exports","167417"
"","Total Imports","228882"
"","Trade Balance","-61465"
"Cook Islands","Total Exports",""
"","Total Imports","78252"
"","Trade Balance","-78252"
"Andorra","Total Exports","1"
"","Total Imports","83519"
"","Trade Balance","-83518"
"Malta","Total Exports","893053"
"","Total Imports","995315"
"","Trade Balance","-102262"
"Swaziland","Total Exports","157577"
"","Total Imports","261478"
"","Trade Balance","-103901"
"Zimbabwe","Total Exports","548681"
"","Total Imports","693142"
"","Trade Balance","-144461"
"Oman (formerly Muscat and Oman)","Total Exports","159547"
"","Total Imports","327216"
"","Trade Balance","-167669"
"Serbia","Total Exports","1"
"","Total Imports","191301"
"","Trade Balance","-191300"
"U.S. Minor Outlying Islands","Total Exports","351893"
"","Total Imports","589841"
"","Trade Balance","-237948"
"Bosnia and Herzegovina","Total Exports","17308"
"","Total Imports","274373"
"","Trade Balance","-257065"
"Montserrat","Total Exports",""
"","Total Imports","265543"
"","Trade Balance","-265543"
"Belize","Total Exports","86117"
"","Total Imports","353275"
"","Trade Balance","-267158"
"British Virgin Islands","Total Exports","191900"
"","Total Imports","564917"
"","Trade Balance","-373017"
"Fiji","Total Exports","543056"
"","Total Imports","1129838"
