"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2007"
"Units","Value in  canadian dollars"

"","","2007"
"United States","Total Exports","19341075624"
"","Total Imports","15891225037"
"","Trade Balance","3449850587"
"Netherlands","Total Exports","426699467"
"","Total Imports","127336684"
"","Trade Balance","299362783"
"Hong Kong","Total Exports","239131350"
"","Total Imports","94053878"
"","Trade Balance","145077472"
"Brazil","Total Exports","242092995"
"","Total Imports","134281846"
"","Trade Balance","107811149"
"Belgium","Total Exports","168502168"
"","Total Imports","76347926"
"","Trade Balance","92154242"
"Türkiye","Total Exports","110268740"
"","Total Imports","33352736"
"","Trade Balance","76916004"
"United Arab Emirates","Total Exports","62312841"
"","Total Imports","3199504"
"","Trade Balance","59113337"
"Italy (incl. Vatican City State)","Total Exports","444979838"
"","Total Imports","388794761"
"","Trade Balance","56185077"
"United Kingdom","Total Exports","434880794"
"","Total Imports","382354098"
"","Trade Balance","52526696"
"Venezuela","Total Exports","43848754"
"","Total Imports","875227"
"","Trade Balance","42973527"
"Russia","Total Exports","69838977"
"","Total Imports","31847270"
"","Trade Balance","37991707"
"Slovakia","Total Exports","47016721"
"","Total Imports","12863640"
"","Trade Balance","34153081"
"Pakistan","Total Exports","45940135"
"","Total Imports","16198837"
"","Trade Balance","29741298"
"Saudi Arabia","Total Exports","24961815"
"","Total Imports","227079"
"","Trade Balance","24734736"
"Egypt","Total Exports","27773672"
"","Total Imports","3342153"
"","Trade Balance","24431519"
"India","Total Exports","241383366"
"","Total Imports","218292830"
"","Trade Balance","23090536"
"Ukraine","Total Exports","18382577"
"","Total Imports","1576785"
"","Trade Balance","16805792"
"Spain","Total Exports","74319267"
"","Total Imports","58845443"
"","Trade Balance","15473824"
"Cuba","Total Exports","13695567"
"","Total Imports","167340"
"","Trade Balance","13528227"
"Japan","Total Exports","4164759440"
"","Total Imports","4151989892"
"","Trade Balance","12769548"
"El Salvador","Total Exports","15253696"
"","Total Imports","2926691"
"","Trade Balance","12327005"
"U.S. Minor Outlying Islands","Total Exports","10765232"
"","Total Imports","359702"
"","Trade Balance","10405530"
"Qatar","Total Exports","9287981"
"","Total Imports","33541"
"","Trade Balance","9254440"
"Guatemala","Total Exports","40512521"
"","Total Imports","31346393"
"","Trade Balance","9166128"
"Panama","Total Exports","9793071"
"","Total Imports","1740363"
"","Trade Balance","8052708"
"Netherlands Antilles","Total Exports","7172491"
"","Total Imports","12618"
"","Trade Balance","7159873"
"Angola","Total Exports","6488780"
"","Total Imports","2369"
"","Trade Balance","6486411"
"Kuwait","Total Exports","5802182"
"","Total Imports","11531"
"","Trade Balance","5790651"
"Jordan","Total Exports","5448384"
"","Total Imports","471691"
"","Trade Balance","4976693"
"Ghana","Total Exports","4910781"
"","Total Imports","380065"
"","Trade Balance","4530716"
"French Polynesia","Total Exports","4879336"
"","Total Imports","433872"
"","Trade Balance","4445464"
"Cyprus","Total Exports","3999424"
"","Total Imports","28815"
"","Trade Balance","3970609"
"Greenland","Total Exports","3974889"
"","Total Imports","5669"
"","Trade Balance","3969220"
"Iraq","Total Exports","3942840"
"","Total Imports",""
"","Trade Balance","3942840"
"North Macedonia","Total Exports","4069905"
"","Total Imports","229367"
"","Trade Balance","3840538"
"Azerbaijan","Total Exports","3610826"
"","Total Imports","70941"
"","Trade Balance","3539885"
"Iran","Total Exports","13472623"
"","Total Imports","10415026"
"","Trade Balance","3057597"
"Tanzania","Total Exports","3772949"
"","Total Imports","833224"
"","Trade Balance","2939725"
"Korea, North","Total Exports","2617642"
"","Total Imports","26792"
"","Trade Balance","2590850"
"Morocco","Total Exports","6083584"
"","Total Imports","3644539"
"","Trade Balance","2439045"
"Oman (formerly Muscat and Oman)","Total Exports","2643256"
"","Total Imports","222456"
"","Trade Balance","2420800"
"Bahamas","Total Exports","2052055"
"","Total Imports","44010"
"","Trade Balance","2008045"
"Bahrain","Total Exports","2014073"
"","Total Imports","6915"
"","Trade Balance","2007158"
"Nigeria","Total Exports","1957463"
"","Total Imports","25368"
"","Trade Balance","1932095"
"Jamaica","Total Exports","2786103"
"","Total Imports","872195"
"","Trade Balance","1913908"
"Iceland","Total Exports","4184656"
"","Total Imports","2277591"
"","Trade Balance","1907065"
"Zambia (Zambi)","Total Exports","1905003"
"","Total Imports","31034"
"","Trade Balance","1873969"
"Lebanon","Total Exports","2008902"
"","Total Imports","196967"
"","Trade Balance","1811935"
"Nicaragua","Total Exports","4172815"
"","Total Imports","2483608"
"","Trade Balance","1689207"
"Georgia","Total Exports","1935748"
"","Total Imports","278785"
"","Trade Balance","1656963"
"Bermuda","Total Exports","1599157"
"","Total Imports","74091"
"","Trade Balance","1525066"
"South Africa","Total Exports","36398811"
"","Total Imports","34906929"
"","Trade Balance","1491882"
"Croatia","Total Exports","3365429"
"","Total Imports","1991373"
"","Trade Balance","1374056"
"Kenya","Total Exports","2160900"
"","Total Imports","802201"
"","Trade Balance","1358699"
"Afghanistan","Total Exports","1550931"
"","Total Imports","202589"
"","Trade Balance","1348342"
"Guinea","Total Exports","1361883"
"","Total Imports","70198"
"","Trade Balance","1291685"
"Mali","Total Exports","1240709"
"","Total Imports","45254"
"","Trade Balance","1195455"
"Cocos (Keeling) Islands","Total Exports","1213769"
"","Total Imports","18888"
"","Trade Balance","1194881"
"American Samoa","Total Exports","1221336"
"","Total Imports","38215"
"","Trade Balance","1183121"
"Sierra Leone","Total Exports","1179179"
"","Total Imports","68303"
"","Trade Balance","1110876"
"Guyana","Total Exports","1029349"
"","Total Imports","82875"
"","Trade Balance","946474"
"Kyrgyzstan","Total Exports","883259"
"","Total Imports","2210"
"","Trade Balance","881049"
"New Caledonia","Total Exports","900371"
"","Total Imports","54717"
"","Trade Balance","845654"
"Ireland","Total Exports","27712740"
"","Total Imports","26967781"
"","Trade Balance","744959"
"Mongolia","Total Exports","1324952"
"","Total Imports","601388"
"","Trade Balance","723564"
"Algeria","Total Exports","730728"
"","Total Imports","10125"
"","Trade Balance","720603"
"Botswana","Total Exports","700245"
"","Total Imports","7327"
"","Trade Balance","692918"
"Madagascar","Total Exports","1550929"
"","Total Imports","887972"
"","Trade Balance","662957"
"Syria","Total Exports","814925"
"","Total Imports","221908"
"","Trade Balance","593017"
"Maldives","Total Exports","638156"
"","Total Imports","54038"
"","Trade Balance","584118"
"Yemen","Total Exports","600903"
"","Total Imports","34391"
"","Trade Balance","566512"
"Barbados","Total Exports","1143508"
"","Total Imports","621491"
"","Trade Balance","522017"
"Senegal","Total Exports","484498"
"","Total Imports","9414"
"","Trade Balance","475084"
"Sudan","Total Exports","429378"
"","Total Imports","2222"
"","Trade Balance","427156"
"Armenia","Total Exports","607964"
"","Total Imports","212953"
"","Trade Balance","395011"
"Cayman Islands","Total Exports","448146"
"","Total Imports","79022"
"","Trade Balance","369124"
"Congo (formerly Zaire)","Total Exports","431051"
"","Total Imports","70102"
"","Trade Balance","360949"
"Montenegro","Total Exports","380403"
"","Total Imports","53778"
"","Trade Balance","326625"
"Guam","Total Exports","347730"
"","Total Imports","24917"
"","Trade Balance","322813"
"Rwanda","Total Exports","317505"
"","Total Imports","39278"
"","Trade Balance","278227"
"Libya","Total Exports","263579"
"","Total Imports",""
"","Trade Balance","263579"
"Saint Pierre-Miquelon","Total Exports","252493"
"","Total Imports",""
"","Trade Balance","252493"
"Congo (formerly Brazzaville)","Total Exports","455453"
"","Total Imports","220857"
"","Trade Balance","234596"
"Serbia","Total Exports","980093"
"","Total Imports","753143"
"","Trade Balance","226950"
"Uganda","Total Exports","454599"
"","Total Imports","243050"
"","Trade Balance","211549"
"Swaziland","Total Exports","734762"
"","Total Imports","527581"
"","Trade Balance","207181"
"Gabon","Total Exports","372760"
"","Total Imports","227110"
"","Trade Balance","145650"
"Suriname","Total Exports","386939"
"","Total Imports","251020"
"","Trade Balance","135919"
"Burkina Faso","Total Exports","234370"
"","Total Imports","101941"
"","Trade Balance","132429"
"Mozambique","Total Exports","215103"
"","Total Imports","83245"
"","Trade Balance","131858"
"Antigua and Barbuda","Total Exports","203580"
"","Total Imports","73108"
"","Trade Balance","130472"
"Turks and Caicos Islands","Total Exports","132062"
"","Total Imports","3685"
"","Trade Balance","128377"
"Niger","Total Exports","219617"
"","Total Imports","97148"
"","Trade Balance","122469"
"Côte-d'Ivoire","Total Exports","248626"
"","Total Imports","130047"
"","Trade Balance","118579"
"Liberia","Total Exports","128619"
"","Total Imports","10523"
"","Trade Balance","118096"
"Mauritania","Total Exports","664115"
"","Total Imports","554976"
"","Trade Balance","109139"
"Equatorial Guinea","Total Exports","98496"
"","Total Imports",""
"","Trade Balance","98496"
"Namibia","Total Exports","418825"
"","Total Imports","322930"
"","Trade Balance","95895"
"Faeroe Islands","Total Exports","83793"
"","Total Imports","699"
"","Trade Balance","83094"
"Chad","Total Exports","70514"
"","Total Imports","977"
"","Trade Balance","69537"
"Saint Lucia","Total Exports","70862"
"","Total Imports","3788"
"","Trade Balance","67074"
"Uzbekistan","Total Exports","117210"
"","Total Imports","51647"
"","Trade Balance","65563"
"British Virgin Islands","Total Exports","130683"
"","Total Imports","67330"
"","Trade Balance","63353"
"Dominica","Total Exports","84569"
"","Total Imports","24635"
"","Trade Balance","59934"
"Grenada","Total Exports","58887"
"","Total Imports","270"
"","Trade Balance","58617"
"Antarctica","Total Exports","58294"
"","Total Imports",""
"","Trade Balance","58294"
"Benin","Total Exports","45072"
"","Total Imports","263"
"","Trade Balance","44809"
"Djibouti","Total Exports","38433"
"","Total Imports","98"
"","Trade Balance","38335"
"Andorra","Total Exports","41074"
"","Total Imports","3720"
"","Trade Balance","37354"
"Latvia","Total Exports","749563"
"","Total Imports","712211"
"","Trade Balance","37352"
"Saint Vincent and the Grenadines","Total Exports","55622"
"","Total Imports","20283"
"","Trade Balance","35339"
"Guinea-Bissau","Total Exports","32385"
"","Total Imports",""
"","Trade Balance","32385"
"Gambia","Total Exports","56435"
"","Total Imports","24476"
"","Trade Balance","31959"
"Christmas Island","Total Exports","27243"
"","Total Imports","170"
"","Trade Balance","27073"
"Cameroon","Total Exports","795616"
"","Total Imports","770797"
"","Trade Balance","24819"
"Malawi","Total Exports","57688"
"","Total Imports","33652"
"","Trade Balance","24036"
"Tajikistan","Total Exports","18556"
"","Total Imports","4418"
"","Trade Balance","14138"
"Gibraltar","Total Exports","12979"
"","Total Imports","455"
"","Trade Balance","12524"
"Central African Republic","Total Exports","13636"
"","Total Imports","2087"
"","Trade Balance","11549"
"Falkland Islands","Total Exports","12153"
"","Total Imports","1987"
"","Trade Balance","10166"
"Togo","Total Exports","12145"
"","Total Imports","2176"
"","Trade Balance","9969"
"Eritrea","Total Exports","9173"
"","Total Imports","52"
"","Trade Balance","9121"
"Saint Helena","Total Exports","14453"
"","Total Imports","5353"
"","Trade Balance","9100"
"Burundi","Total Exports","7830"
"","Total Imports",""
"","Trade Balance","7830"
"Bhutan","Total Exports","7650"
"","Total Imports","39"
"","Trade Balance","7611"
"Montserrat","Total Exports","10486"
"","Total Imports","7505"
"","Trade Balance","2981"
"Western Sahara","Total Exports",""
"","Total Imports","60"
"","Trade Balance","-60"
"Pitcairn Island","Total Exports",""
"","Total Imports","86"
"","Trade Balance","-86"
"Cape Verde","Total Exports",""
"","Total Imports","133"
"","Trade Balance","-133"
"Norfolk Island","Total Exports",""
"","Total Imports","330"
"","Trade Balance","-330"
"Niue","Total Exports",""
"","Total Imports","566"
"","Trade Balance","-566"
"Somalia","Total Exports","734"
"","Total Imports","2282"
"","Trade Balance","-1548"
"Comoros","Total Exports","23603"
"","Total Imports","25656"
"","Trade Balance","-2053"
"Anguilla","Total Exports","17776"
"","Total Imports","25140"
"","Trade Balance","-7364"
"Nauru","Total Exports",""
"","Total Imports","10189"
"","Trade Balance","-10189"
"Kiribati","Total Exports",""
"","Total Imports","14010"
"","Trade Balance","-14010"
"Vanuatu (New Hebrides)","Total Exports","12006"
"","Total Imports","29553"
"","Trade Balance","-17547"
"Albania","Total Exports","40788"
"","Total Imports","58758"
"","Trade Balance","-17970"
"Lesotho","Total Exports","27080"
"","Total Imports","45163"
"","Trade Balance","-18083"
"Cook Islands","Total Exports",""
"","Total Imports","22814"
"","Trade Balance","-22814"
"Tonga","Total Exports","21350"
"","Total Imports","51135"
"","Trade Balance","-29785"
"Dominican Republic","Total Exports","2555030"
"","Total Imports","2603324"
"","Trade Balance","-48294"
"Wallis and Futuna Islands","Total Exports",""
"","Total Imports","50917"
"","Trade Balance","-50917"
"Tunisia","Total Exports","2975228"
"","Total Imports","3040341"
"","Trade Balance","-65113"
"Seychelles","Total Exports","240819"
"","Total Imports","317331"
"","Trade Balance","-76512"
"Moldova","Total Exports","3970"
"","Total Imports","93747"
"","Trade Balance","-89777"
"Turkmenistan","Total Exports","10725"
"","Total Imports","113432"
"","Trade Balance","-102707"
"Samoa (Western)","Total Exports","164466"
"","Total Imports","270697"
"","Trade Balance","-106231"
"Solomon Islands","Total Exports","2472"
"","Total Imports","114754"
"","Trade Balance","-112282"
"Bosnia and Herzegovina","Total Exports","100679"
"","Total Imports","257068"
"","Trade Balance","-156389"
"Malta","Total Exports","856259"
"","Total Imports","1014638"
"","Trade Balance","-158379"
"Haiti","Total Exports","136530"
"","Total Imports","351880"
"","Trade Balance","-215350"
"Saint Kitts and Nevis","Total Exports","61675"
"","Total Imports","382238"
"","Trade Balance","-320563"
"Paraguay","Total Exports","263394"
"","Total Imports","726422"
"","Trade Balance","-463028"
"Papua New Guinea","Total Exports","1638495"
"","Total Imports","2143980"
"","Trade Balance","-505485"
"Belize","Total Exports","300724"
"","Total Imports","1005758"
"","Trade Balance","-705034"
"Bulgaria","Total Exports","2962148"
"","Total Imports","3697162"
"","Trade Balance","-735014"
"Kazakhstan","Total Exports","4113392"
"","Total Imports","4875652"
"","Trade Balance","-762260"
"Brunei Darussalam","Total Exports","563916"
"","Total Imports","1426297"
"","Trade Balance","-862381"
"Uruguay","Total Exports","1582109"
"","Total Imports","2681891"
"","Trade Balance","-1099782"
"Fiji","Total Exports","405213"
"","Total Imports","1516878"
"","Trade Balance","-1111665"
"Timor-Leste","Total Exports",""
"","Total Imports","1150924"
"","Trade Balance","-1150924"
"Mauritius","Total Exports","196485"
"","Total Imports","1360876"
"","Trade Balance","-1164391"
"Belarus (formerly Byelorussia)","Total Exports","460472"
"","Total Imports","1732834"
"","Trade Balance","-1272362"
"Zimbabwe","Total Exports","289206"
"","Total Imports","1801026"
"","Trade Balance","-1511820"
"Ethiopia","Total Exports","51141"
"","Total Imports","1826862"
"","Trade Balance","-1775721"
"Nepal","Total Exports","197011"
"","Total Imports","2218427"
"","Trade Balance","-2021416"
"Slovenia","Total Exports","1116939"
"","Total Imports","3144770"
"","Trade Balance","-2027831"
"Singapore","Total Exports","76716323"
"","Total Imports","78908159"
"","Trade Balance","-2191836"
"Lithuania","Total Exports","4422890"
"","Total Imports","6717659"
"","Trade Balance","-2294769"
