"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2010"
"Units","Value in  canadian dollars"

"","","2010"
"Japan","Total Exports","4221562866"
"","Total Imports","2519617338"
"","Trade Balance","1701945528"
"Korea, South","Total Exports","1903455286"
"","Total Imports","950564295"
"","Trade Balance","952890991"
"Netherlands","Total Exports","455911409"
"","Total Imports","100234136"
"","Trade Balance","355677273"
"Brazil","Total Exports","448344124"
"","Total Imports","94952475"
"","Trade Balance","353391649"
"Hong Kong","Total Exports","268783869"
"","Total Imports","69193266"
"","Trade Balance","199590603"
"Türkiye","Total Exports","194710507"
"","Total Imports","34548245"
"","Trade Balance","160162262"
"Italy (incl. Vatican City State)","Total Exports","454283915"
"","Total Imports","343071784"
"","Trade Balance","111212131"
"United Arab Emirates","Total Exports","59700581"
"","Total Imports","4345016"
"","Trade Balance","55355565"
"United Kingdom","Total Exports","324501748"
"","Total Imports","269589603"
"","Trade Balance","54912145"
"Belgium","Total Exports","126421517"
"","Total Imports","83807580"
"","Trade Balance","42613937"
"Finland","Total Exports","105923136"
"","Total Imports","63721761"
"","Trade Balance","42201375"
"Pakistan","Total Exports","52740501"
"","Total Imports","15055007"
"","Trade Balance","37685494"
"Saudi Arabia","Total Exports","43693708"
"","Total Imports","8309838"
"","Trade Balance","35383870"
"Cuba","Total Exports","34030700"
"","Total Imports","79365"
"","Trade Balance","33951335"
"Afghanistan","Total Exports","24477386"
"","Total Imports","178081"
"","Trade Balance","24299305"
"Russia","Total Exports","56911828"
"","Total Imports","33398555"
"","Trade Balance","23513273"
"South Africa","Total Exports","58964376"
"","Total Imports","35757943"
"","Trade Balance","23206433"
"Egypt","Total Exports","26348976"
"","Total Imports","4244469"
"","Trade Balance","22104507"
"Ukraine","Total Exports","22444206"
"","Total Imports","3113526"
"","Trade Balance","19330680"
"Venezuela","Total Exports","18205793"
"","Total Imports","218777"
"","Trade Balance","17987016"
"Dominican Republic","Total Exports","13254635"
"","Total Imports","3094668"
"","Trade Balance","10159967"
"Ghana","Total Exports","8407798"
"","Total Imports","223939"
"","Trade Balance","8183859"
"Kuwait","Total Exports","8168996"
"","Total Imports","18"
"","Trade Balance","8168978"
"Jordan","Total Exports","8875526"
"","Total Imports","1091876"
"","Trade Balance","7783650"
"Iran","Total Exports","12786605"
"","Total Imports","6437430"
"","Trade Balance","6349175"
"Panama","Total Exports","8899983"
"","Total Imports","3661217"
"","Trade Balance","5238766"
"Madagascar","Total Exports","5848906"
"","Total Imports","656926"
"","Trade Balance","5191980"
"Korea, North","Total Exports","5102250"
"","Total Imports","35755"
"","Trade Balance","5066495"
"Bahamas","Total Exports","3975462"
"","Total Imports","9509"
"","Trade Balance","3965953"
"Iraq","Total Exports","3908177"
"","Total Imports","5236"
"","Trade Balance","3902941"
"Lebanon","Total Exports","3905465"
"","Total Imports","104289"
"","Trade Balance","3801176"
"Kazakhstan","Total Exports","3555358"
"","Total Imports","257132"
"","Trade Balance","3298226"
"Nigeria","Total Exports","3208322"
"","Total Imports","12444"
"","Trade Balance","3195878"
"Papua New Guinea","Total Exports","3880433"
"","Total Imports","723014"
"","Trade Balance","3157419"
"Yemen","Total Exports","3128652"
"","Total Imports","32551"
"","Trade Balance","3096101"
"French Polynesia","Total Exports","2876476"
"","Total Imports","43981"
"","Trade Balance","2832495"
"Qatar","Total Exports","2889653"
"","Total Imports","69346"
"","Trade Balance","2820307"
