"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2011"
"Units","Value in  canadian dollars"

"","","2011"
"Japan","Total Exports","4667183072"
"","Total Imports","2525579858"
"","Trade Balance","2141603214"
"Korea, South","Total Exports","2738371389"
"","Total Imports","1107547502"
"","Trade Balance","1630823887"
"Brazil","Total Exports","721028215"
"","Total Imports","139851538"
"","Trade Balance","581176677"
"Netherlands","Total Exports","641987088"
"","Total Imports","126821612"
"","Trade Balance","515165476"
"Hong Kong","Total Exports","302432031"
"","Total Imports","75814285"
"","Trade Balance","226617746"
"Türkiye","Total Exports","248727248"
"","Total Imports","65830438"
"","Trade Balance","182896810"
"Italy (incl. Vatican City State)","Total Exports","518179124"
"","Total Imports","370231147"
"","Trade Balance","147947977"
"Finland","Total Exports","139610381"
"","Total Imports","47255338"
"","Trade Balance","92355043"
"United Kingdom","Total Exports","434927669"
"","Total Imports","344487039"
"","Trade Balance","90440630"
"United Arab Emirates","Total Exports","58947124"
"","Total Imports","6184067"
"","Trade Balance","52763057"
"Pakistan","Total Exports","68253571"
"","Total Imports","18379591"
"","Trade Balance","49873980"
"South Africa","Total Exports","86636764"
"","Total Imports","39692160"
"","Trade Balance","46944604"
"Cuba","Total Exports","33500766"
"","Total Imports","68259"
"","Trade Balance","33432507"
"Egypt","Total Exports","37875294"
"","Total Imports","5303959"
"","Trade Balance","32571335"
"Russia","Total Exports","71437052"
"","Total Imports","39785201"
"","Trade Balance","31651851"
"Ukraine","Total Exports","25421405"
"","Total Imports","3170393"
"","Trade Balance","22251012"
"Afghanistan","Total Exports","22335080"
"","Total Imports","213956"
"","Trade Balance","22121124"
"Mongolia","Total Exports","21974625"
"","Total Imports","379028"
"","Trade Balance","21595597"
"Venezuela","Total Exports","17978116"
"","Total Imports","137534"
"","Trade Balance","17840582"
"Jordan","Total Exports","12236195"
"","Total Imports","341386"
"","Trade Balance","11894809"
"Israel","Total Exports","75320524"
"","Total Imports","64109674"
"","Trade Balance","11210850"
"Ghana","Total Exports","11417884"
"","Total Imports","336115"
"","Trade Balance","11081769"
"Kuwait","Total Exports","9373621"
"","Total Imports","1929"
"","Trade Balance","9371692"
"Panama","Total Exports","10064094"
"","Total Imports","1074366"
"","Trade Balance","8989728"
"Kazakhstan","Total Exports","7070879"
"","Total Imports","10443"
"","Trade Balance","7060436"
"Iran","Total Exports","13192015"
"","Total Imports","6540802"
"","Trade Balance","6651213"
"Saudi Arabia","Total Exports","41085063"
"","Total Imports","35306685"
"","Trade Balance","5778378"
"Greenland","Total Exports","5526564"
"","Total Imports","2190"
"","Trade Balance","5524374"
"Guinea","Total Exports","4561795"
