"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2012"
"Units","Value in  canadian dollars"

"","","2012"
"Japan","Total Exports","4158454134"
"","Total Imports","2923809542"
"","Trade Balance","1234644592"
"Korea, South","Total Exports","1896855740"
"","Total Imports","1136088263"
"","Trade Balance","760767477"
"Netherlands","Total Exports","538084955"
"","Total Imports","134167504"
"","Trade Balance","403917451"
"Brazil","Total Exports","477601658"
"","Total Imports","208526578"
"","Trade Balance","269075080"
"Hong Kong","Total Exports","247546449"
"","Total Imports","56876121"
"","Trade Balance","190670328"
"Russia","Total Exports","110736242"
"","Total Imports","42144273"
"","Trade Balance","68591969"
"South Africa","Total Exports","98772369"
"","Total Imports","36661990"
"","Trade Balance","62110379"
"Saudi Arabia","Total Exports","58859321"
"","Total Imports","1039559"
"","Trade Balance","57819762"
"Türkiye","Total Exports","113809222"
"","Total Imports","65837476"
"","Trade Balance","47971746"
"Cuba","Total Exports","43474986"
"","Total Imports","36306"
"","Trade Balance","43438680"
"Finland","Total Exports","87773783"
"","Total Imports","51328692"
"","Trade Balance","36445091"
"United Arab Emirates","Total Exports","47142270"
"","Total Imports","13959610"
"","Trade Balance","33182660"
"India","Total Exports","327616006"
"","Total Imports","294588698"
"","Trade Balance","33027308"
"Ukraine","Total Exports","31599305"
"","Total Imports","3167798"
"","Trade Balance","28431507"
"Venezuela","Total Exports","23926996"
"","Total Imports","170592"
"","Trade Balance","23756404"
"Mongolia","Total Exports","23609682"
"","Total Imports","348710"
"","Trade Balance","23260972"
"Afghanistan","Total Exports","20652425"
"","Total Imports","189777"
"","Trade Balance","20462648"
"Pakistan","Total Exports","39511362"
"","Total Imports","21865068"
"","Trade Balance","17646294"
"Jordan","Total Exports","14859838"
"","Total Imports","592283"
"","Trade Balance","14267555"
"Ghana","Total Exports","12117772"
"","Total Imports","293970"
"","Trade Balance","11823802"
"Panama","Total Exports","11936299"
"","Total Imports","1069789"
"","Trade Balance","10866510"
"New Caledonia","Total Exports","8696075"
"","Total Imports","233838"
"","Trade Balance","8462237"
"Congo (formerly Zaire)","Total Exports","8492862"
"","Total Imports","133208"
"","Trade Balance","8359654"
"Côte-d'Ivoire","Total Exports","7355578"
"","Total Imports","1150973"
"","Trade Balance","6204605"
"Egypt","Total Exports","10702692"
"","Total Imports","4618448"
"","Trade Balance","6084244"
"Nigeria","Total Exports","5844532"
"","Total Imports","27256"
"","Trade Balance","5817276"
"Kuwait","Total Exports","5796808"
"","Total Imports","4490"
"","Trade Balance","5792318"
"Tanzania","Total Exports","6355281"
"","Total Imports","1151391"
"","Trade Balance","5203890"
"Kenya","Total Exports","6543656"
"","Total Imports","1375620"
"","Trade Balance","5168036"
"Angola","Total Exports","4893388"
"","Total Imports","24784"
"","Trade Balance","4868604"
"El Salvador","Total Exports","10205197"
"","Total Imports","5998754"
"","Trade Balance","4206443"
"Yemen","Total Exports","4181538"
"","Total Imports","25871"
"","Trade Balance","4155667"
"Laos","Total Exports","7004442"
"","Total Imports","2875413"
"","Trade Balance","4129029"
"Congo (formerly Brazzaville)","Total Exports","4267079"
"","Total Imports","231524"
"","Trade Balance","4035555"
"Colombia","Total Exports","48978612"
"","Total Imports","45184104"
"","Trade Balance","3794508"
"Qatar","Total Exports","3644555"
"","Total Imports","87017"
"","Trade Balance","3557538"
"Burkina Faso","Total Exports","3508946"
"","Total Imports","1291"
"","Trade Balance","3507655"
"Oman (formerly Muscat and Oman)","Total Exports","3636128"
"","Total Imports","174073"
"","Trade Balance","3462055"
"Guinea","Total Exports","3256152"
"","Total Imports","63569"
"","Trade Balance","3192583"
"Benin","Total Exports","3163369"
"","Total Imports","288"
"","Trade Balance","3163081"
"Papua New Guinea","Total Exports","4146068"
"","Total Imports","1020804"
"","Trade Balance","3125264"
"Lebanon","Total Exports","3458198"
"","Total Imports","534727"
"","Trade Balance","2923471"
"Kazakhstan","Total Exports","2989044"
"","Total Imports","75942"
"","Trade Balance","2913102"
"Uruguay","Total Exports","3327535"
"","Total Imports","441200"
"","Trade Balance","2886335"
"Iraq","Total Exports","2611398"
"","Total Imports","536"
"","Trade Balance","2610862"
"Liberia","Total Exports","2568373"
"","Total Imports","1430"
"","Trade Balance","2566943"
"Zambia (Zambi)","Total Exports","2572631"
"","Total Imports","36634"
"","Trade Balance","2535997"
"Sierra Leone","Total Exports","2600286"
"","Total Imports","71129"
"","Trade Balance","2529157"
"Georgia","Total Exports","2932527"
"","Total Imports","507283"
"","Trade Balance","2425244"
"Algeria","Total Exports","2296720"
"","Total Imports","11879"
"","Trade Balance","2284841"
"Jamaica","Total Exports","3042279"
"","Total Imports","859512"
"","Trade Balance","2182767"
"Senegal","Total Exports","2461457"
"","Total Imports","279536"
"","Trade Balance","2181921"
"Guyana","Total Exports","1835086"
"","Total Imports","144182"
"","Trade Balance","1690904"
"Mauritania","Total Exports","1665246"
"","Total Imports","15154"
"","Trade Balance","1650092"
"Maldives","Total Exports","2070660"
"","Total Imports","423228"
"","Trade Balance","1647432"
"Mali","Total Exports","1655164"
"","Total Imports","10767"
"","Trade Balance","1644397"
"Kyrgyzstan","Total Exports","1635914"
"","Total Imports","2626"
"","Trade Balance","1633288"
"Greenland","Total Exports","1525982"
"","Total Imports","16173"
"","Trade Balance","1509809"
"Nicaragua","Total Exports","7068533"
"","Total Imports","5628549"
"","Trade Balance","1439984"
"French Polynesia","Total Exports","1510917"
"","Total Imports","91864"
"","Trade Balance","1419053"
"Dominican Republic","Total Exports","4593658"
"","Total Imports","3363136"
"","Trade Balance","1230522"
"Gabon","Total Exports","1285349"
"","Total Imports","55200"
"","Trade Balance","1230149"
"Bahrain","Total Exports","1518252"
"","Total Imports","303772"
"","Trade Balance","1214480"
"Sudan","Total Exports","1102721"
"","Total Imports","672"
"","Trade Balance","1102049"
"Mozambique","Total Exports","1133437"
"","Total Imports","50597"
"","Trade Balance","1082840"
"Bahamas","Total Exports","1062683"
"","Total Imports","17171"
"","Trade Balance","1045512"
"Suriname","Total Exports","1057198"
"","Total Imports","83339"
"","Trade Balance","973859"
"U.S. Minor Outlying Islands","Total Exports","1530679"
"","Total Imports","573461"
"","Trade Balance","957218"
"Togo","Total Exports","929697"
"","Total Imports","17456"
"","Trade Balance","912241"
"Barbados","Total Exports","1334251"
"","Total Imports","470985"
"","Trade Balance","863266"
"Libya","Total Exports","755138"
"","Total Imports","418"
"","Trade Balance","754720"
"Cyprus","Total Exports","768564"
"","Total Imports","27823"
"","Trade Balance","740741"
"Netherlands Antilles","Total Exports","753126"
"","Total Imports","49936"
"","Trade Balance","703190"
"Latvia","Total Exports","1624114"
"","Total Imports","948740"
"","Trade Balance","675374"
"American Samoa","Total Exports","677775"
"","Total Imports","57306"
"","Trade Balance","620469"
"Azerbaijan","Total Exports","602059"
"","Total Imports","21664"
"","Trade Balance","580395"
"Antigua and Barbuda","Total Exports","582722"
"","Total Imports","13103"
"","Trade Balance","569619"
"Myanmar (Burma)","Total Exports","575115"
"","Total Imports","88292"
"","Trade Balance","486823"
"Uganda","Total Exports","1503480"
"","Total Imports","1089942"
"","Trade Balance","413538"
"Gambia","Total Exports","365041"
"","Total Imports","650"
"","Trade Balance","364391"
"Lesotho","Total Exports","1107153"
"","Total Imports","748132"
"","Trade Balance","359021"
"Armenia","Total Exports","377208"
"","Total Imports","39668"
"","Trade Balance","337540"
"Bermuda","Total Exports","437467"
"","Total Imports","110073"
"","Trade Balance","327394"
"Equatorial Guinea","Total Exports","335383"
"","Total Imports","11538"
"","Trade Balance","323845"
"Serbia","Total Exports","1333182"
"","Total Imports","1028634"
"","Trade Balance","304548"
"Namibia","Total Exports","337673"
"","Total Imports","40326"
"","Trade Balance","297347"
"Cayman Islands","Total Exports","539976"
"","Total Imports","273624"
"","Trade Balance","266352"
"Saint Pierre-Miquelon","Total Exports","243756"
"","Total Imports",""
"","Trade Balance","243756"
"Morocco","Total Exports","3848390"
"","Total Imports","3605961"
"","Trade Balance","242429"
"Seychelles","Total Exports","260929"
"","Total Imports","21663"
"","Trade Balance","239266"
"Eritrea","Total Exports","240225"
"","Total Imports","4758"
"","Trade Balance","235467"
"Malta","Total Exports","714111"
"","Total Imports","508310"
"","Trade Balance","205801"
"Swaziland","Total Exports","387127"
"","Total Imports","189749"
"","Trade Balance","197378"
"Vanuatu (New Hebrides)","Total Exports","192059"
"","Total Imports","6569"
"","Trade Balance","185490"
"Montenegro","Total Exports","217849"
"","Total Imports","42347"
"","Trade Balance","175502"
"Zimbabwe","Total Exports","555604"
"","Total Imports","384455"
"","Trade Balance","171149"
"Guam","Total Exports","166767"
"","Total Imports","1049"
"","Trade Balance","165718"
"Chad","Total Exports","167276"
"","Total Imports","2426"
"","Trade Balance","164850"
"Saint Vincent and the Grenadines","Total Exports","146433"
"","Total Imports","302"
"","Trade Balance","146131"
"Korea, North","Total Exports","149260"
"","Total Imports","6174"
"","Trade Balance","143086"
"Saint Lucia","Total Exports","135373"
"","Total Imports","1657"
"","Trade Balance","133716"
"Djibouti","Total Exports","126850"
"","Total Imports","6726"
"","Trade Balance","120124"
"Tajikistan","Total Exports","104000"
"","Total Imports","3448"
"","Trade Balance","100552"
"Faeroe Islands","Total Exports","95860"
"","Total Imports","10"
"","Trade Balance","95850"
"Turks and Caicos Islands","Total Exports","99260"
"","Total Imports","21610"
"","Trade Balance","77650"
"Grenada","Total Exports","73756"
"","Total Imports","529"
"","Trade Balance","73227"
"Christmas Island","Total Exports","63775"
"","Total Imports","614"
"","Trade Balance","63161"
"Aruba","Total Exports","35234"
"","Total Imports","4027"
"","Trade Balance","31207"
"Burundi","Total Exports","123301"
"","Total Imports","98360"
"","Trade Balance","24941"
"Samoa (Western)","Total Exports","38665"
"","Total Imports","17652"
"","Trade Balance","21013"
"Rwanda","Total Exports","310556"
"","Total Imports","302231"
"","Trade Balance","8325"
"Niue","Total Exports","7402"
"","Total Imports","17"
"","Trade Balance","7385"
"Gibraltar","Total Exports","6142"
"","Total Imports","1152"
"","Trade Balance","4990"
"Wallis and Futuna Islands","Total Exports","12849"
"","Total Imports","8202"
"","Trade Balance","4647"
"Cameroon","Total Exports","1001664"
"","Total Imports","998584"
"","Trade Balance","3080"
"Cape Verde","Total Exports","6520"
"","Total Imports","4892"
"","Trade Balance","1628"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","11"
"","Trade Balance","-11"
"Antarctica","Total Exports",""
"","Total Imports","20"
"","Trade Balance","-20"
"Pitcairn Island","Total Exports",""
"","Total Imports","224"
"","Trade Balance","-224"
"Guinea-Bissau","Total Exports",""
"","Total Imports","252"
"","Trade Balance","-252"
"Cook Islands","Total Exports",""
"","Total Imports","436"
"","Trade Balance","-436"
"Norfolk Island","Total Exports",""
"","Total Imports","501"
"","Trade Balance","-501"
"Montserrat","Total Exports","3975"
"","Total Imports","4878"
"","Trade Balance","-903"
"Comoros","Total Exports",""
"","Total Imports","1079"
"","Trade Balance","-1079"
"Bhutan","Total Exports","15304"
"","Total Imports","17167"
"","Trade Balance","-1863"
"Somalia","Total Exports","2500"
"","Total Imports","4445"
"","Trade Balance","-1945"
"Anguilla","Total Exports","44952"
"","Total Imports","48502"
"","Trade Balance","-3550"
"Cocos (Keeling) Islands","Total Exports",""
"","Total Imports","4557"
"","Trade Balance","-4557"
"British Virgin Islands","Total Exports","20816"
"","Total Imports","25608"
"","Trade Balance","-4792"
"Dominica","Total Exports","13360"
"","Total Imports","20231"
"","Trade Balance","-6871"
"Uzbekistan","Total Exports","2523"
"","Total Imports","13822"
"","Trade Balance","-11299"
"Kiribati","Total Exports","1807"
"","Total Imports","16055"
"","Trade Balance","-14248"
"British Indian Ocean Territories","Total Exports",""
"","Total Imports","15430"
"","Trade Balance","-15430"
"Nauru","Total Exports",""
"","Total Imports","15898"
"","Trade Balance","-15898"
"Saint Helena","Total Exports",""
"","Total Imports","17849"
"","Trade Balance","-17849"
"Tonga","Total Exports",""
"","Total Imports","28701"
"","Trade Balance","-28701"
"Botswana","Total Exports","670371"
"","Total Imports","699113"
"","Trade Balance","-28742"
"Niger","Total Exports","58224"
"","Total Imports","90004"
"","Trade Balance","-31780"
"Andorra","Total Exports","1541"
"","Total Imports","34936"
"","Trade Balance","-33395"
"Central African Republic","Total Exports",""
"","Total Imports","37032"
"","Trade Balance","-37032"
"Syria","Total Exports","7119"
"","Total Imports","53078"
"","Trade Balance","-45959"
"Falkland Islands","Total Exports",""
"","Total Imports","49946"
"","Trade Balance","-49946"
"Belarus (formerly Byelorussia)","Total Exports","22021"
"","Total Imports","88043"
"","Trade Balance","-66022"
"Belize","Total Exports","92329"
"","Total Imports","194142"
"","Trade Balance","-101813"
"Malawi","Total Exports","18846"
"","Total Imports","164917"
"","Trade Balance","-146071"
"Turkmenistan","Total Exports","3474"
"","Total Imports","162420"
"","Trade Balance","-158946"
"Solomon Islands","Total Exports","99335"
"","Total Imports","279570"
"","Trade Balance","-180235"
"North Macedonia","Total Exports","215132"
"","Total Imports","428508"
"","Trade Balance","-213376"
"Moldova","Total Exports","208436"
"","Total Imports","437699"
"","Trade Balance","-229263"
"Albania","Total Exports","11979"
"","Total Imports","339144"
"","Trade Balance","-327165"
"Haiti","Total Exports","802907"
"","Total Imports","1140281"
"","Trade Balance","-337374"
"Iran","Total Exports","7515987"
"","Total Imports","8001280"
"","Trade Balance","-485293"
"Madagascar","Total Exports","2006556"
"","Total Imports","2582375"
"","Trade Balance","-575819"
"Iceland","Total Exports","1640419"
"","Total Imports","2255794"
"","Trade Balance","-615375"
"Croatia","Total Exports","576717"
"","Total Imports","1193024"
"","Trade Balance","-616307"
"Mauritius","Total Exports","468899"
"","Total Imports","1108840"
"","Trade Balance","-639941"
