"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2013"
"Units","Value in  canadian dollars"

"","","2013"
"Japan","Total Exports","4074742515"
"","Total Imports","2779369652"
"","Trade Balance","1295372863"
"Korea, South","Total Exports","1821662001"
"","Total Imports","1157400304"
"","Trade Balance","664261697"
"Netherlands","Total Exports","326734800"
"","Total Imports","116842998"
"","Trade Balance","209891802"
"Hong Kong","Total Exports","224909888"
"","Total Imports","63309241"
"","Trade Balance","161600647"
"Brazil","Total Exports","300734672"
"","Total Imports","150972714"
"","Trade Balance","149761958"
"India","Total Exports","472402708"
"","Total Imports","387580836"
"","Trade Balance","84821872"
"Ukraine","Total Exports","74873586"
"","Total Imports","5020005"
"","Trade Balance","69853581"
"South Africa","Total Exports","81578096"
"","Total Imports","34055367"
"","Trade Balance","47522729"
"Saudi Arabia","Total Exports","43996646"
"","Total Imports","589703"
"","Trade Balance","43406943"
"Finland","Total Exports","90865094"
"","Total Imports","50462654"
"","Trade Balance","40402440"
"Venezuela","Total Exports","25462388"
"","Total Imports","234453"
"","Trade Balance","25227935"
"Cuba","Total Exports","23057787"
"","Total Imports","6809"
"","Trade Balance","23050978"
"Russia","Total Exports","115323447"
"","Total Imports","96421723"
"","Trade Balance","18901724"
"Afghanistan","Total Exports","19071136"
"","Total Imports","360075"
"","Trade Balance","18711061"
"United Arab Emirates","Total Exports","63310994"
"","Total Imports","44714442"
"","Trade Balance","18596552"
"Romania","Total Exports","26236350"
"","Total Imports","13858007"
"","Trade Balance","12378343"
"Jordan","Total Exports","12456930"
"","Total Imports","723712"
"","Trade Balance","11733218"
"Kenya","Total Exports","11892971"
"","Total Imports","1177527"
"","Trade Balance","10715444"
"Colombia","Total Exports","49361515"
"","Total Imports","39895065"
"","Trade Balance","9466450"
"Ghana","Total Exports","9061542"
"","Total Imports","384272"
"","Trade Balance","8677270"
"Nigeria","Total Exports","8400381"
"","Total Imports","9399"
"","Trade Balance","8390982"
"Panama","Total Exports","8716188"
"","Total Imports","492368"
"","Trade Balance","8223820"
"Côte-d'Ivoire","Total Exports","8822023"
"","Total Imports","926464"
"","Trade Balance","7895559"
"Kazakhstan","Total Exports","6531266"
"","Total Imports","35602"
"","Trade Balance","6495664"
"Mongolia","Total Exports","6206456"
"","Total Imports","487948"
"","Trade Balance","5718508"
"New Caledonia","Total Exports","5302990"
"","Total Imports","15143"
"","Trade Balance","5287847"
"Congo (formerly Brazzaville)","Total Exports","5407016"
"","Total Imports","241689"
"","Trade Balance","5165327"
"Zambia (Zambi)","Total Exports","5045562"
"","Total Imports","142764"
"","Trade Balance","4902798"
"Georgia","Total Exports","4559785"
"","Total Imports","518182"
"","Trade Balance","4041603"
"Kuwait","Total Exports","3885665"
"","Total Imports","4031"
"","Trade Balance","3881634"
"Oman (formerly Muscat and Oman)","Total Exports","4088957"
"","Total Imports","308244"
"","Trade Balance","3780713"
"Tanzania","Total Exports","5359298"
"","Total Imports","1674573"
"","Trade Balance","3684725"
"Qatar","Total Exports","3659356"
"","Total Imports","53261"
"","Trade Balance","3606095"
"Tunisia","Total Exports","6108755"
"","Total Imports","2669118"
"","Trade Balance","3439637"
"Benin","Total Exports","3371289"
"","Total Imports","23"
"","Trade Balance","3371266"
"Lebanon","Total Exports","3682609"
"","Total Imports","572676"
"","Trade Balance","3109933"
"Sierra Leone","Total Exports","3144086"
"","Total Imports","136833"
"","Trade Balance","3007253"
"Egypt","Total Exports","8228358"
"","Total Imports","5248262"
"","Trade Balance","2980096"
"Angola","Total Exports","2824931"
"","Total Imports","32365"
"","Trade Balance","2792566"
"Mauritania","Total Exports","2314606"
"","Total Imports","12514"
"","Trade Balance","2302092"
"French Polynesia","Total Exports","2284025"
"","Total Imports","73420"
"","Trade Balance","2210605"
"Maldives","Total Exports","2266696"
"","Total Imports","57725"
"","Trade Balance","2208971"
"Gabon","Total Exports","2190537"
"","Total Imports","68344"
"","Trade Balance","2122193"
"Burkina Faso","Total Exports","2109747"
"","Total Imports","3628"
"","Trade Balance","2106119"
"Macau (Macao)","Total Exports","3061947"
"","Total Imports","988959"
"","Trade Balance","2072988"
"Trinidad and Tobago","Total Exports","2278242"
"","Total Imports","246935"
"","Trade Balance","2031307"
"Iraq","Total Exports","1848787"
"","Total Imports","112"
"","Trade Balance","1848675"
"Greenland","Total Exports","1799279"
"","Total Imports","4033"
"","Trade Balance","1795246"
"Namibia","Total Exports","1691243"
"","Total Imports","56652"
"","Trade Balance","1634591"
"Laos","Total Exports","4025701"
"","Total Imports","2512732"
"","Trade Balance","1512969"
"Congo (formerly Zaire)","Total Exports","1492722"
"","Total Imports","141304"
"","Trade Balance","1351418"
"Mali","Total Exports","1371860"
"","Total Imports","35472"
"","Trade Balance","1336388"
"Jamaica","Total Exports","2209869"
"","Total Imports","880417"
"","Trade Balance","1329452"
"Armenia","Total Exports","1369049"
"","Total Imports","56981"
"","Trade Balance","1312068"
"Madagascar","Total Exports","4696533"
"","Total Imports","3491462"
"","Trade Balance","1205071"
"Mozambique","Total Exports","1208527"
"","Total Imports","7932"
"","Trade Balance","1200595"
"Guinea","Total Exports","1352580"
"","Total Imports","156058"
"","Trade Balance","1196522"
"Bermuda","Total Exports","1127383"
"","Total Imports","75624"
"","Trade Balance","1051759"
"Latvia","Total Exports","2279136"
"","Total Imports","1229426"
"","Trade Balance","1049710"
"Malta","Total Exports","1404327"
"","Total Imports","354721"
"","Trade Balance","1049606"
"Sudan","Total Exports","1046241"
"","Total Imports","15"
"","Trade Balance","1046226"
"Libya","Total Exports","1033099"
"","Total Imports",""
"","Trade Balance","1033099"
"Equatorial Guinea","Total Exports","994598"
"","Total Imports","39"
"","Trade Balance","994559"
"Bahamas","Total Exports","1052194"
"","Total Imports","89004"
"","Trade Balance","963190"
"Belize","Total Exports","1001572"
"","Total Imports","92515"
"","Trade Balance","909057"
"American Samoa","Total Exports","943291"
"","Total Imports","51271"
"","Trade Balance","892020"
"Yemen","Total Exports","889746"
"","Total Imports","11261"
"","Trade Balance","878485"
"Azerbaijan","Total Exports","1007530"
"","Total Imports","136019"
"","Trade Balance","871511"
"Suriname","Total Exports","878602"
"","Total Imports","37228"
"","Trade Balance","841374"
"Botswana","Total Exports","838465"
"","Total Imports","1401"
"","Trade Balance","837064"
"Uganda","Total Exports","2431619"
"","Total Imports","1716252"
"","Trade Balance","715367"
"Liberia","Total Exports","714870"
"","Total Imports","7266"
"","Trade Balance","707604"
"Algeria","Total Exports","702001"
"","Total Imports","24804"
"","Trade Balance","677197"
"Togo","Total Exports","657635"
"","Total Imports","12945"
"","Trade Balance","644690"
"Kyrgyzstan","Total Exports","627807"
"","Total Imports","1618"
"","Trade Balance","626189"
"Zimbabwe","Total Exports","732539"
"","Total Imports","116148"
"","Trade Balance","616391"
"Barbados","Total Exports","1073270"
"","Total Imports","497185"
"","Trade Balance","576085"
"Seychelles","Total Exports","560341"
"","Total Imports","26286"
"","Trade Balance","534055"
"Cyprus","Total Exports","662435"
"","Total Imports","172911"
"","Trade Balance","489524"
"U.S. Minor Outlying Islands","Total Exports","1019668"
"","Total Imports","586632"
"","Trade Balance","433036"
"Myanmar (Burma)","Total Exports","940828"
"","Total Imports","526984"
"","Trade Balance","413844"
"Saint Lucia","Total Exports","413704"
"","Total Imports","76"
"","Trade Balance","413628"
"Eritrea","Total Exports","369133"
"","Total Imports","1399"
"","Trade Balance","367734"
"Guyana","Total Exports","389770"
"","Total Imports","34531"
"","Trade Balance","355239"
"Uruguay","Total Exports","2743935"
"","Total Imports","2421297"
"","Trade Balance","322638"
"Papua New Guinea","Total Exports","1409056"
"","Total Imports","1100025"
"","Trade Balance","309031"
"Syria","Total Exports","301815"
"","Total Imports","18133"
"","Trade Balance","283682"
"Cayman Islands","Total Exports","387577"
"","Total Imports","105656"
"","Trade Balance","281921"
"Senegal","Total Exports","698194"
"","Total Imports","422969"
"","Trade Balance","275225"
"Grenada","Total Exports","268136"
"","Total Imports","400"
"","Trade Balance","267736"
"Gambia","Total Exports","252834"
"","Total Imports","3885"
"","Trade Balance","248949"
"Malawi","Total Exports","344848"
"","Total Imports","96562"
"","Trade Balance","248286"
"Djibouti","Total Exports","217527"
"","Total Imports","11"
"","Trade Balance","217516"
"Saint Vincent and the Grenadines","Total Exports","216599"
"","Total Imports","554"
"","Trade Balance","216045"
"Tajikistan","Total Exports","216718"
"","Total Imports","735"
"","Trade Balance","215983"
"Saint Pierre-Miquelon","Total Exports","201811"
"","Total Imports",""
"","Trade Balance","201811"
"Christmas Island","Total Exports","168939"
"","Total Imports","6806"
"","Trade Balance","162133"
"Somalia","Total Exports","137461"
"","Total Imports","1849"
"","Trade Balance","135612"
"Faeroe Islands","Total Exports","127620"
"","Total Imports",""
"","Trade Balance","127620"
"Guam","Total Exports","185093"
"","Total Imports","58835"
"","Trade Balance","126258"
"Gibraltar","Total Exports","111729"
"","Total Imports","1490"
"","Trade Balance","110239"
"Montenegro","Total Exports","111935"
"","Total Imports","5238"
"","Trade Balance","106697"
"Chad","Total Exports","96191"
"","Total Imports","2657"
"","Trade Balance","93534"
"Antarctica","Total Exports","66690"
"","Total Imports",""
"","Trade Balance","66690"
"Vanuatu (New Hebrides)","Total Exports","68394"
"","Total Imports","2181"
"","Trade Balance","66213"
"Antigua and Barbuda","Total Exports","54386"
"","Total Imports","9458"
"","Trade Balance","44928"
"Cape Verde","Total Exports","45921"
"","Total Imports","1552"
"","Trade Balance","44369"
"Netherlands Antilles","Total Exports","132508"
"","Total Imports","92919"
"","Trade Balance","39589"
"French Southern Territories","Total Exports","27262"
"","Total Imports",""
"","Trade Balance","27262"
"Pakistan","Total Exports","28952179"
"","Total Imports","28936889"
"","Trade Balance","15290"
"Nauru","Total Exports","8030"
"","Total Imports",""
"","Trade Balance","8030"
"Comoros","Total Exports","9411"
"","Total Imports","3095"
"","Trade Balance","6316"
"British Indian Ocean Territories","Total Exports","5993"
"","Total Imports","411"
"","Trade Balance","5582"
"Andorra","Total Exports","13431"
"","Total Imports","9404"
"","Trade Balance","4027"
"Pitcairn Island","Total Exports","3459"
"","Total Imports",""
"","Trade Balance","3459"
"Turks and Caicos Islands","Total Exports","3518"
"","Total Imports","177"
"","Trade Balance","3341"
"Cook Islands","Total Exports","28206"
"","Total Imports","25243"
"","Trade Balance","2963"
"Montserrat","Total Exports","6551"
"","Total Imports","4395"
"","Trade Balance","2156"
"Tonga","Total Exports","16284"
"","Total Imports","16300"
"","Trade Balance","-16"
"Bouvet Island","Total Exports",""
"","Total Imports","32"
"","Trade Balance","-32"
"Guinea-Bissau","Total Exports",""
"","Total Imports","44"
"","Trade Balance","-44"
"Norfolk Island","Total Exports",""
"","Total Imports","196"
"","Trade Balance","-196"
"Wallis and Futuna Islands","Total Exports",""
"","Total Imports","216"
"","Trade Balance","-216"
"Western Sahara","Total Exports",""
"","Total Imports","334"
"","Trade Balance","-334"
"Saint Helena","Total Exports",""
"","Total Imports","829"
"","Trade Balance","-829"
"Samoa (Western)","Total Exports",""
"","Total Imports","1738"
"","Trade Balance","-1738"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","2013"
"","Trade Balance","-2013"
"Cocos (Keeling) Islands","Total Exports",""
"","Total Imports","3054"
"","Trade Balance","-3054"
"Bhutan","Total Exports","6349"
"","Total Imports","13286"
"","Trade Balance","-6937"
"Korea, North","Total Exports",""
"","Total Imports","7323"
"","Trade Balance","-7323"
"Dominica","Total Exports","23258"
"","Total Imports","37141"
"","Trade Balance","-13883"
"Anguilla","Total Exports","98768"
"","Total Imports","128399"
"","Trade Balance","-29631"
"Kiribati","Total Exports",""
"","Total Imports","36066"
"","Trade Balance","-36066"
"Uzbekistan","Total Exports",""
"","Total Imports","36833"
"","Trade Balance","-36833"
"Cameroon","Total Exports","517189"
"","Total Imports","562615"
"","Trade Balance","-45426"
"Burundi","Total Exports","9315"
"","Total Imports","59561"
"","Trade Balance","-50246"
"Niger","Total Exports","121"
"","Total Imports","54633"
"","Trade Balance","-54512"
"Turkmenistan","Total Exports","113221"
"","Total Imports","172951"
"","Trade Balance","-59730"
"Rwanda","Total Exports","130894"
"","Total Imports","223815"
"","Trade Balance","-92921"
"Central African Republic","Total Exports",""
"","Total Imports","95744"
"","Trade Balance","-95744"
"Belarus (formerly Byelorussia)","Total Exports",""
"","Total Imports","137811"
"","Trade Balance","-137811"
"Moldova","Total Exports","26125"
"","Total Imports","172949"
"","Trade Balance","-146824"
"Swaziland","Total Exports","144962"
"","Total Imports","331095"
"","Trade Balance","-186133"
"Falkland Islands","Total Exports","64671"
"","Total Imports","258100"
"","Trade Balance","-193429"
"Solomon Islands","Total Exports","16730"
"","Total Imports","369062"
"","Trade Balance","-352332"
"North Macedonia","Total Exports","52648"
"","Total Imports","497471"
"","Trade Balance","-444823"
"Iceland","Total Exports","1992061"
