"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"Japan","Total Exports","4600843136"
"","Total Imports","3047587006"
"","Trade Balance","1553256130"
"Korea, South","Total Exports","2666343005"
"","Total Imports","1618504133"
"","Trade Balance","1047838872"
"India","Total Exports","1586029059"
"","Total Imports","811287713"
"","Trade Balance","774741346"
"United States","Total Exports","21893303865"
"","Total Imports","21279681786"
"","Trade Balance","613622079"
"Netherlands","Total Exports","530162130"
"","Total Imports","277683566"
"","Trade Balance","252478564"
"Hong Kong","Total Exports","252365650"
"","Total Imports","84379466"
"","Trade Balance","167986184"
"Finland","Total Exports","126023732"
"","Total Imports","48994454"
"","Trade Balance","77029278"
"Macau (Macao)","Total Exports","56001125"
"","Total Imports","1282265"
"","Trade Balance","54718860"
"United Arab Emirates","Total Exports","87983077"
"","Total Imports","52842448"
"","Trade Balance","35140629"
"Qatar","Total Exports","34685846"
"","Total Imports","198440"
"","Trade Balance","34487406"
"Cuba","Total Exports","25153583"
"","Total Imports","25758"
"","Trade Balance","25127825"
"Ukraine","Total Exports","34472275"
"","Total Imports","10256851"
"","Trade Balance","24215424"
"Chad","Total Exports","17111186"
"","Total Imports","1660"
"","Trade Balance","17109526"
"Nigeria","Total Exports","16254693"
"","Total Imports","69667"
"","Trade Balance","16185026"
"Egypt","Total Exports","22760004"
"","Total Imports","7110766"
"","Trade Balance","15649238"
"Norway","Total Exports","59983049"
"","Total Imports","44439418"
"","Trade Balance","15543631"
"United Kingdom","Total Exports","527745552"
"","Total Imports","512555662"
"","Trade Balance","15189890"
"New Caledonia","Total Exports","12184861"
"","Total Imports","119390"
"","Trade Balance","12065471"
"Panama","Total Exports","11384414"
"","Total Imports","907790"
"","Trade Balance","10476624"
"Cayman Islands","Total Exports","10228864"
"","Total Imports","4555"
"","Trade Balance","10224309"
"Ghana","Total Exports","9453977"
"","Total Imports","807728"
"","Trade Balance","8646249"
"Kazakhstan","Total Exports","8057807"
"","Total Imports","40782"
"","Trade Balance","8017025"
"Kenya","Total Exports","11420679"
"","Total Imports","4254166"
"","Trade Balance","7166513"
"Kuwait","Total Exports","6226329"
"","Total Imports","62947"
"","Trade Balance","6163382"
"Iraq","Total Exports","5978956"
"","Total Imports","3900"
"","Trade Balance","5975056"
"Papua New Guinea","Total Exports","6951973"
"","Total Imports","1039494"
"","Trade Balance","5912479"
"Afghanistan","Total Exports","6082667"
"","Total Imports","286181"
"","Trade Balance","5796486"
"French Polynesia","Total Exports","4547141"
"","Total Imports","110139"
"","Trade Balance","4437002"
"Montenegro","Total Exports","4145647"
"","Total Imports","122531"
"","Trade Balance","4023116"
"Mongolia","Total Exports","5396062"
"","Total Imports","1615954"
"","Trade Balance","3780108"
"Jamaica","Total Exports","3918749"
"","Total Imports","605884"
"","Trade Balance","3312865"
"Guyana","Total Exports","3371648"
"","Total Imports","188779"
"","Trade Balance","3182869"
"Maldives","Total Exports","3147172"
"","Total Imports","38644"
"","Trade Balance","3108528"
"Trinidad and Tobago","Total Exports","4413086"
"","Total Imports","1517354"
"","Trade Balance","2895732"
"Dominican Republic","Total Exports","5498735"
"","Total Imports","2696763"
"","Trade Balance","2801972"
"Zambia (Zambi)","Total Exports","2775275"
"","Total Imports","229716"
"","Trade Balance","2545559"
"Georgia","Total Exports","3188072"
"","Total Imports","692292"
"","Trade Balance","2495780"
"Lebanon","Total Exports","3975024"
"","Total Imports","1493582"
"","Trade Balance","2481442"
"Congo (formerly Brazzaville)","Total Exports","2664037"
"","Total Imports","308669"
"","Trade Balance","2355368"
"Bahrain","Total Exports","2874622"
"","Total Imports","534447"
"","Trade Balance","2340175"
"Oman (formerly Muscat and Oman)","Total Exports","3469966"
"","Total Imports","1313075"
"","Trade Balance","2156891"
"Namibia","Total Exports","2037230"
"","Total Imports","60526"
"","Trade Balance","1976704"
"Djibouti","Total Exports","1954812"
"","Total Imports","109"
"","Trade Balance","1954703"
"Barbados","Total Exports","2875423"
"","Total Imports","922560"
"","Trade Balance","1952863"
"Mali","Total Exports","1876784"
"","Total Imports","35589"
"","Trade Balance","1841195"
"Guam","Total Exports","1841542"
"","Total Imports","5286"
"","Trade Balance","1836256"
"Antigua and Barbuda","Total Exports","2074418"
"","Total Imports","266483"
"","Trade Balance","1807935"
"Guinea","Total Exports","1808990"
"","Total Imports","12288"
"","Trade Balance","1796702"
"Benin","Total Exports","2046284"
"","Total Imports","315691"
"","Trade Balance","1730593"
"Burkina Faso","Total Exports","1756981"
"","Total Imports","36791"
"","Trade Balance","1720190"
"Algeria","Total Exports","1629796"
"","Total Imports","23818"
"","Trade Balance","1605978"
"Aruba","Total Exports","1767025"
"","Total Imports","193230"
"","Trade Balance","1573795"
"Botswana","Total Exports","2130398"
"","Total Imports","633686"
"","Trade Balance","1496712"
"Suriname","Total Exports","1511394"
"","Total Imports","37590"
"","Trade Balance","1473804"
"Latvia","Total Exports","7937997"
"","Total Imports","6488744"
"","Trade Balance","1449253"
"Sierra Leone","Total Exports","1461775"
"","Total Imports","95027"
"","Trade Balance","1366748"
"Greenland","Total Exports","1256179"
"","Total Imports","10925"
"","Trade Balance","1245254"
"Libya","Total Exports","1219593"
"","Total Imports","47879"
"","Trade Balance","1171714"
"Congo (formerly Zaire)","Total Exports","1322293"
