"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2020"
"Units","Value in  canadian dollars"

"","","2020"
"United States","Total Exports","21735550869"
"","Total Imports","19135891447"
"","Trade Balance","2599659422"
"Japan","Total Exports","3620745960"
"","Total Imports","2464412461"
"","Trade Balance","1156333499"
"Korea, South","Total Exports","2145406924"
"","Total Imports","1252639981"
"","Trade Balance","892766943"
"Netherlands","Total Exports","514202237"
"","Total Imports","238327081"
"","Trade Balance","275875156"
"India","Total Exports","977416971"
"","Total Imports","789977479"
"","Trade Balance","187439492"
"Switzerland","Total Exports","324117189"
"","Total Imports","147679904"
"","Trade Balance","176437285"
"Hong Kong","Total Exports","251798356"
"","Total Imports","90861973"
"","Trade Balance","160936383"
"United Kingdom","Total Exports","536283167"
"","Total Imports","410677732"
"","Trade Balance","125605435"
"Macau (Macao)","Total Exports","37429667"
"","Total Imports","1393992"
"","Trade Balance","36035675"
"Ukraine","Total Exports","38449045"
"","Total Imports","11712455"
"","Trade Balance","26736590"
"Cuba","Total Exports","19954147"
"","Total Imports","119865"
"","Trade Balance","19834282"
"Saudi Arabia","Total Exports","20926086"
"","Total Imports","2557401"
"","Trade Balance","18368685"
"Philippines","Total Exports","317268027"
"","Total Imports","299134955"
"","Trade Balance","18133072"
"Qatar","Total Exports","16468225"
"","Total Imports","1161010"
"","Trade Balance","15307215"
"United Arab Emirates","Total Exports","65395064"
"","Total Imports","53038883"
"","Trade Balance","12356181"
"Nigeria","Total Exports","10529348"
"","Total Imports","110911"
"","Trade Balance","10418437"
"Egypt","Total Exports","23174208"
"","Total Imports","13990557"
"","Trade Balance","9183651"
"Ghana","Total Exports","9224343"
"","Total Imports","2185650"
"","Trade Balance","7038693"
"Belarus (formerly Byelorussia)","Total Exports","9236589"
"","Total Imports","2606554"
"","Trade Balance","6630035"
"Georgia","Total Exports","6339850"
"","Total Imports","661694"
"","Trade Balance","5678156"
"Morocco","Total Exports","9892554"
"","Total Imports","5192598"
"","Trade Balance","4699956"
"French Polynesia","Total Exports","4704372"
"","Total Imports","66485"
"","Trade Balance","4637887"
"Kuwait","Total Exports","4633040"
"","Total Imports","874"
"","Trade Balance","4632166"
"Afghanistan","Total Exports","4880260"
"","Total Imports","429752"
"","Trade Balance","4450508"
"Kazakhstan","Total Exports","4261608"
"","Total Imports","46981"
"","Trade Balance","4214627"
"Panama","Total Exports","5197587"
"","Total Imports","1419630"
"","Trade Balance","3777957"
"Jordan","Total Exports","5586863"
"","Total Imports","1872993"
"","Trade Balance","3713870"
"Papua New Guinea","Total Exports","4533278"
"","Total Imports","821356"
"","Trade Balance","3711922"
"Uzbekistan","Total Exports","3515132"
"","Total Imports","66988"
"","Trade Balance","3448144"
"Cyprus","Total Exports","3323411"
"","Total Imports","151823"
"","Trade Balance","3171588"
"Mongolia","Total Exports","3506996"
"","Total Imports","501772"
"","Trade Balance","3005224"
"Iraq","Total Exports","2980475"
"","Total Imports","7930"
"","Trade Balance","2972545"
"Burkina Faso","Total Exports","3748633"
"","Total Imports","888573"
"","Trade Balance","2860060"
"Zambia (Zambi)","Total Exports","2571397"
"","Total Imports","61587"
"","Trade Balance","2509810"
"Jamaica","Total Exports","3543070"
"","Total Imports","1075234"
"","Trade Balance","2467836"
"Mali","Total Exports","2463118"
"","Total Imports","102668"
"","Trade Balance","2360450"
"Bahrain","Total Exports","2481211"
"","Total Imports","243934"
"","Trade Balance","2237277"
"Kenya","Total Exports","4998934"
"","Total Imports","2795933"
"","Trade Balance","2203001"
"Namibia","Total Exports","2067951"
"","Total Imports","18001"
"","Trade Balance","2049950"
"Guyana","Total Exports","2327305"
"","Total Imports","359503"
"","Trade Balance","1967802"
"Azerbaijan","Total Exports","2130105"
"","Total Imports","214594"
"","Trade Balance","1915511"
"Mauritania","Total Exports","1693953"
"","Total Imports","8842"
"","Trade Balance","1685111"
"Trinidad and Tobago","Total Exports","3109795"
"","Total Imports","1585067"
"","Trade Balance","1524728"
"Algeria","Total Exports","1454511"
"","Total Imports","24217"
"","Trade Balance","1430294"
"Montenegro","Total Exports","1482473"
"","Total Imports","98897"
"","Trade Balance","1383576"
"New Caledonia","Total Exports","1317487"
"","Total Imports","14215"
"","Trade Balance","1303272"
"Greenland","Total Exports","1135489"
"","Total Imports","11468"
"","Trade Balance","1124021"
"American Samoa","Total Exports","1448911"
"","Total Imports","361481"
"","Trade Balance","1087430"
"Botswana","Total Exports","1103029"
"","Total Imports","15705"
"","Trade Balance","1087324"
"Suriname","Total Exports","1019723"
"","Total Imports","16492"
"","Trade Balance","1003231"
"Benin","Total Exports","1201259"
"","Total Imports","216746"
"","Trade Balance","984513"
"Guinea","Total Exports","1041577"
"","Total Imports","72598"
"","Trade Balance","968979"
"Maldives","Total Exports","2059929"
"","Total Imports","1217477"
"","Trade Balance","842452"
"Gabon","Total Exports","853980"
"","Total Imports","22505"
"","Trade Balance","831475"
"Sierra Leone","Total Exports","941503"
"","Total Imports","126701"
"","Trade Balance","814802"
"Mauritius","Total Exports","1813694"
"","Total Imports","1005622"
"","Trade Balance","808072"
"Moldova","Total Exports","1690848"
"","Total Imports","905851"
"","Trade Balance","784997"
"U.S. Minor Outlying Islands","Total Exports","1197983"
"","Total Imports","454843"
"","Trade Balance","743140"
"Angola","Total Exports","728907"
"","Total Imports","7235"
"","Trade Balance","721672"
"Bermuda","Total Exports","736346"
"","Total Imports","16595"
"","Trade Balance","719751"
"Zimbabwe","Total Exports","681910"
"","Total Imports","75453"
"","Trade Balance","606457"
"Liberia","Total Exports","605842"
"","Total Imports","5463"
"","Trade Balance","600379"
"Dominican Republic","Total Exports","4367633"
"","Total Imports","3804642"
"","Trade Balance","562991"
"Djibouti","Total Exports","613933"
"","Total Imports","54998"
"","Trade Balance","558935"
"Uganda","Total Exports","2108100"
"","Total Imports","1557468"
"","Trade Balance","550632"
"Armenia","Total Exports","767778"
"","Total Imports","219602"
"","Trade Balance","548176"
"Libya","Total Exports","521861"
"","Total Imports","338"
"","Trade Balance","521523"
"Mozambique","Total Exports","613362"
"","Total Imports","127198"
"","Trade Balance","486164"
"Equatorial Guinea","Total Exports","485119"
"","Total Imports",""
"","Trade Balance","485119"
"Bahamas","Total Exports","1106640"
"","Total Imports","646059"
"","Trade Balance","460581"
"Congo (formerly Brazzaville)","Total Exports","813447"
"","Total Imports","386814"
"","Trade Balance","426633"
"Sudan","Total Exports","435330"
"","Total Imports","9974"
"","Trade Balance","425356"
"Guam","Total Exports","419228"
"","Total Imports","24556"
"","Trade Balance","394672"
"Brunei Darussalam","Total Exports","1887343"
"","Total Imports","1506629"
"","Trade Balance","380714"
"Chad","Total Exports","405409"
"","Total Imports","36645"
"","Trade Balance","368764"
"Grenada","Total Exports","269250"
"","Total Imports","510"
"","Trade Balance","268740"
"Saint Helena","Total Exports","266926"
"","Total Imports","4145"
"","Trade Balance","262781"
"Antigua and Barbuda","Total Exports","306775"
"","Total Imports","52540"
"","Trade Balance","254235"
"Lebanon","Total Exports","1184344"
"","Total Imports","939302"
"","Trade Balance","245042"
"Dominica","Total Exports","244210"
"","Total Imports","12273"
"","Trade Balance","231937"
"Eritrea","Total Exports","237106"
"","Total Imports","5546"
"","Trade Balance","231560"
"Saint Vincent and the Grenadines","Total Exports","252867"
"","Total Imports","22719"
"","Trade Balance","230148"
"Curacao","Total Exports","234032"
"","Total Imports","4198"
"","Trade Balance","229834"
"Togo","Total Exports","290589"
"","Total Imports","76523"
"","Trade Balance","214066"
"Venezuela","Total Exports","677306"
"","Total Imports","492308"
"","Trade Balance","184998"
"Faeroe Islands","Total Exports","220665"
"","Total Imports","38915"
"","Trade Balance","181750"
"Congo (formerly Zaire)","Total Exports","1342914"
"","Total Imports","1180046"
"","Trade Balance","162868"
"Cameroon","Total Exports","765528"
"","Total Imports","606466"
"","Trade Balance","159062"
"Aruba","Total Exports","154371"
"","Total Imports","3437"
"","Trade Balance","150934"
"Malta","Total Exports","666791"
"","Total Imports","540906"
"","Trade Balance","125885"
"Anguilla","Total Exports","156362"
"","Total Imports","32844"
"","Trade Balance","123518"
"South Sudan","Total Exports","106534"
"","Total Imports","1"
"","Trade Balance","106533"
"Saint Kitts and Nevis","Total Exports","127591"
"","Total Imports","40416"
"","Trade Balance","87175"
"Seychelles","Total Exports","411489"
"","Total Imports","338469"
"","Trade Balance","73020"
"Central African Republic","Total Exports","107785"
"","Total Imports","36754"
"","Trade Balance","71031"
"Gibraltar","Total Exports","58537"
"","Total Imports","2601"
"","Trade Balance","55936"
"Turkmenistan","Total Exports","48225"
"","Total Imports","2147"
"","Trade Balance","46078"
"Barbados","Total Exports","1748077"
"","Total Imports","1704726"
"","Trade Balance","43351"
"Malawi","Total Exports","189211"
"","Total Imports","145939"
"","Trade Balance","43272"
"Tajikistan","Total Exports","50444"
"","Total Imports","8348"
"","Trade Balance","42096"
"Bhutan","Total Exports","44402"
"","Total Imports","4627"
"","Trade Balance","39775"
"Gambia","Total Exports","136208"
"","Total Imports","102405"
"","Trade Balance","33803"
"Montserrat","Total Exports","34168"
"","Total Imports","1321"
"","Trade Balance","32847"
"Christmas Island","Total Exports","59026"
"","Total Imports","26579"
"","Trade Balance","32447"
"Syria","Total Exports","219424"
"","Total Imports","190363"
"","Trade Balance","29061"
"Tonga","Total Exports","14850"
"","Total Imports","170"
"","Trade Balance","14680"
"Niger","Total Exports","76831"
"","Total Imports","62654"
"","Trade Balance","14177"
"Saint Pierre-Miquelon","Total Exports","12015"
"","Total Imports","45"
"","Trade Balance","11970"
"Vanuatu (New Hebrides)","Total Exports","18996"
"","Total Imports","7945"
"","Trade Balance","11051"
"Rwanda","Total Exports","218110"
"","Total Imports","209489"
"","Trade Balance","8621"
"Bonaire, Sint Eustatius and Saba","Total Exports","6710"
"","Total Imports",""
"","Trade Balance","6710"
"Turks and Caicos Islands","Total Exports","6335"
"","Total Imports","15"
"","Trade Balance","6320"
"Cayman Islands","Total Exports","207073"
"","Total Imports","201399"
"","Trade Balance","5674"
"Sint Maarten","Total Exports","15323"
"","Total Imports","10182"
"","Trade Balance","5141"
"Cocos (Keeling) Islands","Total Exports","6064"
"","Total Imports","4262"
"","Trade Balance","1802"
"Bouvet Island","Total Exports",""
"","Total Imports","4"
"","Trade Balance","-4"
"Antarctica","Total Exports",""
"","Total Imports","20"
"","Trade Balance","-20"
"Guinea-Bissau","Total Exports",""
"","Total Imports","45"
"","Trade Balance","-45"
"French Southern Territories","Total Exports",""
"","Total Imports","119"
"","Trade Balance","-119"
"Nauru","Total Exports",""
"","Total Imports","254"
"","Trade Balance","-254"
"British Indian Ocean Territories","Total Exports",""
"","Total Imports","290"
"","Trade Balance","-290"
"","Total Exports",""
"","Total Imports","335"
"","Trade Balance","-335"
"Niue","Total Exports",""
"","Total Imports","446"
"","Trade Balance","-446"
"Kiribati","Total Exports",""
"","Total Imports","798"
"","Trade Balance","-798"
"Norfolk Island","Total Exports","3543"
"","Total Imports","4500"
"","Trade Balance","-957"
"Wallis and Futuna Islands","Total Exports",""
"","Total Imports","1083"
"","Trade Balance","-1083"
"Heard and McDonald Island","Total Exports",""
"","Total Imports","3132"
"","Trade Balance","-3132"
"Samoa (Western)","Total Exports",""
"","Total Imports","3643"
"","Trade Balance","-3643"
"Somalia","Total Exports","26950"
"","Total Imports","34245"
"","Trade Balance","-7295"
