"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","British Columbia"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2023"
"Units","Value in  canadian dollars"

"","","2023"
"United States","Total Exports","30423737341"
"","Total Imports","26064461836"
"","Trade Balance","4359275505"
"Japan","Total Exports","6309815185"
"","Total Imports","4558685745"
"","Trade Balance","1751129440"
"Korea, South","Total Exports","3301966894"
"","Total Imports","2192296346"
"","Trade Balance","1109670548"
"Netherlands","Total Exports","939069199"
"","Total Imports","262693952"
"","Trade Balance","676375247"
"India","Total Exports","1413785969"
"","Total Imports","817759495"
"","Trade Balance","596026474"
"Hong Kong","Total Exports","314585968"
"","Total Imports","119945989"
"","Trade Balance","194639979"
"Poland","Total Exports","239743324"
"","Total Imports","163140666"
"","Trade Balance","76602658"
"Saudi Arabia","Total Exports","46067601"
"","Total Imports","5673070"
"","Trade Balance","40394531"
"Ecuador","Total Exports","89223016"
"","Total Imports","57322417"
"","Trade Balance","31900599"
"Chile","Total Exports","193133158"
"","Total Imports","170935407"
"","Trade Balance","22197751"
"Macau (Macao)","Total Exports","19934637"
"","Total Imports","1160995"
"","Trade Balance","18773642"
"Ukraine","Total Exports","25978675"
"","Total Imports","8363044"
"","Trade Balance","17615631"
"Kazakhstan","Total Exports","19024752"
"","Total Imports","1721585"
"","Trade Balance","17303167"
"Liberia","Total Exports","10613488"
"","Total Imports","14063"
"","Trade Balance","10599425"
"Panama","Total Exports","15339646"
"","Total Imports","5547501"
"","Trade Balance","9792145"
"Nigeria","Total Exports","9639963"
"","Total Imports","156140"
"","Trade Balance","9483823"
"Philippines","Total Exports","311336504"
"","Total Imports","302818797"
"","Trade Balance","8517707"
"Iraq","Total Exports","7966147"
"","Total Imports","5843"
"","Trade Balance","7960304"
"Tunisia","Total Exports","11886185"
"","Total Imports","4335326"
"","Trade Balance","7550859"
"New Caledonia","Total Exports","7397131"
"","Total Imports","52702"
"","Trade Balance","7344429"
"Jordan","Total Exports","8683052"
"","Total Imports","2770961"
"","Trade Balance","5912091"
"French Polynesia","Total Exports","5959806"
"","Total Imports","88143"
"","Trade Balance","5871663"
"Mongolia","Total Exports","5711287"
"","Total Imports","529846"
"","Trade Balance","5181441"
"Georgia","Total Exports","5959907"
"","Total Imports","1293213"
"","Trade Balance","4666694"
"Guyana","Total Exports","4939456"
"","Total Imports","289566"
"","Trade Balance","4649890"
"Ghana","Total Exports","6813010"
"","Total Imports","2829807"
"","Trade Balance","3983203"
"Cuba","Total Exports","4003085"
"","Total Imports","22945"
"","Trade Balance","3980140"
"U.S. Minor Outlying Islands","Total Exports","8804305"
"","Total Imports","4839195"
"","Trade Balance","3965110"
"Egypt","Total Exports","14807423"
"","Total Imports","11117187"
"","Trade Balance","3690236"
"Zambia (Zambi)","Total Exports","3523526"
"","Total Imports","76080"
"","Trade Balance","3447446"
"Jamaica","Total Exports","3742303"
"","Total Imports","561564"
"","Trade Balance","3180739"
"Luxembourg","Total Exports","8278403"
"","Total Imports","5275842"
"","Trade Balance","3002561"
"Dominican Republic","Total Exports","7722628"
"","Total Imports","4815663"
"","Trade Balance","2906965"
"Mali","Total Exports","2857023"
"","Total Imports","4432"
"","Trade Balance","2852591"
"Benin","Total Exports","3167445"
"","Total Imports","318115"
"","Trade Balance","2849330"
"Kenya","Total Exports","5212804"
"","Total Imports","2441848"
"","Trade Balance","2770956"
"Brunei Darussalam","Total Exports","2769711"
"","Total Imports","149209"
"","Trade Balance","2620502"
"Kyrgyzstan","Total Exports","2523394"
"","Total Imports","71704"
"","Trade Balance","2451690"
"Trinidad and Tobago","Total Exports","4059500"
"","Total Imports","1684258"
"","Trade Balance","2375242"
"Zimbabwe","Total Exports","2419718"
"","Total Imports","64998"
"","Trade Balance","2354720"
"Guinea","Total Exports","2329516"
"","Total Imports","9050"
"","Trade Balance","2320466"
"Congo (formerly Zaire)","Total Exports","2413252"
"","Total Imports","205544"
"","Trade Balance","2207708"
"Kuwait","Total Exports","5106920"
"","Total Imports","3056105"
"","Trade Balance","2050815"
"Bahrain","Total Exports","4471574"
"","Total Imports","2497721"
"","Trade Balance","1973853"
"Suriname","Total Exports","1981522"
"","Total Imports","52998"
"","Trade Balance","1928524"
"Lebanon","Total Exports","3319539"
"","Total Imports","1406686"
"","Trade Balance","1912853"
"Gabon","Total Exports","1884082"
"","Total Imports","197130"
"","Trade Balance","1686952"
"Papua New Guinea","Total Exports","2591674"
"","Total Imports","988972"
"","Trade Balance","1602702"
"Venezuela","Total Exports","1674097"
"","Total Imports","176263"
"","Trade Balance","1497834"
"Senegal","Total Exports","2213615"
"","Total Imports","746845"
"","Trade Balance","1466770"
"Aruba","Total Exports","1307338"
"","Total Imports","9726"
"","Trade Balance","1297612"
"Namibia","Total Exports","1298321"
"","Total Imports","53591"
"","Trade Balance","1244730"
"Maldives","Total Exports","1262574"
"","Total Imports","25149"
"","Trade Balance","1237425"
"Mauritania","Total Exports","1182775"
"","Total Imports","5339"
"","Trade Balance","1177436"
"American Samoa","Total Exports","1122525"
"","Total Imports","8816"
"","Trade Balance","1113709"
"Burkina Faso","Total Exports","1113159"
"","Total Imports","26350"
"","Trade Balance","1086809"
"Greenland","Total Exports","1319835"
"","Total Imports","329065"
"","Trade Balance","990770"
"Eritrea","Total Exports","968327"
"","Total Imports","6133"
"","Trade Balance","962194"
"Sierra Leone","Total Exports","1014478"
"","Total Imports","57600"
"","Trade Balance","956878"
"Botswana","Total Exports","1276803"
"","Total Imports","382144"
"","Trade Balance","894659"
"Angola","Total Exports","855230"
"","Total Imports","14293"
"","Trade Balance","840937"
"Bermuda","Total Exports","839585"
"","Total Imports","27585"
"","Trade Balance","812000"
"Libya","Total Exports","753447"
"","Total Imports","35646"
"","Trade Balance","717801"
"Guam","Total Exports","657234"
"","Total Imports","2689"
"","Trade Balance","654545"
"Vanuatu (New Hebrides)","Total Exports","800599"
"","Total Imports","157985"
"","Trade Balance","642614"
"Mozambique","Total Exports","829754"
"","Total Imports","191376"
"","Trade Balance","638378"
"Qatar","Total Exports","7700653"
"","Total Imports","7132122"
"","Trade Balance","568531"
"Tanzania","Total Exports","2271660"
"","Total Imports","1722737"
"","Trade Balance","548923"
"Turks and Caicos Islands","Total Exports","544021"
"","Total Imports","129"
"","Trade Balance","543892"
"Uganda","Total Exports","2643914"
"","Total Imports","2111777"
"","Trade Balance","532137"
"Congo (formerly Brazzaville)","Total Exports","678331"
"","Total Imports","191366"
"","Trade Balance","486965"
"Azerbaijan","Total Exports","868648"
"","Total Imports","386037"
"","Trade Balance","482611"
"Grenada","Total Exports","481835"
"","Total Imports","27"
"","Trade Balance","481808"
"Armenia","Total Exports","651296"
"","Total Imports","191207"
"","Trade Balance","460089"
"Cyprus","Total Exports","811278"
"","Total Imports","381612"
"","Trade Balance","429666"
"Sudan","Total Exports","477829"
"","Total Imports","62725"
"","Trade Balance","415104"
"Madagascar","Total Exports","1806946"
"","Total Imports","1405456"
"","Trade Balance","401490"
"Saint Lucia","Total Exports","394421"
"","Total Imports","16218"
"","Trade Balance","378203"
"Montenegro","Total Exports","396452"
"","Total Imports","71156"
"","Trade Balance","325296"
"Equatorial Guinea","Total Exports","293509"
"","Total Imports","275"
"","Trade Balance","293234"
"Dominica","Total Exports","298268"
"","Total Imports","16941"
"","Trade Balance","281327"
"Curacao","Total Exports","265712"
"","Total Imports","581"
"","Trade Balance","265131"
"Saint Vincent and the Grenadines","Total Exports","258699"
"","Total Imports","6107"
"","Trade Balance","252592"
"Sint Maarten","Total Exports","245895"
"","Total Imports","1168"
"","Trade Balance","244727"
"Barbados","Total Exports","2494818"
"","Total Imports","2255279"
"","Trade Balance","239539"
"Belarus (formerly Byelorussia)","Total Exports","1071657"
"","Total Imports","847196"
"","Trade Balance","224461"
"Turkmenistan","Total Exports","217090"
"","Total Imports","42976"
"","Trade Balance","174114"
"Tajikistan","Total Exports","147778"
"","Total Imports","8861"
"","Trade Balance","138917"
"Chad","Total Exports","109496"
"","Total Imports","1666"
"","Trade Balance","107830"
"South Sudan","Total Exports","97588"
"","Total Imports","605"
"","Trade Balance","96983"
"Solomon Islands","Total Exports","91770"
"","Total Imports","9119"
"","Trade Balance","82651"
"Niger","Total Exports","286802"
"","Total Imports","208353"
"","Trade Balance","78449"
"Falkland Islands","Total Exports","73309"
"","Total Imports",""
"","Trade Balance","73309"
"Gambia","Total Exports","108861"
"","Total Imports","38954"
"","Trade Balance","69907"
"Anguilla","Total Exports","65788"
"","Total Imports","3376"
"","Trade Balance","62412"
"Antigua and Barbuda","Total Exports","161807"
"","Total Imports","100979"
"","Trade Balance","60828"
"Paraguay","Total Exports","1624851"
"","Total Imports","1577384"
"","Trade Balance","47467"
"Faeroe Islands","Total Exports","38758"
"","Total Imports","1319"
"","Trade Balance","37439"
"Cook Islands","Total Exports","27000"
"","Total Imports","8848"
"","Trade Balance","18152"
"Bonaire, Sint Eustatius and Saba","Total Exports","11066"
"","Total Imports",""
"","Trade Balance","11066"
"Central African Republic","Total Exports","23605"
"","Total Imports","12712"
"","Trade Balance","10893"
"","Total Exports","5895"
"","Total Imports",""
"","Trade Balance","5895"
"Saint Pierre-Miquelon","Total Exports","6396"
"","Total Imports","688"
"","Trade Balance","5708"
"Saint Kitts and Nevis","Total Exports","30038"
"","Total Imports","25405"
"","Trade Balance","4633"
"Gibraltar","Total Exports","3541"
"","Total Imports","2920"
"","Trade Balance","621"
"Kiribati","Total Exports",""
"","Total Imports","84"
"","Trade Balance","-84"
"Bhutan","Total Exports",""
"","Total Imports","208"
"","Trade Balance","-208"
"British Indian Ocean Territories","Total Exports",""
"","Total Imports","311"
"","Trade Balance","-311"
"Niue","Total Exports",""
"","Total Imports","548"
"","Trade Balance","-548"
"Western Sahara","Total Exports",""
"","Total Imports","710"
"","Trade Balance","-710"
"Djibouti","Total Exports",""
"","Total Imports","1070"
"","Trade Balance","-1070"
"Pitcairn Island","Total Exports",""
"","Total Imports","1732"
"","Trade Balance","-1732"
"Comoros","Total Exports","16"
"","Total Imports","3929"
"","Trade Balance","-3913"
"Somalia","Total Exports","53201"
"","Total Imports","57576"
"","Trade Balance","-4375"
"Guinea-Bissau","Total Exports",""
"","Total Imports","4400"
"","Trade Balance","-4400"
"Andorra","Total Exports","25983"
"","Total Imports","32392"
"","Trade Balance","-6409"
"Montserrat","Total Exports",""
"","Total Imports","7534"
"","Trade Balance","-7534"
"Samoa (Western)","Total Exports",""
"","Total Imports","8137"
"","Trade Balance","-8137"
"Nauru","Total Exports","1020"
"","Total Imports","10994"
"","Trade Balance","-9974"
"Tonga","Total Exports",""
"","Total Imports","11536"
"","Trade Balance","-11536"
"Saint Helena","Total Exports",""
"","Total Imports","17256"
"","Trade Balance","-17256"
"Syria","Total Exports",""
"","Total Imports","21033"
"","Trade Balance","-21033"
"Sao Tomé-Principe","Total Exports",""
"","Total Imports","22429"
"","Trade Balance","-22429"
"Algeria","Total Exports","160160"
"","Total Imports","184647"
"","Trade Balance","-24487"
"Cocos (Keeling) Islands","Total Exports",""
"","Total Imports","24947"
"","Trade Balance","-24947"
"Cape Verde","Total Exports",""
"","Total Imports","28297"
"","Trade Balance","-28297"
"Christmas Island","Total Exports",""
"","Total Imports","41309"
"","Trade Balance","-41309"
"British Virgin Islands","Total Exports","48477"
"","Total Imports","111191"
"","Trade Balance","-62714"
"Cameroon","Total Exports","501392"
"","Total Imports","567075"
"","Trade Balance","-65683"
"Yemen","Total Exports",""
"","Total Imports","68765"
"","Trade Balance","-68765"
"Seychelles","Total Exports","63328"
"","Total Imports","202087"
"","Trade Balance","-138759"
"Malawi","Total Exports","35897"
"","Total Imports","184191"
"","Trade Balance","-148294"
"Burundi","Total Exports","8620"
"","Total Imports","186925"
"","Trade Balance","-178305"
"Cayman Islands","Total Exports","582463"
"","Total Imports","768865"
"","Trade Balance","-186402"
"Bahamas","Total Exports","1141845"
"","Total Imports","1334579"
"","Trade Balance","-192734"
"Swaziland","Total Exports","2611"
"","Total Imports","228236"
"","Trade Balance","-225625"
"Albania","Total Exports","321366"
"","Total Imports","601620"
"","Trade Balance","-280254"
"Serbia","Total Exports","6325223"
"","Total Imports","6683997"
"","Trade Balance","-358774"
"","Total Exports",""
"","Total Imports","450350"
"","Trade Balance","-450350"
"Lesotho","Total Exports",""
"","Total Imports","480654"
"","Trade Balance","-480654"
"Moldova","Total Exports","168524"
"","Total Imports","659638"
"","Trade Balance","-491114"
"Uzbekistan","Total Exports","907596"
"","Total Imports","1410097"
"","Trade Balance","-502501"
"Malta","Total Exports","292934"
"","Total Imports","811892"
"","Trade Balance","-518958"
"Côte-d'Ivoire","Total Exports","3717497"
"","Total Imports","4247358"
"","Trade Balance","-529861"
"Fiji","Total Exports","2417531"
"","Total Imports","2953619"
"","Trade Balance","-536088"
"Afghanistan","Total Exports","10557"
"","Total Imports","601816"
"","Trade Balance","-591259"
"Rwanda","Total Exports","160519"
"","Total Imports","841512"
"","Trade Balance","-680993"
"North Macedonia","Total Exports","196800"
