"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1990"
"Units","Value in  canadian dollars"

"","","1990"
"United States","Total Exports","111556653127"
"","Total Imports","87894649457"
"","Trade Balance","23662003670"
"U.S.S.R.","Total Exports","1125632124"
"","Total Imports","193362508"
"","Trade Balance","932269616"
"Netherlands","Total Exports","1649453878"
"","Total Imports","720052734"
"","Trade Balance","929401144"
"Belgium","Total Exports","1249480345"
"","Total Imports","539417828"
"","Trade Balance","710062517"
"Switzerland","Total Exports","1054389061"
"","Total Imports","648942820"
"","Trade Balance","405446241"
"Iran","Total Exports","360610468"
"","Total Imports","20943581"
"","Trade Balance","339666887"
"China","Total Exports","1706949401"
"","Total Imports","1393878791"
"","Trade Balance","313070610"
"Algeria","Total Exports","294140501"
"","Total Imports","62048514"
"","Trade Balance","232091987"
"Morocco","Total Exports","235369764"
"","Total Imports","39668149"
"","Trade Balance","195701615"
"Australia","Total Exports","902902439"
"","Total Imports","766563046"
"","Trade Balance","136339393"
"Indonesia","Total Exports","312947126"
"","Total Imports","202438267"
"","Trade Balance","110508859"
"Thailand","Total Exports","505589634"
"","Total Imports","406499977"
"","Trade Balance","99089657"
"India","Total Exports","321165307"
"","Total Imports","226707497"
"","Trade Balance","94457810"
"Iraq","Total Exports","197931626"
"","Total Imports","112728747"
"","Trade Balance","85202879"
"Colombia","Total Exports","213113787"
"","Total Imports","132200021"
"","Trade Balance","80913766"
"Türkiye","Total Exports","160704513"
"","Total Imports","84406372"
"","Trade Balance","76298141"
"Egypt","Total Exports","76318236"
"","Total Imports","9398224"
"","Trade Balance","66920012"
"Libya","Total Exports","53005613"
"","Total Imports","515"
"","Trade Balance","53005098"
"Tunisia","Total Exports","53488514"
"","Total Imports","2778859"
"","Trade Balance","50709655"
"Bangladesh","Total Exports","85663794"
"","Total Imports","36653624"
"","Trade Balance","49010170"
"Cuba","Total Exports","176999429"
"","Total Imports","130154792"
"","Trade Balance","46844637"
"Kenya","Total Exports","57284903"
"","Total Imports","13647615"
"","Trade Balance","43637288"
"Saint Pierre-Miquelon","Total Exports","39506264"
"","Total Imports","283199"
"","Trade Balance","39223065"
"South Africa","Total Exports","180125924"
"","Total Imports","141298924"
"","Trade Balance","38827000"
"Trinidad and Tobago","Total Exports","63150893"
"","Total Imports","24764126"
"","Trade Balance","38386767"
"Kuwait","Total Exports","38482976"
"","Total Imports","1621101"
"","Trade Balance","36861875"
"Cameroon","Total Exports","31209559"
"","Total Imports","2190538"
"","Trade Balance","29019021"
"Greece","Total Exports","97996934"
"","Total Imports","71263110"
"","Trade Balance","26733824"
"Mozambique","Total Exports","27098507"
"","Total Imports","2835900"
"","Trade Balance","24262607"
"Bermuda","Total Exports","26089513"
"","Total Imports","2030695"
