"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1992"
"Units","Value in  canadian dollars"

"","","1992"
"United States","Total Exports","125669994333"
"","Total Imports","96469751723"
"","Trade Balance","29200242610"
"U.S.S.R.","Total Exports","1279430028"
"","Total Imports","270821985"
"","Trade Balance","1008608043"
"Netherlands","Total Exports","1516853258"
"","Total Imports","599133334"
"","Trade Balance","917719924"
"Belgium","Total Exports","1105865433"
"","Total Imports","428479756"
"","Trade Balance","677385677"
"Switzerland","Total Exports","1182033168"
"","Total Imports","651590175"
"","Trade Balance","530442993"
"India","Total Exports","529310075"
"","Total Imports","280293408"
"","Trade Balance","249016667"
"Iran","Total Exports","378548549"
"","Total Imports","142529462"
"","Trade Balance","236019087"
"Venezuela","Total Exports","526793391"
"","Total Imports","334818363"
"","Trade Balance","191975028"
"Colombia","Total Exports","242234629"
"","Total Imports","130886541"
"","Trade Balance","111348088"
"Algeria","Total Exports","181798481"
"","Total Imports","98379025"
"","Trade Balance","83419456"
"Libya","Total Exports","81700124"
"","Total Imports",""
"","Trade Balance","81700124"
"Türkiye","Total Exports","139346778"
"","Total Imports","67998706"
"","Trade Balance","71348072"
"Egypt","Total Exports","108474311"
"","Total Imports","42039795"
"","Trade Balance","66434516"
"Morocco","Total Exports","138050965"
"","Total Imports","76595658"
"","Trade Balance","61455307"
"United Arab Emirates","Total Exports","57807656"
"","Total Imports","3735989"
"","Trade Balance","54071667"
"Netherlands Antilles","Total Exports","63282251"
"","Total Imports","15523761"
"","Trade Balance","47758490"
"Tunisia","Total Exports","46439090"
"","Total Imports","1533819"
"","Trade Balance","44905271"
"Bangladesh","Total Exports","83259144"
"","Total Imports","41894130"
"","Trade Balance","41365014"
"Indonesia","Total Exports","439313688"
"","Total Imports","398442922"
"","Trade Balance","40870766"
"Saint Pierre-Miquelon","Total Exports","35897832"
"","Total Imports","352909"
"","Trade Balance","35544923"
"Dominican Republic","Total Exports","66970947"
"","Total Imports","33323407"
"","Trade Balance","33647540"
"Spain","Total Exports","462877763"
"","Total Imports","436516414"
"","Trade Balance","26361349"
"Lebanon","Total Exports","28439647"
"","Total Imports","4620400"
"","Trade Balance","23819247"
"Trinidad and Tobago","Total Exports","61055124"
"","Total Imports","38264167"
"","Trade Balance","22790957"
"Ghana","Total Exports","27049057"
"","Total Imports","5103349"
"","Trade Balance","21945708"
"Bermuda","Total Exports","41232889"
"","Total Imports","20338175"
"","Trade Balance","20894714"
"Senegal","Total Exports","24119108"
"","Total Imports","4853344"
"","Trade Balance","19265764"
"Cyprus","Total Exports","19407139"
"","Total Imports","1245384"
"","Trade Balance","18161755"
"Cameroon","Total Exports","19525913"
"","Total Imports","1700968"
"","Trade Balance","17824945"
"Mozambique","Total Exports","23601723"
"","Total Imports","6122664"
"","Trade Balance","17479059"
"Barbados","Total Exports","22068466"
"","Total Imports","6170910"
"","Trade Balance","15897556"
"Kuwait","Total Exports","27581272"
"","Total Imports","12121124"
"","Trade Balance","15460148"
"Czechoslovakia","Total Exports","76756924"
"","Total Imports","61323312"
"","Trade Balance","15433612"
"Tanzania","Total Exports","16962551"
"","Total Imports","2777104"
"","Trade Balance","14185447"
"Panama","Total Exports","20487149"
"","Total Imports","6403561"
"","Trade Balance","14083588"
"Zimbabwe","Total Exports","18077339"
"","Total Imports","4320265"
"","Trade Balance","13757074"
"Kenya","Total Exports","25913826"
"","Total Imports","13402205"
"","Trade Balance","12511621"
"Syria","Total Exports","12249876"
"","Total Imports","694391"
"","Trade Balance","11555485"
"Greece","Total Exports","75195551"
"","Total Imports","64852207"
"","Trade Balance","10343344"
"Oman (formerly Muscat and Oman)","Total Exports","10584398"
"","Total Imports","575818"
"","Trade Balance","10008580"
"Bolivia","Total Exports","14835641"
"","Total Imports","4967368"
"","Trade Balance","9868273"
"Antigua and Barbuda","Total Exports","9930472"
"","Total Imports","417522"
"","Trade Balance","9512950"
"Zambia (Zambi)","Total Exports","14919877"
"","Total Imports","6049856"
"","Trade Balance","8870021"
"Ethiopia","Total Exports","13371000"
"","Total Imports","4534698"
"","Trade Balance","8836302"
"Saint Lucia","Total Exports","8047235"
"","Total Imports","365686"
"","Trade Balance","7681549"
"Haiti","Total Exports","8358389"
"","Total Imports","813885"
"","Trade Balance","7544504"
"Gabon","Total Exports","7865251"
"","Total Imports","446849"
"","Trade Balance","7418402"
"Sudan","Total Exports","7289017"
"","Total Imports","97157"
"","Trade Balance","7191860"
"Uganda","Total Exports","9664232"
"","Total Imports","2965466"
"","Trade Balance","6698766"
"Martinique","Total Exports","6601481"
"","Total Imports","119106"
"","Trade Balance","6482375"
"Papua New Guinea","Total Exports","6833856"
"","Total Imports","488332"
"","Trade Balance","6345524"
"Angola","Total Exports","6398160"
"","Total Imports","244130"
"","Trade Balance","6154030"
"Qatar","Total Exports","8894950"
"","Total Imports","2882804"
"","Trade Balance","6012146"
"Burkina Faso","Total Exports","5978516"
"","Total Imports","13572"
"","Trade Balance","5964944"
"Jordan","Total Exports","6329995"
"","Total Imports","638448"
"","Trade Balance","5691547"
"French Polynesia","Total Exports","5879826"
"","Total Imports","275717"
"","Trade Balance","5604109"
"Greenland","Total Exports","5804180"
"","Total Imports","934870"
"","Trade Balance","4869310"
"Suriname","Total Exports","4782744"
"","Total Imports","3221"
"","Trade Balance","4779523"
"Cayman Islands","Total Exports","5032362"
"","Total Imports","503612"
"","Trade Balance","4528750"
"Iceland","Total Exports","16504287"
"","Total Imports","12024837"
"","Trade Balance","4479450"
"Guam","Total Exports","4413314"
"","Total Imports","94791"
"","Trade Balance","4318523"
"Iraq","Total Exports","4021062"
"","Total Imports","59626"
"","Trade Balance","3961436"
"Paraguay","Total Exports","4668516"
"","Total Imports","812760"
"","Trade Balance","3855756"
"Peru","Total Exports","98632153"
"","Total Imports","95238766"
"","Trade Balance","3393387"
"Botswana","Total Exports","3401809"
"","Total Imports","81836"
"","Trade Balance","3319973"
"Saint Vincent and the Grenadines","Total Exports","3508784"
"","Total Imports","404107"
"","Trade Balance","3104677"
"Rwanda","Total Exports","3229180"
"","Total Imports","433385"
"","Trade Balance","2795795"
"Bahrain","Total Exports","5693020"
"","Total Imports","3239670"
"","Trade Balance","2453350"
"Grenada","Total Exports","2776246"
"","Total Imports","323158"
"","Trade Balance","2453088"
"Guadeloupe","Total Exports","2198152"
"","Total Imports","214057"
"","Trade Balance","1984095"
"Mali","Total Exports","7629941"
"","Total Imports","5928860"
"","Trade Balance","1701081"
"Saint Kitts and Nevis","Total Exports","1688145"
"","Total Imports","5725"
"","Trade Balance","1682420"
"Honduras","Total Exports","23678268"
"","Total Imports","22003374"
