"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"United States","Total Exports","150656994411"
"","Total Imports","113843532271"
"","Trade Balance","36813462140"
"Netherlands","Total Exports","1382780710"
"","Total Imports","666181610"
"","Trade Balance","716599100"
"Belgium","Total Exports","1038440225"
"","Total Imports","501101098"
"","Trade Balance","537339127"
"Switzerland","Total Exports","954392100"
"","Total Imports","665579829"
"","Trade Balance","288812271"
"Venezuela","Total Exports","584648289"
"","Total Imports","351432979"
"","Trade Balance","233215310"
"Libya","Total Exports","92807878"
"","Total Imports","63"
"","Trade Balance","92807815"
"United Arab Emirates","Total Exports","86018663"
"","Total Imports","5756676"
"","Trade Balance","80261987"
"Türkiye","Total Exports","160232529"
"","Total Imports","82505118"
"","Trade Balance","77727411"
"Colombia","Total Exports","240051661"
"","Total Imports","172073506"
"","Trade Balance","67978155"
"Oman (formerly Muscat and Oman)","Total Exports","58820779"
"","Total Imports","100"
"","Trade Balance","58820679"
"Iran","Total Exports","293712578"
"","Total Imports","239292641"
"","Trade Balance","54419937"
"Uzbekistan","Total Exports","46877204"
"","Total Imports","33341"
"","Trade Balance","46843863"
"Greece","Total Exports","103365918"
"","Total Imports","58729088"
"","Trade Balance","44636830"
"Zambia (Zambi)","Total Exports","41833027"
"","Total Imports","67587"
"","Trade Balance","41765440"
"Bermuda","Total Exports","45704111"
"","Total Imports","4348425"
"","Trade Balance","41355686"
"U.S.S.R.","Total Exports","122780768"
"","Total Imports","81448197"
"","Trade Balance","41332571"
"Lebanon","Total Exports","43982099"
"","Total Imports","4579916"
"","Trade Balance","39402183"
"Trinidad and Tobago","Total Exports","56713960"
"","Total Imports","23282760"
"","Trade Balance","33431200"
"Peru","Total Exports","97421508"
"","Total Imports","64053788"
"","Trade Balance","33367720"
"Kuwait","Total Exports","35205543"
"","Total Imports","2310132"
"","Trade Balance","32895411"
"Argentina","Total Exports","147167606"
"","Total Imports","116138327"
"","Trade Balance","31029279"
"Saint Pierre-Miquelon","Total Exports","27820516"
"","Total Imports","70243"
