"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1994"
"Units","Value in  canadian dollars"

"","","1994"
"United States","Total Exports","183302500774"
"","Total Imports","137346556118"
"","Trade Balance","45955944656"
"Belgium","Total Exports","1366919255"
"","Total Imports","606252026"
"","Trade Balance","760667229"
"Netherlands","Total Exports","1265940434"
"","Total Imports","857881163"
"","Trade Balance","408059271"
"Iran","Total Exports","449408897"
"","Total Imports","116613400"
"","Trade Balance","332795497"
"Algeria","Total Exports","485007395"
"","Total Imports","254122155"
"","Trade Balance","230885240"
"Colombia","Total Exports","459829273"
"","Total Imports","257425409"
"","Trade Balance","202403864"
"Switzerland","Total Exports","902139137"
"","Total Imports","763433831"
"","Trade Balance","138705306"
"Venezuela","Total Exports","618100547"
"","Total Imports","507650467"
"","Trade Balance","110450080"
"United Arab Emirates","Total Exports","100002006"
"","Total Imports","2714168"
"","Trade Balance","97287838"
"Egypt","Total Exports","108535853"
"","Total Imports","15014402"
"","Trade Balance","93521451"
"Libya","Total Exports","77487090"
"","Total Imports","1499"
"","Trade Balance","77485591"
"Chile","Total Exports","314508607"
"","Total Imports","238178870"
"","Trade Balance","76329737"
"Argentina","Total Exports","201269549"
"","Total Imports","132739601"
"","Trade Balance","68529948"
"Saudi Arabia","Total Exports","607754859"
"","Total Imports","540912251"
"","Trade Balance","66842608"
"Trinidad and Tobago","Total Exports","70971405"
"","Total Imports","16358961"
"","Trade Balance","54612444"
"Romania","Total Exports","120259783"
"","Total Imports","72980418"
"","Trade Balance","47279365"
"Netherlands Antilles","Total Exports","46858209"
"","Total Imports","14281008"
"","Trade Balance","32577201"
"Lebanon","Total Exports","35890358"
"","Total Imports","3729488"
"","Trade Balance","32160870"
"Saint Pierre-Miquelon","Total Exports","29417629"
"","Total Imports","144667"
"","Trade Balance","29272962"
"Türkiye","Total Exports","147377672"
"","Total Imports","119813813"
"","Trade Balance","27563859"
"Bangladesh","Total Exports","101567206"
"","Total Imports","74171538"
"","Trade Balance","27395668"
"Tunisia","Total Exports","29529273"
"","Total Imports","2845826"
"","Trade Balance","26683447"
"Morocco","Total Exports","76157544"
"","Total Imports","49804343"
"","Trade Balance","26353201"
"Barbados","Total Exports","36419851"
"","Total Imports","14418022"
"","Trade Balance","22001829"
"Paraguay","Total Exports","23666425"
"","Total Imports","1732168"
"","Trade Balance","21934257"
"Kuwait","Total Exports","38072905"
"","Total Imports","16572807"
"","Trade Balance","21500098"
"Panama","Total Exports","30205502"
"","Total Imports","11527304"
"","Trade Balance","18678198"
"Brazil","Total Exports","979132035"
"","Total Imports","960536621"
"","Trade Balance","18595414"
"Syria","Total Exports","19016439"
"","Total Imports","1002668"
"","Trade Balance","18013771"
"Cyprus","Total Exports","18269280"
"","Total Imports","951161"
"","Trade Balance","17318119"
"Burkina Faso","Total Exports","16132485"
"","Total Imports","46280"
"","Trade Balance","16086205"
"Mozambique","Total Exports","16054912"
"","Total Imports","286789"
"","Trade Balance","15768123"
"Yemen","Total Exports","19023991"
"","Total Imports","3902337"
"","Trade Balance","15121654"
"Ghana","Total Exports","21002772"
"","Total Imports","6209880"
"","Trade Balance","14792892"
"Bermuda","Total Exports","28672071"
"","Total Imports","13971872"
"","Trade Balance","14700199"
"Jordan","Total Exports","14178756"
"","Total Imports","664995"
"","Trade Balance","13513761"
"Ethiopia","Total Exports","20206898"
"","Total Imports","7903601"
"","Trade Balance","12303297"
"Dominican Republic","Total Exports","64140592"
"","Total Imports","51875141"
"","Trade Balance","12265451"
"Oman (formerly Muscat and Oman)","Total Exports","11439074"
"","Total Imports","171317"
"","Trade Balance","11267757"
"Saint Lucia","Total Exports","11073522"
"","Total Imports","486089"
"","Trade Balance","10587433"
"Sudan","Total Exports","10509537"
"","Total Imports","558264"
"","Trade Balance","9951273"
"Somalia","Total Exports","9558944"
"","Total Imports","62756"
"","Trade Balance","9496188"
"Senegal","Total Exports","8188448"
"","Total Imports","178744"
"","Trade Balance","8009704"
"Cameroon","Total Exports","17684372"
"","Total Imports","9888492"
"","Trade Balance","7795880"
"Bolivia","Total Exports","19067717"
"","Total Imports","11386043"
"","Trade Balance","7681674"
"Bahrain","Total Exports","8674452"
"","Total Imports","1602976"
"","Trade Balance","7071476"
"Qatar","Total Exports","6671030"
"","Total Imports","176802"
"","Trade Balance","6494228"
"Antigua and Barbuda","Total Exports","6699011"
"","Total Imports","371288"
"","Trade Balance","6327723"
"Haiti","Total Exports","6648857"
"","Total Imports","489408"
"","Trade Balance","6159449"
"Martinique","Total Exports","5977251"
"","Total Imports","112869"
"","Trade Balance","5864382"
"Cambodia (Kampuchea)","Total Exports","5610924"
"","Total Imports","178077"
"","Trade Balance","5432847"
"Uganda","Total Exports","9902198"
"","Total Imports","4986086"
"","Trade Balance","4916112"
"Mauritania","Total Exports","4980757"
"","Total Imports","392370"
"","Trade Balance","4588387"
"Tanzania","Total Exports","6267044"
"","Total Imports","1678853"
"","Trade Balance","4588191"
"British Virgin Islands","Total Exports","4559512"
"","Total Imports","37962"
"","Trade Balance","4521550"
"Cayman Islands","Total Exports","5025608"
"","Total Imports","590327"
"","Trade Balance","4435281"
"Benin","Total Exports","4350960"
"","Total Imports","5757"
"","Trade Balance","4345203"
"Maldives","Total Exports","4421653"
"","Total Imports","236917"
"","Trade Balance","4184736"
"Greenland","Total Exports","5104895"
"","Total Imports","1461844"
"","Trade Balance","3643051"
