"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"United States","Total Exports","223177418602"
"","Total Imports","156952857700"
"","Trade Balance","66224560902"
"Japan","Total Exports","11210321105"
"","Total Imports","10438690901"
"","Trade Balance","771630204"
"Netherlands","Total Exports","1667614990"
"","Total Imports","926911242"
"","Trade Balance","740703748"
"Belgium","Total Exports","1538578240"
"","Total Imports","818496026"
"","Trade Balance","720082214"
"Indonesia","Total Exports","955896422"
"","Total Imports","627061865"
"","Trade Balance","328834557"
"Iran","Total Exports","560438661"
"","Total Imports","237852107"
"","Trade Balance","322586554"
"Brazil","Total Exports","1428624778"
"","Total Imports","1133537028"
"","Trade Balance","295087750"
"Colombia","Total Exports","512499606"
"","Total Imports","296967562"
"","Trade Balance","215532044"
"United Arab Emirates","Total Exports","172856645"
"","Total Imports","14657073"
"","Trade Balance","158199572"
"Libya","Total Exports","141096339"
"","Total Imports","449"
"","Trade Balance","141095890"
"Hong Kong","Total Exports","1278818139"
"","Total Imports","1141962910"
"","Trade Balance","136855229"
"Egypt","Total Exports","155703152"
"","Total Imports","19733356"
"","Trade Balance","135969796"
"Türkiye","Total Exports","265096458"
"","Total Imports","152156455"
"","Trade Balance","112940003"
"Morocco","Total Exports","194609384"
"","Total Imports","82095948"
"","Trade Balance","112513436"
"Korea, South","Total Exports","2816935998"
"","Total Imports","2728848184"
"","Trade Balance","88087814"
"Kuwait","Total Exports","77671980"
"","Total Imports","207677"
"","Trade Balance","77464303"
"Ghana","Total Exports","78383667"
"","Total Imports","2661034"
"","Trade Balance","75722633"
"Chile","Total Exports","415529533"
"","Total Imports","342190484"
"","Trade Balance","73339049"
"Lebanon","Total Exports","64746962"
"","Total Imports","5611634"
"","Trade Balance","59135328"
"Greece","Total Exports","120525459"
"","Total Imports","67964031"
"","Trade Balance","52561428"
"Romania","Total Exports","102533508"
"","Total Imports","50229163"
"","Trade Balance","52304345"
"Peru","Total Exports","175391567"
"","Total Imports","126358931"
"","Trade Balance","49032636"
"Trinidad and Tobago","Total Exports","86566516"
"","Total Imports","46575184"
"","Trade Balance","39991332"
"Tunisia","Total Exports","41721821"
"","Total Imports","3716435"
"","Trade Balance","38005386"
"Poland","Total Exports","180462751"
"","Total Imports","144143288"
"","Trade Balance","36319463"
"Jordan","Total Exports","35113834"
"","Total Imports","1438259"
"","Trade Balance","33675575"
"Bermuda","Total Exports","33073480"
"","Total Imports","2311973"
"","Trade Balance","30761507"
"Saint Pierre-Miquelon","Total Exports","30838293"
"","Total Imports","828824"
"","Trade Balance","30009469"
"Haiti","Total Exports","30933985"
"","Total Imports","2947581"
"","Trade Balance","27986404"
"Kyrgyzstan","Total Exports","27675562"
"","Total Imports","351171"
"","Trade Balance","27324391"
"Antigua and Barbuda","Total Exports","28807689"
"","Total Imports","1857873"
"","Trade Balance","26949816"
"Panama","Total Exports","47552890"
"","Total Imports","23827477"
"","Trade Balance","23725413"
"Botswana","Total Exports","23840492"
"","Total Imports","1005015"
"","Trade Balance","22835477"
"Ukraine","Total Exports","38492460"
"","Total Imports","16429141"
"","Trade Balance","22063319"
"Senegal","Total Exports","22722388"
"","Total Imports","1670333"
"","Trade Balance","21052055"
"Maldives","Total Exports","20693225"
"","Total Imports","184687"
"","Trade Balance","20508538"
"Barbados","Total Exports","34920642"
"","Total Imports","15700691"
"","Trade Balance","19219951"
"Argentina","Total Exports","204424487"
"","Total Imports","186357064"
"","Trade Balance","18067423"
"Tanzania","Total Exports","18449974"
"","Total Imports","1401905"
"","Trade Balance","17048069"
"Qatar","Total Exports","16964691"
"","Total Imports","371007"
"","Trade Balance","16593684"
"Ethiopia","Total Exports","22190271"
"","Total Imports","6754351"
"","Trade Balance","15435920"
"Kenya","Total Exports","33668663"
"","Total Imports","18536777"
"","Trade Balance","15131886"
"Mozambique","Total Exports","14758618"
"","Total Imports","717507"
"","Trade Balance","14041111"
"Bahrain","Total Exports","15426750"
"","Total Imports","1478631"
"","Trade Balance","13948119"
"Sudan","Total Exports","12758380"
"","Total Imports","91377"
"","Trade Balance","12667003"
"Cyprus","Total Exports","15885648"
"","Total Imports","3725633"
"","Trade Balance","12160015"
"Cameroon","Total Exports","12124559"
"","Total Imports","1077112"
"","Trade Balance","11047447"
"Oman (formerly Muscat and Oman)","Total Exports","10978746"
"","Total Imports","598934"
"","Trade Balance","10379812"
"Brunei Darussalam","Total Exports","9657187"
"","Total Imports","259998"
"","Trade Balance","9397189"
"Bolivia","Total Exports","26808559"
"","Total Imports","17613428"
"","Trade Balance","9195131"
"Mali","Total Exports","11953670"
"","Total Imports","2934634"
"","Trade Balance","9019036"
"Croatia","Total Exports","21042500"
"","Total Imports","12561321"
"","Trade Balance","8481179"
"Kazakhstan","Total Exports","13010635"
"","Total Imports","4987830"
"","Trade Balance","8022805"
"Estonia","Total Exports","14830436"
"","Total Imports","7177180"
"","Trade Balance","7653256"
"Papua New Guinea","Total Exports","7715891"
"","Total Imports","732555"
"","Trade Balance","6983336"
"Nicaragua","Total Exports","16710407"
"","Total Imports","9727635"
"","Trade Balance","6982772"
"Martinique","Total Exports","6418605"
"","Total Imports","7339"
"","Trade Balance","6411266"
"Antarctica","Total Exports","6008589"
"","Total Imports",""
"","Trade Balance","6008589"
"Greenland","Total Exports","8788587"
"","Total Imports","2998324"
"","Trade Balance","5790263"
"Cayman Islands","Total Exports","7679710"
"","Total Imports","1963559"
"","Trade Balance","5716151"
"Gabon","Total Exports","5741216"
"","Total Imports","318763"
"","Trade Balance","5422453"
"Rwanda","Total Exports","4675153"
"","Total Imports","100468"
"","Trade Balance","4574685"
"Malawi","Total Exports","6483824"
"","Total Imports","2105285"
"","Trade Balance","4378539"
"Grenada","Total Exports","4888684"
"","Total Imports","559174"
"","Trade Balance","4329510"
"Saint Lucia","Total Exports","5747969"
"","Total Imports","1602115"
"","Trade Balance","4145854"
"Paraguay","Total Exports","6391375"
"","Total Imports","2917485"
"","Trade Balance","3473890"
"Yugoslavia  - Serbia and Montenegro","Total Exports","6185157"
"","Total Imports","2726614"
"","Trade Balance","3458543"
"Latvia","Total Exports","9620899"
"","Total Imports","6239716"
"","Trade Balance","3381183"
"Liberia","Total Exports","3439933"
"","Total Imports","106286"
"","Trade Balance","3333647"
"Benin","Total Exports","3173937"
"","Total Imports","28025"
"","Trade Balance","3145912"
"Saint Vincent and the Grenadines","Total Exports","3254999"
"","Total Imports","138638"
"","Trade Balance","3116361"
"French Polynesia","Total Exports","3287344"
"","Total Imports","240168"
"","Trade Balance","3047176"
"Guadeloupe","Total Exports","3252365"
"","Total Imports","269378"
"","Trade Balance","2982987"
"Burkina Faso","Total Exports","2728706"
"","Total Imports","4321"
"","Trade Balance","2724385"
"Bosnia and Herzegovina","Total Exports","2842434"
"","Total Imports","152754"
"","Trade Balance","2689680"
"Burundi","Total Exports","2641105"
"","Total Imports","113881"
"","Trade Balance","2527224"
"Switzerland","Total Exports","940594977"
"","Total Imports","938474834"
"","Trade Balance","2120143"
"New Caledonia","Total Exports","2196333"
"","Total Imports","162596"
"","Trade Balance","2033737"
"Albania","Total Exports","1922801"
"","Total Imports","137919"
"","Trade Balance","1784882"
"Zambia (Zambi)","Total Exports","6778481"
"","Total Imports","5310029"
"","Trade Balance","1468452"
"Djibouti","Total Exports","1063949"
"","Total Imports","984"
"","Trade Balance","1062965"
"Dominica","Total Exports","2203467"
"","Total Imports","1180575"
"","Trade Balance","1022892"
"Guam","Total Exports","1750894"
"","Total Imports","762817"
"","Trade Balance","988077"
"Hungary","Total Exports","48699951"
"","Total Imports","47736432"
"","Trade Balance","963519"
"Iraq","Total Exports","770601"
"","Total Imports","20"
"","Trade Balance","770581"
"Gibraltar","Total Exports","706422"
"","Total Imports","9483"
"","Trade Balance","696939"
"Congo (formerly Brazzaville)","Total Exports","763885"
"","Total Imports","126990"
"","Trade Balance","636895"
"Anguilla","Total Exports","605270"
"","Total Imports","11091"
"","Trade Balance","594179"
"Azerbaijan","Total Exports","616757"
"","Total Imports","57973"
"","Trade Balance","558784"
"Réunion Island","Total Exports","598718"
"","Total Imports","52666"
"","Trade Balance","546052"
"Cambodia (Kampuchea)","Total Exports","1839000"
"","Total Imports","1336548"
"","Trade Balance","502452"
"Uganda","Total Exports","13059052"
"","Total Imports","12587712"
"","Trade Balance","471340"
"Armenia","Total Exports","487471"
"","Total Imports","36638"
"","Trade Balance","450833"
"Turkmenistan","Total Exports","439362"
"","Total Imports","12395"
"","Trade Balance","426967"
"Turks and Caicos Islands","Total Exports","514284"
"","Total Imports","93481"
"","Trade Balance","420803"
"Bhutan","Total Exports","392099"
"","Total Imports","5097"
"","Trade Balance","387002"
"Korea, North","Total Exports","453858"
"","Total Imports","79925"
"","Trade Balance","373933"
"Georgia","Total Exports","747096"
"","Total Imports","437093"
"","Trade Balance","310003"
"Cape Verde","Total Exports","309768"
"","Total Imports","29694"
"","Trade Balance","280074"
"French Guiana","Total Exports","248880"
"","Total Imports","589"
"","Trade Balance","248291"
"Gambia","Total Exports","425218"
"","Total Imports","194547"
"","Trade Balance","230671"
"Afghanistan","Total Exports","447738"
"","Total Imports","223857"
"","Trade Balance","223881"
"Vanuatu (New Hebrides)","Total Exports","128219"
"","Total Imports","32"
"","Trade Balance","128187"
"Somalia","Total Exports","206884"
"","Total Imports","104798"
"","Trade Balance","102086"
"Guinea-Bissau","Total Exports","73936"
"","Total Imports","19077"
"","Trade Balance","54859"
"Sao Tomé-Principe","Total Exports","48879"
"","Total Imports","268"
"","Trade Balance","48611"
