"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2002"
"Units","Value in  canadian dollars"

"","","2002"
"United States","Total Exports","345366349282"
"","Total Imports","218497473164"
"","Trade Balance","126868876118"
"Belgium","Total Exports","1917804475"
"","Total Imports","1393035483"
"","Trade Balance","524768992"
"Netherlands","Total Exports","1774515869"
"","Total Imports","1468472712"
"","Trade Balance","306043157"
"United Arab Emirates","Total Exports","272701859"
"","Total Imports","29122522"
"","Trade Balance","243579337"
"Hong Kong","Total Exports","1206340912"
"","Total Imports","995520195"
"","Trade Balance","210820717"
"Egypt","Total Exports","184865414"
"","Total Imports","57587722"
"","Trade Balance","127277692"
"Tunisia","Total Exports","137520580"
"","Total Imports","17320288"
"","Trade Balance","120200292"
"Iran","Total Exports","167632796"
"","Total Imports","54887330"
"","Trade Balance","112745466"
"Bermuda","Total Exports","112850900"
"","Total Imports","3803336"
"","Trade Balance","109047564"
"Morocco","Total Exports","177036583"
"","Total Imports","86233205"
"","Trade Balance","90803378"
"Sudan","Total Exports","61212732"
"","Total Imports","241515"
"","Trade Balance","60971217"
"Kuwait","Total Exports","85099077"
"","Total Imports","24592331"
"","Trade Balance","60506746"
"Yemen","Total Exports","47656776"
"","Total Imports","121045"
"","Trade Balance","47535731"
"Libya","Total Exports","47408686"
"","Total Imports","26100"
"","Trade Balance","47382586"
"Greece","Total Exports","145646615"
"","Total Imports","105849135"
"","Trade Balance","39797480"
"Barbados","Total Exports","38527568"
"","Total Imports","7543211"
"","Trade Balance","30984357"
"Ghana","Total Exports","70406177"
"","Total Imports","41428141"
"","Trade Balance","28978036"
"Qatar","Total Exports","28954372"
"","Total Imports","485076"
"","Trade Balance","28469296"
"Jordan","Total Exports","31660427"
"","Total Imports","4104434"
"","Trade Balance","27555993"
"Kazakhstan","Total Exports","37802570"
"","Total Imports","10689279"
"","Trade Balance","27113291"
"Panama","Total Exports","37078210"
"","Total Imports","12150332"
"","Trade Balance","24927878"
"Bahamas","Total Exports","40818072"
"","Total Imports","16127184"
"","Trade Balance","24690888"
"Lebanon","Total Exports","32706762"
"","Total Imports","8263370"
"","Trade Balance","24443392"
"Korea, North","Total Exports","21477183"
"","Total Imports","61320"
"","Trade Balance","21415863"
"Saint Kitts and Nevis","Total Exports","28605174"
"","Total Imports","7532444"
"","Trade Balance","21072730"
"Oman (formerly Muscat and Oman)","Total Exports","23679009"
"","Total Imports","2993444"
"","Trade Balance","20685565"
"Haiti","Total Exports","30710847"
"","Total Imports","10630295"
"","Trade Balance","20080552"
"Saint Pierre-Miquelon","Total Exports","20081805"
"","Total Imports","585947"
"","Trade Balance","19495858"
"Cyprus","Total Exports","21257215"
"","Total Imports","2344786"
"","Trade Balance","18912429"
"Netherlands Antilles","Total Exports","18724784"
"","Total Imports","1413513"
"","Trade Balance","17311271"
"Tanzania","Total Exports","17815710"
"","Total Imports","3579504"
"","Trade Balance","14236206"
"Mozambique","Total Exports","13532675"
"","Total Imports","174548"
"","Trade Balance","13358127"
"Togo","Total Exports","13927491"
"","Total Imports","693807"
"","Trade Balance","13233684"
"Congo (formerly Zaire)","Total Exports","12015370"
"","Total Imports","42773"
"","Trade Balance","11972597"
"Dominican Republic","Total Exports","128885876"
"","Total Imports","118204729"
"","Trade Balance","10681147"
"Senegal","Total Exports","11052093"
"","Total Imports","1046899"
"","Trade Balance","10005194"
"Saint Lucia","Total Exports","9733354"
"","Total Imports","411095"
"","Trade Balance","9322259"
"Kenya","Total Exports","20707254"
"","Total Imports","12449130"
"","Trade Balance","8258124"
"Antigua and Barbuda","Total Exports","9005840"
"","Total Imports","954364"
"","Trade Balance","8051476"
"Angola","Total Exports","6807594"
"","Total Imports","40308"
"","Trade Balance","6767286"
"Zambia (Zambi)","Total Exports","8140810"
"","Total Imports","1480412"
"","Trade Balance","6660398"
"Uganda","Total Exports","7040570"
"","Total Imports","634390"
"","Trade Balance","6406180"
"Benin","Total Exports","5634704"
"","Total Imports","2793"
"","Trade Balance","5631911"
"French Polynesia","Total Exports","8263598"
"","Total Imports","2769363"
"","Trade Balance","5494235"
"Cayman Islands","Total Exports","8825012"
"","Total Imports","3748513"
"","Trade Balance","5076499"
"Malawi","Total Exports","6092104"
"","Total Imports","1682778"
"","Trade Balance","4409326"
"Gabon","Total Exports","6428648"
"","Total Imports","2609399"
"","Trade Balance","3819249"
"Cameroon","Total Exports","14061869"
"","Total Imports","10637875"
"","Trade Balance","3423994"
"Saint Vincent and the Grenadines","Total Exports","3953123"
"","Total Imports","618927"
"","Trade Balance","3334196"
"Congo (formerly Brazzaville)","Total Exports","4280857"
"","Total Imports","1012800"
"","Trade Balance","3268057"
"Luxembourg","Total Exports","85976609"
"","Total Imports","82901020"
"","Trade Balance","3075589"
"Grenada","Total Exports","4507720"
"","Total Imports","1476621"
"","Trade Balance","3031099"
"Sierra Leone","Total Exports","5469666"
"","Total Imports","2469678"
"","Trade Balance","2999988"
"Bahrain","Total Exports","15616564"
"","Total Imports","12726537"
"","Trade Balance","2890027"
"Greenland","Total Exports","4600226"
"","Total Imports","1736532"
"","Trade Balance","2863694"
"Botswana","Total Exports","3635369"
"","Total Imports","880247"
"","Trade Balance","2755122"
"Azerbaijan","Total Exports","3476133"
"","Total Imports","777516"
"","Trade Balance","2698617"
"Mauritania","Total Exports","3105097"
"","Total Imports","574816"
"","Trade Balance","2530281"
"Antarctica","Total Exports","2510835"
"","Total Imports","1002"
"","Trade Balance","2509833"
"Turks and Caicos Islands","Total Exports","4625762"
"","Total Imports","2346828"
"","Trade Balance","2278934"
"Burkina Faso","Total Exports","2182804"
"","Total Imports","34940"
"","Trade Balance","2147864"
"Albania","Total Exports","2580636"
"","Total Imports","499341"
"","Trade Balance","2081295"
"British Virgin Islands","Total Exports","2451877"
"","Total Imports","500930"
"","Trade Balance","1950947"
"Georgia","Total Exports","2478769"
"","Total Imports","709543"
"","Trade Balance","1769226"
"Dominica","Total Exports","2696929"
"","Total Imports","943716"
"","Trade Balance","1753213"
"Afghanistan","Total Exports","1884501"
"","Total Imports","364440"
"","Trade Balance","1520061"
"Anguilla","Total Exports","1422780"
"","Total Imports","13075"
"","Trade Balance","1409705"
"Fiji","Total Exports","7321240"
"","Total Imports","5980753"
"","Trade Balance","1340487"
"Seychelles","Total Exports","1590765"
"","Total Imports","277956"
"","Trade Balance","1312809"
"New Caledonia","Total Exports","1581561"
"","Total Imports","351785"
"","Trade Balance","1229776"
"Kyrgyzstan","Total Exports","1274910"
"","Total Imports","87632"
"","Trade Balance","1187278"
"Chad","Total Exports","1127289"
"","Total Imports","43389"
"","Trade Balance","1083900"
"Maldives","Total Exports","3813751"
"","Total Imports","2781065"
"","Trade Balance","1032686"
"Iceland","Total Exports","54548341"
"","Total Imports","53522047"
"","Trade Balance","1026294"
"Tonga","Total Exports","957599"
"","Total Imports","30119"
"","Trade Balance","927480"
"Guam","Total Exports","2217476"
"","Total Imports","1317528"
"","Trade Balance","899948"
"Rwanda","Total Exports","1706054"
"","Total Imports","825049"
"","Trade Balance","881005"
"American Samoa","Total Exports","1254795"
"","Total Imports","395788"
"","Trade Balance","859007"
"Niger","Total Exports","2250387"
"","Total Imports","1398618"
"","Trade Balance","851769"
"Latvia","Total Exports","13869160"
"","Total Imports","13105114"
"","Trade Balance","764046"
"Gambia","Total Exports","570985"
"","Total Imports","44498"
"","Trade Balance","526487"
"Papua New Guinea","Total Exports","1517093"
"","Total Imports","998728"
"","Trade Balance","518365"
"Vanuatu (New Hebrides)","Total Exports","533803"
"","Total Imports","31107"
"","Trade Balance","502696"
"Gibraltar","Total Exports","510321"
"","Total Imports","22890"
"","Trade Balance","487431"
"Christmas Island","Total Exports","455083"
"","Total Imports","55587"
"","Trade Balance","399496"
"Tajikistan","Total Exports","772473"
"","Total Imports","378557"
"","Trade Balance","393916"
"Djibouti","Total Exports","1043220"
"","Total Imports","652619"
"","Trade Balance","390601"
"Burundi","Total Exports","784029"
"","Total Imports","447287"
"","Trade Balance","336742"
"Western Sahara","Total Exports","313504"
"","Total Imports","360"
"","Trade Balance","313144"
"Eritrea","Total Exports","382239"
"","Total Imports","72728"
"","Trade Balance","309511"
"French Southern Territories","Total Exports","153613"
"","Total Imports","803"
"","Trade Balance","152810"
"Cape Verde","Total Exports","148021"
"","Total Imports","15799"
"","Trade Balance","132222"
"Mali","Total Exports","3242489"
"","Total Imports","3124601"
"","Trade Balance","117888"
"Pitcairn Island","Total Exports","174739"
"","Total Imports","81219"
"","Trade Balance","93520"
"Solomon Islands","Total Exports","147609"
"","Total Imports","60952"
"","Trade Balance","86657"
"Central African Republic","Total Exports","435219"
"","Total Imports","359033"
"","Trade Balance","76186"
"Samoa (Western)","Total Exports","180981"
"","Total Imports","135908"
"","Trade Balance","45073"
"Armenia","Total Exports","2452416"
"","Total Imports","2411651"
"","Trade Balance","40765"
"Guinea-Bissau","Total Exports","36320"
"","Total Imports","2620"
"","Trade Balance","33700"
"Montserrat","Total Exports","295416"
"","Total Imports","267435"
"","Trade Balance","27981"
"Timor-Leste","Total Exports","54832"
"","Total Imports","38378"
"","Trade Balance","16454"
"Norfolk Island","Total Exports","17094"
"","Total Imports","941"
"","Trade Balance","16153"
"Bhutan","Total Exports","19581"
"","Total Imports","5965"
"","Trade Balance","13616"
