"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2003"
"Units","Value in  canadian dollars"

"","","2003"
"United States","Total Exports","326800084769"
"","Total Imports","203821857083"
"","Trade Balance","122978227686"
"Belgium","Total Exports","1842436939"
"","Total Imports","1162052598"
"","Trade Balance","680384341"
"Hong Kong","Total Exports","1175840871"
"","Total Imports","858396703"
"","Trade Balance","317444168"
"United Arab Emirates","Total Exports","343034803"
"","Total Imports","30223337"
"","Trade Balance","312811466"
"Iran","Total Exports","235130062"
"","Total Imports","63242381"
"","Trade Balance","171887681"
"Luxembourg","Total Exports","231176398"
"","Total Imports","59562093"
"","Trade Balance","171614305"
"Egypt","Total Exports","231986638"
"","Total Imports","116203875"
"","Trade Balance","115782763"
"Greece","Total Exports","185975445"
"","Total Imports","113355074"
"","Trade Balance","72620371"
"Tunisia","Total Exports","88996406"
"","Total Imports","20198432"
"","Trade Balance","68797974"
"Sudan","Total Exports","59092395"
"","Total Imports","221884"
"","Trade Balance","58870511"
"Libya","Total Exports","67097937"
"","Total Imports","8910087"
"","Trade Balance","58187850"
"Morocco","Total Exports","142092750"
"","Total Imports","93046668"
"","Trade Balance","49046082"
"Bermuda","Total Exports","49450647"
"","Total Imports","1654905"
"","Trade Balance","47795742"
"Oman (formerly Muscat and Oman)","Total Exports","49149686"
"","Total Imports","7001608"
"","Trade Balance","42148078"
"Barbados","Total Exports","45876397"
"","Total Imports","6282264"
"","Trade Balance","39594133"
"Yemen","Total Exports","34026008"
"","Total Imports","204117"
"","Trade Balance","33821891"
"Kuwait","Total Exports","82282542"
"","Total Imports","51329785"
"","Trade Balance","30952757"
"Korea, North","Total Exports","30035411"
"","Total Imports","74704"
"","Trade Balance","29960707"
"Qatar","Total Exports","36666828"
"","Total Imports","7673120"
"","Trade Balance","28993708"
"Azerbaijan","Total Exports","28751681"
"","Total Imports","677927"
"","Trade Balance","28073754"
"Pakistan","Total Exports","302183770"
"","Total Imports","275031569"
"","Trade Balance","27152201"
"Angola","Total Exports","26926912"
"","Total Imports","47880"
"","Trade Balance","26879032"
"Croatia","Total Exports","47823768"
"","Total Imports","21174280"
"","Trade Balance","26649488"
"Tanzania","Total Exports","28462741"
"","Total Imports","2971433"
"","Trade Balance","25491308"
"Jordan","Total Exports","30796667"
"","Total Imports","5776302"
"","Trade Balance","25020365"
"Kazakhstan","Total Exports","40951259"
"","Total Imports","18353721"
"","Trade Balance","22597538"
"Lebanon","Total Exports","31072627"
"","Total Imports","9761510"
"","Trade Balance","21311117"
"Saint Pierre-Miquelon","Total Exports","21270552"
"","Total Imports","732202"
"","Trade Balance","20538350"
"Ethiopia","Total Exports","23881754"
"","Total Imports","6060321"
"","Trade Balance","17821433"
"Antigua and Barbuda","Total Exports","18339421"
"","Total Imports","748304"
"","Trade Balance","17591117"
"Mozambique","Total Exports","16192514"
"","Total Imports","97976"
"","Trade Balance","16094538"
"Iceland","Total Exports","47627283"
"","Total Imports","34169371"
"","Trade Balance","13457912"
