"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2008"
"Units","Value in  canadian dollars"

"","","2008"
"United States","Total Exports","375479620670"
"","Total Imports","227246166074"
"","Trade Balance","148233454596"
"Netherlands","Total Exports","3699048774"
"","Total Imports","2177400689"
"","Trade Balance","1521648085"
"Hong Kong","Total Exports","1771010533"
"","Total Imports","464434666"
"","Trade Balance","1306575867"
"Belgium","Total Exports","3422122502"
"","Total Imports","2211861572"
"","Trade Balance","1210260930"
"United Arab Emirates","Total Exports","1462336814"
"","Total Imports","330254559"
"","Trade Balance","1132082255"
"Iran","Total Exports","680830760"
"","Total Imports","39856576"
"","Trade Balance","640974184"
"Gibraltar","Total Exports","596796361"
"","Total Imports","55983"
"","Trade Balance","596740378"
"Türkiye","Total Exports","1236429071"
"","Total Imports","703107604"
"","Trade Balance","533321467"
"Australia","Total Exports","2141140675"
"","Total Imports","1645677341"
"","Trade Balance","495463334"
"Egypt","Total Exports","632732537"
"","Total Imports","138794734"
"","Trade Balance","493937803"
"United Kingdom","Total Exports","12995966379"
"","Total Imports","12555135706"
"","Trade Balance","440830673"
"Indonesia","Total Exports","1467320970"
"","Total Imports","1078490721"
"","Trade Balance","388830249"
"Pakistan","Total Exports","549697279"
"","Total Imports","245515964"
"","Trade Balance","304181315"
"Sri Lanka","Total Exports","393374253"
"","Total Imports","119623922"
"","Trade Balance","273750331"
"India","Total Exports","2418093194"
"","Total Imports","2236977166"
"","Trade Balance","181116028"
"Uruguay","Total Exports","210416890"
"","Total Imports","34653153"
"","Trade Balance","175763737"
"Kuwait","Total Exports","179656379"
"","Total Imports","15261087"
"","Trade Balance","164395292"
"Bahamas","Total Exports","230752120"
"","Total Imports","73517903"
"","Trade Balance","157234217"
"Morocco","Total Exports","304382748"
"","Total Imports","147187494"
"","Trade Balance","157195254"
"Finland","Total Exports","1007975076"
"","Total Imports","853093388"
"","Trade Balance","154881688"
"Sudan","Total Exports","223271878"
"","Total Imports","68480402"
"","Trade Balance","154791476"
"Ghana","Total Exports","184915835"
"","Total Imports","34182013"
"","Trade Balance","150733822"
"Libya","Total Exports","125819685"
"","Total Imports","15655"
"","Trade Balance","125804030"
"Oman (formerly Muscat and Oman)","Total Exports","124347476"
"","Total Imports","4483822"
"","Trade Balance","119863654"
"Panama","Total Exports","128304179"
"","Total Imports","21232892"
"","Trade Balance","107071287"
"South Africa","Total Exports","937588726"
"","Total Imports","845200691"
"","Trade Balance","92388035"
"Yemen","Total Exports","90665510"
"","Total Imports","196166"
"","Trade Balance","90469344"
"Lebanon","Total Exports","105683030"
"","Total Imports","16462990"
"","Trade Balance","89220040"
"Qatar","Total Exports","89027766"
"","Total Imports","1383342"
"","Trade Balance","87644424"
"Dominican Republic","Total Exports","213732558"
"","Total Imports","129875210"
"","Trade Balance","83857348"
"Romania","Total Exports","238502141"
"","Total Imports","156258187"
"","Trade Balance","82243954"
"Luxembourg","Total Exports","177164972"
"","Total Imports","97204418"
"","Trade Balance","79960554"
"Colombia","Total Exports","708840790"
"","Total Imports","638770149"
"","Trade Balance","70070641"
"Bermuda","Total Exports","69320553"
"","Total Imports","1909122"
"","Trade Balance","67411431"
"Kenya","Total Exports","78108873"
"","Total Imports","15297180"
"","Trade Balance","62811693"
"Jordan","Total Exports","76906246"
"","Total Imports","15371791"
"","Trade Balance","61534455"
"Ecuador","Total Exports","238044050"
"","Total Imports","177094279"
"","Trade Balance","60949771"
"Ethiopia","Total Exports","72363699"
"","Total Imports","12657913"
"","Trade Balance","59705786"
"Tanzania","Total Exports","55321074"
"","Total Imports","2159142"
"","Trade Balance","53161932"
"Bahrain","Total Exports","52087288"
"","Total Imports","3871054"
"","Trade Balance","48216234"
"Tunisia","Total Exports","87660356"
"","Total Imports","41219329"
"","Trade Balance","46441027"
"Barbados","Total Exports","50795614"
"","Total Imports","8496300"
"","Trade Balance","42299314"
"Netherlands Antilles","Total Exports","42818906"
"","Total Imports","2668410"
"","Trade Balance","40150496"
"Congo (formerly Brazzaville)","Total Exports","38162051"
"","Total Imports","3185187"
"","Trade Balance","34976864"
"Albania","Total Exports","37124924"
"","Total Imports","3452875"
"","Trade Balance","33672049"
"Ukraine","Total Exports","229695679"
"","Total Imports","197400472"
"","Trade Balance","32295207"
"Haiti","Total Exports","51442137"
"","Total Imports","19280341"
"","Trade Balance","32161796"
"Senegal","Total Exports","32466245"
"","Total Imports","1152108"
"","Trade Balance","31314137"
"Gabon","Total Exports","32034780"
"","Total Imports","1304619"
"","Trade Balance","30730161"
"New Caledonia","Total Exports","30221254"
"","Total Imports","262998"
"","Trade Balance","29958256"
"Zambia (Zambi)","Total Exports","27063235"
"","Total Imports","636606"
"","Trade Balance","26426629"
"Afghanistan","Total Exports","25390504"
"","Total Imports","1222677"
"","Trade Balance","24167827"
"Congo (formerly Zaire)","Total Exports","24929738"
"","Total Imports","816924"
"","Trade Balance","24112814"
"Kazakhstan","Total Exports","255668055"
"","Total Imports","232064064"
"","Trade Balance","23603991"
"Korea, North","Total Exports","22854279"
"","Total Imports","106766"
"","Trade Balance","22747513"
"Croatia","Total Exports","71079497"
"","Total Imports","50484635"
"","Trade Balance","20594862"
"Macau (Macao)","Total Exports","49401467"
"","Total Imports","29500641"
"","Trade Balance","19900826"
"Cameroon","Total Exports","23929549"
"","Total Imports","4539071"
"","Trade Balance","19390478"
"Uganda","Total Exports","21106659"
"","Total Imports","2420150"
"","Trade Balance","18686509"
"Saint Pierre-Miquelon","Total Exports","18107690"
"","Total Imports","472690"
"","Trade Balance","17635000"
"French Polynesia","Total Exports","18367490"
"","Total Imports","1169038"
"","Trade Balance","17198452"
"Antigua and Barbuda","Total Exports","22476264"
"","Total Imports","5467824"
"","Trade Balance","17008440"
"Iceland","Total Exports","51077925"
"","Total Imports","34112542"
"","Trade Balance","16965383"
"Latvia","Total Exports","49120554"
"","Total Imports","32334821"
"","Trade Balance","16785733"
"Turkmenistan","Total Exports","17478074"
"","Total Imports","855536"
"","Trade Balance","16622538"
"Cayman Islands","Total Exports","15750371"
"","Total Imports","192772"
"","Trade Balance","15557599"
"Togo","Total Exports","22090650"
"","Total Imports","6838501"
"","Trade Balance","15252149"
"Uzbekistan","Total Exports","16515833"
"","Total Imports","1396533"
"","Trade Balance","15119300"
