"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2011"
"Units","Value in  canadian dollars"

"","","2011"
"United States","Total Exports","328975433666"
"","Total Imports","221424308989"
"","Trade Balance","107551124677"
"United Kingdom","Total Exports","18791771032"
"","Total Imports","10329702764"
"","Trade Balance","8462068268"
"Hong Kong","Total Exports","2966663949"
"","Total Imports","318694222"
"","Trade Balance","2647969727"
"Netherlands","Total Exports","4806929085"
"","Total Imports","2563433877"
"","Trade Balance","2243495208"
"Belgium","Total Exports","2388514202"
"","Total Imports","1666256308"
"","Trade Balance","722257894"
"United Arab Emirates","Total Exports","1358308480"
"","Total Imports","900943731"
"","Trade Balance","457364749"
"Pakistan","Total Exports","689334579"
"","Total Imports","260642745"
"","Trade Balance","428691834"
"Egypt","Total Exports","711330988"
"","Total Imports","449838467"
"","Trade Balance","261492521"
"Indonesia","Total Exports","1644643450"
"","Total Imports","1429458414"
"","Trade Balance","215185036"
"Ghana","Total Exports","266371414"
"","Total Imports","55453172"
"","Trade Balance","210918242"
"Russia","Total Exports","1496966195"
"","Total Imports","1286480127"
"","Trade Balance","210486068"
"Morocco","Total Exports","299794541"
"","Total Imports","119111217"
"","Trade Balance","180683324"
"Türkiye","Total Exports","1271507611"
"","Total Imports","1122712194"
"","Trade Balance","148795417"
"Sri Lanka","Total Exports","303030254"
"","Total Imports","161929974"
"","Trade Balance","141100280"
"Australia","Total Exports","1898166006"
"","Total Imports","1766943515"
"","Trade Balance","131222491"
"Bahamas","Total Exports","131029501"
"","Total Imports","21880776"
"","Trade Balance","109148725"
"Netherlands Antilles","Total Exports","132186717"
"","Total Imports","23843412"
"","Trade Balance","108343305"
"India","Total Exports","2628709474"
"","Total Imports","2533828519"
"","Trade Balance","94880955"
"Oman (formerly Muscat and Oman)","Total Exports","113645535"
"","Total Imports","19258806"
"","Trade Balance","94386729"
"Iran","Total Exports","127318105"
"","Total Imports","34486526"
"","Trade Balance","92831579"
"Gibraltar","Total Exports","94436151"
"","Total Imports","1676531"
"","Trade Balance","92759620"
"Bermuda","Total Exports","79226569"
"","Total Imports","975769"
"","Trade Balance","78250800"
"Uruguay","Total Exports","115793725"
"","Total Imports","40924895"
"","Trade Balance","74868830"
"Kuwait","Total Exports","129631813"
"","Total Imports","56700173"
"","Trade Balance","72931640"
"Lebanon","Total Exports","90047507"
"","Total Imports","17381457"
"","Trade Balance","72666050"
"Bahrain","Total Exports","72549821"
"","Total Imports","4275977"
"","Trade Balance","68273844"
"Barbados","Total Exports","71980926"
"","Total Imports","6919837"
"","Trade Balance","65061089"
"Kenya","Total Exports","83299680"
"","Total Imports","22463851"
"","Trade Balance","60835829"
"Ecuador","Total Exports","281356776"
"","Total Imports","224647262"
"","Trade Balance","56709514"
"Tanzania","Total Exports","61513664"
"","Total Imports","5342888"
"","Trade Balance","56170776"
"Afghanistan","Total Exports","57591008"
"","Total Imports","1603697"
"","Trade Balance","55987311"
"Albania","Total Exports","60815502"
"","Total Imports","6346744"
"","Trade Balance","54468758"
"Jordan","Total Exports","70145780"
"","Total Imports","18728360"
"","Trade Balance","51417420"
"Tunisia","Total Exports","101898495"
"","Total Imports","53029399"
"","Trade Balance","48869096"
"British Virgin Islands","Total Exports","48346362"
"","Total Imports","820635"
"","Trade Balance","47525727"
"Libya","Total Exports","51282411"
"","Total Imports","5095598"
"","Trade Balance","46186813"
"Burkina Faso","Total Exports","50204934"
"","Total Imports","5235062"
"","Trade Balance","44969872"
"Papua New Guinea","Total Exports","46448467"
"","Total Imports","1622392"
"","Trade Balance","44826075"
"Bulgaria","Total Exports","190509452"
"","Total Imports","150751961"
"","Trade Balance","39757491"
"Zambia (Zambi)","Total Exports","32670510"
"","Total Imports","1413349"
"","Trade Balance","31257161"
"Malta","Total Exports","54087606"
"","Total Imports","25682703"
"","Trade Balance","28404903"
"Senegal","Total Exports","28171271"
"","Total Imports","934873"
"","Trade Balance","27236398"
"Mali","Total Exports","26271370"
"","Total Imports","878050"
"","Trade Balance","25393320"
"Congo (formerly Brazzaville)","Total Exports","26202940"
"","Total Imports","4041790"
"","Trade Balance","22161150"
"Latvia","Total Exports","49529785"
"","Total Imports","27617473"
"","Trade Balance","21912312"
"Sudan","Total Exports","137743934"
"","Total Imports","117109356"
"","Trade Balance","20634578"
"Saint Pierre-Miquelon","Total Exports","21582275"
"","Total Imports","1936385"
"","Trade Balance","19645890"
"Cameroon","Total Exports","27142424"
"","Total Imports","7539529"
"","Trade Balance","19602895"
"Congo (formerly Zaire)","Total Exports","19056027"
"","Total Imports","1017668"
"","Trade Balance","18038359"
"Gabon","Total Exports","20471500"
"","Total Imports","3484219"
"","Trade Balance","16987281"
"Turkmenistan","Total Exports","16747947"
"","Total Imports","716366"
