"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2018"
"Units","Value in  canadian dollars"

"","","2018"
"United States","Total Exports","437847600547"
"","Total Imports","304591186618"
"","Trade Balance","133256413929"
"United Kingdom","Total Exports","16605556764"
"","Total Imports","9210539911"
"","Trade Balance","7395016853"
"Hong Kong","Total Exports","3908341005"
"","Total Imports","342392574"
"","Trade Balance","3565948431"
"United Arab Emirates","Total Exports","1467092239"
"","Total Imports","205670484"
"","Trade Balance","1261421755"
"Botswana","Total Exports","774230201"
"","Total Imports","639688"
"","Trade Balance","773590513"
"Latvia","Total Exports","734204482"
"","Total Imports","49336530"
"","Trade Balance","684867952"
"Bahamas","Total Exports","399813171"
"","Total Imports","4833583"
"","Trade Balance","394979588"
"Indonesia","Total Exports","2147186309"
"","Total Imports","1760117545"
"","Trade Balance","387068764"
"Bahrain","Total Exports","297654319"
"","Total Imports","36712774"
"","Trade Balance","260941545"
"Algeria","Total Exports","508173294"
"","Total Imports","270143256"
"","Trade Balance","238030038"
"Netherlands","Total Exports","4750979587"
"","Total Imports","4523755911"
"","Trade Balance","227223676"
"Iraq","Total Exports","199246577"
"","Total Imports","439242"
"","Trade Balance","198807335"
"Ghana","Total Exports","264572456"
"","Total Imports","77179174"
"","Trade Balance","187393282"
"Pakistan","Total Exports","609582994"
"","Total Imports","436182693"
"","Trade Balance","173400301"
"Norway","Total Exports","2395919955"
"","Total Imports","2227558263"
"","Trade Balance","168361692"
"Kuwait","Total Exports","200926193"
"","Total Imports","39112055"
"","Trade Balance","161814138"
"Panama","Total Exports","157548024"
"","Total Imports","7408038"
"","Trade Balance","150139986"
"Oman (formerly Muscat and Oman)","Total Exports","162988342"
"","Total Imports","45501510"
"","Trade Balance","117486832"
"Kenya","Total Exports","141437498"
"","Total Imports","33102384"
"","Trade Balance","108335114"
"Bonaire, Sint Eustatius and Saba","Total Exports","102570020"
"","Total Imports","33894"
"","Trade Balance","102536126"
"Ecuador","Total Exports","314809000"
"","Total Imports","213817871"
"","Trade Balance","100991129"
"Tanzania","Total Exports","113269386"
"","Total Imports","18603071"
"","Trade Balance","94666315"
"Ukraine","Total Exports","220018080"
"","Total Imports","126069936"
"","Trade Balance","93948144"
"Nepal","Total Exports","105933634"
"","Total Imports","13735035"
"","Trade Balance","92198599"
"Ethiopia","Total Exports","130331124"
"","Total Imports","39867231"
"","Trade Balance","90463893"
"Lebanon","Total Exports","117299143"
"","Total Imports","33178069"
"","Trade Balance","84121074"
"Malta","Total Exports","111912631"
"","Total Imports","35931554"
"","Trade Balance","75981077"
"Qatar","Total Exports","157468172"
"","Total Imports","88958273"
"","Trade Balance","68509899"
"Venezuela","Total Exports","88567621"
"","Total Imports","21641159"
"","Trade Balance","66926462"
"Angola","Total Exports","65590176"
"","Total Imports","696280"
"","Trade Balance","64893896"
"Iceland","Total Exports","199237260"
"","Total Imports","135241848"
"","Trade Balance","63995412"
"New Caledonia","Total Exports","56012590"
"","Total Imports","2065026"
"","Trade Balance","53947564"
"Senegal","Total Exports","57132576"
"","Total Imports","3654521"
"","Trade Balance","53478055"
"Croatia","Total Exports","162756057"
"","Total Imports","111675367"
"","Trade Balance","51080690"
"Cameroon","Total Exports","59626321"
"","Total Imports","9489060"
"","Trade Balance","50137261"
"Macau (Macao)","Total Exports","53085699"
"","Total Imports","5926481"
"","Trade Balance","47159218"
"Bermuda","Total Exports","48285519"
"","Total Imports","1133054"
"","Trade Balance","47152465"
"Bulgaria","Total Exports","229656909"
"","Total Imports","184961853"
"","Trade Balance","44695056"
"Sudan","Total Exports","39770717"
"","Total Imports","490914"
"","Trade Balance","39279803"
"Mozambique","Total Exports","44487790"
"","Total Imports","6117602"
"","Trade Balance","38370188"
"Syria","Total Exports","37830246"
"","Total Imports","1952418"
"","Trade Balance","35877828"
"Burkina Faso","Total Exports","46827825"
"","Total Imports","15513284"
"","Trade Balance","31314541"
"Benin","Total Exports","31492899"
"","Total Imports","1304434"
"","Trade Balance","30188465"
"Uruguay","Total Exports","93438846"
"","Total Imports","64301755"
"","Trade Balance","29137091"
"Albania","Total Exports","39286485"
"","Total Imports","12307724"
"","Trade Balance","26978761"
"Mongolia","Total Exports","27885218"
"","Total Imports","3659889"
"","Trade Balance","24225329"
"Greenland","Total Exports","24086632"
"","Total Imports","495299"
"","Trade Balance","23591333"
"Fiji","Total Exports","29896493"
"","Total Imports","7077782"
"","Trade Balance","22818711"
"Barbados","Total Exports","36952625"
"","Total Imports","14196222"
"","Trade Balance","22756403"
"Maldives","Total Exports","22637156"
"","Total Imports","852207"
"","Trade Balance","21784949"
"Papua New Guinea","Total Exports","27007681"
"","Total Imports","5295849"
"","Trade Balance","21711832"
"Afghanistan","Total Exports","26456547"
"","Total Imports","4797977"
"","Trade Balance","21658570"
"Zambia (Zambi)","Total Exports","22762239"
"","Total Imports","1328820"
"","Trade Balance","21433419"
"Mauritania","Total Exports","21604423"
"","Total Imports","322989"
"","Trade Balance","21281434"
"Mali","Total Exports","20925064"
"","Total Imports","2171881"
"","Trade Balance","18753183"
"Turkmenistan","Total Exports","18484728"
"","Total Imports","132555"
"","Trade Balance","18352173"
"Cayman Islands","Total Exports","24123381"
"","Total Imports","6372829"
"","Trade Balance","17750552"
"Suriname","Total Exports","29149586"
"","Total Imports","11929024"
"","Trade Balance","17220562"
"Paraguay","Total Exports","31624134"
"","Total Imports","15017653"
"","Trade Balance","16606481"
"Yemen","Total Exports","16463124"
"","Total Imports","761327"
"","Trade Balance","15701797"
"Georgia","Total Exports","25294329"
"","Total Imports","10313673"
"","Trade Balance","14980656"
"Curacao","Total Exports","15043480"
"","Total Imports","80111"
"","Trade Balance","14963369"
"Congo (formerly Brazzaville)","Total Exports","16527112"
"","Total Imports","1712254"
"","Trade Balance","14814858"
"Gabon","Total Exports","14762781"
"","Total Imports","717281"
"","Trade Balance","14045500"
"French Polynesia","Total Exports","15337459"
"","Total Imports","1381324"
"","Trade Balance","13956135"
"Antigua and Barbuda","Total Exports","13828274"
"","Total Imports","184117"
"","Trade Balance","13644157"
"Uganda","Total Exports","24276801"
"","Total Imports","11551917"
"","Trade Balance","12724884"
"Aruba","Total Exports","12742743"
"","Total Imports","173814"
"","Trade Balance","12568929"
"Kyrgyzstan","Total Exports","11120532"
"","Total Imports","370015"
"","Trade Balance","10750517"
"South Sudan","Total Exports","10161428"
"","Total Imports","61604"
"","Trade Balance","10099824"
"Malawi","Total Exports","10717287"
"","Total Imports","876475"
"","Trade Balance","9840812"
"Cyprus","Total Exports","13950283"
"","Total Imports","4225308"
"","Trade Balance","9724975"
"Burundi","Total Exports","9658570"
"","Total Imports","484509"
"","Trade Balance","9174061"
"Dominica","Total Exports","9258006"
"","Total Imports","187418"
"","Trade Balance","9070588"
"Togo","Total Exports","24548894"
"","Total Imports","15498486"
"","Trade Balance","9050408"
"Belize","Total Exports","10719470"
"","Total Imports","1920910"
"","Trade Balance","8798560"
"Trinidad and Tobago","Total Exports","346763271"
"","Total Imports","338360266"
"","Trade Balance","8403005"
"Chad","Total Exports","8674601"
"","Total Imports","391185"
"","Trade Balance","8283416"
"Saint Lucia","Total Exports","8402427"
"","Total Imports","240572"
"","Trade Balance","8161855"
"Somalia","Total Exports","8320038"
"","Total Imports","779610"
"","Trade Balance","7540428"
"Zimbabwe","Total Exports","12300478"
"","Total Imports","5126101"
"","Trade Balance","7174377"
"U.S. Minor Outlying Islands","Total Exports","10971522"
"","Total Imports","4146389"
"","Trade Balance","6825133"
"Saint Pierre-Miquelon","Total Exports","13135695"
"","Total Imports","6409386"
"","Trade Balance","6726309"
"Sint Maarten","Total Exports","6504731"
"","Total Imports","40599"
"","Trade Balance","6464132"
"Morocco","Total Exports","457676357"
"","Total Imports","451851370"
"","Trade Balance","5824987"
"Grenada","Total Exports","7355008"
"","Total Imports","1538565"
"","Trade Balance","5816443"
"Uzbekistan","Total Exports","6341616"
"","Total Imports","697472"
"","Trade Balance","5644144"
"Djibouti","Total Exports","6313889"
