"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2019"
"Units","Value in  canadian dollars"

"","","2019"
"United States","Total Exports","446078296152"
"","Total Imports","305266574077"
"","Trade Balance","140811722075"
"United Kingdom","Total Exports","19801910444"
"","Total Imports","9226998889"
"","Trade Balance","10574911555"
"Hong Kong","Total Exports","4019815411"
"","Total Imports","378919543"
"","Trade Balance","3640895868"
"United Arab Emirates","Total Exports","1501377442"
"","Total Imports","212750291"
"","Trade Balance","1288627151"
"Norway","Total Exports","2153637567"
"","Total Imports","1514685449"
"","Trade Balance","638952118"
"Algeria","Total Exports","682220285"
"","Total Imports","54598178"
"","Trade Balance","627622107"
"Botswana","Total Exports","578070609"
"","Total Imports","6233568"
"","Trade Balance","571837041"
"Netherlands","Total Exports","5182701928"
"","Total Imports","4665429323"
"","Trade Balance","517272605"
"Latvia","Total Exports","456813404"
"","Total Imports","47062234"
"","Trade Balance","409751170"
"Iran","Total Exports","327461691"
"","Total Imports","29709084"
"","Trade Balance","297752607"
"Singapore","Total Exports","1524181700"
"","Total Imports","1227254541"
"","Trade Balance","296927159"
"Bahamas","Total Exports","262266473"
"","Total Imports","19278444"
"","Trade Balance","242988029"
"Panama","Total Exports","233573272"
"","Total Imports","9583590"
"","Trade Balance","223989682"
"Pakistan","Total Exports","672556399"
"","Total Imports","449493246"
"","Trade Balance","223063153"
"Nigeria","Total Exports","497303616"
"","Total Imports","293000435"
"","Trade Balance","204303181"
"Qatar","Total Exports","266003287"
"","Total Imports","65722215"
"","Trade Balance","200281072"
"Bahrain","Total Exports","217051829"
"","Total Imports","30385100"
"","Trade Balance","186666729"
"Ecuador","Total Exports","383847958"
"","Total Imports","221782514"
"","Trade Balance","162065444"
"Ghana","Total Exports","258208941"
"","Total Imports","100646858"
"","Trade Balance","157562083"
"Uganda","Total Exports","174085163"
"","Total Imports","20019124"
"","Trade Balance","154066039"
"Iraq","Total Exports","146680440"
"","Total Imports","415528"
"","Trade Balance","146264912"
"Kuwait","Total Exports","138977548"
"","Total Imports","322160"
"","Trade Balance","138655388"
"Kenya","Total Exports","168550386"
"","Total Imports","36025687"
"","Trade Balance","132524699"
"Nepal","Total Exports","124078677"
"","Total Imports","13975642"
"","Trade Balance","110103035"
"Ethiopia","Total Exports","153603119"
"","Total Imports","43647594"
"","Trade Balance","109955525"
"Colombia","Total Exports","935803200"
"","Total Imports","830482796"
"","Trade Balance","105320404"
"Tanzania","Total Exports","126710621"
"","Total Imports","25377352"
"","Trade Balance","101333269"
"Indonesia","Total Exports","1915960225"
"","Total Imports","1815883675"
"","Trade Balance","100076550"
"Grenada","Total Exports","91278562"
"","Total Imports","849366"
"","Trade Balance","90429196"
"Lebanon","Total Exports","119538054"
"","Total Imports","37135430"
"","Trade Balance","82402624"
"Senegal","Total Exports","77078085"
"","Total Imports","5238061"
"","Trade Balance","71840024"
"Macau (Macao)","Total Exports","74899630"
"","Total Imports","6214144"
"","Trade Balance","68685486"
"Malta","Total Exports","99734201"
"","Total Imports","34421523"
"","Trade Balance","65312678"
"Oman (formerly Muscat and Oman)","Total Exports","107792497"
"","Total Imports","44256203"
"","Trade Balance","63536294"
"Mozambique","Total Exports","59682836"
"","Total Imports","10975471"
"","Trade Balance","48707365"
"Bulgaria","Total Exports","247409280"
"","Total Imports","199637194"
"","Trade Balance","47772086"
"Bermuda","Total Exports","45753848"
"","Total Imports","449972"
"","Trade Balance","45303876"
"Mongolia","Total Exports","44887780"
"","Total Imports","3148173"
"","Trade Balance","41739607"
"Burkina Faso","Total Exports","57450875"
"","Total Imports","17107623"
"","Trade Balance","40343252"
"Albania","Total Exports","54336225"
"","Total Imports","14282270"
"","Trade Balance","40053955"
"Cameroon","Total Exports","56124523"
"","Total Imports","17502739"
"","Trade Balance","38621784"
"Venezuela","Total Exports","54996186"
"","Total Imports","19390975"
"","Trade Balance","35605211"
"Angola","Total Exports","61577514"
"","Total Imports","28106179"
"","Trade Balance","33471335"
"Benin","Total Exports","33586793"
"","Total Imports","1082062"
"","Trade Balance","32504731"
"Chad","Total Exports","27774182"
"","Total Imports","74019"
"","Trade Balance","27700163"
"Cayman Islands","Total Exports","29160377"
"","Total Imports","1829729"
"","Trade Balance","27330648"
"Togo","Total Exports","27422961"
"","Total Imports","1576546"
"","Trade Balance","25846415"
"Barbados","Total Exports","40076878"
"","Total Imports","14844236"
"","Trade Balance","25232642"
"Syria","Total Exports","27800921"
"","Total Imports","2829203"
"","Trade Balance","24971718"
"Sudan","Total Exports","24934248"
"","Total Imports","506099"
"","Trade Balance","24428149"
"Mali","Total Exports","26600274"
"","Total Imports","2872100"
"","Trade Balance","23728174"
"Jamaica","Total Exports","136504972"
"","Total Imports","113596652"
"","Trade Balance","22908320"
"New Caledonia","Total Exports","22572165"
"","Total Imports","587479"
"","Trade Balance","21984686"
"Antigua and Barbuda","Total Exports","21187586"
"","Total Imports","425380"
"","Trade Balance","20762206"
"Fiji","Total Exports","27426069"
"","Total Imports","7527583"
"","Trade Balance","19898486"
"Maldives","Total Exports","21938693"
