"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"United States","Total Exports","476186320701"
"","Total Imports","299836809593"
"","Trade Balance","176349511108"
"United Kingdom","Total Exports","16628887803"
"","Total Imports","7872353857"
"","Trade Balance","8756533946"
"Hong Kong","Total Exports","3546049266"
"","Total Imports","426880191"
"","Trade Balance","3119169075"
"Norway","Total Exports","3132076512"
"","Total Imports","972229504"
"","Trade Balance","2159847008"
"United Arab Emirates","Total Exports","1966727795"
"","Total Imports","549958910"
"","Trade Balance","1416768885"
"Algeria","Total Exports","1081964490"
"","Total Imports","57691697"
"","Trade Balance","1024272793"
"Netherlands","Total Exports","4809862113"
"","Total Imports","3914121395"
"","Trade Balance","895740718"
"Malta","Total Exports","660056928"
"","Total Imports","37766102"
"","Trade Balance","622290826"
"Iran","Total Exports","404083506"
"","Total Imports","34924186"
"","Trade Balance","369159320"
"Bahamas","Total Exports","356446474"
"","Total Imports","11154341"
"","Trade Balance","345292133"
"Ghana","Total Exports","373486067"
"","Total Imports","102591742"
"","Trade Balance","270894325"
"Indonesia","Total Exports","2245177595"
"","Total Imports","1978852092"
"","Trade Balance","266325503"
"Botswana","Total Exports","268567081"
"","Total Imports","7141691"
"","Trade Balance","261425390"
"Latvia","Total Exports","357970313"
"","Total Imports","105301636"
"","Trade Balance","252668677"
"Ecuador","Total Exports","573339750"
"","Total Imports","379715524"
"","Trade Balance","193624226"
"Panama","Total Exports","206012370"
"","Total Imports","19292340"
"","Trade Balance","186720030"
"Singapore","Total Exports","1215379873"
"","Total Imports","1032948907"
"","Trade Balance","182430966"
"Senegal","Total Exports","179621585"
"","Total Imports","4940757"
"","Trade Balance","174680828"
"Tanzania","Total Exports","194089105"
"","Total Imports","23797601"
"","Trade Balance","170291504"
"Bonaire, Sint Eustatius and Saba","Total Exports","168407990"
"","Total Imports","7128"
"","Trade Balance","168400862"
"Bahrain","Total Exports","217518776"
"","Total Imports","57752513"
"","Trade Balance","159766263"
"Venezuela","Total Exports","168647429"
"","Total Imports","14549731"
"","Trade Balance","154097698"
"Iraq","Total Exports","135866981"
"","Total Imports","1107813"
"","Trade Balance","134759168"
"Pakistan","Total Exports","660481479"
"","Total Imports","543849731"
"","Trade Balance","116631748"
"Kuwait","Total Exports","112449686"
"","Total Imports","15216199"
"","Trade Balance","97233487"
"Australia","Total Exports","2331705084"
"","Total Imports","2240465502"
"","Trade Balance","91239582"
"Bermuda","Total Exports","87460393"
"","Total Imports","570057"
"","Trade Balance","86890336"
"Curacao","Total Exports","79699188"
"","Total Imports","61943"
"","Trade Balance","79637245"
"Cameroon","Total Exports","87051390"
"","Total Imports","11839689"
"","Trade Balance","75211701"
"Lebanon","Total Exports","117677225"
