"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2022"
"Units","Value in  canadian dollars"

"","","2022"
"United States","Total Exports","599372606046"
"","Total Imports","366428161309"
"","Trade Balance","232944444737"
"United Kingdom","Total Exports","22674252460"
"","Total Imports","8683479727"
"","Trade Balance","13990772733"
"Hong Kong","Total Exports","3365422777"
"","Total Imports","438698464"
"","Trade Balance","2926724313"
"Norway","Total Exports","3872440444"
"","Total Imports","1075649190"
"","Trade Balance","2796791254"
"Netherlands","Total Exports","6507492681"
"","Total Imports","5406644245"
"","Trade Balance","1100848436"
"United Arab Emirates","Total Exports","1819635194"
"","Total Imports","747320883"
"","Trade Balance","1072314311"
"Malta","Total Exports","1097331277"
"","Total Imports","36791892"
"","Trade Balance","1060539385"
"Algeria","Total Exports","1232180046"
"","Total Imports","286482773"
"","Trade Balance","945697273"
"Japan","Total Exports","18001883604"
"","Total Imports","17099720639"
"","Trade Balance","902162965"
"Australia","Total Exports","3167859036"
"","Total Imports","2657686276"
"","Trade Balance","510172760"
"Indonesia","Total Exports","3252339202"
"","Total Imports","2892933539"
"","Trade Balance","359405663"
"Botswana","Total Exports","366433385"
"","Total Imports","10361594"
"","Trade Balance","356071791"
"Iran","Total Exports","364291326"
"","Total Imports","34610451"
"","Trade Balance","329680875"
"Latvia","Total Exports","401941891"
"","Total Imports","82621258"
"","Trade Balance","319320633"
"Belgium","Total Exports","4845261460"
"","Total Imports","4533314473"
"","Trade Balance","311946987"
"Bahamas","Total Exports","257826978"
"","Total Imports","12207570"
"","Trade Balance","245619408"
"Ghana","Total Exports","298108771"
"","Total Imports","93355457"
"","Trade Balance","204753314"
"Bonaire, Sint Eustatius and Saba","Total Exports","201233972"
"","Total Imports","3208"
"","Trade Balance","201230764"
"Panama","Total Exports","398744495"
"","Total Imports","198479299"
"","Trade Balance","200265196"
"Iraq","Total Exports","189844282"
"","Total Imports","531395"
"","Trade Balance","189312887"
"Singapore","Total Exports","1529268879"
"","Total Imports","1342736645"
"","Trade Balance","186532234"
"Venezuela","Total Exports","182959786"
"","Total Imports","15282197"
"","Trade Balance","167677589"
"Lebanon","Total Exports","172573261"
"","Total Imports","48127750"
"","Trade Balance","124445511"
"Bahrain","Total Exports","219159524"
"","Total Imports","118799721"
"","Trade Balance","100359803"
"Jamaica","Total Exports","158693708"
"","Total Imports","61099992"
"","Trade Balance","97593716"
"Bermuda","Total Exports","97346034"
"","Total Imports","4262265"
"","Trade Balance","93083769"
"Uruguay","Total Exports","174536471"
"","Total Imports","81704242"
"","Trade Balance","92832229"
"Senegal","Total Exports","91644754"
"","Total Imports","6094396"
"","Trade Balance","85550358"
"Morocco","Total Exports","761302442"
"","Total Imports","679539284"
"","Trade Balance","81763158"
"Kenya","Total Exports","120097202"
"","Total Imports","40735963"
"","Trade Balance","79361239"
"Libya","Total Exports","77785840"
"","Total Imports","155778"
"","Trade Balance","77630062"
"U.S. Minor Outlying Islands","Total Exports","79293479"
"","Total Imports","2626457"
"","Trade Balance","76667022"
"Belize","Total Exports","76393787"
"","Total Imports","6297450"
"","Trade Balance","70096337"
"British Virgin Islands","Total Exports","66965625"
"","Total Imports","249978"
"","Trade Balance","66715647"
"Angola","Total Exports","123423762"
"","Total Imports","58964417"
"","Trade Balance","64459345"
"Gabon","Total Exports","53150289"
"","Total Imports","2521393"
"","Trade Balance","50628896"
"New Caledonia","Total Exports","46709283"
"","Total Imports","1087432"
"","Trade Balance","45621851"
"Qatar","Total Exports","263614766"
"","Total Imports","224098260"
"","Trade Balance","39516506"
"Cameroon","Total Exports","58541255"
"","Total Imports","19226562"
"","Trade Balance","39314693"
"Haiti","Total Exports","102525713"
"","Total Imports","66605351"
"","Trade Balance","35920362"
"Macau (Macao)","Total Exports","48201159"
"","Total Imports","13246554"
"","Trade Balance","34954605"
"Sudan","Total Exports","35056711"
"","Total Imports","379463"
"","Trade Balance","34677248"
"Greenland","Total Exports","36337003"
"","Total Imports","2144251"
"","Trade Balance","34192752"
"Albania","Total Exports","51235684"
"","Total Imports","22072306"
"","Trade Balance","29163378"
"Syria","Total Exports","31916079"
"","Total Imports","3005042"
"","Trade Balance","28911037"
"Tanzania","Total Exports","55314601"
"","Total Imports","26632533"
"","Trade Balance","28682068"
"Saint Pierre-Miquelon","Total Exports","36990671"
"","Total Imports","9087012"
"","Trade Balance","27903659"
"Nepal","Total Exports","42638391"
"","Total Imports","15757575"
"","Trade Balance","26880816"
"Georgia","Total Exports","45360343"
"","Total Imports","19049101"
"","Trade Balance","26311242"
"Benin","Total Exports","31396863"
"","Total Imports","5991322"
"","Trade Balance","25405541"
"Barbados","Total Exports","47533186"
"","Total Imports","23104208"
"","Trade Balance","24428978"
"Dominican Republic","Total Exports","357071615"
"","Total Imports","334593589"
"","Trade Balance","22478026"
"Ethiopia","Total Exports","89721787"
"","Total Imports","67316690"
"","Trade Balance","22405097"
"Mali","Total Exports","26048902"
"","Total Imports","3899888"
"","Trade Balance","22149014"
"Saint Vincent and the Grenadines","Total Exports","20714010"
"","Total Imports","78494"
"","Trade Balance","20635516"
"Saint Lucia","Total Exports","21246451"
"","Total Imports","1264733"
"","Trade Balance","19981718"
"Maldives","Total Exports","18591276"
"","Total Imports","577202"
"","Trade Balance","18014074"
"Kyrgyzstan","Total Exports","17596013"
"","Total Imports","435205"
"","Trade Balance","17160808"
"Cayman Islands","Total Exports","21115937"
"","Total Imports","5053116"
"","Trade Balance","16062821"
"Djibouti","Total Exports","16011944"
"","Total Imports","333813"
"","Trade Balance","15678131"
"Mongolia","Total Exports","14502075"
"","Total Imports","2674521"
"","Trade Balance","11827554"
"Suriname","Total Exports","27205494"
"","Total Imports","15611415"
