"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2023"
"Units","Value in  canadian dollars"

"","","2023"
"United States","Total Exports","594220757578"
"","Total Imports","373685991299"
"","Trade Balance","220534766279"
"United Kingdom","Total Exports","15231285601"
"","Total Imports","9431202897"
"","Trade Balance","5800082704"
"Hong Kong","Total Exports","4912594708"
"","Total Imports","404369242"
"","Trade Balance","4508225466"
"Netherlands","Total Exports","7443742292"
"","Total Imports","4366014574"
"","Trade Balance","3077727718"
"Norway","Total Exports","3038963953"
"","Total Imports","773495263"
"","Trade Balance","2265468690"
"United Arab Emirates","Total Exports","2078802502"
"","Total Imports","808266687"
"","Trade Balance","1270535815"
"Algeria","Total Exports","1311211420"
"","Total Imports","225739538"
"","Trade Balance","1085471882"
"Panama","Total Exports","691417530"
"","Total Imports","27538929"
"","Trade Balance","663878601"
"Bonaire, Sint Eustatius and Saba","Total Exports","461259970"
"","Total Imports","419"
"","Trade Balance","461259551"
"Iran","Total Exports","456741711"
"","Total Imports","36313930"
"","Trade Balance","420427781"
"Iraq","Total Exports","379398074"
"","Total Imports","779380"
"","Trade Balance","378618694"
"Ukraine","Total Exports","525443880"
"","Total Imports","172119907"
"","Trade Balance","353323973"
"Botswana","Total Exports","339982025"
"","Total Imports","3752933"
"","Trade Balance","336229092"
"Singapore","Total Exports","1728603710"
"","Total Imports","1435985618"
"","Trade Balance","292618092"
"Latvia","Total Exports","422599978"
"","Total Imports","141738132"
"","Trade Balance","280861846"
"Bahamas","Total Exports","285083074"
"","Total Imports","11017004"
"","Trade Balance","274066070"
"Venezuela","Total Exports","269226207"
"","Total Imports","22624605"
"","Trade Balance","246601602"
"Bahrain","Total Exports","263608178"
"","Total Imports","81766821"
"","Trade Balance","181841357"
"Ghana","Total Exports","281283631"
"","Total Imports","99847224"
"","Trade Balance","181436407"
"Libya","Total Exports","133147954"
"","Total Imports","152784"
"","Trade Balance","132995170"
"Senegal","Total Exports","112400163"
"","Total Imports","7132393"
"","Trade Balance","105267770"
"Malta","Total Exports","145699942"
"","Total Imports","47446182"
"","Trade Balance","98253760"
"Jamaica","Total Exports","163434225"
"","Total Imports","66905434"
"","Trade Balance","96528791"
"Cyprus","Total Exports","104782537"
"","Total Imports","13412728"
"","Trade Balance","91369809"
"Haiti","Total Exports","138178430"
"","Total Imports","49190535"
"","Trade Balance","88987895"
"Trinidad and Tobago","Total Exports","278547750"
"","Total Imports","190404828"
"","Trade Balance","88142922"
"Cameroon","Total Exports","101310740"
"","Total Imports","16447693"
"","Trade Balance","84863047"
"Mozambique","Total Exports","104175252"
"","Total Imports","29766974"
"","Trade Balance","74408278"
"Sudan","Total Exports","72033382"
"","Total Imports","266308"
"","Trade Balance","71767074"
"Bermuda","Total Exports","72529760"
"","Total Imports","975787"
"","Trade Balance","71553973"
"Kenya","Total Exports","110796535"
"","Total Imports","46391070"
"","Trade Balance","64405465"
"U.S. Minor Outlying Islands","Total Exports","69973056"
"","Total Imports","8199401"
"","Trade Balance","61773655"
"Albania","Total Exports","82906125"
"","Total Imports","21520622"
"","Trade Balance","61385503"
"Angola","Total Exports","57609526"
"","Total Imports","143123"
"","Trade Balance","57466403"
"Tanzania","Total Exports","72790256"
"","Total Imports","20604086"
"","Trade Balance","52186170"
"Benin","Total Exports","53176355"
"","Total Imports","4715297"
"","Trade Balance","48461058"
"Georgia","Total Exports","82511437"
"","Total Imports","35398360"
"","Trade Balance","47113077"
"Uruguay","Total Exports","134447260"
"","Total Imports","91398869"
"","Trade Balance","43048391"
"Togo","Total Exports","84386589"
"","Total Imports","50929703"
"","Trade Balance","33456886"
"New Caledonia","Total Exports","64288599"
"","Total Imports","32694295"
"","Trade Balance","31594304"
"Burkina Faso","Total Exports","34185937"
"","Total Imports","2778622"
"","Trade Balance","31407315"
"Maldives","Total Exports","30657374"
"","Total Imports","576364"
"","Trade Balance","30081010"
"Qatar","Total Exports","227776004"
"","Total Imports","199693631"
"","Trade Balance","28082373"
"Mongolia","Total Exports","30749375"
"","Total Imports","3096012"
"","Trade Balance","27653363"
"Saint Pierre-Miquelon","Total Exports","29962015"
"","Total Imports","3649931"
"","Trade Balance","26312084"
"Gabon","Total Exports","27351044"
"","Total Imports","2059499"
"","Trade Balance","25291545"
"Saudi Arabia","Total Exports","2167019569"
"","Total Imports","2142522203"
"","Trade Balance","24497366"
"Barbados","Total Exports","47523172"
"","Total Imports","23322165"
"","Trade Balance","24201007"
"Mali","Total Exports","29843950"
"","Total Imports","5779044"
"","Trade Balance","24064906"
"Congo (formerly Brazzaville)","Total Exports","25109065"
"","Total Imports","1724955"
"","Trade Balance","23384110"
"Lebanon","Total Exports","73016274"
"","Total Imports","49746743"
"","Trade Balance","23269531"
"Macau (Macao)","Total Exports","32354756"
"","Total Imports","9351642"
"","Trade Balance","23003114"
"Greenland","Total Exports","24884124"
"","Total Imports","2079460"
"","Trade Balance","22804664"
"Nepal","Total Exports","37228526"
"","Total Imports","15123277"
"","Trade Balance","22105249"
"Cayman Islands","Total Exports","22370738"
"","Total Imports","3187361"
"","Trade Balance","19183377"
"Papua New Guinea","Total Exports","23059161"
"","Total Imports","4600370"
"","Trade Balance","18458791"
"Saint Lucia","Total Exports","19229355"
"","Total Imports","841061"
"","Trade Balance","18388294"
"Kyrgyzstan","Total Exports","18565425"
"","Total Imports","369149"
"","Trade Balance","18196276"
"Morocco","Total Exports","797396753"
"","Total Imports","779939610"
"","Trade Balance","17457143"
"Saint Vincent and the Grenadines","Total Exports","16680810"
"","Total Imports","201680"
"","Trade Balance","16479130"
"Syria","Total Exports","19791455"
"","Total Imports","4494841"
"","Trade Balance","15296614"
"Sierra Leone","Total Exports","13941340"
"","Total Imports","2004415"
"","Trade Balance","11936925"
"Brunei Darussalam","Total Exports","11879183"
"","Total Imports","687645"
"","Trade Balance","11191538"
"Curacao","Total Exports","11250975"
"","Total Imports","83654"
"","Trade Balance","11167321"
"Grenada","Total Exports","13009300"
"","Total Imports","2038714"
"","Trade Balance","10970586"
"Fiji","Total Exports","19111060"
"","Total Imports","8472115"
"","Trade Balance","10638945"
"French Polynesia","Total Exports","12030517"
"","Total Imports","1771094"
"","Trade Balance","10259423"
"Oman (formerly Muscat and Oman)","Total Exports","121267071"
"","Total Imports","111182711"
"","Trade Balance","10084360"
