"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Canada"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2024"
"Units","Value in  canadian dollars"

"","","2024"
"United States","Total Exports","596758865570"
"","Total Imports","376703640323"
"","Trade Balance","220055225247"
"United Kingdom","Total Exports","28271115119"
"","Total Imports","9780672458"
"","Trade Balance","18490442661"
"Hong Kong","Total Exports","3682067667"
"","Total Imports","299655243"
"","Trade Balance","3382412424"
"Netherlands","Total Exports","7096336204"
"","Total Imports","4588775786"
"","Trade Balance","2507560418"
"United Arab Emirates","Total Exports","2574141664"
"","Total Imports","797598792"
"","Trade Balance","1776542872"
"Norway","Total Exports","2298884946"
"","Total Imports","896179287"
"","Trade Balance","1402705659"
"Algeria","Total Exports","1390354279"
"","Total Imports","205815749"
"","Trade Balance","1184538530"
"Singapore","Total Exports","2246886531"
"","Total Imports","1476892012"
"","Trade Balance","769994519"
"Panama","Total Exports","508954638"
"","Total Imports","16520599"
"","Trade Balance","492434039"
"Bonaire, Sint Eustatius and Saba","Total Exports","384275792"
"","Total Imports","543"
"","Trade Balance","384275249"
"Iran","Total Exports","388208145"
"","Total Imports","52076278"
"","Trade Balance","336131867"
"Botswana","Total Exports","272465211"
"","Total Imports","7370562"
"","Trade Balance","265094649"
"Bahamas","Total Exports","269995474"
"","Total Imports","14566204"
"","Trade Balance","255429270"
"Venezuela","Total Exports","256179342"
"","Total Imports","30997114"
"","Trade Balance","225182228"
"Ukraine","Total Exports","481691661"
"","Total Imports","294983693"
"","Trade Balance","186707968"
"Malta","Total Exports","225703780"
"","Total Imports","56779908"
"","Trade Balance","168923872"
"Ghana","Total Exports","316145950"
"","Total Imports","164582316"
"","Trade Balance","151563634"
"Australia","Total Exports","3133857701"
"","Total Imports","2985842241"
"","Trade Balance","148015460"
"Bermuda","Total Exports","130976629"
"","Total Imports","393182"
"","Trade Balance","130583447"
"Latvia","Total Exports","207007717"
"","Total Imports","85625439"
"","Trade Balance","121382278"
"Egypt","Total Exports","436273324"
"","Total Imports","325002612"
