"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1990"
"Units","Value in  canadian dollars"

"","","1990"
"China","Total Exports","166011039"
"","Total Imports","20734420"
"","Trade Balance","145276619"
"U.S.S.R.","Total Exports","145265171"
"","Total Imports","62986"
"","Trade Balance","145202185"
"Japan","Total Exports","240335905"
"","Total Imports","97778141"
"","Trade Balance","142557764"
"Belgium","Total Exports","93707235"
"","Total Imports","1386158"
"","Trade Balance","92321077"
"Iran","Total Exports","36926808"
"","Total Imports","348901"
"","Trade Balance","36577907"
"Saudi Arabia","Total Exports","21227375"
"","Total Imports","42148"
"","Trade Balance","21185227"
"Algeria","Total Exports","19163724"
"","Total Imports","4846"
"","Trade Balance","19158878"
"Iraq","Total Exports","17855115"
"","Total Imports",""
"","Trade Balance","17855115"
"United Kingdom","Total Exports","68648391"
"","Total Imports","51838885"
"","Trade Balance","16809506"
"South Africa","Total Exports","16299031"
"","Total Imports","83809"
"","Trade Balance","16215222"
"Taiwan","Total Exports","41635917"
"","Total Imports","27647577"
"","Trade Balance","13988340"
"Venezuela","Total Exports","13927169"
"","Total Imports","18351"
"","Trade Balance","13908818"
"Cuba","Total Exports","12781462"
"","Total Imports",""
"","Trade Balance","12781462"
"Philippines","Total Exports","14313095"
"","Total Imports","1629621"
"","Trade Balance","12683474"
"Singapore","Total Exports","12588581"
"","Total Imports","1360726"
"","Trade Balance","11227855"
"Bangladesh","Total Exports","11867784"
"","Total Imports","730949"
"","Trade Balance","11136835"
"Indonesia","Total Exports","12656395"
"","Total Imports","2523851"
"","Trade Balance","10132544"
"Australia","Total Exports","9803887"
"","Total Imports","2239365"
"","Trade Balance","7564522"
"Brazil","Total Exports","11818291"
"","Total Imports","4366597"
"","Trade Balance","7451694"
"Colombia","Total Exports","10790929"
"","Total Imports","3580064"
"","Trade Balance","7210865"
"Netherlands","Total Exports","12651424"
"","Total Imports","6521866"
"","Trade Balance","6129558"
"Mozambique","Total Exports","5552844"
"","Total Imports",""
"","Trade Balance","5552844"
"Malaysia","Total Exports","9041482"
"","Total Imports","5025811"
"","Trade Balance","4015671"
"Ethiopia","Total Exports","4507907"
"","Total Imports","581546"
"","Trade Balance","3926361"
"Peru","Total Exports","3941425"
"","Total Imports","174372"
"","Trade Balance","3767053"
"Trinidad and Tobago","Total Exports","3743039"
"","Total Imports","12723"
"","Trade Balance","3730316"
"Norway","Total Exports","3961965"
"","Total Imports","518810"
"","Trade Balance","3443155"
"Nicaragua","Total Exports","2962954"
"","Total Imports",""
"","Trade Balance","2962954"
"Portugal","Total Exports","3680197"
"","Total Imports","733653"
"","Trade Balance","2946544"
"Kuwait","Total Exports","2703310"
"","Total Imports",""
"","Trade Balance","2703310"
"India","Total Exports","3566410"
"","Total Imports","875798"
"","Trade Balance","2690612"
"Jamaica","Total Exports","2589118"
"","Total Imports","145258"
"","Trade Balance","2443860"
"Spain","Total Exports","3701085"
"","Total Imports","1546793"
