"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"Japan","Total Exports","274157621"
"","Total Imports","85056509"
"","Trade Balance","189101112"
"Belgium","Total Exports","110250287"
"","Total Imports","3887456"
"","Trade Balance","106362831"
"China","Total Exports","96922063"
"","Total Imports","33271594"
"","Trade Balance","63650469"
"Korea, South","Total Exports","78573820"
"","Total Imports","29627691"
"","Trade Balance","48946129"
"Brazil","Total Exports","47941366"
"","Total Imports","8648924"
"","Trade Balance","39292442"
"Mexico","Total Exports","51810835"
"","Total Imports","20738226"
"","Trade Balance","31072609"
"Spain","Total Exports","30859275"
"","Total Imports","3146257"
"","Trade Balance","27713018"
"Iran","Total Exports","23352378"
"","Total Imports","153118"
"","Trade Balance","23199260"
"Indonesia","Total Exports","26010569"
"","Total Imports","4865139"
"","Trade Balance","21145430"
"Saudi Arabia","Total Exports","19290652"
"","Total Imports","635"
"","Trade Balance","19290017"
"Russia","Total Exports","16566025"
"","Total Imports","615783"
"","Trade Balance","15950242"
"Netherlands","Total Exports","23683042"
"","Total Imports","9717884"
"","Trade Balance","13965158"
"Algeria","Total Exports","13286338"
"","Total Imports",""
"","Trade Balance","13286338"
"South Africa","Total Exports","13704135"
"","Total Imports","709245"
"","Trade Balance","12994890"
"Cuba","Total Exports","11768519"
"","Total Imports","12"
"","Trade Balance","11768507"
"Singapore","Total Exports","11538847"
"","Total Imports","1646773"
"","Trade Balance","9892074"
"India","Total Exports","10736853"
"","Total Imports","1496201"
"","Trade Balance","9240652"
"Venezuela","Total Exports","8557145"
"","Total Imports","652"
"","Trade Balance","8556493"
"Uzbekistan","Total Exports","7952546"
"","Total Imports",""
"","Trade Balance","7952546"
"Peru","Total Exports","7254901"
"","Total Imports","177629"
"","Trade Balance","7077272"
"Israel","Total Exports","6994928"
"","Total Imports","791199"
"","Trade Balance","6203729"
"Azerbaijan","Total Exports","5279922"
"","Total Imports","171"
"","Trade Balance","5279751"
"Colombia","Total Exports","14662121"
"","Total Imports","9386667"
"","Trade Balance","5275454"
"Oman (formerly Muscat and Oman)","Total Exports","4348220"
"","Total Imports",""
"","Trade Balance","4348220"
"Morocco","Total Exports","3805706"
"","Total Imports","131694"
"","Trade Balance","3674012"
"Libya","Total Exports","3664507"
"","Total Imports",""
"","Trade Balance","3664507"
"Ecuador","Total Exports","4156339"
"","Total Imports","706215"
"","Trade Balance","3450124"
"U.S.S.R.","Total Exports","3448513"
"","Total Imports","2128"
