"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1994"
"Units","Value in  canadian dollars"

"","","1994"
"Japan","Total Exports","255792095"
"","Total Imports","85169397"
"","Trade Balance","170622698"
"Belgium","Total Exports","135428742"
"","Total Imports","4687022"
"","Trade Balance","130741720"
"China","Total Exports","128425355"
"","Total Imports","46631403"
"","Trade Balance","81793952"
"Korea, South","Total Exports","90191605"
"","Total Imports","30078364"
"","Trade Balance","60113241"
"Iran","Total Exports","50199932"
"","Total Imports","370565"
"","Trade Balance","49829367"
"Spain","Total Exports","44253235"
"","Total Imports","3601662"
"","Trade Balance","40651573"
"Mexico","Total Exports","60437479"
"","Total Imports","22750229"
"","Trade Balance","37687250"
"Netherlands","Total Exports","30476410"
"","Total Imports","7758845"
"","Trade Balance","22717565"
"Algeria","Total Exports","21190909"
"","Total Imports",""
"","Trade Balance","21190909"
"Brazil","Total Exports","38963908"
"","Total Imports","18434732"
"","Trade Balance","20529176"
"Bangladesh","Total Exports","19240698"
"","Total Imports","3570864"
"","Trade Balance","15669834"
"Indonesia","Total Exports","19855383"
"","Total Imports","6230314"
"","Trade Balance","13625069"
"France (incl. Monaco, French Antilles)","Total Exports","33140888"
"","Total Imports","19643733"
"","Trade Balance","13497155"
"Thailand","Total Exports","14095187"
"","Total Imports","5761326"
"","Trade Balance","8333861"
"Venezuela","Total Exports","8000735"
"","Total Imports","79679"
"","Trade Balance","7921056"
"India","Total Exports","10226162"
"","Total Imports","2471715"
"","Trade Balance","7754447"
"Norway","Total Exports","8052731"
"","Total Imports","1939257"
"","Trade Balance","6113474"
"Chile","Total Exports","9479390"
"","Total Imports","3928587"
"","Trade Balance","5550803"
"Cuba","Total Exports","5047425"
"","Total Imports","1340"
"","Trade Balance","5046085"
"Saudi Arabia","Total Exports","4460341"
"","Total Imports","136698"
"","Trade Balance","4323643"
"Peru","Total Exports","4359221"
"","Total Imports","136153"
"","Trade Balance","4223068"
"Ecuador","Total Exports","4453689"
"","Total Imports","1056900"
"","Trade Balance","3396789"
"Israel","Total Exports","3807402"
"","Total Imports","521915"
"","Trade Balance","3285487"
"Trinidad and Tobago","Total Exports","3040002"
"","Total Imports","8668"
"","Trade Balance","3031334"
"Sudan","Total Exports","3065334"
"","Total Imports","102906"
"","Trade Balance","2962428"
"Mozambique","Total Exports","2621132"
"","Total Imports",""
"","Trade Balance","2621132"
"South Africa","Total Exports","4681046"
"","Total Imports","2207050"
"","Trade Balance","2473996"
"Uzbekistan","Total Exports","2257151"
"","Total Imports",""
"","Trade Balance","2257151"
"Jamaica","Total Exports","2314816"
"","Total Imports","151685"
"","Trade Balance","2163131"
"Greece","Total Exports","2525085"
"","Total Imports","435671"
"","Trade Balance","2089414"
"Malaysia","Total Exports","6847358"
"","Total Imports","4799673"
"","Trade Balance","2047685"
"Ghana","Total Exports","1920233"
"","Total Imports","39825"
"","Trade Balance","1880408"
"Kenya","Total Exports","2276813"
"","Total Imports","466143"
"","Trade Balance","1810670"
"Egypt","Total Exports","1783166"
"","Total Imports","12210"
"","Trade Balance","1770956"
"Australia","Total Exports","8321881"
"","Total Imports","6699290"
