"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1995"
"Units","Value in  canadian dollars"

"","","1995"
"Japan","Total Exports","352245241"
"","Total Imports","71776337"
"","Trade Balance","280468904"
"China","Total Exports","245177473"
"","Total Imports","52920563"
"","Trade Balance","192256910"
"Belgium","Total Exports","181702681"
"","Total Imports","7308632"
"","Trade Balance","174394049"
"Iran","Total Exports","65072482"
"","Total Imports","199297"
"","Trade Balance","64873185"
"Mexico","Total Exports","71115356"
"","Total Imports","32048857"
"","Trade Balance","39066499"
"Netherlands","Total Exports","38487813"
"","Total Imports","14596130"
"","Trade Balance","23891683"
"Spain","Total Exports","25955022"
"","Total Imports","4848352"
"","Trade Balance","21106670"
"Algeria","Total Exports","18446713"
"","Total Imports","1381"
"","Trade Balance","18445332"
"Indonesia","Total Exports","22197247"
"","Total Imports","6658917"
"","Trade Balance","15538330"
"Thailand","Total Exports","18100650"
"","Total Imports","4626394"
"","Trade Balance","13474256"
"Venezuela","Total Exports","13366443"
"","Total Imports","123495"
"","Trade Balance","13242948"
"Morocco","Total Exports","12128848"
"","Total Imports","167762"
"","Trade Balance","11961086"
"France (incl. Monaco, French Antilles)","Total Exports","31934552"
"","Total Imports","21560585"
"","Trade Balance","10373967"
"Brazil","Total Exports","34678502"
"","Total Imports","24590026"
"","Trade Balance","10088476"
"South Africa","Total Exports","12514379"
"","Total Imports","2776709"
"","Trade Balance","9737670"
"Cuba","Total Exports","7410785"
"","Total Imports","599"
"","Trade Balance","7410186"
"Norway","Total Exports","6687960"
"","Total Imports","525837"
"","Trade Balance","6162123"
"Singapore","Total Exports","16670048"
"","Total Imports","10522057"
"","Trade Balance","6147991"
"Saudi Arabia","Total Exports","6137017"
"","Total Imports","138030"
"","Trade Balance","5998987"
"Malaysia","Total Exports","10707924"
"","Total Imports","5079440"
"","Trade Balance","5628484"
"Chile","Total Exports","8845136"
"","Total Imports","3658444"
"","Trade Balance","5186692"
"Tunisia","Total Exports","4305795"
"","Total Imports","5954"
"","Trade Balance","4299841"
"Mozambique","Total Exports","3476826"
"","Total Imports",""
"","Trade Balance","3476826"
"Jamaica","Total Exports","3517278"
"","Total Imports","136665"
"","Trade Balance","3380613"
"Egypt","Total Exports","2810248"
"","Total Imports","241542"
"","Trade Balance","2568706"
"Philippines","Total Exports","5215922"
"","Total Imports","2696921"
"","Trade Balance","2519001"
"Libya","Total Exports","2481341"
"","Total Imports",""
"","Trade Balance","2481341"
"Dominican Republic","Total Exports","3291766"
"","Total Imports","885516"
"","Trade Balance","2406250"
"Australia","Total Exports","9746141"
"","Total Imports","7377941"
"","Trade Balance","2368200"
"Denmark","Total Exports","6240624"
"","Total Imports","4500828"
"","Trade Balance","1739796"
"Peru","Total Exports","1816244"
"","Total Imports","133502"
"","Trade Balance","1682742"
"Haiti","Total Exports","1712825"
"","Total Imports","53998"
"","Trade Balance","1658827"
"Trinidad and Tobago","Total Exports","1754021"
"","Total Imports","170154"
"","Trade Balance","1583867"
"Greece","Total Exports","1563210"
"","Total Imports","457954"
"","Trade Balance","1105256"
"Afghanistan","Total Exports","1051672"
"","Total Imports","1142"
"","Trade Balance","1050530"
"Türkiye","Total Exports","2520939"
"","Total Imports","1537770"
"","Trade Balance","983169"
"Tanzania","Total Exports","982438"
"","Total Imports","103829"
"","Trade Balance","878609"
"Barbados","Total Exports","890381"
"","Total Imports","30301"
"","Trade Balance","860080"
"Cameroon","Total Exports","861506"
"","Total Imports","1708"
"","Trade Balance","859798"
"Syria","Total Exports","843770"
"","Total Imports","285"
"","Trade Balance","843485"
"Greenland","Total Exports","836896"
"","Total Imports","50"
"","Trade Balance","836846"
"Pakistan","Total Exports","1984408"
"","Total Imports","1187223"
"","Trade Balance","797185"
"Ghana","Total Exports","797938"
"","Total Imports","10855"
"","Trade Balance","787083"
"Lebanon","Total Exports","749493"
"","Total Imports",""
"","Trade Balance","749493"
"Dominica","Total Exports","700225"
"","Total Imports","524"
"","Trade Balance","699701"
"Bolivia","Total Exports","683834"
"","Total Imports","397"
"","Trade Balance","683437"
"Albania","Total Exports","534287"
"","Total Imports","5017"
"","Trade Balance","529270"
"Mali","Total Exports","558947"
"","Total Imports","34608"
"","Trade Balance","524339"
"Botswana","Total Exports","504232"
"","Total Imports",""
"","Trade Balance","504232"
"Congo (formerly Zaire)","Total Exports","532091"
"","Total Imports","35795"
"","Trade Balance","496296"
"Poland","Total Exports","869991"
"","Total Imports","463114"
"","Trade Balance","406877"
"United Arab Emirates","Total Exports","394166"
"","Total Imports","1430"
"","Trade Balance","392736"
"Suriname","Total Exports","381937"
"","Total Imports","1976"
"","Trade Balance","379961"
"Ethiopia","Total Exports","918712"
"","Total Imports","545848"
"","Trade Balance","372864"
"Ukraine","Total Exports","402072"
"","Total Imports","45562"
"","Trade Balance","356510"
"Mauritania","Total Exports","334926"
"","Total Imports","300"
"","Trade Balance","334626"
"Malawi","Total Exports","293466"
"","Total Imports",""
"","Trade Balance","293466"
"Angola","Total Exports","282698"
"","Total Imports",""
"","Trade Balance","282698"
"Zambia (Zambi)","Total Exports","213670"
"","Total Imports",""
"","Trade Balance","213670"
"Réunion Island","Total Exports","212382"
"","Total Imports",""
"","Trade Balance","212382"
"Benin","Total Exports","157448"
"","Total Imports",""
"","Trade Balance","157448"
"Paraguay","Total Exports","149166"
"","Total Imports","2591"
"","Trade Balance","146575"
"Panama","Total Exports","266923"
"","Total Imports","149430"
"","Trade Balance","117493"
"Guinea","Total Exports","114580"
"","Total Imports",""
"","Trade Balance","114580"
"Moldova","Total Exports","104418"
"","Total Imports",""
"","Trade Balance","104418"
"Togo","Total Exports","103886"
"","Total Imports",""
"","Trade Balance","103886"
"Malta","Total Exports","101903"
"","Total Imports","2834"
"","Trade Balance","99069"
"Madagascar","Total Exports","100305"
"","Total Imports","7537"
"","Trade Balance","92768"
"Mauritius","Total Exports","95883"
"","Total Imports","9472"
"","Trade Balance","86411"
"Yemen","Total Exports","82681"
"","Total Imports",""
"","Trade Balance","82681"
"Colombia","Total Exports","15772147"
"","Total Imports","15694668"
"","Trade Balance","77479"
"Luxembourg","Total Exports","93427"
"","Total Imports","19238"
"","Trade Balance","74189"
"Netherlands Antilles","Total Exports","72000"
"","Total Imports","6026"
"","Trade Balance","65974"
"Cayman Islands","Total Exports","69693"
"","Total Imports","4435"
"","Trade Balance","65258"
"Saint Lucia","Total Exports","63955"
"","Total Imports","3515"
"","Trade Balance","60440"
"Kuwait","Total Exports","50043"
"","Total Imports",""
"","Trade Balance","50043"
"Guadeloupe","Total Exports","43263"
"","Total Imports",""
"","Trade Balance","43263"
"El Salvador","Total Exports","168291"
"","Total Imports","127764"
"","Trade Balance","40527"
"Cyprus","Total Exports","39000"
"","Total Imports","389"
"","Trade Balance","38611"
"Guyana","Total Exports","36806"
"","Total Imports",""
"","Trade Balance","36806"
"Uganda","Total Exports","30600"
"","Total Imports","129"
"","Trade Balance","30471"
"Saint Pierre-Miquelon","Total Exports","22685"
"","Total Imports",""
"","Trade Balance","22685"
"Saint Vincent and the Grenadines","Total Exports","22213"
"","Total Imports",""
"","Trade Balance","22213"
"Qatar","Total Exports","28094"
"","Total Imports","6301"
"","Trade Balance","21793"
"Croatia","Total Exports","23273"
"","Total Imports","4500"
"","Trade Balance","18773"
"Martinique","Total Exports","16000"
"","Total Imports",""
"","Trade Balance","16000"
"Cambodia (Kampuchea)","Total Exports","13880"
"","Total Imports",""
"","Trade Balance","13880"
"Zimbabwe","Total Exports","34256"
"","Total Imports","23499"
"","Trade Balance","10757"
"Burundi","Total Exports","9954"
"","Total Imports","67"
"","Trade Balance","9887"
"Somalia","Total Exports","6943"
"","Total Imports","180"
"","Trade Balance","6763"
"Rwanda","Total Exports","5554"
"","Total Imports",""
"","Trade Balance","5554"
"Turks and Caicos Islands","Total Exports","4216"
"","Total Imports",""
"","Trade Balance","4216"
"Bahrain","Total Exports","41291"
"","Total Imports","38749"
"","Trade Balance","2542"
"Nauru","Total Exports",""
"","Total Imports","3"
"","Trade Balance","-3"
"Fiji","Total Exports",""
"","Total Imports","7"
"","Trade Balance","-7"
"Latvia","Total Exports",""
"","Total Imports","41"
"","Trade Balance","-41"
"Comoros","Total Exports",""
"","Total Imports","45"
"","Trade Balance","-45"
"Laos","Total Exports",""
"","Total Imports","77"
"","Trade Balance","-77"
"Senegal","Total Exports",""
"","Total Imports","150"
"","Trade Balance","-150"
"Bosnia and Herzegovina","Total Exports",""
"","Total Imports","502"
"","Trade Balance","-502"
"Antigua and Barbuda","Total Exports","2382"
"","Total Imports","3249"
"","Trade Balance","-867"
"Georgia","Total Exports",""
"","Total Imports","1179"
"","Trade Balance","-1179"
"U.S. Minor Outlying Islands","Total Exports",""
"","Total Imports","1216"
"","Trade Balance","-1216"
"Swaziland","Total Exports",""
"","Total Imports","1652"
"","Trade Balance","-1652"
"Gambia","Total Exports",""
"","Total Imports","1737"
"","Trade Balance","-1737"
"Côte-d'Ivoire","Total Exports",""
"","Total Imports","3130"
"","Trade Balance","-3130"
"Bahamas","Total Exports",""
"","Total Imports","4855"
"","Trade Balance","-4855"
"Nepal","Total Exports",""
"","Total Imports","6750"
"","Trade Balance","-6750"
"Sudan","Total Exports",""
"","Total Imports","9258"
"","Trade Balance","-9258"
"Niger","Total Exports",""
"","Total Imports","9940"
"","Trade Balance","-9940"
"Jordan","Total Exports","121615"
"","Total Imports","132102"
"","Trade Balance","-10487"
"Bermuda","Total Exports","26040"
"","Total Imports","36838"
"","Trade Balance","-10798"
"Nigeria","Total Exports","4000"
"","Total Imports","15445"
"","Trade Balance","-11445"
"Guam","Total Exports",""
"","Total Imports","12798"
"","Trade Balance","-12798"
"Belize","Total Exports",""
"","Total Imports","12910"
"","Trade Balance","-12910"
"Saint Kitts and Nevis","Total Exports",""
"","Total Imports","14598"
"","Trade Balance","-14598"
"Pitcairn Island","Total Exports",""
"","Total Imports","20953"
"","Trade Balance","-20953"
"Nicaragua","Total Exports","1357"
"","Total Imports","23463"
"","Trade Balance","-22106"
"Namibia","Total Exports",""
"","Total Imports","25935"
"","Trade Balance","-25935"
"American Samoa","Total Exports",""
"","Total Imports","26826"
"","Trade Balance","-26826"
"Yugoslavia  - Serbia and Montenegro","Total Exports",""
"","Total Imports","26835"
"","Trade Balance","-26835"
"Belarus (formerly Byelorussia)","Total Exports",""
"","Total Imports","33911"
"","Trade Balance","-33911"
"Tokelau","Total Exports",""
"","Total Imports","45036"
"","Trade Balance","-45036"
"North Macedonia","Total Exports",""
"","Total Imports","76830"
"","Trade Balance","-76830"
"Sierra Leone","Total Exports",""
"","Total Imports","79221"
"","Trade Balance","-79221"
"Ecuador","Total Exports","1141928"
"","Total Imports","1251487"
"","Trade Balance","-109559"
"Papua New Guinea","Total Exports","2440"
"","Total Imports","142758"
"","Trade Balance","-140318"
"Oman (formerly Muscat and Oman)","Total Exports",""
"","Total Imports","155677"
"","Trade Balance","-155677"
"Slovakia","Total Exports","27528"
"","Total Imports","190566"
"","Trade Balance","-163038"
"Russia","Total Exports","1262115"
"","Total Imports","1435712"
"","Trade Balance","-173597"
"Vietnam","Total Exports","690840"
"","Total Imports","868903"
"","Trade Balance","-178063"
"Kenya","Total Exports","5942"
"","Total Imports","206285"
"","Trade Balance","-200343"
"Bulgaria","Total Exports","17744"
"","Total Imports","224064"
"","Trade Balance","-206320"
"Ireland","Total Exports","1366047"
"","Total Imports","1679611"
"","Trade Balance","-313564"
"Iceland","Total Exports","79784"
"","Total Imports","491113"
"","Trade Balance","-411329"
"Romania","Total Exports","55136"
"","Total Imports","484923"
"","Trade Balance","-429787"
"Israel","Total Exports","1927296"
"","Total Imports","2421717"
"","Trade Balance","-494421"
"Slovenia","Total Exports","30034"
"","Total Imports","548340"
"","Trade Balance","-518306"
"New Zealand","Total Exports","2771285"
"","Total Imports","3377856"
"","Trade Balance","-606571"
"Czech Republic","Total Exports","242844"
"","Total Imports","869700"
"","Trade Balance","-626856"
"Finland","Total Exports","4226295"
"","Total Imports","4872276"
"","Trade Balance","-645981"
"Myanmar (Burma)","Total Exports",""
"","Total Imports","809101"
"","Trade Balance","-809101"
"Portugal","Total Exports","646567"
"","Total Imports","1574675"
"","Trade Balance","-928108"
"Korea, South","Total Exports","28132826"
"","Total Imports","29214779"
"","Trade Balance","-1081953"
"Honduras","Total Exports",""
"","Total Imports","1230041"
"","Trade Balance","-1230041"
"Austria","Total Exports","686627"
"","Total Imports","2709783"
"","Trade Balance","-2023156"
"Macau (Macao)","Total Exports","160714"
"","Total Imports","2388972"
"","Trade Balance","-2228258"
"Sri Lanka","Total Exports","622713"
"","Total Imports","3033200"
"","Trade Balance","-2410487"
"India","Total Exports","4186529"
"","Total Imports","6707687"
"","Trade Balance","-2521158"
"Hungary","Total Exports","1441867"
"","Total Imports","3970272"
"","Trade Balance","-2528405"
"Guatemala","Total Exports","1075773"
"","Total Imports","3731984"
"","Trade Balance","-2656211"
"Switzerland","Total Exports","2011057"
"","Total Imports","6254595"
"","Trade Balance","-4243538"
"Costa Rica","Total Exports","564057"
"","Total Imports","4952736"
"","Trade Balance","-4388679"
"Argentina","Total Exports","2682182"
"","Total Imports","7158117"
"","Trade Balance","-4475935"
"Bangladesh","Total Exports","1764286"
"","Total Imports","7236631"
"","Trade Balance","-5472345"
"Taiwan","Total Exports","37744047"
"","Total Imports","44079666"
"","Trade Balance","-6335619"
"Uruguay","Total Exports","128491"
"","Total Imports","8230913"
"","Trade Balance","-8102422"
"Hong Kong","Total Exports","15428765"
"","Total Imports","26989581"
"","Trade Balance","-11560816"
"Sweden","Total Exports","4113143"
"","Total Imports","28478361"
"","Trade Balance","-24365218"
"Italy (incl. Vatican City State)","Total Exports","16188317"
"","Total Imports","59156835"
"","Trade Balance","-42968518"
"United Kingdom","Total Exports","47321962"
"","Total Imports","95990925"
"","Trade Balance","-48668963"
"Germany","Total Exports","43877397"
"","Total Imports","103556457"
"","Trade Balance","-59679060"
"Re-Imports (Canada)","Total Exports",""
"","Total Imports","64685575"
"","Trade Balance","-64685575"
"United States","Total Exports","4242175865"
"","Total Imports","5247448323"
"","Trade Balance","-1005272458"
"Total All Countries","Total Exports","5749752204"
"","Total Imports","6080335566"
"","Trade Balance","-330583362"

"Source: Trade Data Online (accessed: April 21, 2025)"



