"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1997"
"Units","Value in  canadian dollars"

"","","1997"
"Japan","Total Exports","435879785"
"","Total Imports","107546980"
"","Trade Balance","328332805"
"Belgium","Total Exports","149526364"
"","Total Imports","7761420"
"","Trade Balance","141764944"
"Iran","Total Exports","115662173"
"","Total Imports","308178"
"","Trade Balance","115353995"
"Indonesia","Total Exports","71829271"
"","Total Imports","6069005"
"","Trade Balance","65760266"
"China","Total Exports","147682167"
"","Total Imports","84399377"
"","Trade Balance","63282790"
"Korea, South","Total Exports","80899625"
"","Total Imports","24751789"
"","Trade Balance","56147836"
"Spain","Total Exports","43815221"
"","Total Imports","6806529"
"","Trade Balance","37008692"
"Algeria","Total Exports","35742551"
"","Total Imports",""
"","Trade Balance","35742551"
"Botswana","Total Exports","33648272"
"","Total Imports","4876"
"","Trade Balance","33643396"
"Brazil","Total Exports","35710111"
"","Total Imports","7704493"
"","Trade Balance","28005618"
"Peru","Total Exports","23449420"
"","Total Imports","354366"
"","Trade Balance","23095054"
"Saudi Arabia","Total Exports","22177556"
"","Total Imports","31871"
"","Trade Balance","22145685"
"Netherlands","Total Exports","36311161"
"","Total Imports","14624258"
"","Trade Balance","21686903"
"Philippines","Total Exports","22706026"
"","Total Imports","5565349"
"","Trade Balance","17140677"
"Venezuela","Total Exports","25869998"
"","Total Imports","8941421"
"","Trade Balance","16928577"
"Colombia","Total Exports","29599751"
"","Total Imports","14378548"
"","Trade Balance","15221203"
"Australia","Total Exports","19713009"
"","Total Imports","4955523"
"","Trade Balance","14757486"
"Cuba","Total Exports","13429097"
"","Total Imports","2453"
"","Trade Balance","13426644"
"Türkiye","Total Exports","14141045"
"","Total Imports","1264546"
"","Trade Balance","12876499"
"India","Total Exports","22314734"
"","Total Imports","9820620"
"","Trade Balance","12494114"
"Nigeria","Total Exports","10911352"
"","Total Imports",""
"","Trade Balance","10911352"
"New Zealand","Total Exports","13192764"
"","Total Imports","3581028"
"","Trade Balance","9611736"
"South Africa","Total Exports","12280519"
"","Total Imports","4034528"
"","Trade Balance","8245991"
"Libya","Total Exports","7936671"
"","Total Imports",""
"","Trade Balance","7936671"
"Morocco","Total Exports","7924530"
"","Total Imports","148073"
"","Trade Balance","7776457"
"Chile","Total Exports","11109125"
"","Total Imports","3818315"
"","Trade Balance","7290810"
"United Arab Emirates","Total Exports","7212535"
"","Total Imports","184634"
"","Trade Balance","7027901"
"Ghana","Total Exports","6976834"
"","Total Imports","111678"
"","Trade Balance","6865156"
"Malaysia","Total Exports","14356810"
"","Total Imports","8370762"
"","Trade Balance","5986048"
