"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1999"
"Units","Value in  canadian dollars"

"","","1999"
"Japan","Total Exports","378424025"
"","Total Imports","90422614"
"","Trade Balance","288001411"
"Belgium","Total Exports","88335454"
"","Total Imports","11343072"
"","Trade Balance","76992382"
"Iran","Total Exports","57301892"
"","Total Imports","274152"
"","Trade Balance","57027740"
"Hong Kong","Total Exports","57271000"
"","Total Imports","21685698"
"","Trade Balance","35585302"
"China","Total Exports","161052139"
"","Total Imports","130260392"
"","Trade Balance","30791747"
"Malaysia","Total Exports","36167809"
"","Total Imports","6264489"
"","Trade Balance","29903320"
"Venezuela","Total Exports","29160248"
"","Total Imports","1210761"
"","Trade Balance","27949487"
"India","Total Exports","44248021"
"","Total Imports","17694668"
"","Trade Balance","26553353"
"Spain","Total Exports","29923359"
"","Total Imports","8771574"
"","Trade Balance","21151785"
"Cuba","Total Exports","20622844"
"","Total Imports","3046"
"","Trade Balance","20619798"
"Algeria","Total Exports","14869481"
"","Total Imports","2275"
"","Trade Balance","14867206"
"Guatemala","Total Exports","15236420"
"","Total Imports","1518003"
"","Trade Balance","13718417"
"Philippines","Total Exports","16351403"
"","Total Imports","5180056"
"","Trade Balance","11171347"
"Colombia","Total Exports","20273041"
"","Total Imports","9989395"
"","Trade Balance","10283646"
"Egypt","Total Exports","10084365"
"","Total Imports","96243"
"","Trade Balance","9988122"
"Peru","Total Exports","9440967"
"","Total Imports","201599"
"","Trade Balance","9239368"
"Indonesia","Total Exports","21925705"
"","Total Imports","12758716"
"","Trade Balance","9166989"
"United Arab Emirates","Total Exports","8461147"
"","Total Imports","63968"
"","Trade Balance","8397179"
"Netherlands","Total Exports","30613831"
"","Total Imports","22366394"
"","Trade Balance","8247437"
"Morocco","Total Exports","8362622"
"","Total Imports","165880"
"","Trade Balance","8196742"
"Türkiye","Total Exports","8114281"
"","Total Imports","779086"
"","Trade Balance","7335195"
"Iraq","Total Exports","6700861"
"","Total Imports",""
"","Trade Balance","6700861"
"Greece","Total Exports","4817557"
"","Total Imports","436791"
"","Trade Balance","4380766"
"Sri Lanka","Total Exports","5907240"
"","Total Imports","2274947"
"","Trade Balance","3632293"
"Ecuador","Total Exports","7442852"
"","Total Imports","3908490"
"","Trade Balance","3534362"
"Mexico","Total Exports","107935594"
"","Total Imports","104587687"
"","Trade Balance","3347907"
"Trinidad and Tobago","Total Exports","3290699"
"","Total Imports","13855"
"","Trade Balance","3276844"
"Portugal","Total Exports","4578914"
"","Total Imports","1595574"
"","Trade Balance","2983340"
"Lebanon","Total Exports","2926654"
"","Total Imports",""
"","Trade Balance","2926654"
"Haiti","Total Exports","2937287"
"","Total Imports","56671"
"","Trade Balance","2880616"
"Togo","Total Exports","2575953"
"","Total Imports",""
"","Trade Balance","2575953"
"Ghana","Total Exports","2371728"
"","Total Imports","40880"
"","Trade Balance","2330848"
"Ethiopia","Total Exports","1661373"
"","Total Imports","443"
"","Trade Balance","1660930"
"Cameroon","Total Exports","1612370"
"","Total Imports","19627"
"","Trade Balance","1592743"
"Chile","Total Exports","8050698"
"","Total Imports","6565319"
"","Trade Balance","1485379"
"South Africa","Total Exports","8124694"
"","Total Imports","6727380"
"","Trade Balance","1397314"
"New Zealand","Total Exports","5963756"
"","Total Imports","4604311"
"","Trade Balance","1359445"
"Jamaica","Total Exports","1391220"
"","Total Imports","146547"
"","Trade Balance","1244673"
"Nigeria","Total Exports","1198679"
"","Total Imports","1771"
"","Trade Balance","1196908"
"Libya","Total Exports","1096713"
"","Total Imports",""
"","Trade Balance","1096713"
"Sudan","Total Exports","1055609"
"","Total Imports",""
"","Trade Balance","1055609"
"Saudi Arabia","Total Exports","1089399"
"","Total Imports","50196"
"","Trade Balance","1039203"
"Bangladesh","Total Exports","7276298"
"","Total Imports","6347520"
"","Trade Balance","928778"
"Mozambique","Total Exports","925254"
"","Total Imports",""
"","Trade Balance","925254"
"Jordan","Total Exports","936791"
"","Total Imports","42961"
"","Trade Balance","893830"
"Dominican Republic","Total Exports","1332616"
"","Total Imports","447749"
"","Trade Balance","884867"
"Botswana","Total Exports","800212"
"","Total Imports","245"
"","Trade Balance","799967"
"Namibia","Total Exports","795501"
"","Total Imports","422"
"","Trade Balance","795079"
"Zambia (Zambi)","Total Exports","742643"
"","Total Imports","751"
"","Trade Balance","741892"
"Congo (formerly Zaire)","Total Exports","681905"
"","Total Imports",""
"","Trade Balance","681905"
"Tanzania","Total Exports","680751"
"","Total Imports","3104"
"","Trade Balance","677647"
"Angola","Total Exports","618455"
"","Total Imports",""
"","Trade Balance","618455"
"Kenya","Total Exports","615638"
"","Total Imports","12034"
"","Trade Balance","603604"
"Swaziland","Total Exports","601335"
"","Total Imports","26454"
"","Trade Balance","574881"
"Slovenia","Total Exports","988281"
"","Total Imports","432580"
"","Trade Balance","555701"
"New Caledonia","Total Exports","513315"
"","Total Imports",""
"","Trade Balance","513315"
"Guyana","Total Exports","514078"
"","Total Imports","7785"
"","Trade Balance","506293"
"Panama","Total Exports","551862"
"","Total Imports","47722"
"","Trade Balance","504140"
"Liberia","Total Exports","497754"
"","Total Imports",""
"","Trade Balance","497754"
"Paraguay","Total Exports","522739"
"","Total Imports","34070"
"","Trade Balance","488669"
"Bahrain","Total Exports","568945"
"","Total Imports","81209"
"","Trade Balance","487736"
"Bolivia","Total Exports","488200"
"","Total Imports","5145"
"","Trade Balance","483055"
"Malawi","Total Exports","474021"
"","Total Imports",""
"","Trade Balance","474021"
"Uganda","Total Exports","472820"
"","Total Imports","1470"
"","Trade Balance","471350"
"Zimbabwe","Total Exports","477724"
"","Total Imports","10667"
"","Trade Balance","467057"
"Kuwait","Total Exports","464742"
"","Total Imports","287"
"","Trade Balance","464455"
"Djibouti","Total Exports","421416"
"","Total Imports",""
"","Trade Balance","421416"
"Barbados","Total Exports","428872"
"","Total Imports","19820"
"","Trade Balance","409052"
"Guinea","Total Exports","394606"
"","Total Imports",""
"","Trade Balance","394606"
"Vanuatu (New Hebrides)","Total Exports","384926"
"","Total Imports","4446"
"","Trade Balance","380480"
"Malta","Total Exports","370033"
"","Total Imports","23683"
"","Trade Balance","346350"
"Côte-d'Ivoire","Total Exports","425940"
"","Total Imports","98252"
"","Trade Balance","327688"
"Georgia","Total Exports","286258"
"","Total Imports","4983"
"","Trade Balance","281275"
"Sierra Leone","Total Exports","263176"
"","Total Imports","5891"
"","Trade Balance","257285"
"Senegal","Total Exports","206789"
"","Total Imports","220"
"","Trade Balance","206569"
"Greenland","Total Exports","201167"
"","Total Imports",""
"","Trade Balance","201167"
"Tonga","Total Exports","160160"
"","Total Imports",""
"","Trade Balance","160160"
"Suriname","Total Exports","156310"
"","Total Imports","113"
"","Trade Balance","156197"
"Niger","Total Exports","177324"
"","Total Imports","25203"
"","Trade Balance","152121"
"Iceland","Total Exports","163294"
"","Total Imports","31141"
"","Trade Balance","132153"
"Korea, North","Total Exports","115826"
"","Total Imports","1163"
"","Trade Balance","114663"
"Albania","Total Exports","97803"
"","Total Imports","8902"
"","Trade Balance","88901"
"Qatar","Total Exports","60887"
"","Total Imports","1246"
"","Trade Balance","59641"
"Nepal","Total Exports","78464"
"","Total Imports","25404"
"","Trade Balance","53060"
"Mauritius","Total Exports","84956"
"","Total Imports","45413"
"","Trade Balance","39543"
"Turks and Caicos Islands","Total Exports","35466"
"","Total Imports",""
"","Trade Balance","35466"
"Armenia","Total Exports","34249"
"","Total Imports",""
"","Trade Balance","34249"
"Yugoslavia  - Serbia and Montenegro","Total Exports","59161"
"","Total Imports","30370"
"","Trade Balance","28791"
"Bermuda","Total Exports","20892"
"","Total Imports","182"
"","Trade Balance","20710"
"Lithuania","Total Exports","24041"
"","Total Imports","8716"
"","Trade Balance","15325"
"Croatia","Total Exports","26466"
"","Total Imports","13970"
"","Trade Balance","12496"
"Cayman Islands","Total Exports","9987"
"","Total Imports","4466"
"","Trade Balance","5521"
"Turkmenistan","Total Exports","1508"
"","Total Imports",""
"","Trade Balance","1508"
"Saint Pierre-Miquelon","Total Exports","934"
"","Total Imports",""
"","Trade Balance","934"
"Solomon Islands","Total Exports",""
"","Total Imports","2"
"","Trade Balance","-2"
"Papua New Guinea","Total Exports",""
"","Total Imports","17"
"","Trade Balance","-17"
"Somalia","Total Exports",""
"","Total Imports","31"
"","Trade Balance","-31"
"Lesotho","Total Exports",""
"","Total Imports","33"
"","Trade Balance","-33"
"Falkland Islands","Total Exports",""
"","Total Imports","44"
"","Trade Balance","-44"
"American Samoa","Total Exports",""
"","Total Imports","54"
"","Trade Balance","-54"
"Gambia","Total Exports",""
"","Total Imports","86"
"","Trade Balance","-86"
"Kyrgyzstan","Total Exports",""
"","Total Imports","98"
"","Trade Balance","-98"
"Eritrea","Total Exports",""
"","Total Imports","100"
"","Trade Balance","-100"
"Uzbekistan","Total Exports",""
"","Total Imports","126"
"","Trade Balance","-126"
"Syria","Total Exports",""
"","Total Imports","231"
"","Trade Balance","-231"
"Comoros","Total Exports",""
"","Total Imports","336"
"","Trade Balance","-336"
"Estonia","Total Exports",""
"","Total Imports","390"
"","Trade Balance","-390"
"Timor-Leste","Total Exports",""
"","Total Imports","433"
"","Trade Balance","-433"
"Guam","Total Exports",""
"","Total Imports","731"
"","Trade Balance","-731"
"Rwanda","Total Exports",""
"","Total Imports","969"
"","Trade Balance","-969"
"North Macedonia","Total Exports",""
"","Total Imports","971"
"","Trade Balance","-971"
"Oman (formerly Muscat and Oman)","Total Exports",""
"","Total Imports","1120"
"","Trade Balance","-1120"
"Cook Islands","Total Exports",""
"","Total Imports","1444"
"","Trade Balance","-1444"
"Chad","Total Exports",""
"","Total Imports","2096"
"","Trade Balance","-2096"
"Aruba","Total Exports",""
"","Total Imports","2206"
"","Trade Balance","-2206"
"British Indian Ocean Territories","Total Exports",""
"","Total Imports","2206"
"","Trade Balance","-2206"
"Seychelles","Total Exports",""
"","Total Imports","2787"
"","Trade Balance","-2787"
"Dominica","Total Exports",""
"","Total Imports","3600"
"","Trade Balance","-3600"
"Mauritania","Total Exports",""
"","Total Imports","3673"
"","Trade Balance","-3673"
"Grenada","Total Exports",""
"","Total Imports","4196"
"","Trade Balance","-4196"
"Bahamas","Total Exports",""
"","Total Imports","4623"
"","Trade Balance","-4623"
"French Polynesia","Total Exports",""
"","Total Imports","5482"
"","Trade Balance","-5482"
"Belarus (formerly Byelorussia)","Total Exports",""
"","Total Imports","5861"
"","Trade Balance","-5861"
"Mali","Total Exports",""
"","Total Imports","6687"
"","Trade Balance","-6687"
"Bosnia and Herzegovina","Total Exports",""
"","Total Imports","9872"
"","Trade Balance","-9872"
"Azerbaijan","Total Exports",""
"","Total Imports","10524"
"","Trade Balance","-10524"
"Madagascar","Total Exports",""
