"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2000"
"Units","Value in  canadian dollars"

"","","2000"
"Japan","Total Exports","370688556"
"","Total Imports","179629332"
"","Trade Balance","191059224"
"Belgium","Total Exports","127711472"
"","Total Imports","8782964"
"","Trade Balance","118928508"
"Hong Kong","Total Exports","128561167"
"","Total Imports","21753260"
"","Trade Balance","106807907"
"Iran","Total Exports","95287919"
"","Total Imports","140007"
"","Trade Balance","95147912"
"Venezuela","Total Exports","23422106"
"","Total Imports","1021327"
"","Trade Balance","22400779"
"Philippines","Total Exports","25694436"
"","Total Imports","6889672"
"","Trade Balance","18804764"
"Botswana","Total Exports","18695458"
"","Total Imports","20638"
"","Trade Balance","18674820"
"Spain","Total Exports","24866543"
"","Total Imports","7534768"
"","Trade Balance","17331775"
"United Arab Emirates","Total Exports","16341364"
"","Total Imports","81755"
"","Trade Balance","16259609"
"Argentina","Total Exports","17196332"
"","Total Imports","2016654"
"","Trade Balance","15179678"
"Peru","Total Exports","15064357"
"","Total Imports","366457"
"","Trade Balance","14697900"
"Singapore","Total Exports","19822165"
"","Total Imports","5732043"
"","Trade Balance","14090122"
"Indonesia","Total Exports","29152640"
"","Total Imports","17200417"
"","Trade Balance","11952223"
"Iraq","Total Exports","11918349"
"","Total Imports",""
"","Trade Balance","11918349"
"Colombia","Total Exports","22163585"
"","Total Imports","10448482"
"","Trade Balance","11715103"
"Morocco","Total Exports","11474678"
"","Total Imports","103441"
"","Trade Balance","11371237"
"Egypt","Total Exports","10292580"
"","Total Imports","239796"
"","Trade Balance","10052784"
"South Africa","Total Exports","13100013"
"","Total Imports","4575755"
"","Trade Balance","8524258"
"Algeria","Total Exports","8418534"
"","Total Imports",""
"","Trade Balance","8418534"
"Malaysia","Total Exports","12780174"
"","Total Imports","4602488"
"","Trade Balance","8177686"
"Türkiye","Total Exports","9284974"
"","Total Imports","1411705"
"","Trade Balance","7873269"
"Guatemala","Total Exports","10764366"
"","Total Imports","2912505"
"","Trade Balance","7851861"
"Cuba","Total Exports","6758647"
"","Total Imports",""
"","Trade Balance","6758647"
"Nigeria","Total Exports","6368798"
"","Total Imports","22518"
"","Trade Balance","6346280"
"Greece","Total Exports","6621132"
"","Total Imports","429594"
"","Trade Balance","6191538"
"Saudi Arabia","Total Exports","5949120"
"","Total Imports","151938"
"","Trade Balance","5797182"
"Ecuador","Total Exports","9537713"
"","Total Imports","3778227"
"","Trade Balance","5759486"
"Ghana","Total Exports","5633420"
"","Total Imports","87372"
"","Trade Balance","5546048"
"Thailand","Total Exports","17703671"
"","Total Imports","12585749"
"","Trade Balance","5117922"
"Norway","Total Exports","8492344"
"","Total Imports","3530118"
"","Trade Balance","4962226"
"Australia","Total Exports","27755116"
"","Total Imports","23244341"
"","Trade Balance","4510775"
"Korea, North","Total Exports","4029006"
"","Total Imports","22"
"","Trade Balance","4028984"
"Costa Rica","Total Exports","4757394"
"","Total Imports","1044470"
"","Trade Balance","3712924"
"Sri Lanka","Total Exports","5113510"
"","Total Imports","1512152"
"","Trade Balance","3601358"
"New Zealand","Total Exports","5365536"
"","Total Imports","2574507"
"","Trade Balance","2791029"
"Cameroon","Total Exports","2572867"
"","Total Imports","15643"
"","Trade Balance","2557224"
"Lebanon","Total Exports","2560422"
"","Total Imports","39500"
"","Trade Balance","2520922"
"Luxembourg","Total Exports","2691867"
"","Total Imports","201360"
"","Trade Balance","2490507"
"Trinidad and Tobago","Total Exports","2377021"
"","Total Imports","26564"
"","Trade Balance","2350457"
"Angola","Total Exports","1968497"
"","Total Imports",""
"","Trade Balance","1968497"
"Bolivia","Total Exports","1775918"
"","Total Imports","8738"
"","Trade Balance","1767180"
"Jordan","Total Exports","1659244"
"","Total Imports","5863"
"","Trade Balance","1653381"
"Chile","Total Exports","9271440"
"","Total Imports","7730277"
"","Trade Balance","1541163"
"Jamaica","Total Exports","1570903"
"","Total Imports","76196"
"","Trade Balance","1494707"
"Togo","Total Exports","1468443"
"","Total Imports",""
"","Trade Balance","1468443"
"United Kingdom","Total Exports","88854851"
"","Total Imports","87417675"
"","Trade Balance","1437176"
"Portugal","Total Exports","3195796"
"","Total Imports","1800249"
"","Trade Balance","1395547"
"Ireland","Total Exports","7006517"
"","Total Imports","5797017"
"","Trade Balance","1209500"
"Côte-d'Ivoire","Total Exports","1199811"
"","Total Imports","43514"
"","Trade Balance","1156297"
"Sudan","Total Exports","1131669"
"","Total Imports",""
"","Trade Balance","1131669"
"Panama","Total Exports","1000130"
"","Total Imports","23008"
"","Trade Balance","977122"
"Eritrea","Total Exports","925315"
"","Total Imports",""
"","Trade Balance","925315"
"Barbados","Total Exports","935474"
"","Total Imports","38536"
"","Trade Balance","896938"
"Ethiopia","Total Exports","920024"
"","Total Imports","81763"
"","Trade Balance","838261"
"Russia","Total Exports","2318284"
"","Total Imports","1490640"
"","Trade Balance","827644"
"Namibia","Total Exports","622601"
"","Total Imports","700"
"","Trade Balance","621901"
"Kenya","Total Exports","630231"
"","Total Imports","26574"
"","Trade Balance","603657"
"Cyprus","Total Exports","599609"
"","Total Imports","291"
"","Trade Balance","599318"
"Haiti","Total Exports","643086"
"","Total Imports","50448"
"","Trade Balance","592638"
"Mauritania","Total Exports","440812"
"","Total Imports",""
"","Trade Balance","440812"
"Mozambique","Total Exports","435219"
"","Total Imports",""
"","Trade Balance","435219"
"Zimbabwe","Total Exports","387374"
"","Total Imports","4961"
"","Trade Balance","382413"
"Kuwait","Total Exports","367443"
"","Total Imports","85"
"","Trade Balance","367358"
"Nicaragua","Total Exports","369039"
"","Total Imports","19430"
"","Trade Balance","349609"
"Bermuda","Total Exports","354776"
"","Total Imports","6386"
"","Trade Balance","348390"
"Dominican Republic","Total Exports","3355531"
"","Total Imports","3014110"
"","Trade Balance","341421"
"Senegal","Total Exports","295379"
"","Total Imports","2660"
"","Trade Balance","292719"
"Guyana","Total Exports","271723"
"","Total Imports","148"
"","Trade Balance","271575"
"Congo (formerly Zaire)","Total Exports","268513"
"","Total Imports",""
"","Trade Balance","268513"
"Tanzania","Total Exports","264891"
"","Total Imports","2459"
"","Trade Balance","262432"
"Malta","Total Exports","328775"
"","Total Imports","78117"
"","Trade Balance","250658"
"Paraguay","Total Exports","270950"
"","Total Imports","34845"
"","Trade Balance","236105"
"Swaziland","Total Exports","191546"
"","Total Imports","1618"
"","Trade Balance","189928"
"Bahamas","Total Exports","147667"
"","Total Imports","2977"
"","Trade Balance","144690"
"Libya","Total Exports","107545"
"","Total Imports",""
"","Trade Balance","107545"
"Zambia (Zambi)","Total Exports","90192"
"","Total Imports",""
"","Trade Balance","90192"
"Guinea","Total Exports","86025"
"","Total Imports",""
"","Trade Balance","86025"
"Suriname","Total Exports","79344"
"","Total Imports","154"
"","Trade Balance","79190"
"Mauritius","Total Exports","77368"
"","Total Imports","4788"
"","Trade Balance","72580"
"Sierra Leone","Total Exports","75086"
"","Total Imports","3654"
"","Trade Balance","71432"
"Qatar","Total Exports","66975"
"","Total Imports","657"
"","Trade Balance","66318"
"Bahrain","Total Exports","45289"
"","Total Imports","2254"
"","Trade Balance","43035"
"Nepal","Total Exports","61323"
"","Total Imports","19038"
"","Trade Balance","42285"
"Oman (formerly Muscat and Oman)","Total Exports","32003"
"","Total Imports","313"
"","Trade Balance","31690"
"Croatia","Total Exports","34498"
"","Total Imports","5713"
"","Trade Balance","28785"
"Greenland","Total Exports","26720"
"","Total Imports",""
"","Trade Balance","26720"
"Antigua and Barbuda","Total Exports","27000"
"","Total Imports","5642"
"","Trade Balance","21358"
"Grenada","Total Exports","20000"
"","Total Imports",""
"","Trade Balance","20000"
"Georgia","Total Exports","48473"
"","Total Imports","32446"
"","Trade Balance","16027"
"Cayman Islands","Total Exports","15893"
"","Total Imports","1926"
"","Trade Balance","13967"
"Madagascar","Total Exports","27334"
"","Total Imports","14896"
"","Trade Balance","12438"
"Saint Lucia","Total Exports","12220"
"","Total Imports","1125"
"","Trade Balance","11095"
"Syria","Total Exports","7614"
"","Total Imports","275"
"","Trade Balance","7339"
"Saint Pierre-Miquelon","Total Exports","5828"
"","Total Imports",""
"","Trade Balance","5828"
"Sao Tomé-Principe","Total Exports","4640"
"","Total Imports",""
"","Trade Balance","4640"
"Tonga","Total Exports","4000"
"","Total Imports","68"
"","Trade Balance","3932"
"Bulgaria","Total Exports","47003"
"","Total Imports","44061"
"","Trade Balance","2942"
"Lithuania","Total Exports","5852"
"","Total Imports","4920"
"","Trade Balance","932"
"Falkland Islands","Total Exports",""
"","Total Imports","10"
"","Trade Balance","-10"
"Saint Vincent and the Grenadines","Total Exports",""
"","Total Imports","12"
"","Trade Balance","-12"
"Kiribati","Total Exports",""
"","Total Imports","15"
"","Trade Balance","-15"
"Tajikistan","Total Exports",""
"","Total Imports","20"
"","Trade Balance","-20"
"Aruba","Total Exports",""
"","Total Imports","34"
"","Trade Balance","-34"
"Montserrat","Total Exports",""
"","Total Imports","42"
"","Trade Balance","-42"
"Anguilla","Total Exports",""
"","Total Imports","45"
"","Trade Balance","-45"
"Uganda","Total Exports",""
"","Total Imports","62"
"","Trade Balance","-62"
"Lesotho","Total Exports",""
"","Total Imports","73"
"","Trade Balance","-73"
"Gambia","Total Exports",""
"","Total Imports","184"
"","Trade Balance","-184"
"Maldives","Total Exports",""
"","Total Imports","202"
"","Trade Balance","-202"
"British Indian Ocean Territories","Total Exports",""
"","Total Imports","303"
"","Trade Balance","-303"
"Cook Islands","Total Exports",""
"","Total Imports","305"
"","Trade Balance","-305"
"American Samoa","Total Exports",""
"","Total Imports","347"
"","Trade Balance","-347"
"Fiji","Total Exports",""
"","Total Imports","452"
"","Trade Balance","-452"
"Nauru","Total Exports",""
"","Total Imports","549"
"","Trade Balance","-549"
"Moldova","Total Exports",""
"","Total Imports","563"
"","Trade Balance","-563"
"New Caledonia","Total Exports",""
"","Total Imports","757"
"","Trade Balance","-757"
"Malawi","Total Exports","1258"
"","Total Imports","2464"
"","Trade Balance","-1206"
"Papua New Guinea","Total Exports",""
"","Total Imports","1236"
"","Trade Balance","-1236"
"Mali","Total Exports",""
"","Total Imports","1780"
"","Trade Balance","-1780"
"Estonia","Total Exports",""
"","Total Imports","2296"
"","Trade Balance","-2296"
"Seychelles","Total Exports",""
"","Total Imports","3506"
"","Trade Balance","-3506"
"U.S. Minor Outlying Islands","Total Exports",""
"","Total Imports","4309"
"","Trade Balance","-4309"
"Brunei Darussalam","Total Exports",""
"","Total Imports","4392"
"","Trade Balance","-4392"
"Belarus (formerly Byelorussia)","Total Exports","13526"
"","Total Imports","18264"
"","Trade Balance","-4738"
"Albania","Total Exports",""
"","Total Imports","5460"
"","Trade Balance","-5460"
"El Salvador","Total Exports","104364"
"","Total Imports","109831"
"","Trade Balance","-5467"
"Niger","Total Exports",""
"","Total Imports","6190"
"","Trade Balance","-6190"
"Netherlands Antilles","Total Exports","3407"
"","Total Imports","10125"
"","Trade Balance","-6718"
"Timor-Leste","Total Exports",""
"","Total Imports","7137"
"","Trade Balance","-7137"
"French Polynesia","Total Exports",""
"","Total Imports","7447"
"","Trade Balance","-7447"
"Gabon","Total Exports","7000"
"","Total Imports","15590"
"","Trade Balance","-8590"
"Belize","Total Exports",""
"","Total Imports","10292"
"","Trade Balance","-10292"
"Bosnia and Herzegovina","Total Exports",""
"","Total Imports","10845"
"","Trade Balance","-10845"
"North Macedonia","Total Exports",""
"","Total Imports","11773"
"","Trade Balance","-11773"
"Guam","Total Exports","35648"
"","Total Imports","51363"
"","Trade Balance","-15715"
"Afghanistan","Total Exports",""
"","Total Imports","17624"
"","Trade Balance","-17624"
"Central African Republic","Total Exports",""
"","Total Imports","25289"
"","Trade Balance","-25289"
"Somalia","Total Exports",""
"","Total Imports","26597"
"","Trade Balance","-26597"
"Dominica","Total Exports",""
"","Total Imports","31809"
"","Trade Balance","-31809"
"Latvia","Total Exports","177825"
"","Total Imports","211375"
"","Trade Balance","-33550"
"Yugoslavia  - Serbia and Montenegro","Total Exports",""
"","Total Imports","35947"
"","Trade Balance","-35947"
"Cambodia (Kampuchea)","Total Exports",""
"","Total Imports","36877"
"","Trade Balance","-36877"
"Saint Kitts and Nevis","Total Exports","22698"
"","Total Imports","62207"
"","Trade Balance","-39509"
