"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2006"
"Units","Value in  canadian dollars"

"","","2006"
"Japan","Total Exports","388227386"
"","Total Imports","155603192"
"","Trade Balance","232624194"
"Hong Kong","Total Exports","217970307"
"","Total Imports","12885694"
"","Trade Balance","205084613"
"India","Total Exports","135492524"
"","Total Imports","27084029"
"","Trade Balance","108408495"
"Australia","Total Exports","74787663"
"","Total Imports","13184512"
"","Trade Balance","61603151"
"Belgium","Total Exports","80394380"
"","Total Imports","19347347"
"","Trade Balance","61047033"
"Russia","Total Exports","59734433"
"","Total Imports","5333273"
"","Trade Balance","54401160"
"Indonesia","Total Exports","55890685"
"","Total Imports","16914192"
"","Trade Balance","38976493"
"Korea, South","Total Exports","81794069"
"","Total Imports","48825365"
"","Trade Balance","32968704"
"Sri Lanka","Total Exports","32382194"
"","Total Imports","1560915"
"","Trade Balance","30821279"
"Kazakhstan","Total Exports","28884081"
"","Total Imports","664012"
"","Trade Balance","28220069"
"United Arab Emirates","Total Exports","27118390"
"","Total Imports","280016"
"","Trade Balance","26838374"
"Pakistan","Total Exports","29146560"
"","Total Imports","2627484"
"","Trade Balance","26519076"
"Singapore","Total Exports","40917040"
"","Total Imports","16651959"
"","Trade Balance","24265081"
"Iran","Total Exports","22190368"
"","Total Imports","57090"
"","Trade Balance","22133278"
"Egypt","Total Exports","21827056"
"","Total Imports","270277"
"","Trade Balance","21556779"
"Saudi Arabia","Total Exports","21252790"
"","Total Imports","127333"
"","Trade Balance","21125457"
"Spain","Total Exports","30365539"
"","Total Imports","12004053"
"","Trade Balance","18361486"
"Iraq","Total Exports","17325372"
"","Total Imports","1289"
"","Trade Balance","17324083"
"Peru","Total Exports","22240040"
"","Total Imports","6384447"
"","Trade Balance","15855593"
"Venezuela","Total Exports","17084651"
"","Total Imports","2997532"
"","Trade Balance","14087119"
"Türkiye","Total Exports","18793794"
"","Total Imports","6320837"
"","Trade Balance","12472957"
"Norway","Total Exports","15104309"
"","Total Imports","3240420"
"","Trade Balance","11863889"
"South Africa","Total Exports","27486537"
"","Total Imports","15832205"
"","Trade Balance","11654332"
"Vietnam","Total Exports","16851112"
"","Total Imports","7418595"
"","Trade Balance","9432517"
"Nigeria","Total Exports","8033332"
"","Total Imports","6953"
"","Trade Balance","8026379"
"Sudan","Total Exports","7444723"
"","Total Imports","8044"
"","Trade Balance","7436679"
"Angola","Total Exports","6063426"
"","Total Imports","2795"
"","Trade Balance","6060631"
"Ghana","Total Exports","6032512"
"","Total Imports","118421"
"","Trade Balance","5914091"
"Cuba","Total Exports","4645836"
"","Total Imports","338"
"","Trade Balance","4645498"
"Greece","Total Exports","5216407"
"","Total Imports","602785"
"","Trade Balance","4613622"
"Ecuador","Total Exports","11060358"
"","Total Imports","6847451"
"","Trade Balance","4212907"
"Jamaica","Total Exports","4436953"
"","Total Imports","302024"
"","Trade Balance","4134929"
"Oman (formerly Muscat and Oman)","Total Exports","3939139"
"","Total Imports","493"
"","Trade Balance","3938646"
"New Zealand","Total Exports","7066422"
"","Total Imports","3698590"
"","Trade Balance","3367832"
"Ukraine","Total Exports","4898533"
"","Total Imports","1624746"
"","Trade Balance","3273787"
"Argentina","Total Exports","7676600"
"","Total Imports","4434241"
"","Trade Balance","3242359"
"Chile","Total Exports","10846537"
"","Total Imports","7696982"
"","Trade Balance","3149555"
"Trinidad and Tobago","Total Exports","3017668"
"","Total Imports","82005"
"","Trade Balance","2935663"
"Kenya","Total Exports","2766918"
"","Total Imports","31053"
"","Trade Balance","2735865"
"Syria","Total Exports","2149810"
"","Total Imports","2781"
"","Trade Balance","2147029"
"Mozambique","Total Exports","2145059"
"","Total Imports","2457"
"","Trade Balance","2142602"
"Ethiopia","Total Exports","2034289"
"","Total Imports","27582"
"","Trade Balance","2006707"
"Bulgaria","Total Exports","1978147"
"","Total Imports","158612"
