"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2009"
"Units","Value in  canadian dollars"

"","","2009"
"Japan","Total Exports","503945787"
"","Total Imports","125683193"
"","Trade Balance","378262594"
"Hong Kong","Total Exports","182168052"
"","Total Imports","4235359"
"","Trade Balance","177932693"
"Saudi Arabia","Total Exports","109335931"
"","Total Imports","168369"
"","Trade Balance","109167562"
"Australia","Total Exports","121507247"
"","Total Imports","23151625"
"","Trade Balance","98355622"
"Iraq","Total Exports","94179983"
"","Total Imports",""
"","Trade Balance","94179983"
"Russia","Total Exports","75524657"
"","Total Imports","4283034"
"","Trade Balance","71241623"
"United Arab Emirates","Total Exports","68801671"
"","Total Imports","1556406"
"","Trade Balance","67245265"
"Iran","Total Exports","63302883"
"","Total Imports","6495"
"","Trade Balance","63296388"
"Bangladesh","Total Exports","67683687"
"","Total Imports","11538547"
"","Trade Balance","56145140"
"Sri Lanka","Total Exports","54247460"
"","Total Imports","1017464"
"","Trade Balance","53229996"
"Kazakhstan","Total Exports","52220871"
"","Total Imports","90086"
"","Trade Balance","52130785"
"Venezuela","Total Exports","42409271"
"","Total Imports","528227"
"","Trade Balance","41881044"
"Pakistan","Total Exports","41998104"
"","Total Imports","2300291"
"","Trade Balance","39697813"
"China","Total Exports","635734450"
"","Total Imports","596796222"
"","Trade Balance","38938228"
"Peru","Total Exports","39828720"
"","Total Imports","3482652"
"","Trade Balance","36346068"
"Indonesia","Total Exports","56709785"
"","Total Imports","21795782"
"","Trade Balance","34914003"
"Korea, South","Total Exports","72893320"
"","Total Imports","41970310"
"","Trade Balance","30923010"
"Egypt","Total Exports","28164545"
"","Total Imports","946330"
"","Trade Balance","27218215"
"Philippines","Total Exports","36425190"
"","Total Imports","11167893"
"","Trade Balance","25257297"
"Ghana","Total Exports","23613157"
"","Total Imports","31446"
"","Trade Balance","23581711"
"Türkiye","Total Exports","24253278"
"","Total Imports","5007349"
"","Trade Balance","19245929"
"Sudan","Total Exports","18124014"
"","Total Imports",""
"","Trade Balance","18124014"
"Colombia","Total Exports","33077638"
"","Total Imports","15219726"
"","Trade Balance","17857912"
"Belgium","Total Exports","37260088"
"","Total Imports","20028374"
"","Trade Balance","17231714"
"Ecuador","Total Exports","24281120"
