"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2011"
"Units","Value in  canadian dollars"

"","","2011"
"Japan","Total Exports","660091127"
"","Total Imports","202567129"
"","Trade Balance","457523998"
"China","Total Exports","976604055"
"","Total Imports","793198271"
"","Trade Balance","183405784"
"Korea, South","Total Exports","224897724"
"","Total Imports","62233379"
"","Trade Balance","162664345"
"Hong Kong","Total Exports","164887082"
"","Total Imports","5765379"
"","Trade Balance","159121703"
"United Arab Emirates","Total Exports","107061137"
"","Total Imports","221811"
"","Trade Balance","106839326"
"Russia","Total Exports","103201858"
"","Total Imports","7938381"
"","Trade Balance","95263477"
"Sweden","Total Exports","123776342"
"","Total Imports","33205585"
"","Trade Balance","90570757"
"Pakistan","Total Exports","86266468"
"","Total Imports","2577174"
"","Trade Balance","83689294"
"Bulgaria","Total Exports","71223357"
"","Total Imports","731670"
"","Trade Balance","70491687"
"Bangladesh","Total Exports","84494004"
"","Total Imports","14877675"
"","Trade Balance","69616329"
"Australia","Total Exports","85341556"
"","Total Imports","23506641"
"","Trade Balance","61834915"
"Saudi Arabia","Total Exports","59237630"
"","Total Imports","165043"
"","Trade Balance","59072587"
"Indonesia","Total Exports","65269257"
"","Total Imports","19622650"
"","Trade Balance","45646607"
"Venezuela","Total Exports","46532624"
"","Total Imports","1243351"
"","Trade Balance","45289273"
"Sri Lanka","Total Exports","48757722"
"","Total Imports","3873403"
"","Trade Balance","44884319"
"Türkiye","Total Exports","58246844"
"","Total Imports","13483744"
"","Trade Balance","44763100"
"Egypt","Total Exports","40187498"
"","Total Imports","774252"
"","Trade Balance","39413246"
"Colombia","Total Exports","51654106"
"","Total Imports","17215850"
"","Trade Balance","34438256"
"Philippines","Total Exports","44726395"
"","Total Imports","13629779"
"","Trade Balance","31096616"
"India","Total Exports","85813322"
"","Total Imports","55869547"
"","Trade Balance","29943775"
"Belgium","Total Exports","52498545"
"","Total Imports","22774986"
"","Trade Balance","29723559"
"Taiwan","Total Exports","137836538"
"","Total Imports","109637615"
"","Trade Balance","28198923"
"Thailand","Total Exports","51358299"
"","Total Imports","24593232"
"","Trade Balance","26765067"
"Ghana","Total Exports","26796589"
"","Total Imports","40384"
"","Trade Balance","26756205"
"Ecuador","Total Exports","33317750"
"","Total Imports","6736407"
"","Trade Balance","26581343"
"Sudan","Total Exports","25016322"
"","Total Imports","7551"
"","Trade Balance","25008771"
"Peru","Total Exports","29311699"
"","Total Imports","5727586"
"","Trade Balance","23584113"
"Finland","Total Exports","35556068"
"","Total Imports","13034452"
"","Trade Balance","22521616"
"Portugal","Total Exports","26315435"
"","Total Imports","4505511"
"","Trade Balance","21809924"
"Singapore","Total Exports","33171019"
"","Total Imports","11511282"
"","Trade Balance","21659737"
"South Africa","Total Exports","25842918"
"","Total Imports","7852956"
"","Trade Balance","17989962"
"Kazakhstan","Total Exports","16555622"
"","Total Imports","701915"
"","Trade Balance","15853707"
"Cuba","Total Exports","13969338"
"","Total Imports","7"
"","Trade Balance","13969331"
"Brazil","Total Exports","56700963"
"","Total Imports","44472251"
"","Trade Balance","12228712"
"Panama","Total Exports","11381528"
"","Total Imports","53421"
"","Trade Balance","11328107"
"Iraq","Total Exports","11191755"
"","Total Imports",""
"","Trade Balance","11191755"
"Nigeria","Total Exports","9517361"
"","Total Imports","45790"
"","Trade Balance","9471571"
"Angola","Total Exports","9377636"
"","Total Imports","7281"
"","Trade Balance","9370355"
"New Zealand","Total Exports","11166928"
"","Total Imports","2989156"
"","Trade Balance","8177772"
"Ukraine","Total Exports","10723235"
"","Total Imports","3069331"
"","Trade Balance","7653904"
"Trinidad and Tobago","Total Exports","7725433"
"","Total Imports","375772"
"","Trade Balance","7349661"
"Norway","Total Exports","9220104"
"","Total Imports","2288754"
"","Trade Balance","6931350"
"Ethiopia","Total Exports","7252903"
"","Total Imports","402106"
