"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2014"
"Units","Value in  canadian dollars"

"","","2014"
"Japan","Total Exports","715070540"
"","Total Imports","191831015"
"","Trade Balance","523239525"
"Hong Kong","Total Exports","137595679"
"","Total Imports","4316636"
"","Trade Balance","133279043"
"Russia","Total Exports","142406514"
"","Total Imports","9812788"
"","Trade Balance","132593726"
"United Arab Emirates","Total Exports","75376555"
"","Total Imports","854302"
"","Trade Balance","74522253"
"Peru","Total Exports","74487924"
"","Total Imports","2365943"
"","Trade Balance","72121981"
"Indonesia","Total Exports","87341763"
"","Total Imports","21489652"
"","Trade Balance","65852111"
"Singapore","Total Exports","78613637"
"","Total Imports","21298317"
"","Trade Balance","57315320"
"Colombia","Total Exports","77706562"
"","Total Imports","21373829"
"","Trade Balance","56332733"
"Australia","Total Exports","83837428"
"","Total Imports","27860561"
"","Trade Balance","55976867"
"Venezuela","Total Exports","55422532"
"","Total Imports","4458491"
"","Trade Balance","50964041"
"Saudi Arabia","Total Exports","49170333"
"","Total Imports","318666"
"","Trade Balance","48851667"
"Nigeria","Total Exports","44439107"
"","Total Imports","4534"
"","Trade Balance","44434573"
"Sudan","Total Exports","42819678"
"","Total Imports","3767"
"","Trade Balance","42815911"
"Bangladesh","Total Exports","60529356"
"","Total Imports","21355451"
"","Trade Balance","39173905"
"Belgium","Total Exports","58788421"
"","Total Imports","20929537"
"","Trade Balance","37858884"
"Egypt","Total Exports","33302190"
"","Total Imports","798002"
"","Trade Balance","32504188"
"Iraq","Total Exports","32326945"
"","Total Imports",""
"","Trade Balance","32326945"
"Pakistan","Total Exports","34517911"
"","Total Imports","4086342"
"","Trade Balance","30431569"
"Philippines","Total Exports","40926920"
"","Total Imports","12566194"
"","Trade Balance","28360726"
"Sri Lanka","Total Exports","31631817"
"","Total Imports","7322970"
"","Trade Balance","24308847"
"Spain","Total Exports","40470078"
"","Total Imports","18635452"
"","Trade Balance","21834626"
"Bulgaria","Total Exports","26287511"
"","Total Imports","4570579"
"","Trade Balance","21716932"
"Angola","Total Exports","20995354"
"","Total Imports","434"
"","Trade Balance","20994920"
"Kazakhstan","Total Exports","18240780"
"","Total Imports","716535"
"","Trade Balance","17524245"
"Ecuador","Total Exports","26411666"
"","Total Imports","10286721"
"","Trade Balance","16124945"
"Ghana","Total Exports","14678691"
"","Total Imports","121465"
"","Trade Balance","14557226"
"Brazil","Total Exports","34935530"
"","Total Imports","20712338"
"","Trade Balance","14223192"
"Mozambique","Total Exports","14031355"
"","Total Imports","37"
"","Trade Balance","14031318"
"Cuba","Total Exports","13839795"
"","Total Imports",""
"","Trade Balance","13839795"
"Lithuania","Total Exports","12570720"
"","Total Imports","815399"
"","Trade Balance","11755321"
"Chile","Total Exports","30536440"
"","Total Imports","19982587"
"","Trade Balance","10553853"
"Ireland","Total Exports","19129044"
"","Total Imports","9076284"
"","Trade Balance","10052760"
"Uganda","Total Exports","8907923"
"","Total Imports","6963"
"","Trade Balance","8900960"
"Cameroon","Total Exports","8736481"
"","Total Imports","82767"
"","Trade Balance","8653714"
"Paraguay","Total Exports","8115531"
"","Total Imports","417557"
"","Trade Balance","7697974"
"Kenya","Total Exports","7809395"
"","Total Imports","304380"
"","Trade Balance","7505015"
"Türkiye","Total Exports","40235493"
"","Total Imports","32901031"
"","Trade Balance","7334462"
"Norway","Total Exports","9703595"
"","Total Imports","2560218"
"","Trade Balance","7143377"
"Tanzania","Total Exports","5579524"
"","Total Imports","32410"
"","Trade Balance","5547114"
"Bolivia","Total Exports","5953354"
"","Total Imports","808975"
"","Trade Balance","5144379"
"Oman (formerly Muscat and Oman)","Total Exports","6552627"
"","Total Imports","2043897"
"","Trade Balance","4508730"
"Uruguay","Total Exports","4420170"
"","Total Imports","257816"
"","Trade Balance","4162354"
"Algeria","Total Exports","4168959"
"","Total Imports","11241"
"","Trade Balance","4157718"
"Iran","Total Exports","3651874"
"","Total Imports","310"
"","Trade Balance","3651564"
"Estonia","Total Exports","4216228"
"","Total Imports","719146"
"","Trade Balance","3497082"
"Dominican Republic","Total Exports","6379249"
"","Total Imports","3093572"
"","Trade Balance","3285677"
"Trinidad and Tobago","Total Exports","7561310"
"","Total Imports","4550221"
