"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2015"
"Units","Value in  canadian dollars"

"","","2015"
"Japan","Total Exports","639211961"
"","Total Imports","206102910"
"","Trade Balance","433109051"
"Hong Kong","Total Exports","208637149"
"","Total Imports","5525841"
"","Trade Balance","203111308"
"Indonesia","Total Exports","99177533"
"","Total Imports","20241363"
"","Trade Balance","78936170"
"Australia","Total Exports","98562488"
"","Total Imports","26271894"
"","Trade Balance","72290594"
"Peru","Total Exports","69343773"
"","Total Imports","2766874"
"","Trade Balance","66576899"
"Philippines","Total Exports","69138899"
"","Total Imports","9994815"
"","Trade Balance","59144084"
"United Arab Emirates","Total Exports","59700035"
"","Total Imports","2613997"
"","Trade Balance","57086038"
"Pakistan","Total Exports","57364830"
"","Total Imports","4669266"
"","Trade Balance","52695564"
"Singapore","Total Exports","69737389"
"","Total Imports","22726114"
"","Trade Balance","47011275"
"Colombia","Total Exports","60891969"
"","Total Imports","20182536"
"","Trade Balance","40709433"
"Bangladesh","Total Exports","69339069"
"","Total Imports","29275182"
"","Trade Balance","40063887"
"Venezuela","Total Exports","47206765"
"","Total Imports","7253064"
"","Trade Balance","39953701"
"Nigeria","Total Exports","36530010"
"","Total Imports","36065"
"","Trade Balance","36493945"
"Belgium","Total Exports","60887344"
"","Total Imports","24425066"
"","Trade Balance","36462278"
"Saudi Arabia","Total Exports","36307956"
"","Total Imports","2492047"
"","Trade Balance","33815909"
"Ecuador","Total Exports","31486403"
"","Total Imports","8414067"
"","Trade Balance","23072336"
"Sri Lanka","Total Exports","30980104"
"","Total Imports","8516087"
"","Trade Balance","22464017"
"Ghana","Total Exports","21148459"
"","Total Imports","21209"
"","Trade Balance","21127250"
"Kazakhstan","Total Exports","21792563"
"","Total Imports","837251"
"","Trade Balance","20955312"
"Angola","Total Exports","20938175"
"","Total Imports",""
"","Trade Balance","20938175"
"Bulgaria","Total Exports","23681702"
"","Total Imports","2995000"
"","Trade Balance","20686702"
"Ireland","Total Exports","27851356"
"","Total Imports","8848228"
"","Trade Balance","19003128"
"Egypt","Total Exports","18585955"
"","Total Imports","831116"
"","Trade Balance","17754839"
"Cuba","Total Exports","14364232"
"","Total Imports","953"
"","Trade Balance","14363279"
"New Zealand","Total Exports","20928801"
"","Total Imports","7702559"
"","Trade Balance","13226242"
"Sudan","Total Exports","13330811"
"","Total Imports","503128"
"","Trade Balance","12827683"
"Iraq","Total Exports","11743918"
"","Total Imports",""
"","Trade Balance","11743918"
"Cameroon","Total Exports","8277890"
"","Total Imports","53978"
"","Trade Balance","8223912"
"Dominican Republic","Total Exports","10991118"
"","Total Imports","2792333"
"","Trade Balance","8198785"
"Belarus (formerly Byelorussia)","Total Exports","8217771"
"","Total Imports","430425"
"","Trade Balance","7787346"
"Chile","Total Exports","29021531"
"","Total Imports","22443752"
"","Trade Balance","6577779"
"Portugal","Total Exports","10778649"
"","Total Imports","5285866"
"","Trade Balance","5492783"
"Mozambique","Total Exports","5367161"
"","Total Imports","2782"
"","Trade Balance","5364379"
"Oman (formerly Muscat and Oman)","Total Exports","9237556"
"","Total Imports","3892337"
"","Trade Balance","5345219"
"Kenya","Total Exports","4604385"
"","Total Imports","247280"
"","Trade Balance","4357105"
"Panama","Total Exports","3770327"
"","Total Imports","22217"
"","Trade Balance","3748110"
"Uruguay","Total Exports","4047427"
"","Total Imports","389894"
"","Trade Balance","3657533"
"Ukraine","Total Exports","3662506"
"","Total Imports","422654"
"","Trade Balance","3239852"
"Lithuania","Total Exports","4345332"
"","Total Imports","1107413"
"","Trade Balance","3237919"
"Iran","Total Exports","3160218"
"","Total Imports","10166"
"","Trade Balance","3150052"
"Netherlands","Total Exports","46067915"
"","Total Imports","42955290"
"","Trade Balance","3112625"
"Tanzania","Total Exports","2917896"
"","Total Imports","54731"
"","Trade Balance","2863165"
"Trinidad and Tobago","Total Exports","3938574"
"","Total Imports","1206431"
"","Trade Balance","2732143"
"Lebanon","Total Exports","2455528"
"","Total Imports","28800"
"","Trade Balance","2426728"
"Bolivia","Total Exports","2306891"
