"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2016"
"Units","Value in  canadian dollars"

"","","2016"
"Japan","Total Exports","741687573"
"","Total Imports","241242259"
"","Trade Balance","500445314"
"Hong Kong","Total Exports","124234384"
"","Total Imports","5470787"
"","Trade Balance","118763597"
"Pakistan","Total Exports","107708399"
"","Total Imports","4089788"
"","Trade Balance","103618611"
"Korea, South","Total Exports","143614461"
"","Total Imports","62251291"
"","Trade Balance","81363170"
"United Arab Emirates","Total Exports","70522066"
"","Total Imports","788052"
"","Trade Balance","69734014"
"Australia","Total Exports","132135949"
"","Total Imports","65328451"
"","Trade Balance","66807498"
"Indonesia","Total Exports","82067321"
"","Total Imports","22608089"
"","Trade Balance","59459232"
"Peru","Total Exports","60795973"
"","Total Imports","3446473"
"","Trade Balance","57349500"
"Colombia","Total Exports","77604179"
"","Total Imports","20827069"
"","Trade Balance","56777110"
"Bangladesh","Total Exports","72313712"
"","Total Imports","19564350"
"","Trade Balance","52749362"
"Singapore","Total Exports","66773743"
"","Total Imports","19976276"
"","Trade Balance","46797467"
"Nigeria","Total Exports","38199154"
"","Total Imports","90418"
"","Trade Balance","38108736"
"Belgium","Total Exports","74654856"
"","Total Imports","40827224"
"","Trade Balance","33827632"
"Russia","Total Exports","40394449"
"","Total Imports","6929476"
"","Trade Balance","33464973"
"Saudi Arabia","Total Exports","29092395"
"","Total Imports","168834"
"","Trade Balance","28923561"
"Ireland","Total Exports","37135989"
"","Total Imports","10400677"
"","Trade Balance","26735312"
"Ghana","Total Exports","24975187"
"","Total Imports","26566"
"","Trade Balance","24948621"
"Iran","Total Exports","24038625"
"","Total Imports","84922"
"","Trade Balance","23953703"
"Ecuador","Total Exports","29601489"
"","Total Imports","6314742"
"","Trade Balance","23286747"
"Venezuela","Total Exports","28618665"
"","Total Imports","5886398"
"","Trade Balance","22732267"
"Philippines","Total Exports","32710007"
"","Total Imports","10100051"
"","Trade Balance","22609956"
"Bulgaria","Total Exports","22693482"
"","Total Imports","1416327"
"","Trade Balance","21277155"
"Angola","Total Exports","20376209"
"","Total Imports",""
"","Trade Balance","20376209"
"Sri Lanka","Total Exports","24954746"
"","Total Imports","6307762"
"","Trade Balance","18646984"
"Portugal","Total Exports","23170208"
"","Total Imports","6210831"
"","Trade Balance","16959377"
"Kazakhstan","Total Exports","16293003"
"","Total Imports","527820"
"","Trade Balance","15765183"
"Spain","Total Exports","31214227"
"","Total Imports","16078962"
"","Trade Balance","15135265"
"Cuba","Total Exports","14912311"
"","Total Imports","23595"
"","Trade Balance","14888716"
"Egypt","Total Exports","10981505"
"","Total Imports","657460"
"","Trade Balance","10324045"
"New Zealand","Total Exports","16100673"
"","Total Imports","6066415"
"","Trade Balance","10034258"
"Cameroon","Total Exports","7823194"
"","Total Imports","46788"
"","Trade Balance","7776406"
"Kenya","Total Exports","7201084"
"","Total Imports","152498"
"","Trade Balance","7048586"
"Luxembourg","Total Exports","9141678"
"","Total Imports","2486023"
"","Trade Balance","6655655"
"Sudan","Total Exports","6659989"
"","Total Imports","37571"
"","Trade Balance","6622418"
"Mozambique","Total Exports","5725792"
"","Total Imports","8894"
"","Trade Balance","5716898"
"Iraq","Total Exports","5368409"
"","Total Imports",""
"","Trade Balance","5368409"
"Dominican Republic","Total Exports","8941610"
"","Total Imports","4293661"
"","Trade Balance","4647949"
"Brazil","Total Exports","23061843"
"","Total Imports","18502734"
"","Trade Balance","4559109"
"Panama","Total Exports","4552797"
"","Total Imports","36789"
"","Trade Balance","4516008"
"Georgia","Total Exports","4346006"
"","Total Imports","87891"
"","Trade Balance","4258115"
"Lebanon","Total Exports","3994498"
"","Total Imports","7246"
"","Trade Balance","3987252"
"Tanzania","Total Exports","3657592"
"","Total Imports","10306"
"","Trade Balance","3647286"
"Oman (formerly Muscat and Oman)","Total Exports","5777968"
"","Total Imports","2347260"
"","Trade Balance","3430708"
"Trinidad and Tobago","Total Exports","3329828"
"","Total Imports","44997"
"","Trade Balance","3284831"
"Algeria","Total Exports","3112125"
"","Total Imports","7"
"","Trade Balance","3112118"
"Jamaica","Total Exports","2913977"
"","Total Imports","235048"
"","Trade Balance","2678929"
"Uruguay","Total Exports","2665719"
"","Total Imports","81284"
"","Trade Balance","2584435"
"Liberia","Total Exports","2519372"
"","Total Imports","49"
"","Trade Balance","2519323"
"Togo","Total Exports","2173288"
"","Total Imports","1173"
"","Trade Balance","2172115"
"Guyana","Total Exports","2149540"
"","Total Imports","578"
"","Trade Balance","2148962"
"Chile","Total Exports","22265293"
"","Total Imports","20208520"
"","Trade Balance","2056773"
"Argentina","Total Exports","8684656"
"","Total Imports","6658419"
"","Trade Balance","2026237"
"Haiti","Total Exports","2201986"
"","Total Imports","443433"
"","Trade Balance","1758553"
"Niger","Total Exports","2433786"
"","Total Imports","813967"
"","Trade Balance","1619819"
"Zimbabwe","Total Exports","1553864"
"","Total Imports","2575"
"","Trade Balance","1551289"
"Congo (formerly Brazzaville)","Total Exports","1468686"
"","Total Imports","9642"
"","Trade Balance","1459044"
"Botswana","Total Exports","1367553"
"","Total Imports","1297"
"","Trade Balance","1366256"
"Côte-d'Ivoire","Total Exports","1383180"
"","Total Imports","76521"
"","Trade Balance","1306659"
"Senegal","Total Exports","1358184"
"","Total Imports","63810"
"","Trade Balance","1294374"
"Barbados","Total Exports","1297216"
"","Total Imports","31568"
"","Trade Balance","1265648"
"Mali","Total Exports","1268753"
