"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2017"
"Units","Value in  canadian dollars"

"","","2017"
"Japan","Total Exports","813581345"
"","Total Imports","240709568"
"","Trade Balance","572871777"
"China","Total Exports","1407236879"
"","Total Imports","1221490266"
"","Trade Balance","185746613"
"Bulgaria","Total Exports","118822307"
"","Total Imports","1943149"
"","Trade Balance","116879158"
"Australia","Total Exports","140149478"
"","Total Imports","29400155"
"","Trade Balance","110749323"
"United Arab Emirates","Total Exports","93038532"
"","Total Imports","570799"
"","Trade Balance","92467733"
"Indonesia","Total Exports","110801636"
"","Total Imports","25182701"
"","Trade Balance","85618935"
"Peru","Total Exports","69777854"
"","Total Imports","5868615"
"","Trade Balance","63909239"
"Hong Kong","Total Exports","69079908"
"","Total Imports","5264709"
"","Trade Balance","63815199"
"Bangladesh","Total Exports","82164536"
"","Total Imports","19125773"
"","Trade Balance","63038763"
"Pakistan","Total Exports","63888408"
"","Total Imports","5179486"
"","Trade Balance","58708922"
"Russia","Total Exports","65717198"
"","Total Imports","8033413"
"","Trade Balance","57683785"
"Nigeria","Total Exports","55031003"
"","Total Imports","101901"
"","Trade Balance","54929102"
"Angola","Total Exports","52287065"
"","Total Imports","3687"
"","Trade Balance","52283378"
"Colombia","Total Exports","63155606"
"","Total Imports","17522807"
"","Trade Balance","45632799"
"Korea, South","Total Exports","109187141"
"","Total Imports","65208292"
"","Trade Balance","43978849"
"Philippines","Total Exports","49964251"
"","Total Imports","12380522"
"","Trade Balance","37583729"
"Ireland","Total Exports","45564392"
"","Total Imports","9283571"
"","Trade Balance","36280821"
"Ecuador","Total Exports","35581220"
"","Total Imports","4423531"
"","Trade Balance","31157689"
"Singapore","Total Exports","53808469"
"","Total Imports","27641592"
"","Trade Balance","26166877"
"Georgia","Total Exports","26030806"
"","Total Imports","257478"
"","Trade Balance","25773328"
"Belgium","Total Exports","62499256"
"","Total Imports","39023490"
"","Trade Balance","23475766"
"Kazakhstan","Total Exports","23552504"
"","Total Imports","295931"
"","Trade Balance","23256573"
"Ghana","Total Exports","23094594"
"","Total Imports","24352"
"","Trade Balance","23070242"
"Egypt","Total Exports","16138272"
"","Total Imports","573325"
"","Trade Balance","15564947"
"Chile","Total Exports","32774841"
"","Total Imports","17861647"
"","Trade Balance","14913194"
"Saudi Arabia","Total Exports","17908858"
"","Total Imports","3080680"
"","Trade Balance","14828178"
"Sri Lanka","Total Exports","21731268"
"","Total Imports","7616562"
"","Trade Balance","14114706"
"Cuba","Total Exports","10600509"
"","Total Imports","14899"
"","Trade Balance","10585610"
"Kenya","Total Exports","8137555"
"","Total Imports","150438"
"","Trade Balance","7987117"
"Tanzania","Total Exports","7713508"
