"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","Manitoba"
"Destination","All countries (detailed)"
"Period","Specific year(s): 2021"
"Units","Value in  canadian dollars"

"","","2021"
"Japan","Total Exports","1027663629"
"","Total Imports","288705761"
"","Trade Balance","738957868"
"Iran","Total Exports","198576544"
"","Total Imports","54110"
"","Trade Balance","198522434"
"Australia","Total Exports","150766567"
"","Total Imports","31523853"
"","Trade Balance","119242714"
"United Arab Emirates","Total Exports","114302079"
"","Total Imports","1219327"
"","Trade Balance","113082752"
"Peru","Total Exports","107165816"
"","Total Imports","3470282"
"","Trade Balance","103695534"
"Pakistan","Total Exports","107295704"
"","Total Imports","7610309"
"","Trade Balance","99685395"
"Indonesia","Total Exports","130993454"
"","Total Imports","38769936"
"","Trade Balance","92223518"
"Colombia","Total Exports","110189777"
"","Total Imports","20124085"
"","Trade Balance","90065692"
"Philippines","Total Exports","94227833"
"","Total Imports","14412079"
"","Trade Balance","79815754"
"Ecuador","Total Exports","84781563"
"","Total Imports","5036941"
"","Trade Balance","79744622"
"Bangladesh","Total Exports","93382900"
"","Total Imports","15053094"
"","Trade Balance","78329806"
"Nigeria","Total Exports","61890511"
"","Total Imports","219559"
"","Trade Balance","61670952"
"Ghana","Total Exports","47250695"
"","Total Imports","96744"
"","Trade Balance","47153951"
"Singapore","Total Exports","58871675"
"","Total Imports","14779190"
"","Trade Balance","44092485"
"Algeria","Total Exports","27311395"
"","Total Imports","583"
"","Trade Balance","27310812"
"Dominican Republic","Total Exports","25962410"
"","Total Imports","2521957"
"","Trade Balance","23440453"
"Russia","Total Exports","34311334"
"","Total Imports","11249887"
"","Trade Balance","23061447"
"Chile","Total Exports","44261078"
"","Total Imports","22781162"
"","Trade Balance","21479916"
"Korea, South","Total Exports","127486119"
"","Total Imports","106383669"
"","Trade Balance","21102450"
"Norway","Total Exports","21736255"
"","Total Imports","3866407"
"","Trade Balance","17869848"
"Angola","Total Exports","17291646"
"","Total Imports","3573"
"","Trade Balance","17288073"
"Kazakhstan","Total Exports","17561843"
"","Total Imports","923893"
"","Trade Balance","16637950"
"Cameroon","Total Exports","11679701"
"","Total Imports","137111"
"","Trade Balance","11542590"
"Guatemala","Total Exports","32266506"
"","Total Imports","22579387"
"","Trade Balance","9687119"
"Kenya","Total Exports","9300286"
"","Total Imports","197035"
"","Trade Balance","9103251"
"El Salvador","Total Exports","10991618"
"","Total Imports","1917688"
"","Trade Balance","9073930"
"Venezuela","Total Exports","14242956"
"","Total Imports","5854848"
"","Trade Balance","8388108"
"Saudi Arabia","Total Exports","8767607"
"","Total Imports","501209"
"","Trade Balance","8266398"
"Sudan","Total Exports","8149203"
"","Total Imports","2027"
"","Trade Balance","8147176"
"Cuba","Total Exports","6824290"
"","Total Imports","54"
"","Trade Balance","6824236"
"Jamaica","Total Exports","6468987"
"","Total Imports","164770"
"","Trade Balance","6304217"
"Costa Rica","Total Exports","16814642"
"","Total Imports","10602320"
"","Trade Balance","6212322"
"Mozambique","Total Exports","6076396"
"","Total Imports","4525"
"","Trade Balance","6071871"
"Paraguay","Total Exports","6526636"
"","Total Imports","461562"
"","Trade Balance","6065074"
"Trinidad and Tobago","Total Exports","6231877"
"","Total Imports","262140"
"","Trade Balance","5969737"
"Sri Lanka","Total Exports","10526370"
"","Total Imports","4778335"
"","Trade Balance","5748035"
"Brazil","Total Exports","36330701"
