"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1991"
"Units","Value in  canadian dollars"

"","","1991"
"United States","Total Exports","2034805705"
"","Total Imports","948447374"
"","Trade Balance","1086358331"
"Japan","Total Exports","172357116"
"","Total Imports","19486382"
"","Trade Balance","152870734"
"United Kingdom","Total Exports","161097422"
"","Total Imports","34334767"
"","Trade Balance","126762655"
"Germany","Total Exports","119794792"
"","Total Imports","6086488"
"","Trade Balance","113708304"
"France (incl. Monaco, French Antilles)","Total Exports","111580696"
"","Total Imports","3216371"
"","Trade Balance","108364325"
"Belgium","Total Exports","85934260"
"","Total Imports","1503765"
"","Trade Balance","84430495"
"Netherlands","Total Exports","84648229"
"","Total Imports","13600387"
"","Trade Balance","71047842"
"Italy (incl. Vatican City State)","Total Exports","36973008"
"","Total Imports","2110286"
"","Trade Balance","34862722"
"Jamaica","Total Exports","23167245"
"","Total Imports","155539"
"","Trade Balance","23011706"
"China","Total Exports","17704660"
"","Total Imports","1308020"
"","Trade Balance","16396640"
"Korea, South","Total Exports","17781140"
"","Total Imports","1938626"
"","Trade Balance","15842514"
"Colombia","Total Exports","15875334"
"","Total Imports","1151841"
"","Trade Balance","14723493"
"India","Total Exports","14274371"
"","Total Imports","655301"
"","Trade Balance","13619070"
"Pakistan","Total Exports","10651698"
"","Total Imports","23097"
"","Trade Balance","10628601"
"Brazil","Total Exports","30539248"
"","Total Imports","21138633"
"","Trade Balance","9400615"
"Dominican Republic","Total Exports","8457189"
"","Total Imports","220525"
"","Trade Balance","8236664"
"Gibraltar","Total Exports","7740395"
"","Total Imports",""
"","Trade Balance","7740395"
"Bangladesh","Total Exports","6238888"
"","Total Imports","85674"
"","Trade Balance","6153214"
"Türkiye","Total Exports","5907725"
"","Total Imports","5616"
"","Trade Balance","5902109"
"Saint Pierre-Miquelon","Total Exports","5682957"
"","Total Imports",""
"","Trade Balance","5682957"
"Denmark","Total Exports","6030229"
"","Total Imports","481367"
"","Trade Balance","5548862"
"Côte-d'Ivoire","Total Exports","4162199"
"","Total Imports","10069"
"","Trade Balance","4152130"
"New Zealand","Total Exports","5750184"
"","Total Imports","1796792"
"","Trade Balance","3953392"
"Haiti","Total Exports","3273938"
"","Total Imports","2705"
"","Trade Balance","3271233"
"South Africa","Total Exports","3190028"
"","Total Imports","13338"
"","Trade Balance","3176690"
"Martinique","Total Exports","3002599"
"","Total Imports",""
"","Trade Balance","3002599"
"Malta","Total Exports","2991632"
"","Total Imports",""
"","Trade Balance","2991632"
"Trinidad and Tobago","Total Exports","9651493"
"","Total Imports","7408232"
"","Trade Balance","2243261"
"Ireland","Total Exports","2394449"
"","Total Imports","362418"
"","Trade Balance","2032031"
"Egypt","Total Exports","1914334"
"","Total Imports",""
"","Trade Balance","1914334"
"Liberia","Total Exports","1823333"
"","Total Imports",""
"","Trade Balance","1823333"
"Iran","Total Exports","1519750"
"","Total Imports","367"
"","Trade Balance","1519383"
"Panama","Total Exports","1423941"
"","Total Imports","65499"
"","Trade Balance","1358442"
