"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1992"
"Units","Value in  canadian dollars"

"","","1992"
"United States","Total Exports","1982531981"
"","Total Imports","1090613833"
"","Trade Balance","891918148"
"United Kingdom","Total Exports","193000388"
"","Total Imports","18497107"
"","Trade Balance","174503281"
"Japan","Total Exports","177858515"
"","Total Imports","37595945"
"","Trade Balance","140262570"
"France (incl. Monaco, French Antilles)","Total Exports","116616083"
"","Total Imports","16073127"
"","Trade Balance","100542956"
"Germany","Total Exports","93127597"
"","Total Imports","6487787"
"","Trade Balance","86639810"
"Netherlands","Total Exports","68240768"
"","Total Imports","1051791"
"","Trade Balance","67188977"
"Belgium","Total Exports","64081192"
"","Total Imports","227269"
"","Trade Balance","63853923"
"Italy (incl. Vatican City State)","Total Exports","40673632"
"","Total Imports","2912045"
"","Trade Balance","37761587"
"India","Total Exports","29317301"
"","Total Imports","689479"
"","Trade Balance","28627822"
"Brazil","Total Exports","40418161"
"","Total Imports","17453558"
"","Trade Balance","22964603"
"Korea, South","Total Exports","22065602"
"","Total Imports","2913337"
"","Trade Balance","19152265"
"Poland","Total Exports","14841426"
"","Total Imports","483867"
"","Trade Balance","14357559"
"Dominican Republic","Total Exports","13903166"
"","Total Imports","197091"
"","Trade Balance","13706075"
"Jamaica","Total Exports","13048557"
"","Total Imports","225419"
"","Trade Balance","12823138"
"China","Total Exports","13471910"
"","Total Imports","2353399"
"","Trade Balance","11118511"
"Trinidad and Tobago","Total Exports","8082543"
"","Total Imports","22007"
"","Trade Balance","8060536"
"Saint Pierre-Miquelon","Total Exports","6532474"
"","Total Imports",""
"","Trade Balance","6532474"
"Denmark","Total Exports","6703222"
"","Total Imports","637822"
"","Trade Balance","6065400"
"Colombia","Total Exports","6864361"
"","Total Imports","1005760"
"","Trade Balance","5858601"
"Haiti","Total Exports","5428965"
"","Total Imports","1488"
"","Trade Balance","5427477"
"Spain","Total Exports","19237770"
"","Total Imports","14169275"
"","Trade Balance","5068495"
"Sweden","Total Exports","7430949"
"","Total Imports","2845280"
"","Trade Balance","4585669"
"Switzerland","Total Exports","7731067"
"","Total Imports","3276661"
"","Trade Balance","4454406"
"Egypt","Total Exports","3946016"
"","Total Imports","238"
"","Trade Balance","3945778"
"New Zealand","Total Exports","7032364"
"","Total Imports","3316217"
"","Trade Balance","3716147"
"Israel","Total Exports","3540397"
"","Total Imports","91000"
"","Trade Balance","3449397"
"Portugal","Total Exports","3791116"
"","Total Imports","672145"
"","Trade Balance","3118971"
"Martinique","Total Exports","2986184"
"","Total Imports",""
