"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1993"
"Units","Value in  canadian dollars"

"","","1993"
"United States","Total Exports","2520286531"
"","Total Imports","1288086206"
"","Trade Balance","1232200325"
"Japan","Total Exports","190415981"
"","Total Imports","21516136"
"","Trade Balance","168899845"
"Brazil","Total Exports","117052256"
"","Total Imports","14661840"
"","Trade Balance","102390416"
"United Kingdom","Total Exports","114365440"
"","Total Imports","15482932"
"","Trade Balance","98882508"
"Germany","Total Exports","72186467"
"","Total Imports","13492921"
"","Trade Balance","58693546"
"France (incl. Monaco, French Antilles)","Total Exports","55873593"
"","Total Imports","11875370"
"","Trade Balance","43998223"
"Spain","Total Exports","34634045"
"","Total Imports","1006402"
"","Trade Balance","33627643"
"Belgium","Total Exports","27624120"
"","Total Imports","541938"
"","Trade Balance","27082182"
"Netherlands","Total Exports","30095703"
"","Total Imports","6222729"
"","Trade Balance","23872974"
"Italy (incl. Vatican City State)","Total Exports","28314177"
"","Total Imports","4687898"
"","Trade Balance","23626279"
"Jamaica","Total Exports","22455925"
"","Total Imports","169622"
"","Trade Balance","22286303"
"Korea, South","Total Exports","18584838"
"","Total Imports","3343588"
"","Trade Balance","15241250"
"Dominican Republic","Total Exports","16137288"
"","Total Imports","1960929"
"","Trade Balance","14176359"
"Poland","Total Exports","12955339"
"","Total Imports","420677"
"","Trade Balance","12534662"
"China","Total Exports","14032161"
"","Total Imports","2666622"
"","Trade Balance","11365539"
"Singapore","Total Exports","8987039"
"","Total Imports","128007"
"","Trade Balance","8859032"
"Iran","Total Exports","7715337"
"","Total Imports","1275"
"","Trade Balance","7714062"
"Gabon","Total Exports","6856465"
"","Total Imports",""
"","Trade Balance","6856465"
"Nicaragua","Total Exports","6664428"
"","Total Imports",""
"","Trade Balance","6664428"
"Wallis and Futuna Islands","Total Exports","6506353"
"","Total Imports",""
"","Trade Balance","6506353"
"South Africa","Total Exports","6673633"
"","Total Imports","265041"
"","Trade Balance","6408592"
"Argentina","Total Exports","7035666"
"","Total Imports","1324023"
"","Trade Balance","5711643"
"India","Total Exports","6259619"
"","Total Imports","870982"
"","Trade Balance","5388637"
"Haiti","Total Exports","5107206"
"","Total Imports","1187"
"","Trade Balance","5106019"
"Martinique","Total Exports","4375442"
"","Total Imports",""
"","Trade Balance","4375442"
"Trinidad and Tobago","Total Exports","6683573"
"","Total Imports","2829265"
"","Trade Balance","3854308"
"Guatemala","Total Exports","4189062"
"","Total Imports","466815"
"","Trade Balance","3722247"
"Saint Pierre-Miquelon","Total Exports","3721514"
"","Total Imports",""
"","Trade Balance","3721514"
"Türkiye","Total Exports","3040601"
"","Total Imports","9969"
"","Trade Balance","3030632"
"Cambodia (Kampuchea)","Total Exports","2992043"
"","Total Imports",""
"","Trade Balance","2992043"
"Denmark","Total Exports","2976178"
"","Total Imports","591261"
"","Trade Balance","2384917"
"Switzerland","Total Exports","2707738"
"","Total Imports","520133"
"","Trade Balance","2187605"
"Yugoslavia  - Serbia and Montenegro","Total Exports","2190731"
"","Total Imports","7776"
"","Trade Balance","2182955"
"Greece","Total Exports","2316941"
"","Total Imports","168936"
"","Trade Balance","2148005"
"Uruguay","Total Exports","1435914"
"","Total Imports","46875"
"","Trade Balance","1389039"
"Côte-d'Ivoire","Total Exports","1132153"
"","Total Imports",""
"","Trade Balance","1132153"
"Barbados","Total Exports","1102323"
"","Total Imports","1232"
"","Trade Balance","1101091"
"Saint Lucia","Total Exports","1039741"
"","Total Imports","34"
"","Trade Balance","1039707"
"Bermuda","Total Exports","1005995"
"","Total Imports","1088"
"","Trade Balance","1004907"
"Peru","Total Exports","2221385"
"","Total Imports","1222027"
"","Trade Balance","999358"
"Bahamas","Total Exports","929463"
"","Total Imports",""
"","Trade Balance","929463"
"El Salvador","Total Exports","885458"
"","Total Imports","7365"
"","Trade Balance","878093"
"Portugal","Total Exports","1282653"
"","Total Imports","509423"
"","Trade Balance","773230"
"Kuwait","Total Exports","752465"
"","Total Imports",""
"","Trade Balance","752465"
"Israel","Total Exports","829249"
"","Total Imports","76933"
"","Trade Balance","752316"
"Philippines","Total Exports","1200046"
"","Total Imports","483632"
"","Trade Balance","716414"
"Dominica","Total Exports","675177"
"","Total Imports","2053"
"","Trade Balance","673124"
"Algeria","Total Exports","558668"
"","Total Imports",""
"","Trade Balance","558668"
"Ecuador","Total Exports","1078924"
"","Total Imports","526125"
"","Trade Balance","552799"
"Guadeloupe","Total Exports","525455"
"","Total Imports",""
"","Trade Balance","525455"
"Bolivia","Total Exports","491400"
"","Total Imports","128"
"","Trade Balance","491272"
"Panama","Total Exports","474067"
"","Total Imports","9404"
"","Trade Balance","464663"
"Bahrain","Total Exports","455066"
"","Total Imports",""
"","Trade Balance","455066"
"Estonia","Total Exports","418856"
"","Total Imports",""
"","Trade Balance","418856"
"Guam","Total Exports","369811"
"","Total Imports","605"
"","Trade Balance","369206"
"Central African Republic","Total Exports","357905"
"","Total Imports",""
"","Trade Balance","357905"
"Hong Kong","Total Exports","1643914"
"","Total Imports","1345219"
"","Trade Balance","298695"
"Iceland","Total Exports","299366"
"","Total Imports","22093"
"","Trade Balance","277273"
"United Arab Emirates","Total Exports","243454"
"","Total Imports","792"
"","Trade Balance","242662"
"Malta","Total Exports","234389"
"","Total Imports","258"
"","Trade Balance","234131"
"Qatar","Total Exports","195843"
"","Total Imports",""
"","Trade Balance","195843"
"Cyprus","Total Exports","186748"
"","Total Imports",""
"","Trade Balance","186748"
"Korea, North","Total Exports","138220"
"","Total Imports","54"
"","Trade Balance","138166"
"Cayman Islands","Total Exports","128402"
"","Total Imports",""
"","Trade Balance","128402"
"Libya","Total Exports","127500"
"","Total Imports",""
"","Trade Balance","127500"
"Grenada","Total Exports","122195"
"","Total Imports",""
"","Trade Balance","122195"
"Bulgaria","Total Exports","120856"
"","Total Imports",""
"","Trade Balance","120856"
"Antigua and Barbuda","Total Exports","103504"
"","Total Imports",""
"","Trade Balance","103504"
"Czech Republic","Total Exports","93380"
"","Total Imports","3322"
"","Trade Balance","90058"
"Egypt","Total Exports","103045"
"","Total Imports","21229"
"","Trade Balance","81816"
"Saint Kitts and Nevis","Total Exports","70937"
"","Total Imports","64"
"","Trade Balance","70873"
"Brunei Darussalam","Total Exports","56956"
"","Total Imports","11"
"","Trade Balance","56945"
"Malaysia","Total Exports","430594"
"","Total Imports","376729"
"","Trade Balance","53865"
"Suriname","Total Exports","50600"
"","Total Imports","97"
"","Trade Balance","50503"
"Honduras","Total Exports","1498927"
"","Total Imports","1451501"
"","Trade Balance","47426"
"U.S.S.R.","Total Exports","39110"
"","Total Imports","237"
"","Trade Balance","38873"
"Guinea","Total Exports","37482"
"","Total Imports",""
"","Trade Balance","37482"
"Cocos (Keeling) Islands","Total Exports","35179"
"","Total Imports",""
"","Trade Balance","35179"
"Saint Vincent and the Grenadines","Total Exports","30416"
"","Total Imports",""
"","Trade Balance","30416"
"Ukraine","Total Exports","28265"
"","Total Imports",""
"","Trade Balance","28265"
"U.S. Minor Outlying Islands","Total Exports","20954"
"","Total Imports",""
"","Trade Balance","20954"
"Vietnam","Total Exports","21098"
"","Total Imports","252"
"","Trade Balance","20846"
"Lebanon","Total Exports","18802"
"","Total Imports",""
"","Trade Balance","18802"
"Oman (formerly Muscat and Oman)","Total Exports","18083"
"","Total Imports",""
"","Trade Balance","18083"
"Benin","Total Exports","14880"
"","Total Imports",""
"","Trade Balance","14880"
"Czechoslovakia","Total Exports","13734"
"","Total Imports","159"
"","Trade Balance","13575"
"Mauritania","Total Exports","8230"
"","Total Imports",""
"","Trade Balance","8230"
"Thailand","Total Exports","402251"
"","Total Imports","394071"
"","Trade Balance","8180"
"Romania","Total Exports","44899"
"","Total Imports","41368"
"","Trade Balance","3531"
"Tonga","Total Exports",""
"","Total Imports","6"
"","Trade Balance","-6"
"Togo","Total Exports",""
"","Total Imports","9"
"","Trade Balance","-9"
"Senegal","Total Exports",""
"","Total Imports","26"
"","Trade Balance","-26"
"Madagascar","Total Exports",""
"","Total Imports","38"
"","Trade Balance","-38"
"Tajikistan","Total Exports",""
"","Total Imports","40"
"","Trade Balance","-40"
"Greenland","Total Exports",""
"","Total Imports","88"
"","Trade Balance","-88"
"Georgia","Total Exports",""
"","Total Imports","141"
"","Trade Balance","-141"
"Namibia","Total Exports",""
"","Total Imports","144"
"","Trade Balance","-144"
"Macau (Macao)","Total Exports",""
"","Total Imports","163"
"","Trade Balance","-163"
"Niger","Total Exports",""
"","Total Imports","733"
"","Trade Balance","-733"
"Laos","Total Exports",""
"","Total Imports","1996"
"","Trade Balance","-1996"
"Luxembourg","Total Exports",""
"","Total Imports","2503"
"","Trade Balance","-2503"
"Seychelles","Total Exports",""
"","Total Imports","2943"
"","Trade Balance","-2943"
"Zimbabwe","Total Exports",""
"","Total Imports","3714"
"","Trade Balance","-3714"
"Sri Lanka","Total Exports",""
"","Total Imports","3738"
"","Trade Balance","-3738"
"Nepal","Total Exports",""
