"Title","Canadian trade balances"
"Products","Total for all products"
"Origin","New Brunswick"
"Destination","All countries (detailed)"
"Period","Specific year(s): 1996"
"Units","Value in  canadian dollars"

"","","1996"
"United States","Total Exports","4118090614"
"","Total Imports","1473349421"
"","Trade Balance","2644741193"
"Japan","Total Exports","270306891"
"","Total Imports","25000867"
"","Trade Balance","245306024"
"Brazil","Total Exports","213650320"
"","Total Imports","5470056"
"","Trade Balance","208180264"
"Germany","Total Exports","99803019"
"","Total Imports","9943254"
"","Trade Balance","89859765"
"France (incl. Monaco, French Antilles)","Total Exports","100668452"
"","Total Imports","38041247"
"","Trade Balance","62627205"
"Belgium","Total Exports","62240689"
"","Total Imports","3450697"
"","Trade Balance","58789992"
"Spain","Total Exports","52444771"
"","Total Imports","9396111"
"","Trade Balance","43048660"
"United Kingdom","Total Exports","108293567"
"","Total Imports","65684353"
"","Trade Balance","42609214"
"Italy (incl. Vatican City State)","Total Exports","36759639"
"","Total Imports","3301811"
"","Trade Balance","33457828"
"Korea, South","Total Exports","35291956"
"","Total Imports","3843889"
"","Trade Balance","31448067"
"Jamaica","Total Exports","22984286"
"","Total Imports","507199"
"","Trade Balance","22477087"
"Dominican Republic","Total Exports","19826431"
"","Total Imports","1928557"
"","Trade Balance","17897874"
"Singapore","Total Exports","16649865"
"","Total Imports","264116"
"","Trade Balance","16385749"
"India","Total Exports","13019625"
"","Total Imports","600712"
"","Trade Balance","12418913"
"Israel","Total Exports","10072054"
"","Total Imports","214922"
"","Trade Balance","9857132"
"Denmark","Total Exports","9317601"
"","Total Imports","658096"
"","Trade Balance","8659505"
"Cuba","Total Exports","24624711"
"","Total Imports","17523925"
"","Trade Balance","7100786"
"Argentina","Total Exports","8614574"
"","Total Imports","2453948"
"","Trade Balance","6160626"
"Greece","Total Exports","6493205"
"","Total Imports","343998"
"","Trade Balance","6149207"
"Panama","Total Exports","7775298"
"","Total Imports","1971837"
"","Trade Balance","5803461"
"Hong Kong","Total Exports","5956337"
"","Total Imports","491141"
"","Trade Balance","5465196"
"Ecuador","Total Exports","6252190"
"","Total Imports","794070"
"","Trade Balance","5458120"
"Poland","Total Exports","6545052"
"","Total Imports","2059156"
"","Trade Balance","4485896"
"Malaysia","Total Exports","5127251"
"","Total Imports","665084"
"","Trade Balance","4462167"
"Taiwan","Total Exports","12382538"
"","Total Imports","8036789"
"","Trade Balance","4345749"
"Haiti","Total Exports","4185160"
"","Total Imports","871"
"","Trade Balance","4184289"
"Saint Pierre-Miquelon","Total Exports","3876486"
"","Total Imports","32236"
"","Trade Balance","3844250"
"Portugal","Total Exports","3743882"
"","Total Imports","60622"
"","Trade Balance","3683260"
"Croatia","Total Exports","3259341"
"","Total Imports","53988"
"","Trade Balance","3205353"
"Bahrain","Total Exports","2638093"
"","Total Imports",""
"","Trade Balance","2638093"
"Türkiye","Total Exports","2551807"
"","Total Imports","38299"
"","Trade Balance","2513508"
"Algeria","Total Exports","2432675"
"","Total Imports",""
"","Trade Balance","2432675"
"Egypt","Total Exports","2347966"
"","Total Imports","817"
"","Trade Balance","2347149"
"Netherlands Antilles","Total Exports","2178075"
"","Total Imports",""
"","Trade Balance","2178075"
"Libya","Total Exports","2119933"
"","Total Imports",""
"","Trade Balance","2119933"
"Cameroon","Total Exports","2051068"
"","Total Imports",""
"","Trade Balance","2051068"
"Finland","Total Exports","3203476"
"","Total Imports","1158225"
"","Trade Balance","2045251"
"Kuwait","Total Exports","2029186"
"","Total Imports","8"
"","Trade Balance","2029178"
"United Arab Emirates","Total Exports","1981556"
"","Total Imports","21"
"","Trade Balance","1981535"
"Bulgaria","Total Exports","1761560"
"","Total Imports","3186"
"","Trade Balance","1758374"
"Barbados","Total Exports","1668068"
"","Total Imports",""
"","Trade Balance","1668068"
"Philippines","Total Exports","1706945"
"","Total Imports","236384"
"","Trade Balance","1470561"
"Bermuda","Total Exports","1467854"
"","Total Imports",""
"","Trade Balance","1467854"
"Côte-d'Ivoire","Total Exports","1429758"
"","Total Imports",""
"","Trade Balance","1429758"
"Bolivia","Total Exports","1113762"
"","Total Imports","47867"
"","Trade Balance","1065895"
"Indonesia","Total Exports","1987432"
"","Total Imports","984727"
"","Trade Balance","1002705"
"Bahamas","Total Exports","1000621"
"","Total Imports","7347"
"","Trade Balance","993274"
"Martinique","Total Exports","946654"
"","Total Imports",""
"","Trade Balance","946654"
"Yugoslavia  - Serbia and Montenegro","Total Exports","897655"
"","Total Imports","36"
"","Trade Balance","897619"
"Ireland","Total Exports","1292261"
"","Total Imports","559900"
"","Trade Balance","732361"
"Cambodia (Kampuchea)","Total Exports","695893"
"","Total Imports","50"
"","Trade Balance","695843"
"Ghana","Total Exports","679181"
"","Total Imports",""
"","Trade Balance","679181"
"Hungary","Total Exports","649740"
"","Total Imports","147093"
"","Trade Balance","502647"
"Antigua and Barbuda","Total Exports","498951"
"","Total Imports","2302"
"","Trade Balance","496649"
"Grenada","Total Exports","467161"
"","Total Imports",""
"","Trade Balance","467161"
"Iran","Total Exports","446312"
"","Total Imports","1404"
"","Trade Balance","444908"
"Malta","Total Exports","443590"
"","Total Imports","488"
"","Trade Balance","443102"
"Qatar","Total Exports","414675"
"","Total Imports",""
"","Trade Balance","414675"
"Slovenia","Total Exports","406053"
"","Total Imports","401"
"","Trade Balance","405652"
"Guyana","Total Exports","379965"
"","Total Imports","3634"
"","Trade Balance","376331"
"Romania","Total Exports","361386"
"","Total Imports","25964"
"","Trade Balance","335422"
"Czech Republic","Total Exports","676667"
"","Total Imports","342849"
"","Trade Balance","333818"
"Saint Kitts and Nevis","Total Exports","268574"
"","Total Imports","1433"
"","Trade Balance","267141"
"Dominica","Total Exports","263328"
"","Total Imports","7617"
"","Trade Balance","255711"
"Suriname","Total Exports","242243"
"","Total Imports",""
"","Trade Balance","242243"
"Oman (formerly Muscat and Oman)","Total Exports","239092"
"","Total Imports","49"
"","Trade Balance","239043"
"Lebanon","Total Exports","233180"
"","Total Imports",""
"","Trade Balance","233180"
"Uruguay","Total Exports","437720"
"","Total Imports","204591"
"","Trade Balance","233129"
"Bangladesh","Total Exports","276711"
"","Total Imports","64563"
"","Trade Balance","212148"
"Jordan","Total Exports","204644"
"","Total Imports","3315"
"","Trade Balance","201329"
"Brunei Darussalam","Total Exports","129844"
"","Total Imports","246"
"","Trade Balance","129598"
"New Caledonia","Total Exports","126708"
"","Total Imports",""
"","Trade Balance","126708"
"Paraguay","Total Exports","105929"
"","Total Imports",""
"","Trade Balance","105929"
